"","G","G","G","G","G","G"
"1",28629029,28629031,28629043,28629044,28629053,28629063
"2",28629028,28629029,28629043,28629046,28629053,28629063
"3",28629026,28629029,28629043,28629053,28629062,28629063
"4",28629026,28629029,28629044,28629046,28629066,28629069
"5",28629028,28629029,28629043,28629044,28629062,28629069
"6",28629028,28629029,28629031,28629066,28629077,28629079
"7",28629028,28629031,28629036,28629046,28629065,28629079
"8",28629028,28629031,28629034,28629052,28629065,28629068
"9",28629026,28629031,28629037,28629052,28629068,28629081
"10",28629026,28629036,28629037,28629051,28629058,28629061
"11",28629026,28629036,28629037,28629051,28629058,28629060
"12",28629026,28629034,28629037,28629057,28629059,28629061
"13",28629025,28629034,28629041,28629049,28629057,28629061
"14",28629030,28629034,28629038,28629041,28629049,28629078
"15",28629030,28629034,28629041,28629045,28629048,28629049
"16",28629025,28629030,28629045,28629048,28629056,28629072
"17",28629030,28629032,28629038,28629048,28629054,28629056
"18",28629030,28629032,28629038,28629045,28629050,28629073
"19",28629025,28629032,28629039,28629054,28629067,28629075
"20",28629025,28629032,28629039,28629050,28629074,28629076
