"","Name","ID","Salary","ceil","fpts","total_points","fpts_avg","course_fit","final_prediction","win","residuals","proj_own_avg","own_change","own"
"1","Rory McIlroy",28225668,11500,122,86.62,100.5,93.56,2.78,2.17,0.1318,0.46,32.54,12.74,0.1
"2","Sam Burns",28225669,10500,88,70.52,85.9,78.21,1.98,1.354,0.0512,-1.95,19.83,7.93,0
"3","Tyrrell Hatton",28225670,10200,99.5,81.79,92.4,87.1,2.59,1.76,0.0778,1.81,25.65,12.56,0.4
"4","Matt Fitzpatrick",28225671,9900,92.5,76.03,87.2,81.62,2.32,1.482,0.0534,0.49,18.95,10.69,0.4
"5","Corey Conners",28225672,9800,89.5,73.28,79.8,76.54,1.21,1.057,0.0284,-1.72,16.86,4.58,0
"6","Justin Rose",28225673,9700,90,73.92,80.1,77.01,1.93,1.032,0.0302,-1.24,22.83,8.06,0.1
"7","Tommy Fleetwood",28225674,9600,97,79.98,81.4,80.69,2.03,1.162,0.0324,-0.71,18.96,8.78,0.3
"8","Shane Lowry",28225675,9400,86,69.05,80.8,74.92,1.45,1.088,0.0328,-0.11,19.49,6.47,0.15
"9","Cameron Young",28225676,9300,85.85,68.23,90,79.12,1.73,1.592,0.071,4.26,25.91,9.91,0.4
"10","Sahith Theegala",28225677,9200,85.5,66.58,78,72.29,1.71,0.911,0.0265,-0.27,12.22,7.56,0.15
"11","Matt Kuchar",28225678,9100,83,64.33,70.9,67.62,1.74,0.566,0.0151,-1.29,6.85,7.19,0
"12","Keith Mitchell",28225679,8900,83,64.26,72.4,68.33,1.12,0.65,0.015,-0.87,9.13,4.61,0.05
"13","Adam Hadwin",28225681,8700,83.5,64.26,71.7,67.98,1.5,0.57,0.0159,-0.39,8.48,6.56,0.15
"14","Adrian Meronk",28225682,8600,88.5,72.48,75.5,73.99,1.03,0.749,0.0215,0.43,14.43,4.85,0.2
"15","Adam Svensson",28225683,8500,80,59.54,69.4,64.47,0.81,0.384,0.012,-0.51,11.45,3.39,0.05
"16","Nicolai Hojgaard",28225684,8400,81,61.79,68.6,65.19,0.33,0.363,0.0103,-0.56,8.5,1.21,0.1
"17","Nick Taylor",28225687,8100,82.35,63.24,71,67.12,1.05,0.545,0.013,0.12,11.03,4.78,0.15
"18","Michael Kim",28225688,8000,82,63,66.6,64.8,0.8,0.272,0.0087,-0.31,10.11,3.45,0.15
"19","Eric Cole",28225689,7900,82,62.15,70.7,66.42,0.83,0.494,0.0133,0.35,14.33,3.91,0.2
"20","Brendon Todd",28225690,7900,75,53.11,64.2,58.66,1.62,0.125,0.0064,-0.52,6.44,7.03,0.1
"21","Alex Smalley",28225691,7800,78.5,56.83,71.1,63.96,0.77,0.539,0.0141,0.55,7.78,3.74,0.1
"22","Aaron Wise",28225692,7800,77,55.31,63,59.16,1.04,0.025,0.0053,-0.58,4.6,4.39,0.1
