,,Win,,Cover,,Total Points,,Implied,Implied Score,
Team,Date,Moneyline,$20 Bet,Spread,$20 Bet,Over-Under,$20 Bet,Win %,Team,Opp
Florida State,2021-11-27 12:00:00,135,27.00,3.0,19.05,59.0,18.18,41.2,28.0,31.0
Florida,2021-11-27 12:00:00,-155,12.90,-3.0,17.39,59.0,18.18,58.8,31.0,28.0
Wake Forest,2021-11-27 12:00:00,-220,9.09,-5.5,18.18,64.0,18.18,65.8,34.8,29.3
Boston College,2021-11-27 12:00:00,180,36.00,5.5,18.18,64.0,18.18,34.2,29.3,34.8
Georgia,2021-11-27 12:00:00,,,-35.0,16.67,54.5,18.18,,44.8,9.8
Georgia Tech,2021-11-27 12:00:00,,,35.0,20.00,54.5,18.18,,9.8,44.8
Miami (OH),2021-11-27 12:00:00,-120,16.67,-1.0,17.39,64.5,16.67,52.2,32.8,31.8
Kent,2021-11-27 12:00:00,100,20.00,1.0,19.05,64.5,20.00,47.8,31.8,32.8
Akron,2021-11-27 12:00:00,1800,360.00,28.5,19.05,57.5,18.18,5.1,14.5,43.0
Toledo,2021-11-27 12:00:00,-4500,0.44,-28.5,17.39,57.5,18.18,94.9,43.0,14.5
Army,2021-11-27 12:00:00,145,29.00,3.5,17.39,53.5,21.00,39.6,25.0,28.5
Liberty,2021-11-27 12:00:00,-165,12.12,-3.5,19.05,53.5,16.00,60.4,28.5,25.0
Houston,2021-11-27 12:00:00,-10000,0.20,-32.0,18.18,53.5,16.67,97.1,42.8,10.8
UConn,2021-11-27 12:00:00,3300,660.00,32.0,18.18,53.5,20.00,2.9,10.8,42.8
Texas Tech,2021-11-27 12:00:00,435,87.00,14.0,17.39,52.0,20.00,17.9,19.0,33.0
Baylor,2021-11-27 12:00:00,-600,3.33,-14.0,19.05,52.0,16.67,82.1,33.0,19.0
Navy,2021-11-27 12:00:00,-550,3.64,-13.5,19.05,43.0,18.18,80.9,28.3,14.8
Temple,2021-11-27 12:00:00,400,80.00,13.5,17.39,43.0,18.18,19.1,14.8,28.3
Ohio State,2021-11-27 12:00:00,-300,6.67,-7.0,17.39,64.5,19.05,71.5,35.8,28.8
Michigan,2021-11-27 12:00:00,235,47.00,7.0,19.05,64.5,17.39,28.5,28.8,35.8
Maryland,2021-11-27 12:00:00,-125,16.00,-1.5,18.18,53.0,18.18,53.2,27.3,25.8
Rutgers,2021-11-27 12:00:00,105,21.00,1.5,18.18,53.0,18.18,46.8,25.8,27.3
Miami,2021-11-27 12:30:00,-1375,1.45,-21.0,18.18,68.0,18.18,89.4,44.5,23.5
Duke,2021-11-27 12:30:00,800,160.00,21.0,18.18,68.0,18.18,10.6,23.5,44.5
Louisiana Tech,2021-11-27 13:00:00,-180,11.11,-3.5,17.39,52.5,16.67,62.1,28.0,24.5
Rice,2021-11-27 13:00:00,155,31.00,3.5,19.05,52.5,20.00,37.9,24.5,28.0
Troy,2021-11-27 14:00:00,205,41.00,6.5,19.05,50.5,19.05,31.3,22.0,28.5
Georgia State,2021-11-27 14:00:00,-255,7.84,-6.5,17.39,50.5,17.39,68.7,28.5,22.0
UTSA,2021-11-27 14:00:00,-410,4.88,-10.0,20.00,59.5,18.18,76.7,34.8,24.8
North Texas,2021-11-27 14:00:00,310,62.00,10.0,16.67,59.5,18.18,23.3,24.8,34.8
Texas State,2021-11-27 14:00:00,105,21.00,2.0,18.18,62.5,18.18,46.8,30.3,32.3
Arkansas State,2021-11-27 14:00:00,-125,16.00,-2.0,18.18,62.5,18.18,53.2,32.3,30.3
UNC Charlotte,2021-11-27 14:00:00,280,56.00,9.5,18.18,55.5,17.39,25.1,23.0,32.5
Old Dominion,2021-11-27 14:00:00,-365,5.48,-9.5,18.18,55.5,19.05,74.9,32.5,23.0
Georgia Southern,2021-11-27 14:30:00,1200,240.00,24.5,17.39,55.0,18.18,7.4,15.3,39.8
Appalachian State,2021-11-27 14:30:00,-2500,0.80,-24.5,19.05,55.0,18.18,92.6,39.8,15.3
Florida International,2021-11-27 15:00:00,360,72.00,11.5,20.00,45.5,17.39,20.7,17.0,28.5
Southern Miss,2021-11-27 15:00:00,-490,4.08,-11.5,16.67,45.5,19.05,79.3,28.5,17.0
Hawaii,2021-11-27 15:00:00,320,64.00,10.5,17.39,48.0,18.18,22.7,18.8,29.3
Wyoming,2021-11-27 15:00:00,-425,4.71,-10.5,19.05,48.0,18.18,77.3,29.3,18.8
Massachusetts,2021-11-27 15:00:00,205,41.00,6.5,18.18,59.0,20.00,31.3,26.3,32.8
