"","teams","lines","totals"
"1","Michigan","8","55.5"
"2","Ohio State","-8","55.5"
"3","South Carolina","14","53"
"4","Clemson","-14","53"
"5","West Virginia","7.5","62.5"
"6","Oklahoma State","-7.5","62.5"
"7","Coastal Carolina","14.5","53"
"8","James Madison","-14.5","53"
"9","Georgia Tech","36","49"
"10","Georgia","-36","49"
"11","Army West Point","-20","45"
"12","Massachusetts","20","45"
"13","Georgia State","6.5","45.5"
"14","Marshall","-6.5","45.5"
"15","New Mexico State","24","50.5"
"16","Liberty","-24","50.5"
"17","Old Dominion","15.5","47.5"
"18","South Alabama","-15.5","47.5"
"19","Western Kentucky","-7.5","62"
"20","Florida Atlantic","7.5","62"
"21","East Carolina","-9.5","52"
"22","Temple","9.5","52"
"23","Kent State","4.5","51.5"
"24","Buffalo","-4.5","51.5"
"25","Akron","10","52.5"
"26","Northern Illinois","-10","52.5"
"27","Rice","14","59"
"28","North Texas","-14","59"
"29","Louisville","3","43"
"30","Kentucky","-3","43"
"31","Troy","-13.5","44.5"
"32","Arkansas State","13.5","44.5"
"33","Oregon","-3","58"
"34","Oregon State","3","58"
"35","Auburn","22","50.5"
"36","Alabama","-22","50.5"
"37","Illinois","-15","38"
"38","Northwestern","15","38"
"39","Purdue","-10.5","53.5"
"40","Indiana","10.5","53.5"
"41","Wake Forest","-3.5","66.5"
"42","Duke","3.5","66.5"
"43","Minnesota","3","36.5"
"44","Wisconsin","-3","36.5"
"45","UTEP","17","56.5"
"46","UTSA","-17","56.5"
"47","Hawaii","15.5","58.5"
"48","San Jose State","-15.5","58.5"
"49","UAB","-18","55.5"
"50","Louisiana Tech","18","55.5"
"51","Memphis","4.5","69"
"52","SMU","-4.5","69"
"53","Iowa State","9.5","46"
"54","TCU","-9.5","46"
"55","Michigan State","19","53"
"56","Penn State","-19","53"
"57","Utah","-29.5","52"
"58","Colorado","29.5","52"
"59","Louisiana-Lafayette","-5.5","45"
"60","Texas State","5.5","45"
"61","Southern Mississippi","-3.5","50"
"62","ULM","3.5","50"
"63","Appalachian State","-6","62"
"64","Georgia Southern","6","62"
"65","Nevada","12","49"
"66","UNLV","-12","49"
"67","Middle Tennessee","-19.5","55"
"68","FIU","19.5","55"
"69","LSU","-10.5","47.5"
"70","Texas A&M","10.5","47.5"
"71","UCF","-19.5","67.5"
"72","South Florida","19.5","67.5"
"73","Notre Dame","4.5","64"
"74","USC","-4.5","64"
"75","Tennessee","-14","63.5"
"76","Vanderbilt","14","63.5"
"77","Oklahoma","-2.5","65"
"78","Texas Tech","2.5","65"
"79","Syracuse","-10.5","47"
"80","Boston College","10.5","47"
"81","Tulsa","12","67"
"82","Houston","-12","67"
"83","Kansas","12","62.5"
"84","Kansas State","-12","62.5"
"85","Pittsburgh","-6.5","43"
"86","Miami FL","6.5","43"
"87","Air Force","-2","43"
"88","San Diego State","2","43"
"89","Washington","-1.5","60"
"90","Washington State","1.5","60"
"91","BYU","-6.5","57.5"
"92","Stanford","6.5","57.5"
