player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
C.J. Brewer,54409,DI,TB,6,2,2.6,0,0,30,55.1,49.5,80.7,59.2,48.6,27.8,22.2,2,0,39,39,7.7,3,5
Tarron Jackson,54410,ED,CAR,2,0,,0,0,5,60.0,41.2,75.7,53.9,39.8,21.3,100.0,1,0,11,11,0.0,0,0
Benton Whitley,54444,ED,NYG,1,0,,0,0,21,,57.9,67.7,59.1,60.0,,,0,0,1,1,0.0,0,0
Darrick Forrest,55087,S,WAS,2,1,6.0,0,0,32,63.5,68.0,69.4,,63.6,80.0,0.0,0,0,6,6,0.0,0,1
Coby Bryant,55088,S,SEA,5,1,11.2,0,0,29,63.2,65.9,82.2,60.0,67.2,73.3,14.3,1,0,72,76,1.4,1,5
Boye Mafe,55220,ED,SEA,6,3,7.1,0,0,29,50.7,71.5,84.1,67.3,74.5,59.6,7.7,1,0,83,86,6.0,5,9
Esezi Otomewo,55221,DI,JAX,4,1,1.0,0,0,15,59.8,46.6,80.0,71.5,29.8,70.9,0.0,0,0,32,35,3.1,1,1
Mark Robinson,55265,LB,PIT,1,0,,0,0,25,,60.0,64.4,,60.0,,,0,0,1,1,0.0,0,0
Kalia Davis,55389,DI,SF,4,0,6.0,0,0,28,65.4,47.1,79.9,52.6,39.5,68.7,0.0,0,0,39,40,0.0,0,1
Ja'Sir Taylor,55426,CB,LAC,5,0,1.0,0,0,27,82.4,78.6,0.0,44.8,73.7,84.6,0.0,0,1,40,40,5.0,2,2
Elijah Hicks,55584,S,CHI,2,2,13.0,0,0,6,54.4,58.9,84.3,,75.6,86.8,0.0,0,1,42,43,0.0,0,2
A.J. Terrell,55586,CB,ATL,8,3,9.8,0,0,2,65.9,69.0,86.2,57.7,77.8,53.7,15.8,3,2,212,219,1.9,4,13
Josh Blackwell,55589,CB,CHI,2,0,,0,0,6,56.4,53.4,77.7,54.5,42.7,38.7,,0,0,19,19,0.0,0,0
Marco Wilson,55592,CB,NE,7,0,9.0,0,0,19,57.8,57.2,81.2,,52.9,56.8,0.0,0,2,60,61,0.0,0,1
Lonnie Johnson Jr.,55615,S,CAR,1,0,46.0,0,0,5,68.1,74.1,96.3,,65.1,73.0,0.0,0,0,5,5,0.0,0,1
Amik Robertson,55619,CB,DET,7,0,5.0,1,1,11,55.9,61.4,82.8,45.4,92.4,54.4,20.0,1,1,41,42,7.3,3,4
Tre Brown,55677,CB,SEA,6,1,3.5,0,0,29,50.1,52.0,83.1,56.2,62.3,75.0,12.5,1,2,81,82,3.7,3,6
Deommodore Lenoir,55686,CB,SF,8,2,4.4,4,1,28,71.5,67.6,12.9,46.0,62.5,54.6,10.5,2,5,184,187,4.3,8,15
Marcus Jones,55717,CB,NE,8,1,2.0,1,0,19,65.5,65.3,29.4,47.0,73.7,66.0,0.0,0,4,102,103,1.0,1,1
Darious Williams,55724,CB,LA,3,1,-4.0,0,0,26,64.8,63.8,81.9,,55.1,45.9,33.3,1,0,59,61,1.7,1,1
Ja'Marcus Ingram,55738,CB,BUF,6,1,1.0,0,0,4,63.6,69.1,0.0,92.7,74.7,56.4,0.0,0,1,12,12,8.3,1,1
Faion Hicks,55748,CB,SEA,2,0,8.5,0,0,29,60.0,68.9,69.3,,67.1,74.9,0.0,0,0,13,13,0.0,0,2
Xavier McKinney,55775,S,GB,8,2,10.2,0,0,12,89.7,89.8,45.3,80.5,71.8,73.0,5.3,1,1,188,193,1.6,3,16
Montaric Brown,55797,CB,JAX,8,4,4.8,0,0,15,62.5,65.8,85.2,,73.9,73.3,11.8,2,3,159,165,5.0,8,11
Kamren Curl,55800,S,LA,7,7,6.5,0,0,26,47.5,57.0,82.4,78.4,72.2,74.3,15.4,4,2,193,199,3.1,6,15
Arron Mosby,55908,ED,GB,1,0,,0,0,12,,59.8,69.0,60.0,60.0,,,0,0,1,1,0.0,0,0
Eric Stokes,55912,CB,GB,7,1,7.3,0,0,12,47.8,50.6,82.9,,63.4,72.8,0.0,0,1,102,104,1.0,1,3
Ameer Speed,55918,CB,CHI,1,0,,0,0,6,61.5,63.3,66.0,,60.0,,,0,0,1,1,0.0,0,0
Grant Stuard,55933,LB,IND,2,5,5.5,0,0,14,52.4,56.4,71.4,56.3,62.9,57.7,0.0,0,0,48,49,4.2,2,4
Bryan Cook,55940,S,KC,7,6,9.3,0,0,16,51.4,56.8,86.0,57.9,74.1,69.0,6.7,1,0,138,142,1.4,2,8
Nate Hobbs,55948,CB,LV,8,1,11.1,0,0,23,62.6,62.6,83.6,49.3,63.9,48.7,11.1,2,0,176,184,4.5,8,15
Tony Adams,55953,S,NYJ,7,7,6.5,0,0,22,75.9,72.9,82.5,58.4,58.6,60.3,24.1,7,2,173,179,3.5,6,15
Geno Stone,55967,S,CIN,8,7,13.7,0,0,7,46.2,47.3,87.6,56.2,53.3,58.3,22.2,6,0,226,228,0.0,0,14
Markquese Bell,56033,S,DAL,5,0,4.0,0,0,9,62.6,47.5,0.0,,54.5,30.0,33.3,1,1,21,21,9.5,2,2
Benjamin St-Juste,56061,CB,WAS,8,0,9.3,0,1,32,56.9,55.1,86.0,,43.9,55.9,20.0,2,3,190,193,1.1,2,8
Reed Blankenship,56065,S,PHI,7,4,8.9,0,0,24,70.9,73.7,84.0,,70.8,62.2,5.6,1,1,136,141,3.7,5,13
Ty Okada,56089,S,SEA,1,0,,0,0,29,60.0,62.6,68.0,,60.0,,,0,0,5,5,0.0,0,0
Damarri Mathis,56143,CB,DEN,2,0,16.0,0,0,10,74.4,74.8,73.3,,60.4,72.8,0.0,0,0,2,2,0.0,0,1
Jason Pinnock,56144,S,NYG,8,2,12.1,1,0,21,52.0,57.1,87.5,91.0,57.4,40.9,19.0,4,2,175,179,1.1,2,15
Marte Mapu,56159,S,NE,4,8,5.0,0,0,19,59.9,58.6,82.2,85.6,51.1,52.3,20.0,3,0,128,129,1.6,2,4
Keisean Nixon,56167,CB,GB,8,4,5.4,0,0,12,55.4,60.3,43.7,93.0,63.8,55.8,12.5,2,3,158,163,3.2,5,10
Christian Braswell,56207,CB,JAX,2,0,,0,0,15,74.9,71.4,74.0,,51.6,84.2,,0,0,12,12,0.0,0,0
Quentin Lake,56245,S,LA,7,9,7.4,0,0,26,56.0,60.4,84.4,65.8,67.2,66.5,12.1,4,2,199,205,2.0,4,20
Darnay Holmes,56247,CB,LV,2,1,,0,0,23,38.0,48.9,73.6,55.7,76.3,26.7,0.0,0,0,5,5,0.0,0,0
Jaylon Johnson,56259,CB,CHI,7,0,1.3,0,0,6,75.9,77.1,86.1,,74.0,52.5,20.0,1,0,160,164,1.9,3,4
Elijah Molden,56290,S,LAC,7,4,5.8,0,0,27,83.2,87.8,82.4,59.7,77.3,81.4,0.0,0,0,77,80,3.9,3,6
Devon Key,56307,S,DEN,4,3,,0,0,10,50.9,55.3,80.3,68.8,69.7,84.6,0.0,0,0,28,28,0.0,0,0
Jose Ramirez,56323,ED,TB,1,0,,0,0,30,,32.6,0.0,50.2,60.0,,,0,1,1,1,0.0,0,0
Victor Dimukeje,56347,ED,ARZ,4,1,2.5,0,0,1,94.0,91.4,77.7,71.3,66.4,74.9,0.0,0,0,26,26,3.8,1,2
Zach Carter,56349,DI,LV,4,3,2.7,0,0,23,60.0,44.3,42.7,49.6,49.4,55.3,10.0,1,1,71,71,5.6,4,6
A.J. Epenesa,56369,ED,BUF,8,3,3.7,0,0,4,49.4,58.4,68.1,55.1,66.4,68.0,9.1,1,1,100,108,6.0,6,7
Andre Jones Jr.,56395,ED,WAS,2,0,2.0,0,0,32,60.0,39.3,77.0,52.7,42.2,69.2,0.0,0,0,9,9,11.1,1,1
Neil Farrell Jr.,56401,DI,MIA,1,0,,0,0,17,,30.1,0.0,55.5,52.3,,,0,1,4,5,0.0,0,0
Earnest Brown IV,56428,DI,TB,1,0,,0,0,30,,49.9,75.4,53.0,53.7,,,0,0,11,11,0.0,0,0
Chase Young,56436,ED,NO,8,2,0.4,0,0,20,78.3,56.3,52.8,59.2,49.2,61.3,8.3,1,2,109,113,8.3,9,9
Yetur Gross-Matos,56444,ED,SF,3,0,4.0,0,0,28,,55.9,82.1,59.9,49.9,69.2,0.0,0,0,31,31,0.0,0,1
Patrick Johnson,56460,ED,NYG,2,1,,0,0,21,,37.2,76.1,61.1,35.2,24.8,50.0,1,0,10,10,0.0,0,0
LaBryan Ray,56501,DI,CAR,7,4,3.8,0,0,5,,41.5,84.5,48.5,42.1,75.8,0.0,0,0,149,157,6.0,9,14
Phidarian Mathis,56504,DI,WAS,8,3,0.8,0,0,32,62.7,40.5,46.6,53.5,38.8,73.4,0.0,0,1,83,83,6.0,5,6
D.J. Davidson,56523,DI,NYG,8,6,3.4,0,0,21,60.7,45.2,50.3,64.4,40.8,42.3,6.3,1,1,97,102,6.2,6,9
T.J. Slaton,56597,DI,GB,8,8,2.2,0,0,12,60.0,40.1,53.2,60.3,38.8,29.4,12.5,2,1,106,109,4.7,5,6
Malik Herring,56616,ED,KC,7,1,2.2,0,0,16,61.1,64.8,83.0,58.2,64.8,75.5,0.0,0,0,40,41,10.0,4,5
Payton Turner,56624,ED,NO,7,1,2.5,0,0,20,60.0,65.3,45.0,71.5,56.0,28.9,40.0,2,1,52,55,3.8,2,2
Mike Greene,56664,DI,TB,3,1,0.0,0,0,30,,59.4,77.9,54.9,62.3,68.7,0.0,0,0,25,25,4.0,1,1
Quinton Bohanna,56673,DI,SEA,1,0,,0,0,29,,65.9,71.9,60.0,62.3,,,0,0,5,5,0.0,0,0
Milton Williams,56682,DI,PHI,7,1,5.5,0,0,24,60.3,68.7,82.6,79.9,51.0,59.8,12.5,1,0,83,87,3.6,3,6
DJ Johnson,56704,ED,CAR,8,8,2.8,1,0,5,62.4,53.1,31.4,54.0,56.9,65.0,9.1,2,2,139,145,6.5,9,12
Kwity Paye,56713,ED,IND,6,2,1.8,0,0,14,71.4,59.9,88.1,57.7,54.3,52.7,11.1,1,0,120,123,4.2,5,6
Jordan Elliott,56734,DI,SF,7,2,3.0,0,0,28,62.2,60.3,48.0,51.5,66.0,56.6,10.0,1,1,81,85,4.9,4,7
Jordon Riley,56759,DI,NYG,6,0,1.5,0,0,21,,54.8,78.3,64.8,52.2,69.7,0.0,0,0,23,24,17.4,4,4
Kurt Hinish,56787,DI,HST,3,1,4.0,0,0,13,,57.4,78.3,60.0,55.6,30.0,25.0,1,0,26,26,3.8,1,2
Isaiah Thomas,56798,ED,DET,1,2,2.0,0,0,11,72.2,68.0,80.1,60.9,59.3,72.6,0.0,0,0,20,20,5.0,1,1
Javon Kinlaw,56834,DI,NYJ,9,4,2.4,0,0,22,59.6,54.0,28.8,64.1,51.4,47.5,14.3,3,3,145,151,8.3,12,14
Kingsley Jonathan,56856,ED,BUF,1,0,,0,0,4,,65.2,70.6,64.2,60.0,,,0,0,1,1,0.0,0,0
Arnold Ebiketie,56862,ED,ATL,8,3,4.7,0,0,2,75.5,71.6,82.9,65.2,64.3,71.1,0.0,0,0,74,77,6.8,5,10
Ta'Quon Graham,56868,DI,ATL,8,2,2.0,1,0,2,60.0,64.7,82.1,57.7,66.2,56.8,0.0,0,1,67,71,9.0,6,7
Micheal Clemons,56872,ED,NYJ,9,1,2.6,0,0,22,60.3,51.4,72.5,58.4,45.1,55.9,9.1,1,1,146,151,4.8,7,9
Jayden Peevy,56876,DI,CAR,4,1,3.7,0,0,5,59.5,67.7,79.2,72.1,56.5,72.0,0.0,0,0,29,31,6.9,2,3
Jaelan Phillips,56902,ED,MIA,4,2,3.5,0,0,17,60.4,66.1,40.4,65.2,67.5,33.2,20.0,1,1,48,50,2.1,1,2
Jay Tufele,56913,DI,CIN,5,4,2.4,0,0,7,60.0,44.7,81.9,55.5,45.0,29.7,10.0,1,0,78,79,3.8,3,5
Dayo Odeyingbo,56923,ED,IND,8,1,1.1,0,0,14,74.1,67.3,71.5,65.8,58.1,37.5,20.0,2,1,139,142,4.3,6,7
DeAngelo Malone,56941,ED,ATL,1,0,,0,0,2,,60.0,60.0,,60.0,,,0,0,1,1,0.0,0,0
Jordan Jackson,56957,DI,DEN,8,4,1.3,0,0,10,60.0,52.9,45.4,59.2,52.5,56.1,0.0,0,1,82,84,3.7,3,3
James Lynch,56962,DI,TEN,7,2,0.0,0,0,31,59.7,51.5,79.9,54.8,52.0,73.0,0.0,0,0,37,38,5.4,2,3
Brandon Pili,57036,DI,MIA,7,0,2.5,0,0,17,,62.5,79.0,57.4,62.1,68.7,0.0,0,0,41,43,4.9,2,2
Troy Andersen,57317,LB,ATL,4,10,4.9,0,0,2,67.5,67.0,81.6,49.6,65.7,76.2,6.9,2,0,95,100,7.4,7,17
