player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Calais Campbell,4364,DI,MIA,7,3,0,17,77.4,3,13,130,95.8,15.4,20,0,7.7,2,142,136,18,2,77.0,3,11,76,96.3,19.7,15,10.5,1,81,78,15
Brandon Graham,5538,ED,PHI,7,0,0,24,70.4,1,7,85,88.7,14.1,12,1,5.9,1,106,94,9,0,73.7,1,5,30,89.5,26.7,8,10.0,0,38,34,6
Jerry Hughes,5556,ED,HST,4,0,0,13,50.0,0,1,16,90.0,6.3,1,0,3.1,0,20,18,1,0,51.8,0,1,5,75.0,20.0,1,10.0,0,8,6,1
Linval Joseph,5571,DI,DAL,7,0,0,9,89.4,0,2,56,100.0,8.9,5,1,3.6,1,61,61,3,0,64.6,0,1,15,100.0,6.7,1,3.3,0,16,16,1
Von Miller,6154,ED,BUF,4,0,0,4,76.3,1,9,71,95.9,16.9,12,0,11.3,3,74,71,13,0,78.9,1,5,39,92.9,23.1,9,15.4,3,42,39,9
Cameron Jordan,6176,ED,NO,8,1,0,20,49.8,1,10,141,98.7,5.7,8,0,3.9,0,149,147,11,1,49.0,1,3,60,100.0,6.7,4,3.3,0,62,62,4
Cameron Heyward,6183,DI,PIT,8,1,0,25,87.9,7,17,195,100.0,20.0,39,0,8.7,5,209,209,29,1,87.4,6,11,98,100.0,23.5,23,12.8,4,107,107,21
Lawrence Guy Sr.,6385,DI,CIN,4,0,0,7,52.5,0,0,41,100.0,2.4,1,0,0.0,0,41,41,0,0,53.6,0,0,7,100.0,0.0,0,0.0,0,7,7,0
Bobby Wagner,7050,LB,WAS,8,0,0,32,85.5,2,9,43,16.3,23.3,10,0,19.8,3,270,44,14,0,89.3,2,6,23,19.8,34.8,8,26.1,2,121,24,10
Lavonte David,7060,LB,TB,8,1,0,30,77.3,1,10,50,15.1,16.0,8,1,17.0,3,345,52,14,0,88.7,1,7,27,17.1,29.6,8,22.2,2,170,29,10
Demario Davis,7079,LB,NO,7,0,0,20,52.2,0,3,23,9.1,4.3,1,0,10.9,1,286,26,4,0,50.1,0,1,14,11.2,7.1,1,3.6,0,125,14,1
Rodney McLeod,7271,S,CLV,8,0,0,8,53.0,0,0,5,3.0,0.0,0,0,0.0,0,167,5,0,0,55.7,0,0,2,2.6,0.0,0,0.0,0,77,2,0
Harrison Smith,7641,S,MIN,7,1,0,18,61.7,0,3,25,8.2,4.0,1,0,10.0,1,316,26,4,0,51.2,0,1,8,5.7,0.0,0,6.3,0,140,8,1
