player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_pass,less_grades_pass_route,less_grades_run,less_grades_run_defense,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_pass,more_grades_pass_route,more_grades_run,more_grades_run_defense,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
C.J. Stroud,129759,QB,HST,9,3.0,2.82,2.96,5.48,349,13,77.5,129,134,4.2,1.92,2,1,0.7,72.4,97,30,3.0,141,40.4,3,53,,,,60.4,71.1,82.1,70.0,,,,1,1,150,23.3,101.6,5.0,7,0,0,2,6,2,1.3,881,6.6,66.4,146,161,12.2,3.76,0,15,8.7,56.5,91,106,6.2,207,59.3,6,65,,,,73.8,75.9,83.6,74.2,,66.9,,5,3,221,20.8,84.3,10.6,22,24,0,10,5,6,2.7,1258,7.8
Aaron Rodgers,2241,QB,NYJ,9,2.52,2.42,2.97,5.55,344,22,78.9,180,187,5.9,1.76,6,12,6.2,67.4,126,20,11.3,191,55.5,16,62,,,,71.4,85.2,83.1,83.0,,,,0,2,198,20.0,91.3,2.1,4,0,0,1,6,3,1.5,1202,6.4,67.3,113,129,9.9,3.47,2,6,4.3,55.0,71,70,6.6,153,44.5,5,45,,,,88.5,68.6,82.4,66.9,,67.6,,5,5,165,22.9,84.3,10.5,16,8,0,9,9,3,1.8,905,7.0
Geno Smith,7820,QB,SEA,8,2.73,2.61,3.26,4.53,341,29,80.8,156,162,4.8,1.94,2,2,1.1,75.3,122,36,3.2,164,48.1,4,53,,,,75.5,71.8,82.8,70.7,,,,0,1,179,5.6,90.7,1.2,2,0,0,4,1,1,0.6,1027,6.3,72.5,131,144,10.9,3.46,3,9,5.6,62.5,90,99,5.3,177,51.9,5,68,,,,89.9,82.5,34.6,78.6,,81.0,,2,6,197,19.2,86.9,10.7,19,14,0,8,7,7,3.6,1170,8.1
Baker Mayfield,46518,QB,TB,8,2.69,2.45,3.87,5.34,326,30,84.4,154,162,4.1,1.83,6,4,2.4,76.5,124,13,4.6,163,50.0,6,65,,,,88.7,88.6,82.5,86.2,,,,2,2,167,7.7,116.2,0.6,1,0,0,0,13,2,1.2,1116,6.9,71.3,115,121,10.4,3.61,0,8,6.1,64.5,78,65,4.9,160,49.1,4,59,,,,29.5,63.9,28.5,59.9,,77.4,,2,7,173,29.2,90.7,11.9,19,20,0,4,8,12,6.9,1073,8.9
Daniel Jones,39395,QB,NYG,8,2.76,2.59,3.66,5.52,315,21,79.4,131,137,4.1,1.86,3,1,0.7,69.3,95,30,8.7,139,44.1,9,37,,,,87.8,64.6,82.0,64.0,,,,2,2,149,6.7,79.4,1.4,2,0,0,1,2,2,1.3,683,5.0,74.4,121,138,11.1,3.53,1,5,3.4,57.2,79,93,12.2,173,54.9,11,49,,,,52.3,61.6,82.9,62.1,,55.1,,1,3,185,24.7,81.3,13.3,23,12,0,15,4,7,3.8,1023,7.4
Bo Nix,97790,QB,DEN,8,3.13,2.84,4.5,5.69,301,10,82.4,102,107,3.5,1.92,4,2,1.8,73.8,79,10,6.0,107,35.5,5,25,,,,85.7,70.6,81.0,69.6,,,,0,0,112,0.0,88.6,0.0,0,0,0,1,1,1,0.9,563,5.3,66.9,139,153,12.3,3.86,3,8,4.8,56.2,86,84,7.5,191,63.5,7,56,,,,90.0,63.6,83.3,60.0,,72.5,,4,5,206,13.1,76.9,5.8,11,27,0,7,7,5,2.4,967,6.3
Joe Burrow,28022,QB,CIN,8,2.66,2.56,3.18,4.46,296,7,81.6,147,151,5.2,1.89,2,3,1.9,75.5,114,16,5.0,155,52.4,6,58,,,,88.4,84.3,82.3,82.9,,55.7,,0,2,161,25.0,105.2,2.6,4,0,0,2,8,1,0.6,1017,6.7,75.8,99,112,11.1,3.55,1,9,7.6,63.4,71,70,5.3,139,47.0,4,50,,,,41.5,89.0,23.8,85.5,,77.5,,3,1,147,21.4,108.3,10.8,15,12,0,9,7,3,2.0,976,8.7
Brock Purdy,77672,QB,SF,8,3.23,2.91,4.51,5.58,289,28,74.0,96,97,6.8,1.99,0,0,0.0,69.1,67,21,5.6,100,34.6,4,33,,,,49.3,77.7,80.7,76.1,,,,0,0,105,14.3,98.5,3.0,3,0,0,1,3,1,1.0,665,6.9,70.9,134,145,12.3,3.95,3,12,7.7,61.4,89,88,6.3,186,64.4,6,76,,,,67.4,80.1,83.1,74.0,,83.7,,1,7,197,13.6,90.5,6.5,12,29,0,7,7,7,3.6,1436,9.9
Dak Prescott,10769,QB,DAL,7,2.63,2.58,3.06,5.15,285,9,79.0,119,123,5.1,1.9,4,4,3.1,74.0,91,17,3.2,125,43.9,3,38,,,,86.8,75.3,81.6,73.9,,,,0,1,132,11.8,97.0,1.6,2,0,0,0,3,2,1.5,841,6.8,62.5,128,138,12.0,3.24,1,8,5.2,55.1,76,71,5.0,158,55.4,4,43,,,,28.9,56.6,82.7,56.9,,56.3,,4,7,177,22.5,74.1,10.1,16,4,0,5,7,14,7.9,1004,7.3
Kirk Cousins,7102,QB,ATL,8,2.55,2.51,3.16,4.85,285,2,79.5,127,132,5.5,1.93,1,1,0.7,73.5,97,34,4.0,137,48.1,4,48,,,,65.0,72.7,82.0,71.5,,,,0,2,147,14.7,112.7,3.6,5,0,0,4,10,5,3.4,964,7.3,74.8,123,136,10.0,3.14,5,5,3.4,64.7,88,67,4.3,147,51.6,4,49,,,,28.9,75.6,82.4,74.0,,63.0,,1,5,162,13.4,85.5,6.1,9,2,0,7,4,9,5.6,1142,8.4
Trevor Lawrence,77632,QB,JAX,8,2.61,2.5,3.08,5.26,270,15,79.0,124,126,4.5,1.87,1,3,2.3,73.0,92,20,6.1,128,47.4,6,42,,,,62.6,78.5,81.6,76.8,,,,0,0,133,10.0,103.1,1.6,2,0,0,1,6,1,0.8,735,5.8,64.5,107,116,15.8,3.33,1,10,8.2,51.7,60,58,13.0,140,51.9,9,50,,,,64.6,73.3,82.0,71.7,,65.5,,0,4,147,24.1,84.7,10.0,14,10,0,8,5,9,6.1,1100,9.5
Deshaun Watson,11767,QB,CLV,7,3.05,2.76,3.47,5.32,270,8,78.5,107,110,5.2,1.89,2,2,1.7,69.1,76,19,9.5,110,40.7,8,32,,,,86.1,77.4,81.2,75.9,,,,1,2,118,0.0,91.7,0.0,0,0,0,0,5,1,0.8,645,5.9,74.7,91,106,9.3,3.84,0,6,5.3,57.5,61,99,10.3,160,59.3,7,22,,,,33.6,52.1,82.6,51.1,,60.1,,5,1,172,33.3,65.9,20.6,33,21,0,10,0,4,2.3,503,4.7
