player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_pass,less_grades_pass_route,less_grades_run,less_grades_run_defense,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_pass,more_grades_pass_route,more_grades_run,more_grades_run_defense,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Lamar Jackson,46416,QB,BLT,8,3.12,2.89,3.39,5.28,269,3,87.4,95,100,3.0,1.85,5,0,0.0,82.0,82,7,1.2,103,38.3,1,42,,,,85.6,75.6,80.9,74.2,,,,0,2,110,42.9,114.7,2.9,3,0,0,0,6,1,0.9,873,8.7,70.1,117,132,14.0,3.93,2,10,7.0,57.6,76,83,7.3,165,61.3,6,69,,,,55.3,93.0,82.7,91.1,,83.9,,5,0,178,10.8,116.5,5.5,9,24,0,8,11,3,1.7,1226,9.3
Kyler Murray,38334,QB,ARZ,8,2.86,2.62,3.5,5.69,264,1,75.8,124,129,6.0,1.85,4,5,3.7,69.0,89,13,5.3,129,48.9,5,38,,,,87.1,75.3,81.7,73.8,,,,0,1,135,0.0,88.5,0.0,0,0,0,1,3,1,0.7,757,5.9,72.3,94,103,11.5,3.88,2,9,8.2,65.0,67,65,1.5,133,50.4,1,46,,,,40.4,84.6,81.8,78.2,,83.8,,1,2,141,16.9,109.7,8.3,11,19,0,6,8,5,3.5,881,8.6
Jayden Daniels,97993,QB,WAS,8,3.07,2.6,3.8,5.37,264,32,83.3,102,105,4.0,1.82,2,2,1.8,80.0,84,13,1.2,106,40.2,1,38,,,,85.8,75.9,81.0,74.4,,,,0,1,113,7.7,98.7,0.9,1,0,0,1,3,1,0.9,668,6.4,75.0,92,101,13.5,3.96,1,6,5.7,63.4,64,84,7.2,156,59.1,5,62,,,,67.1,91.3,82.4,84.5,,90.2,,0,1,163,19.0,108.0,10.3,16,39,0,8,4,4,2.5,1068,10.6
Caleb Williams,144622,QB,CHI,7,2.99,2.65,3.69,6.58,263,6,79.1,110,114,5.1,1.78,3,4,3.3,73.7,84,15,3.4,116,44.1,3,34,,,,86.5,75.0,81.4,73.6,,,,0,1,125,13.3,98.1,1.7,2,0,0,1,5,3,2.4,648,5.7,66.3,86,108,13.0,3.97,3,4,3.2,51.9,56,77,1.8,146,55.5,1,43,,,,67.2,52.6,82.5,46.8,,81.4,,4,4,166,27.3,73.1,14.4,21,17,0,15,4,6,3.6,800,7.4
Patrick Mahomes,11765,QB,KC,7,2.79,2.59,3.58,5.11,258,16,88.3,120,122,2.3,1.75,2,0,0.0,81.1,99,8,6.6,124,48.1,7,44,,,,86.6,72.3,81.4,71.2,,,,0,4,126,25.0,92.6,1.6,2,0,0,0,5,2,1.6,760,6.2,68.3,82,102,12.3,3.84,1,5,4.4,53.9,55,74,1.8,131,50.8,1,54,,,,87.6,84.1,82.0,73.8,,91.4,,2,5,146,13.5,72.8,7.6,10,19,0,17,3,5,3.4,891,8.7
Josh Allen,46601,QB,BUF,8,2.86,2.66,3.76,4.94,258,4,83.0,112,117,4.6,1.7,3,4,3.3,76.9,90,19,3.2,118,45.7,3,39,,,,86.4,76.6,81.3,75.1,,,,1,1,124,5.3,114.2,0.8,1,0,0,1,7,2,1.6,887,7.6,62.6,91,106,14.1,3.92,2,14,12.1,50.0,53,70,7.0,137,53.1,4,48,,,,19.5,69.2,82.1,62.8,,81.6,,2,0,150,12.9,100.3,6.6,9,22,0,11,7,10,6.7,879,8.3
Matthew Stafford,4924,QB,LA,7,2.63,2.59,3.15,,249,26,78.2,110,115,5.0,1.95,4,2,1.6,72.2,83,22,3.5,117,47.0,3,36,,,,86.4,67.2,81.3,66.4,,,,1,2,124,9.1,95.7,1.7,2,0,0,0,5,2,1.6,725,6.3,69.4,111,117,10.6,3.22,1,3,2.4,63.2,74,56,3.9,132,53.0,3,41,,,,63.6,56.6,81.9,56.6,,,,0,3,142,26.8,83.5,11.4,15,0,0,5,2,8,5.6,946,8.1
Gardner Minshew,41401,QB,LV,7,2.63,2.46,3.25,5.16,232,23,84.7,111,120,4.5,1.84,5,1,0.8,75.8,91,28,3.2,126,54.3,3,43,,,,32.4,69.8,81.6,68.8,,,,1,3,132,21.4,91.8,4.8,6,0,0,3,4,4,3.0,745,6.2,64.9,74,82,9.2,3.57,0,2,2.2,57.3,47,55,2.1,106,45.7,1,32,,,,58.5,48.1,81.1,49.4,,53.5,,0,5,117,27.3,64.7,14.2,15,9,0,8,2,5,4.3,632,7.7
Jalen Hurts,40291,QB,PHI,7,3.09,2.89,3.58,5.35,225,24,84.3,89,91,5.5,1.92,2,3,3.2,78.0,71,19,5.3,92,40.9,4,30,,,,84.6,74.7,80.3,73.4,,,,0,1,95,5.3,97.1,1.1,1,0,0,0,2,2,2.1,605,6.6,73.8,84,99,11.8,3.95,2,4,3.9,61.6,61,76,1.6,131,58.2,1,48,,,,27.2,60.3,20.1,50.7,,91.2,,0,3,137,22.4,100.5,13.0,17,15,0,13,6,10,7.3,939,9.5
Sam Darnold,29048,QB,MIN,7,3.14,2.93,3.72,5.38,221,18,86.6,67,70,4.5,1.98,0,2,2.6,81.4,57,14,1.7,72,32.6,1,24,,,,48.5,72.0,79.7,70.9,,,,0,1,80,14.3,109.6,2.8,2,0,0,3,4,2,2.5,502,7.2,70.1,107,118,13.0,3.69,0,10,7.8,59.3,70,71,6.7,149,67.4,5,53,,,,73.4,75.2,82.3,71.2,,78.0,,1,4,161,26.8,104.8,12.8,19,12,0,10,10,6,3.7,1108,9.4
Justin Herbert,28237,QB,LAC,7,2.93,2.8,3.3,5.74,219,27,80.8,78,82,6.3,2.0,2,1,1.1,72.0,59,12,6.3,84,38.4,4,28,,,,52.1,65.3,80.1,64.7,,,,1,0,90,16.7,101.5,2.4,2,0,0,1,2,3,3.3,616,7.5,74.8,103,113,10.0,3.54,1,12,10.1,60.2,68,64,11.7,134,61.2,9,38,,,,39.5,87.7,81.8,84.8,,71.1,,2,1,141,20.3,96.7,9.7,13,8,0,7,6,4,2.8,827,7.3
Jordan Love,40306,QB,GB,6,2.62,2.58,2.83,5.56,216,12,80.0,105,109,5.6,1.87,4,2,1.8,72.5,79,11,6.0,110,50.9,5,39,,,,85.8,63.1,81.0,62.6,,,,0,6,113,9.1,92.6,0.9,1,0,0,0,9,4,3.5,669,6.1,64.6,79,92,14.5,3.5,0,6,5.8,48.9,45,54,11.8,103,47.7,6,36,,,,66.8,74.1,81.0,70.8,,76.7,,5,3,114,11.1,90.8,5.8,6,5,0,8,6,5,4.4,878,9.5
Jared Goff,10635,QB,DET,7,2.66,2.57,3.24,4.75,213,11,78.0,82,86,3.6,1.89,2,2,2.2,74.4,64,19,0.0,89,41.8,0,29,,,,53.1,60.0,80.3,59.8,,,,1,3,93,15.8,104.1,3.4,3,0,0,1,7,4,4.3,566,6.6,79.4,97,102,10.1,3.26,1,4,3.8,74.5,76,56,1.3,122,57.3,1,54,,,,33.8,68.8,81.3,67.5,,64.4,,1,1,124,25.0,125.8,11.5,14,6,0,3,6,4,3.2,1129,11.1
Justin Fields,82118,QB,PIT,6,3.1,2.88,3.57,4.7,194,25,87.3,63,64,5.1,1.97,1,2,2.9,78.1,50,10,9.1,66,34.0,5,18,,,,82.7,79.0,79.3,77.3,,,,0,1,72,20.0,110.1,3.0,2,0,0,0,4,1,1.4,447,7.0,72.3,83,95,9.6,3.7,1,4,3.9,58.9,56,67,6.7,127,65.5,4,33,,,,38.9,61.3,81.8,58.4,,67.7,,3,0,138,19.4,83.6,10.2,13,19,0,8,1,5,3.6,659,6.9
Jacoby Brissett,10725,QB,NE,6,2.91,2.71,3.48,5.24,185,19,80.3,71,75,4.5,1.92,0,1,1.3,72.0,54,16,5.3,79,42.7,3,16,,,,83.7,63.2,79.9,62.7,,,,2,0,84,25.0,83.9,5.1,4,0,0,2,0,1,1.2,392,5.2,61.4,70,83,10.3,3.65,1,4,4.4,48.2,40,66,7.0,106,57.3,3,29,,,,30.0,58.2,81.0,56.4,,67.3,,3,1,113,21.2,67.1,13.2,14,9,0,9,2,5,4.4,436,5.3
Andy Dalton,6187,QB,CAR,6,2.54,2.41,3.0,6.35,175,5,78.7,89,91,4.1,1.9,2,1,1.1,70.3,64,14,8.6,95,54.3,6,28,,,,84.8,67.8,80.5,67.0,,,,0,2,98,28.6,91.3,4.2,4,0,0,0,4,3,3.1,548,6.0,75.8,62,69,11.1,3.38,1,5,6.8,60.9,42,36,10.6,78,44.6,5,24,,,,50.4,68.7,79.9,68.3,,60.1,,0,4,85,8.3,69.8,3.8,3,6,0,6,3,5,5.9,441,6.4
Anthony Richardson,124393,QB,IND,6,3.06,2.79,3.93,5.22,153,14,72.1,43,46,4.9,1.86,1,1,2.1,58.7,27,5,12.9,46,30.1,4,8,,,,80.0,34.4,77.7,36.1,,,,2,2,47,0.0,53.2,0.0,0,0,0,0,0,2,4.3,224,4.9,46.7,75,85,18.2,3.58,0,9,10.0,37.6,32,50,8.6,107,69.9,3,34,,,,57.3,65.2,81.0,58.9,,84.3,,7,5,112,18.0,60.6,8.4,9,13,0,3,4,6,5.4,734,8.6
Will Levis,83542,QB,TEN,5,2.78,2.51,3.42,4.84,152,31,82.1,56,59,3.8,1.89,1,0,0.0,78.0,46,8,0.0,60,39.5,0,19,,,,38.2,58.3,78.7,58.2,,,,1,2,61,12.5,89.3,1.7,1,0,0,1,3,3,4.9,281,4.8,67.2,61,66,13.0,3.37,0,2,2.8,56.1,37,49,9.8,92,60.5,4,20,,,,47.3,34.7,80.5,33.4,,60.8,,1,5,99,28.6,53.7,15.2,14,12,0,4,2,4,4.0,418,6.3
Derek Carr,8671,QB,NO,5,2.57,2.49,3.7,5.87,138,20,85.9,64,69,4.8,1.86,1,1,1.4,76.8,53,17,3.6,69,50.0,2,17,,,,82.9,73.6,79.4,72.3,,,,0,2,74,0.0,88.9,0.0,0,0,0,4,2,2,2.7,417,6.0,70.9,55,59,14.8,3.38,2,6,9.5,62.7,37,31,5.1,67,48.6,2,25,,,,82.6,91.9,79.3,91.7,,52.2,,0,2,71,16.1,114.5,7.5,5,3,0,2,6,2,2.8,572,9.7
Spencer Rattler,97408,QB,NO,3,2.79,2.54,3.33,5.6,119,20,74.5,55,58,4.7,1.93,1,0,0.0,60.3,35,10,14.6,61,51.3,6,11,,,,42.1,62.2,79.0,61.8,,,,1,1,66,30.0,65.2,4.9,3,0,0,1,0,2,3.0,279,4.8,75.8,33,41,11.8,3.69,1,1,2.4,58.5,24,35,4.0,58,48.7,1,14,,,,26.2,53.0,78.7,49.5,,69.3,,2,1,61,31.4,78.5,19.0,11,6,0,5,1,3,4.9,292,7.1
Bryce Young,123943,QB,CAR,5,2.86,2.58,3.97,5.29,119,5,68.4,57,58,5.0,1.85,1,0,0.0,65.5,38,9,2.6,60,50.4,1,10,,,,81.7,45.2,78.8,46.1,,,,0,2,62,22.2,71.3,3.3,2,0,0,0,2,2,3.2,244,4.2,63.9,36,44,12.0,3.9,1,3,6.1,52.3,23,30,0.0,59,49.6,0,15,,,,81.9,46.3,78.9,48.7,,50.5,,0,3,64,23.3,43.7,11.9,7,8,0,7,0,3,4.7,279,6.3
Joe Flacco,4332,QB,IND,3,2.57,2.52,2.8,4.83,118,14,73.2,56,58,5.3,1.97,0,0,0.0,70.7,41,9,0.0,59,50.0,0,20,,,,81.7,68.0,78.8,67.2,,,,0,1,62,11.1,92.7,1.7,1,0,0,2,3,1,1.6,301,5.2,71.1,45,50,14.1,3.22,1,3,5.6,60.0,30,19,6.3,58,49.2,2,18,,,,81.6,69.8,78.8,70.0,,56.3,,0,0,62,26.3,113.3,8.6,5,3,0,4,4,2,3.2,415,8.3
Tua Tagovailoa,60326,QB,MIA,3,2.28,2.25,3.22,4.13,113,17,83.6,61,62,4.1,1.69,1,2,3.2,77.4,48,5,5.9,63,55.8,3,23,,,,81.8,77.9,78.8,76.3,,,,0,1,63,20.0,93.5,1.6,1,0,0,0,1,0,0.0,421,6.8,67.6,34,38,10.5,3.28,2,4,9.5,52.6,20,14,13.0,46,40.7,3,15,,,,31.2,59.4,78.0,50.2,,89.3,,0,2,51,28.6,74.0,8.7,4,4,0,2,2,3,5.9,296,7.8
Drake Maye,143969,QB,NE,4,2.89,2.63,2.82,4.65,106,19,70.5,44,44,4.0,1.95,0,0,0.0,68.2,30,9,3.2,46,43.4,1,13,,,,80.4,60.6,78.0,60.3,,,,0,1,50,22.2,88.6,4.3,2,0,0,0,2,1,2.0,254,5.8,71.4,35,40,11.2,3.61,0,4,9.1,57.5,23,30,8.0,60,56.6,2,23,,,,41.5,68.7,78.9,61.2,,77.5,,2,1,65,23.3,96.9,11.7,7,13,0,3,3,4,6.2,310,7.8
Mason Rudolph,46569,QB,TEN,3,2.7,2.63,3.0,4.13,102,31,74.4,39,40,5.1,1.95,1,1,2.2,67.5,27,7,6.9,42,41.2,2,15,,,,80.0,65.5,77.9,64.8,,,,0,1,47,28.6,78.4,4.8,2,0,0,0,1,0,0.0,213,5.3,67.3,49,53,9.7,3.24,0,1,1.8,54.7,29,33,12.1,60,58.8,4,17,,,,81.8,53.8,78.9,47.9,,87.8,,1,2,64,9.1,66.0,5.0,3,4,0,3,1,4,6.3,353,6.7
Aidan O'Connell,60516,QB,LV,4,2.78,2.77,2.93,,85,23,83.3,36,38,4.2,1.92,1,0,0.0,78.9,30,4,0.0,38,44.7,0,13,,,,79.0,64.6,77.2,64.1,,,,0,1,40,0.0,80.4,0.0,0,0,0,1,0,0,0.0,225,5.9,57.9,38,44,9.8,3.47,0,1,2.1,50.0,22,22,0.0,47,55.3,0,13,,,,80.4,37.1,78.0,38.7,,,,3,1,50,13.6,71.2,6.4,3,0,0,3,2,3,6.0,230,5.2
Tyler Huntley,46448,QB,MIA,3,2.7,2.52,3.43,4.49,82,17,80.5,41,42,6.8,1.84,1,1,2.1,69.0,29,8,12.1,44,53.7,4,12,,,,80.4,76.5,78.0,75.0,,,,0,1,50,25.0,81.4,4.5,2,0,0,0,1,1,2.0,240,5.7,57.9,19,24,15.4,3.91,1,0,0.0,41.7,10,17,9.1,36,43.9,1,10,,,,78.9,38.1,77.1,34.0,,63.3,,1,0,39,29.4,60.6,13.9,5,7,0,3,0,4,10.3,137,5.7
Russell Wilson,7077,QB,PIT,2,3.02,2.89,4.03,5.07,64,25,73.7,19,19,7.7,1.79,0,2,10.0,73.7,14,1,0.0,19,29.7,0,10,,,,75.1,79.6,74.7,77.8,,,,0,0,20,0.0,137.5,0.0,0,0,0,0,3,0,0.0,157,8.3,69.7,33,37,11.3,3.62,1,1,2.6,59.5,22,22,4.3,44,68.8,1,14,,,,29.4,54.3,77.7,63.7,,28.6,,1,0,46,18.2,95.0,9.1,4,3,0,2,0,1,2.2,385,10.4
Jameis Winston,9434,QB,CLV,3,2.43,2.37,3.4,,56,8,76.9,26,30,6.7,1.75,3,0,0.0,63.3,19,5,5.0,31,55.4,1,10,,,,26.5,61.5,76.4,61.2,,,,0,0,32,20.0,88.7,3.2,1,0,0,1,1,2,6.3,164,5.5,68.2,22,23,18.1,3.27,1,3,12.0,60.9,14,7,6.7,25,44.6,1,11,,,,76.8,91.5,75.8,90.4,,,,0,0,27,28.6,138.2,8.0,2,0,0,0,3,1,3.7,253,11.0
Malik Willis,60341,QB,GB,4,2.9,2.24,4.62,5.44,53,12,87.5,24,24,2.5,1.77,0,1,4.0,79.2,19,0,9.5,24,45.3,2,6,,,,76.3,82.3,75.5,80.5,,,,0,0,25,,118.9,0.0,0,0,0,0,2,0,0.0,141,5.9,78.6,14,15,12.4,3.98,0,0,0.0,66.7,10,17,9.1,28,52.8,1,13,,,,77.4,65.7,76.1,63.0,,65.3,,0,0,30,29.4,131.9,17.9,5,8,0,1,1,0,0.0,239,15.9
Skylar Thompson,60417,QB,MIA,2,2.78,2.48,3.7,7.1,40,17,73.7,19,19,6.4,2.0,0,0,0.0,63.2,12,8,14.3,21,52.5,2,4,,,,75.4,56.7,74.9,56.8,,,,0,0,21,25.0,77.5,9.5,2,0,0,0,0,1,4.8,104,5.5,75.0,12,14,9.7,3.63,0,0,0.0,64.3,9,9,0.0,19,47.5,0,4,,,,15.0,29.4,74.7,32.6,,55.3,,1,0,20,44.4,80.4,21.1,4,1,0,1,0,2,10.0,83,5.9
Jake Haener,60596,QB,NO,4,2.79,2.52,2.15,5.75,36,20,77.8,18,18,7.2,2.09,0,1,5.3,66.7,12,6,14.3,20,55.6,2,7,,,,75.4,68.6,74.9,67.8,,,,0,0,21,33.3,108.3,10.0,2,0,0,0,1,0,0.0,139,7.7,30.0,10,11,13.0,3.91,0,1,8.3,18.2,2,11,33.3,15,41.7,1,1,,,,73.9,51.0,73.9,49.5,,60.6,,1,0,16,0.0,41.5,0.0,0,4,0,0,0,0,0.0,38,3.5
Marcus Mariota,9435,QB,WAS,2,3.34,2.92,4.4,8.25,29,32,83.3,12,12,4.6,1.95,0,0,0.0,83.3,10,0,0.0,12,41.4,0,4,,,,72.8,69.6,73.2,68.7,,,,0,0,13,,117.7,0.0,0,0,0,0,1,0,0.0,67,5.6,84.6,13,14,14.8,4.32,0,3,17.6,64.3,9,7,18.2,17,58.6,2,10,,,,75.1,91.0,74.7,90.4,,62.2,,0,0,20,14.3,119.9,5.9,1,2,0,1,1,0,0.0,136,9.7
Tim Boyle,21956,QB,MIA,2,2.45,2.16,3.5,5.5,28,17,71.4,21,21,5.4,1.82,0,0,0.0,71.4,15,2,0.0,21,75.0,0,7,,,,75.6,69.7,75.0,68.8,,,,0,0,22,0.0,92.0,0.0,0,0,0,0,0,0,0.0,153,7.3,0.0,3,4,21.7,4.34,0,0,0.0,0.0,0,5,,7,25.0,0,1,,,,70.3,35.9,71.5,31.9,,62.1,,0,0,8,20.0,39.6,14.3,1,2,0,1,0,0,0.0,0,0.0
Dorian Thompson-Robinson,83574,QB,CLV,1,2.48,2.52,4.0,,26,8,76.9,13,15,2.8,1.87,1,0,0.0,60.0,9,3,10.0,15,57.7,1,1,,,,74.2,50.5,74.1,51.1,,,,1,1,17,0.0,40.4,0.0,0,0,0,0,0,0,0.0,58,3.9,33.3,6,9,11.5,3.64,0,0,0.0,22.2,2,6,0.0,10,38.5,0,2,,,,19.2,29.1,72.6,27.1,,65.9,,0,1,11,16.7,0.0,10.0,1,0,0,3,0,2,18.2,24,2.7
Davis Mills,52269,QB,HST,2,2.29,2.25,2.7,,14,13,85.7,7,8,6.6,1.76,1,0,0.0,62.5,5,1,16.7,8,57.1,1,3,,,,70.3,72.7,71.5,71.6,,,,0,0,8,0.0,83.3,0.0,0,0,0,0,0,0,0.0,56,7.0,40.0,5,5,10.0,2.98,0,0,0.0,40.0,2,2,0.0,6,42.9,0,1,,,,68.9,51.0,70.6,51.7,,,,0,0,6,50.0,54.6,16.7,1,0,0,0,0,0,0.0,23,4.6
