Player,Roster Position,%Drafted,FPTS
Jordan Love,QB,0.00%,0
Drew Lock,QB,0.00%,6.32
Stanley Morgan,WR,0.00%,0
Chris Blair,WR,0.00%,0
Jeff Cotton Jr.,WR,0.00%,0
Sandro Platzgummer,RB,0.00%,0
Austin Mack,WR,0.00%,0
Kyle Allen,QB,0.00%,0
Brian Hill,RB,0.00%,0
Adrian Peterson,FLEX,0.00%,0
Vyncint Smith,WR,0.00%,0
Beau Brinkley,TE,0.00%,0
Isaiah Hodgins,WR,0.00%,0
Jake Browning,QB,0.00%,0
Tyrie Cleveland,WR,0.00%,0
Marcus Johnson,WR,0.00%,0
Cody Core,WR,0.00%,0
Sam Darnold,QB,0.00%,0
Mike White,QB,0.00%,0
Trent Taylor,WR,0.00%,0
Tarik Black,WR,0.00%,0
Marvin Hall,WR,0.00%,0
Taiwan Jones,RB,0.00%,0
Richie James,WR,0.00%,0
Keith Smith,FLEX,0.00%,0
