Player,Roster Position,%Drafted,FPTS
D'Onta Foreman,RB,25.00%,9.4
Jonathan Taylor,RB,24.21%,12.5
Devin Singletary,FLEX,22.26%,25.2
Zach Ertz,TE,22.03%,15.4
Browns ,DST,21.79%,8
Cooper Kupp,WR,18.70%,29.6
Cyril Grayson,WR,17.58%,0
David Montgomery,RB,14.65%,9.9
Brandin Cooks,WR,14.61%,5.6
Amon-Ra St. Brown,WR,13.51%,29.1
Taysom Hill,QB,13.11%,10.08
AJ Dillon,RB,13.07%,7.7
Christian Kirk,WR,12.96%,6.3
Justin Jefferson,WR,12.64%,25.1
Michael Pittman Jr.,WR,12.04%,20.4
Eli Mitchell,RB,11.85%,8.5
Kyler Murray,QB,11.54%,17.1
Rob Gronkowski,FLEX,11.05%,23.7
Tyler Huntley,QB,10.76%,9.84
Antonio Gibson,RB,10.53%,25.1
Josh Allen,QB,9.87%,23.86
Tyler Lockett,WR,9.78%,27
A.J. Brown,WR,9.74%,16.8
WAS Football Team ,DST,9.64%,19
Samaje Perine,RB,9.61%,0
Darnell Mooney,WR,9.50%,27.6
Najee Harris,RB,9.41%,9.5
James Conner,RB,9.32%,27.3
Alvin Kamara,FLEX,9.17%,21.2
Matthew Stafford,QB,8.74%,19.52
Odell Beckham Jr.,WR,8.48%,3.8
Bills ,DST,8.37%,15
Sony Michel,RB,8.30%,5.9
Cole Kmet,TE,8.27%,8.8
Ke'Shawn Vaughn,RB,8.24%,12.1
Dolphins ,DST,8.11%,20
Marquez Callaway,WR,7.66%,0
Tyler Higbee,TE,7.32%,23.5
Rashaad Penny,RB,7.16%,28
Pat Freiermuth,TE,7.15%,11.3
Deonte Harris,WR,7.09%,6.3
Colts ,DST,7.05%,1
Gabriel Davis,FLEX,7.01%,6.9
A.J. Green,FLEX,6.97%,6.3
Allen Lazard,FLEX,6.97%,24.5
Chase Claypool,WR,6.88%,18
Mark Andrews,TE,6.74%,16.5
Stefon Diggs,WR,6.73%,23.1
Allen Robinson II,FLEX,6.61%,6.2
Dalvin Cook,FLEX,6.44%,9.2
Antoine Wesley,WR,6.29%,3.7
Marvin Jones Jr.,WR,6.28%,21.8
Van Jefferson,WR,6.14%,5.1
Tom Brady,QB,6.07%,28.04
Patrick Taylor,RB,6.05%,13.6
Hunter Henry,TE,5.95%,13.6
Deebo Samuel,WR,5.91%,28.96
Diontae Johnson,WR,5.88%,12.1
