"offPlayer","offRoutes","offTr","offFr","offCPct","offYprr","offGrade","adv","defPlayer","defRoutes","defTr","defFr","defCPct","defYprr","defGrade"
"C.J. Uzomah","461","13","0.28","79","1.07","62.4","9","Jacob Phillips","43","12","0.17","80","0.77","52"
"David Njoku","289","18","0.36","67","1.61","73.1","-3","Markus Bailey","110","17","0.21","68","0.91","62.1"
"Dalton Schultz","530","18","0.36","77","1.48","78.9","-2","T.J. Edwards","362","15","0.28","83","1.2","79.6"
"Noah Fant","414","21","0.38","78","1.58","62.4","-13","Willie Gay Jr.","176","15","0.25","81","1.32","54.3"
"Jared Pinkney","9","","","","","43.6","-20","Krys Barnes","256","18","0.31","87","1.32","57.5"
"Josiah Deguara","197","14","0.23","79","0.91","52.2","28","Anthony Pittman","33","15","0.47","100","3.18","45.5"
"Pharaoh Brown","190","17","0.21","72","0.9","49.5","-8","Zach Cunningham","303","19","0.27","74","1.14","54.5"
"Jack Doyle","246","17","0.31","68","1.18","73.6","20","Damien Wilson","352","17","0.34","80","1.69","41"
"Luke Farrell","92","11","0.14","70","0.61","44","-42","Darius Leonard","515","12","0.22","68","0.99","79.3"
"Travis Kelce","570","22","0.43","70","1.91","82.7","43","Kareem Jackson","507","6","0.13","75","0.44","51.1"
"Tyler Higbee","466","16","0.27","73","1.08","64.4","21","Marcell Harris","158","16","0.27","92","1.28","50.5"
"Stephen Anderson","103","18","0.37","84","1.6","69","-17","Divine Deablo","103","14","0.27","86","1.51","68.9"
"Darren Waller","346","24","0.37","65","1.86","70.7","43","Amen Ogbongbemiga","43","14","0.22","83","1.02","38"
"Mike Gesicki","521","20","0.3","69","1.45","68.9","-21","Adrian Phillips","441","9","0.13","58","0.38","83.7"
"Tyler Conklin","460","17","0.3","74","1.28","66.5","19","Roquan Smith","430","14","0.2","80","0.9","45.8"
"Hunter Henry","379","18","0.4","65","1.36","74.2","10","Brandon Jones","281","7","0.18","90","0.9","58.9"
"Adam Trautman","238","17","0.24","65","1.03","60.8","10","Deion Jones","477","19","0.37","84","1.77","35.7"
"Evan Engram","432","15","0.24","71","0.94","55.9","-12","David Mayo","69","10","0.33","100","1.42","52.2"
"Kenny Yeboah","28","11","0.2","67","1.29","74.5","21","Tremaine Edmunds","412","15","0.27","82","1.24","47.6"
"Dallas Goedert","355","20","0.46","78","2.34","89.9","-9","Jayron Kearse","566","11","0.17","67","0.75","77.8"
"Pat Freiermuth","360","19","0.39","79","1.23","70.7","31","Patrick Queen","380","14","0.24","78","1.19","43.5"
"Gerald Everett","334","17","0.35","84","1.37","64.5","3","Isaiah Simmons","455","15","0.23","73","1.09","50.3"
"George Kittle","358","24","0.54","77","2.53","91.4","4","Travin Howard","32","19","0.24","67","1.16","69.3"
"Rob Gronkowski","348","22","0.43","62","1.91","76.4","61","Jermaine Carter","354","9","0.17","84","0.75","49"
"Geoff Swaim","179","21","0.38","81","1.16","54.6","-5","Christian Kirksey","344","13","0.25","73","1.19","50.3"
"John Bates","190","12","0.26","86","1.28","69.7","-34","Jaylon Smith","158","11","0.18","83","0.84","66.3"
"Zach Ertz","472","21","0.35","68","1.44","67.2","11","Jordyn Brooks","508","18","0.41","88","1.77","57.7"
"Kyle Pitts","478","21","0.36","65","2.13","82.2","20","Demario Davis","481","12","0.14","66","0.59","74.5"
"Mark Andrews","585","23","0.48","74","2.18","91.6","23","Marcus Allen","33","12","0.12","50","0.64","46"
"Dawson Knox","464","14","0.33","71","1.16","61.5","27","C.J. Mosley","492","15","0.3","86","1.17","39.5"
"Ian Thomas","278","10","0.13","67","0.68","53.8","-25","Devin White","533","15","0.24","80","1.02","35"
"Cole Kmet","458","18","0.25","67","1.23","63.1","-4","Eric Kendricks","525","11","0.22","72","0.99","59.4"
