"","Name","TeamAbbrev","Salary","fpts","proj_own","status","lines","totals","pass_plays","grades_offense","yprr","opponent","def_rank","cov_rank"
"1","Rashee Rice","SMU",8400,30.92,42,"Healthy",-17.5,72.5,347,84.6,3.26,"USF",NA,NA
"2","Xavier Hutchinson","ISU",8300,25.56,29,"Healthy",-1.5,48,328,88.7,3.03,"OKST",74,74
"3","Marvin Harrison Jr.","OSU",7900,25.44,16,"Healthy",-40.5,61,277,89.2,3.23,"IU",93,111
"4","Emeka Egbuka","OSU",7600,25.36,15,"Healthy",-40.5,61,258,79.6,3.28,"IU",93,111
"5","Xavier Weaver","USF",5900,17.14,13,"Healthy",17.5,72.5,221,78.3,3.08,"SMU",121,115
"6","Marvin Mims","OU",7200,22.84,12,"Healthy",-8.5,68.5,269,71.3,2.67,"WVU",116,124
"7","Kayshon Boutte","LSU",5300,17.09,11,"Healthy",-3.5,60.5,279,62.9,1.31,"ARK",90,119
"8","Ja'Corey Brooks","BAMA",6300,16.55,10,"Healthy",-11.5,65,235,69.6,2.15,"MISS",48,48
"9","RJ Maryland","SMU",3500,11.8,10,"Healthy",-17.5,72.5,167,64.6,1.64,"USF",NA,NA
"10","Sam James","WVU",5500,16.79,9,"Healthy",8.5,68.5,317,64.4,1.78,"OU",104,112
"11","Jordan Kerley","SMU",4600,14.73,9,"Healthy",-17.5,72.5,126,74.7,2.37,"USF",NA,NA
"12","Dylan Goffney","SMU",3000,8.96,8,"Healthy",-17.5,72.5,129,69.5,2.3,"USF",NA,NA
"13","Michael Mayer","ND",6800,21.96,6,"Healthy",-17,40.5,274,90.6,2.44,"NAVY",108,128
"14","Matt Landers","ARK",5000,15.39,6,"Healthy",3.5,60.5,284,68.9,2.19,"LSU",30,91
"15","Luke Schoonmaker","MICH",3800,10.17,6,"Healthy",-30.5,49.5,183,68.6,1.92,"NEB",94,77
"16","Davis Allen","CLEM",3700,9.9,6,"Healthy",-7,52,215,74.3,1.81,"UL",NA,NA
"17","Dayton Wade","MISS",3500,8.29,6,"Healthy",NA,NA,86,69.5,1.71,"BAMA",6,14
"18","Roderick Daniels Jr.","SMU",3100,7.46,6,"Healthy",-17.5,72.5,113,55.6,1.33,"USF",NA,NA
"19","Langston Anderson","OKST",3000,7.41,6,"Healthy",1.5,48,42,62.1,1.49,"ISU",62,71
"20","Jeremiah Aaron","WVU",3000,7.55,6,"Healthy",8.5,68.5,81,68.1,1.5,"OU",104,112
"21","Antonio Williams","CLEM",5100,14.12,5,"Healthy",-7,52,228,65.8,1.85,"UL",NA,NA
"22","Julian Fleming","OSU",5100,10.92,5,"Healthy",-40.5,61,159,67.7,2.41,"IU",93,111
"23","Dimitri Stanley","ISU",3800,9.29,5,"Healthy",-1.5,48,266,61.1,1.29,"OKST",74,74
"24","Adam Randall","CLEM",3100,6.22,5,"Healthy",-7,52,81,55,0.79,"UL",NA,NA
"25","Charlie Jones","PUR",8100,20.94,4,"Ques Sat - Foot",6.5,44.5,387,77.9,2.59,"IL",3,3
"26","Jalin Hyatt","TENN",7300,17.9,4,"Healthy",-19.5,57.5,313,77.4,3.4,"MIZZ",12,11
"27","Parker Washington","PSU",6700,15.82,4,"Healthy",-10.5,57,273,77.7,2.35,"UMD",78,43
"28","Ryan O'Keefe","UCF",6600,17.01,4,"Healthy",1,54.5,269,71.7,2.28,"TUL",14,5
"29","Cedric Tillman","TENN",6500,16.43,4,"Healthy",-19.5,57.5,170,68.6,2.18,"MIZZ",12,11
"30","Isaiah Williams","IL",6000,14.56,4,"Healthy",-6.5,44.5,247,78.1,2.34,"PUR",92,103
"31","Kaden Prather","WVU",5400,12.96,4,"Healthy",8.5,68.5,271,66.8,1.68,"OU",104,112
"32","Jaylin Noel","ISU",4900,12.59,4,"Healthy",-1.5,48,309,61.2,1.47,"OKST",74,74
"33","Brayden Willis","OU",4600,11.01,4,"Healthy",-8.5,68.5,258,73.2,1.51,"WVU",116,124
"34","Sahmir Hagans","DUKE",4100,10.73,4,"Healthy",-10,50,183,61.3,1.12,"VT",64,92
"35","Nick Gallo","VT",3400,7.69,4,"Healthy",10,50,302,45.3,0.86,"DUKE",56,85
"36","Trey Palmer","NEB",6900,14.33,3,"Healthy",30.5,49.5,254,84.5,3.38,"MICH",4,6
"37","Mitchell Tinsley","PSU",6200,15.1,3,"Healthy",-10.5,57,272,67.9,1.67,"UMD",78,43
"38","Bryson Green","OKST",5900,14.56,3,"Out indefinitely - Wrist",1.5,48,382,67.6,1.58,"ISU",62,71
"39","Jalon Calhoun","DUKE",5900,13.38,3,"Healthy",-10,50,218,74.9,2.33,"VT",64,92
"40","Jermaine Burton","BAMA",5700,7.76,3,"Healthy",-11.5,65,258,63.1,1.32,"MISS",48,48
"41","Kaleb Smith","VT",5200,13.26,3,"out for season - Knee",10,50,219,78.4,3.16,"DUKE",56,85
"42","Joseph Ngata","CLEM",4500,8.72,3,"Healthy",-7,52,213,66,1.69,"UL",NA,NA
"43","JoJo Earle","BAMA",4300,8.05,3,"Healthy",-11.5,65,102,60.5,1.29,"MISS",48,48
"44","Drake Stoops","OU",4300,8.85,3,"Healthy",-8.5,68.5,209,64.9,0.97,"WVU",116,124
"45","Cade Stover","OSU",4300,9.1,3,"Healthy",-40.5,61,272,72.7,1.45,"IU",93,111
"46","Cornelius Johnson","MICH",4200,8.96,3,"Healthy",-30.5,49.5,201,57.1,1.25,"NEB",94,77
"47","Theo Johnson","PSU",3500,8.2,3,"Late Nov - Elbow",-10.5,57,151,62.8,1.47,"UMD",78,43
"48","Isaiah Bond","BAMA",3000,4.97,3,"Healthy",-11.5,65,139,56.4,1.25,"MISS",48,48
"49","Yusuf Terry","USF",3000,4.79,3,"Healthy",17.5,72.5,126,54.9,0.46,"SMU",121,115
"50","Bryce Ford-Wheaton","WVU",7000,16.46,2,"Healthy",8.5,68.5,318,71.6,2.01,"OU",104,112
"51","Jonathan Mingo","MISS",6400,10.42,2,"Healthy",NA,NA,255,83.1,2.83,"BAMA",6,14
"52","Bru McCoy","TENN",6400,12.6,2,"Healthy",-19.5,57.5,325,63.6,1.67,"MIZZ",12,11
"53","Kobe Hudson","UCF",6300,10.62,2,"Healthy",1,54.5,188,72,2.35,"TUL",14,5
"54","Rakim Jarrett","UMD",6100,11.82,2,"Ques Sat - Leg",10.5,57,246,65.5,1.61,"PSU",81,62
"55","Javon Baker","UCF",5900,11.2,2,"Healthy",1,54.5,229,77.1,2.37,"TUL",14,5
"56","Jadon Haselwood","ARK",5800,12.9,2,"Healthy",3.5,60.5,247,66.8,2.34,"LSU",30,91
"57","Malik Nabers","LSU",5800,14.62,2,"Healthy",-3.5,60.5,279,72.3,1.93,"ARK",90,119
"58","Emery Simmons","IU",5800,8.22,2,"Healthy",40.5,61,320,61.5,1.13,"OSU",5,18
"59","Ronnie Bell","MICH",5700,15.01,2,"Out indefinitely - Arm",-30.5,49.5,229,74.3,2.41,"NEB",94,77
"60","Luther Burden III","MIZZ",5200,8.79,2,"Healthy",19.5,57.5,228,64.4,1.17,"TENN",101,106
"61","D.J. Matthews Jr.","IU",5200,8.74,2,"Healthy",40.5,61,166,64.3,1.42,"OSU",5,18
"62","Jeshaun Jones","UMD",5100,8.69,2,"Healthy",10.5,57,227,65.2,1.45,"PSU",81,62
"63","Jimmy Horn Jr.","USF",5100,8.09,2,"Healthy",17.5,72.5,182,70.7,2.25,"SMU",121,115
"64","Dominic Lovett","MIZZ",5000,12.86,2,"Healthy",19.5,57.5,225,83.6,3,"TENN",101,106
"65","Ahmari Huggins-Bruce","UL",5000,8.04,2,"Healthy",NA,NA,186,70.6,2.11,"CLEM",21,52
"66","Jaray Jenkins","LSU",4500,9.04,2,"Healthy",-3.5,60.5,210,67.8,1.5,"ARK",90,119
"67","Marcus Washington","NEB",4500,7.98,2,"Healthy",30.5,49.5,250,66.4,1.54,"MICH",4,6
"68","Cameron Latu","BAMA",4000,9.62,2,"Healthy",-11.5,65,321,54.5,0.96,"MISS",48,48
"69","Reese Smith","WVU",4000,7.53,2,"Healthy",8.5,68.5,187,63.6,1.14,"OU",104,112
"70","Brian Thomas Jr.","LSU",3500,6.46,2,"Healthy",-3.5,60.5,174,66.9,1.68,"ARK",90,119
"71","Jayden Umbarger","NAVY",3300,5.91,2,"Healthy",17,40.5,108,73.6,2.62,"ND",38,54
"72","Braden Lenzy","ND",3200,5.92,2,"Healthy",-17,40.5,221,55.2,0.6,"NAVY",108,128
"73","Austin Upshaw","SMU",3200,5.72,2,"Healthy",-17.5,72.5,204,53.8,0.8,"USF",NA,NA
"74","Andrel Anthony","MICH",3100,5.06,2,"Healthy",-30.5,49.5,88,60.5,0.94,"NEB",94,77
"75","Tyler Hudson","UL",7100,12.55,1,"Healthy",NA,NA,284,76.1,2.64,"CLEM",21,52
"76","Malik Heath","MISS",6200,11.45,1,"Healthy",NA,NA,235,71.1,2.27,"BAMA",6,14
"77","Brennan Presley","OKST",6100,7.58,1,"Healthy",1.5,48,284,71.9,1.94,"ISU",62,71
"78","Jalil Farooq","OU",6000,9.82,1,"Healthy",-8.5,68.5,252,67.3,1.32,"WVU",116,124
"79","Pat Bryant","IL",5300,9.48,1,"Healthy",-6.5,44.5,213,73,1.95,"PUR",92,103
"80","Duece Watts","TUL",5300,6.37,1,"Healthy",-1,54.5,193,65.6,1.9,"UCF",67,58
"81","Payne Durham","PUR",5100,8.06,1,"Healthy",6.5,44.5,386,64,1.23,"IL",3,3
"82","Dontay Demus Jr.","UMD",4900,6.41,1,"Healthy",10.5,57,209,54.6,0.78,"PSU",81,62
"83","John Paul Richardson","OKST",4700,6.83,1,"Healthy",1.5,48,277,65.2,1.32,"ISU",62,71
"84","TJ Sheffield","PUR",4700,6.23,1,"Healthy",6.5,44.5,303,58.2,0.96,"IL",3,3
"85","Dea Dea McDougle","TUL",4600,6.59,1,"Healthy",-1,54.5,NA,NA,NA,"UCF",67,58
"86","Brian Hightower","IL",4500,9.1,1,"Healthy",-6.5,44.5,204,66.5,1.76,"PUR",92,103
"87","Tyrick James","TUL",4500,6.93,1,"Healthy",-1,54.5,184,69.9,1.67,"UCF",67,58
"88","Jordan Watkins","MISS",4400,8.41,1,"Healthy",NA,NA,232,59.8,1.59,"BAMA",6,14
"89","Jha'Quan Jackson","TUL",4400,8.31,1,"Ques Sat - Undisclosed",-1,54.5,159,71.9,2.08,"UCF",67,58
"90","Marshon Ford","UL",4300,7.33,1,"Healthy",NA,NA,235,58.8,1.46,"CLEM",21,52
"91","Mookie Cooper","MIZZ",4100,6.11,1,"Healthy",19.5,57.5,157,59.1,1.18,"TENN",101,106
"92","Da'Wain Lofton","VT",4000,6.5,1,"Healthy",10,50,272,53.3,0.68,"DUKE",56,85
"93","Shae Wyatt","TUL",3900,6.76,1,"Healthy",-1,54.5,172,65.8,2.28,"UCF",67,58
"94","Corey Dyches","UMD",3800,6.27,1,"Healthy",10.5,57,198,68.3,2.04,"PSU",81,62
"95","Ketron Jackson Jr.","ARK",3600,6.71,1,"Healthy",3.5,60.5,191,62.3,1.26,"LSU",30,91
"96","Braden Smith","UL",3600,6.11,1,"Healthy",NA,NA,218,54.8,0.54,"CLEM",21,52
"97","Barrett Banister","MIZZ",3500,6.99,1,"Healthy",19.5,57.5,172,64.4,1.51,"TENN",101,106
"98","Jayden Thomas","ND",3500,6.25,1,"Healthy",-17,40.5,194,61.3,0.93,"NAVY",108,128
"99","Mark Walker","NAVY",3200,4.16,1,"out for season - Knee",17,40.5,102,66.9,1.76,"ND",38,54
"100","Alante Brown","NEB",3100,4.07,1,"Healthy",30.5,49.5,187,58.4,0.89,"MICH",4,6
"101","Braydon Johnson","OKST",6200,NA,0,"Ques Sat - Undisclosed",1.5,48,191,64.1,2.22,"ISU",62,71
"102","Theo Wease","OU",6200,4.3,0,"Healthy",-8.5,68.5,153,62.8,1.72,"WVU",116,124
"103","Cam Camper","IU",6100,NA,0,"out for season - Knee",40.5,61,331,68.1,1.85,"OSU",5,18
"104","Traeshon Holden","BAMA",6000,2.19,0,"Healthy",-11.5,65,168,64.9,1.66,"MISS",48,48
"105","Jake Bailey","SMU",5900,NA,0,"Healthy",-17.5,72.5,111,67.4,2.05,"USF",NA,NA
"106","Jaxon Smith-Njigba","OSU",5700,NA,0,"Ques Sat - Hamstring",-40.5,61,40,55.1,0.98,"IU",93,111
"107","Beaux Collins","CLEM",5500,NA,0,"Out Sat - Shoulder",-7,52,221,60.2,1.5,"UL",NA,NA
"108","Kobe Prentice","BAMA",5200,3.38,0,"Healthy",-11.5,65,147,67.5,1.97,"MISS",48,48
"109","Moochie Dixon","SMU",5100,3.74,0,"Healthy",-17.5,72.5,NA,NA,NA,"USF",NA,NA
"110","Squirrel White","TENN",4800,1.76,0,"Healthy",-19.5,57.5,36,74.6,5.56,"MIZZ",12,11
"111","Roman Wilson","MICH",4800,NA,0,"Ques Sat - Undisclosed",-30.5,49.5,96,72.3,2.75,"NEB",94,77
"112","Jacob Copeland","UMD",4800,4.63,0,"Healthy",10.5,57,133,75.7,2.47,"PSU",81,62
"113","KeAndre Lambert-Smith","PSU",4700,3.93,0,"Healthy",-10.5,57,151,62.7,1.22,"UMD",78,43
