"","Name","TeamAbbrev","Salary","fpts","proj_own","status","lines","totals","grades_offense","grades_run","opponent","def_rank","rdef_rank","tack_rank","designed_yards","elusive_rating","breakaway_attempts","explosive","elu_yco","first_downs","attempts","rec_yards","targets","total_touches","player_game_count"
"32","Phil Mafah","CLEM",3800,6.84,2,"Healthy",-7,52,76.2,75.6,"UL",NA,NA,NA,32.7,52.6,0,0.1,2.7,0.3,7.3,3.3,0.9,8.1,9
"33","Keshawn King","VT",6300,11.89,1,"Healthy",10,50,69,74.5,"DUKE",56,63,106,48,99.3,0,0.1,3.4,0.2,8,14.9,2.6,10.1,7
"34","Anthony Grant","NEB",6200,11.99,1,"Healthy",30.5,49.5,75.9,80,"MICH",4,5,1,94.7,71.3,0,0.1,2.8,0.3,19.4,9.7,2,21.1,9
"35","Zach Evans","MISS",6100,6.29,1,"Out indefinitely - Leg",NA,NA,77.9,79.8,"BAMA",6,1,5,84.4,83.4,0,0.2,3.5,0.4,13.5,11.6,1.5,14.5,8
"36","Josh Henderson","IU",5500,6.26,1,"Healthy",40.5,61,76.2,78.8,"OSU",5,6,35,30.9,127.1,0,0.2,3.1,0.3,6.9,25.8,2.3,8.9,9
"37","Tiyon Evans","UL",5400,6.3,1,"Healthy",NA,NA,77.6,80.7,"CLEM",21,40,22,82,94,0,0.2,3.2,0.3,12.3,1.8,0.7,13,6
"38","Jirehl Brock","ISU",5100,9.47,1,"Healthy",-1.5,48,65.1,66.2,"OKST",74,86,110,47.9,67.1,0,0.1,2.8,0.2,10.6,12,2.7,12.8,9
"39","Chris Tyree","ND",5100,6.1,1,"Healthy",-17,40.5,73.1,73.5,"NAVY",108,54,108,39.8,17.5,0,0.1,2,0.3,9.4,13.6,2.2,11.3,9
"40","John Emery Jr.","LSU",5000,9.04,1,"Healthy",-3.5,60.5,58.3,59.4,"ARK",90,57,88,29.7,60.4,0,0.1,2.7,0.2,7.5,18.7,1.7,8.8,6
"41","Jordan Waters","DUKE",5000,11.25,1,"Healthy",-10,50,76.9,82.2,"VT",64,39,40,50.8,106.1,0,0.1,3.5,0.3,10.3,11.8,1.9,12.1,9
"42","Jase McClellan","BAMA",4700,8.02,1,"Healthy",-11.5,65,69.4,71.2,"MISS",48,65,50,36.1,57,0,0.2,3,0.3,6.3,17,1.3,7.6,9
