"","Name","ID","Salary","AvgPointsPerGame","fpts","proj_own","ceil","floor","make_cut","first_round_lead","top_30","top_20","top_10","top_5","top_3","win","observed_finish","ownership","total_pts","odds_per_dollar","residuals","own_change","adj_own","date","tournament"
"33","Luke List",22064272,7400,60.67,61.88,3.7,85,27.5,0.6036,0.0097,0.2638,0.1722,0.0824,0.0372,0.0212,0.0067,100,0.0348,25.5,0.91,-0.22,-0.03,4,2022-04-17,"RBC Heritage"
"34","Troy Merritt",22064273,7400,68.38,54,4.2,79,25.5,0.6211,0.0081,0.296,0.1986,0.0988,0.0484,0.0274,0.0092,12,0.0702,84.5,1.24,0.11,0.02,4,2022-04-17,"RBC Heritage"
"35","Dylan Frittelli",22064274,7400,53.91,49.79,4.1,75,24.5,0.5464,0.0053,0.2115,0.1328,0.0586,0.0263,0.0138,0.0046,66,0.0309,50.5,0.62,-0.51,-0.08,4,2022-04-17,"RBC Heritage"
"36","J.J. Spaun",22064276,7300,65.83,53.75,5.6,79.07,25,0.6592,0.0138,0.3396,0.2336,0.1213,0.0609,0.0366,0.0111,100,0.0921,23,1.52,0.49,0.07,6,2022-04-17,"RBC Heritage"
"37","Russell Knox",22064277,7300,63.94,57.24,7.7,81.07,26,0.6481,0.0124,0.3217,0.2202,0.1124,0.0556,0.0331,0.0101,100,0.0698,28,1.38,0.35,0.05,8,2022-04-17,"RBC Heritage"
"38","Sepp Straka",22064279,7200,57.97,55.56,5.1,80,26,0.5884,0.0071,0.256,0.1678,0.0785,0.0379,0.0213,0.0064,3,0.0639,100,0.89,-0.04,-0.01,5,2022-04-17,"RBC Heritage"
"39","Denny McCarthy",22064280,7200,66.69,52.6,4.9,77.5,25,0.6403,0.0113,0.3055,0.2039,0.1011,0.0487,0.028,0.0086,56,0.0784,63,1.19,0.26,0.04,5,2022-04-17,"RBC Heritage"
"40","Stewart Cink",22064281,7200,52.25,48.4,3.6,75.5,24.5,0.5056,0.0047,0.1766,0.1068,0.0464,0.0207,0.0109,0.0032,68,0.0343,60.5,0.44,-0.49,-0.07,4,2022-04-17,"RBC Heritage"
"41","Lucas Glover",22064282,7200,65.96,55.96,3.2,80.5,26,0.6042,0.0097,0.271,0.1766,0.0853,0.0399,0.0235,0.0072,48,0.0449,59,1,0.07,0.01,3,2022-04-17,"RBC Heritage"
"42","Charles Howell III",22064283,7100,63.15,61.37,4.6,84,27,0.6414,0.0119,0.3145,0.216,0.1084,0.0542,0.0316,0.0104,100,0.0539,17,1.46,0.62,0.09,5,2022-04-17,"RBC Heritage"
"43","Sahith Theegala",22064284,7100,65.29,55.83,4.4,80.5,25.5,0.541,0.0068,0.2039,0.1259,0.0566,0.0252,0.0138,0.0041,70,0.0441,49,0.58,-0.26,-0.04,4,2022-04-17,"RBC Heritage"
"44","Patton Kizzire",22064285,7100,61.2,59.23,5.9,83,26.5,0.6038,0.0072,0.2766,0.1833,0.0892,0.0423,0.0254,0.0074,26,0.0442,77,1.04,0.2,0.03,6,2022-04-17,"RBC Heritage"
"45","Aaron Wise",22064286,7100,65.33,58.44,5,82,26.5,0.6273,0.0081,0.3036,0.2042,0.1025,0.0512,0.031,0.0094,21,0.0365,72,1.32,0.48,0.07,5,2022-04-17,"RBC Heritage"
"46","Anirban Lahiri",22064287,7100,51.63,49.04,4.4,75,24.5,0.5476,0.0047,0.2076,0.1296,0.0563,0.0255,0.0137,0.0042,66,0.0263,56.5,0.59,-0.25,-0.04,4,2022-04-17,"RBC Heritage"
"47","Cameron Tringale",22064288,7000,68.18,58.44,5.2,82,26.5,0.57,0.0054,0.2304,0.145,0.0658,0.0295,0.0156,0.0044,12,0.046,75,0.63,-0.12,-0.02,5,2022-04-17,"RBC Heritage"
"48","Davis Riley",22064289,7000,61.07,53.53,4.6,79.07,25.5,0.5344,0.0062,0.1942,0.1189,0.0513,0.0212,0.0115,0.0029,100,0.0194,29,0.41,-0.34,-0.05,5,2022-04-17,"RBC Heritage"
"49","Rickie Fowler",22064290,7000,55.86,53.62,3.9,78.5,25.5,0.5044,0.004,0.1743,0.1051,0.0456,0.0204,0.0106,0.0032,100,0.0216,14.5,0.46,-0.29,-0.04,4,2022-04-17,"RBC Heritage"
"50","C.T. Pan",22064291,7000,62.89,54.79,4.8,80,25.5,0.6068,0.0066,0.2758,0.1806,0.0876,0.042,0.025,0.0075,42,0.0432,62,1.07,0.32,0.05,5,2022-04-17,"RBC Heritage"
"51","Scott Stallings",22064292,7000,58.19,52.55,2.8,77.5,25,0.5357,0.0063,0.205,0.1289,0.0574,0.0248,0.0131,0.0034,100,0.0214,17.5,0.49,-0.26,-0.04,3,2022-04-17,"RBC Heritage"
"52","Charley Hoffman",22064293,6900,51.33,54.93,0.9,80.5,25.5,0.4432,0.0043,0.122,0.068,0.0252,0.0098,0.0054,0.0014,100,0.0076,23,0.2,-0.49,-0.07,1,2022-04-17,"RBC Heritage"
"53","Doug Ghim",22064294,6900,54.82,55.03,2.2,79.5,26,0.6084,0.0082,0.2736,0.1774,0.0847,0.0382,0.0222,0.0063,35,0.0288,68,0.91,0.22,0.03,2,2022-04-17,"RBC Heritage"
"54","Danny Willett",22064295,6900,49.35,49.36,1.4,75.5,24.5,0.5027,0.0037,0.1663,0.0981,0.0411,0.0175,0.0096,0.0024,51,0.0204,70,0.35,-0.34,-0.05,1,2022-04-17,"RBC Heritage"
