player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap
Fabian Moreau,11836,CB,NYG,5,14,14.0,4.7,21,0,86.1,1,3,1,12,0,0.86
Adrian Phillips,9177,S,NE,6,55,13.8,5.5,19,0,58.3,4,10,0,55,21,1.0
Nick Scott,49012,S,LA,6,27,13.5,4.5,26,0,42.4,2,6,0,14,2,0.52
C.J. Henderson,55593,CB,CAR,5,13,13.0,13.0,5,0,118.8,1,1,0,13,7,1.0
Dane Belton,101398,S,NYG,3,26,13.0,8.7,21,0,84.0,2,3,0,19,12,0.73
Desmond King II,11906,CB,HST,5,129,12.9,8.1,13,1,57.0,10,16,0,111,64,0.86
Bryce Callahan,10000,CB,LAC,6,163,12.5,7.8,27,2,61.3,13,21,2,78,47,0.48
Jalen Pitre,57737,S,HST,4,25,12.5,8.3,13,1,104.9,2,3,1,34,5,1.36
Kenny Moore II,51596,CB,IND,6,147,12.3,7.4,14,0,108.8,12,20,2,112,69,0.76
Marlon Humphrey,11771,CB,BLT,6,49,12.3,8.2,3,0,83.3,4,6,0,37,2,0.76
Avonte Maddox,50543,CB,PHI,4,146,12.2,9.7,24,1,74.7,12,15,0,129,86,0.88
Richie Grant,43196,S,ATL,6,61,12.2,6.8,2,0,60.9,5,9,0,22,20,0.36
Cody Barton,50727,LB,SEA,5,12,12.0,12.0,29,0,91.7,1,1,0,6,9,0.5
Marcus Williams,11797,S,BLT,5,24,12.0,12.0,3,0,102.1,2,2,0,17,22,0.71
Damar Hamlin,43291,S,BUF,5,24,12.0,12.0,4,0,97.9,2,2,0,15,1,0.63
T.J. Edwards,30737,LB,PHI,6,12,12.0,4.0,24,0,52.1,1,3,0,16,14,1.33
Keanu Neal,10651,S,TB,3,12,12.0,12.0,30,0,83.3,1,1,0,4,0,0.33
Antoine Winfield Jr.,42475,S,TB,6,156,12.0,8.2,30,1,84.3,13,19,1,135,57,0.87
Jerome Baker,28091,LB,MIA,5,12,12.0,12.0,17,0,91.7,1,1,0,6,3,0.5
Lamarcus Joyner,8676,S,NYJ,6,24,12.0,12.0,22,0,79.2,2,2,0,6,2,0.25
Duron Harmon,7872,S,LV,4,12,12.0,12.0,23,0,100.0,1,1,0,8,3,0.67
Kyle Dugger,90621,S,NE,5,35,11.7,7.0,19,0,64.6,3,5,0,10,14,0.29
Donovan Wilson,49408,S,DAL,6,35,11.7,8.8,9,0,78.1,3,4,0,13,6,0.37
K'Waun Williams,9332,CB,DEN,6,175,11.7,8.8,10,0,87.7,15,20,0,111,74,0.63
Sam Webb,134606,CB,LV,2,11,11.0,3.7,23,0,42.4,1,3,0,7,3,0.64
Rayshawn Jenkins,11868,S,JAX,6,44,11.0,8.8,15,0,106.7,4,5,0,48,33,1.09
E.J. Speed,94351,LB,IND,5,11,11.0,11.0,14,0,118.8,1,1,0,21,17,1.91
Tre Flowers,49059,CB,CIN,6,22,11.0,5.5,7,0,67.7,2,4,0,23,13,1.05
Quandre Diggs,9633,S,SEA,6,11,11.0,11.0,29,0,79.2,1,1,0,3,0,0.27
Darius Harris,29188,LB,KC,5,11,11.0,3.7,16,0,42.4,1,3,0,4,2,0.36
Isaiah Simmons,42451,LB,ARZ,6,76,10.9,8.4,1,0,100.5,7,9,0,73,54,0.96
Justin Reid,49048,S,KC,6,43,10.8,7.2,16,0,121.5,4,6,2,35,0,0.81
Kareem Jackson,5545,S,DEN,6,32,10.7,6.4,10,0,112.5,3,5,1,25,6,0.78
Taylor Rapp,51172,S,LA,5,53,10.6,7.6,26,0,85.4,5,7,0,40,26,0.75
Joshua Kalu,51203,S,TEN,5,21,10.5,10.5,31,0,110.4,2,2,0,21,12,1.0
Josiah Scott,55634,CB,PHI,3,60,10.0,6.7,24,0,126.2,6,9,1,68,43,1.13
Logan Ryan,7864,S,TB,3,10,10.0,5.0,30,0,79.2,1,2,0,17,1,1.7
Andrew Adams,11240,S,TEN,2,10,10.0,10.0,31,0,87.5,1,1,0,5,1,0.5
Shaquill Griffin,11845,CB,JAX,5,20,10.0,6.7,15,0,78.5,2,3,0,15,11,0.75
Chuck Clark,11941,S,BLT,6,50,10.0,7.1,3,0,83.0,5,7,0,36,26,0.72
Arthur Maulet,12224,CB,PIT,6,120,10.0,7.5,25,0,115.9,12,16,0,197,107,1.64
Jessie Bates III,49162,S,CIN,5,20,10.0,6.7,7,0,93.8,2,3,0,26,13,1.3
Carlton Davis,49335,CB,TB,5,10,10.0,3.3,30,0,56.3,1,3,0,19,24,1.9
Nik Needham,50356,CB,MIA,6,30,10.0,7.5,17,0,114.6,3,4,0,48,26,1.6
Greg Newsome II,83341,CB,CLV,6,115,9.6,7.7,8,0,87.8,12,15,0,76,86,0.66
Caden Sterns,76725,S,DEN,5,19,9.5,9.5,10,0,118.8,2,2,0,28,15,1.47
Jourdan Lewis,11846,CB,DAL,5,162,9.5,7.7,9,0,111.5,17,21,1,146,122,0.9
Darnay Holmes,56247,CB,NYG,6,104,9.5,5.0,21,0,64.0,11,21,0,92,60,0.88
Devin Bush,27375,LB,PIT,6,19,9.5,9.5,25,0,118.8,2,2,0,25,19,1.32
Tashaun Gipson Sr.,7288,S,SF,6,19,9.5,6.3,28,0,109.7,2,3,0,39,22,2.05
Kyzir White,44485,LB,PHI,6,37,9.3,4.6,24,0,56.3,4,8,0,23,15,0.62
Darious Williams,55724,CB,JAX,6,157,9.2,5.8,15,0,100.4,17,27,1,217,146,1.38
Mike Hilton,10898,CB,CIN,6,172,9.1,6.4,7,0,101.8,19,27,1,186,72,1.08
Coby Bryant,55088,CB,SEA,6,118,9.1,5.6,29,0,118.6,13,21,2,167,82,1.42
Mike Ford,50535,CB,ATL,6,36,9.0,7.2,2,0,106.7,4,5,0,48,44,1.33
Robert Spillane,50918,LB,PIT,6,18,9.0,6.0,25,0,91.0,2,3,0,24,2,1.33
Quay Walker,82547,LB,GB,5,9,9.0,4.5,12,0,89.6,1,2,0,22,16,2.44
Nick Bolton,81322,LB,KC,5,9,9.0,9.0,16,0,104.2,1,1,0,9,0,1.0
Malcolm Rodriguez,60731,LB,DET,3,9,9.0,9.0,11,0,158.3,1,1,1,20,1,2.22
Jaquan Johnson,51433,S,BUF,3,9,9.0,9.0,4,0,100.0,1,1,0,8,0,0.89
Roger McCreary,83176,CB,TEN,5,123,8.8,5.9,31,0,99.5,14,21,1,131,53,1.07
Julian Love,51081,S,NYG,6,44,8.8,5.5,21,1,84.4,5,8,1,58,27,1.32
Taron Johnson,49511,CB,BUF,6,180,8.6,5.5,4,1,82.3,21,33,1,235,151,1.31
Anthony Brown,10823,CB,DAL,5,17,8.5,5.7,9,0,84.0,2,3,0,19,5,1.12
Nicholas Morrow,51674,LB,CHI,6,17,8.5,8.5,6,0,87.5,2,2,0,10,1,0.59
Mike Edwards,51282,S,TB,5,34,8.5,6.8,30,0,136.3,4,5,1,36,19,1.06
Jayron Kearse,10878,S,DAL,3,17,8.5,8.5,9,0,100.0,2,2,0,16,6,0.94
Josh Jones,11816,S,SEA,6,25,8.3,4.2,29,0,118.8,3,6,1,51,40,2.04
Darnell Savage,34247,S,GB,6,25,8.3,5.0,12,0,104.2,3,5,1,6,1,0.24
Michael Carter II,60644,CB,NYJ,6,146,8.1,6.1,22,1,96.2,18,24,1,202,163,1.38
Vonn Bell,10695,S,CIN,6,32,8.0,4.6,7,0,75.3,4,7,0,43,13,1.34
Lavonte David,7060,LB,TB,5,16,8.0,5.3,30,0,123.6,2,3,1,19,15,1.19
Alohi Gilman,41662,S,LAC,4,8,8.0,8.0,27,1,79.2,1,1,0,35,18,4.38
Jonathan Owens,66930,S,HST,4,16,8.0,5.3,13,0,109.7,2,3,0,39,5,2.44
Will Harris,51336,CB,DET,3,8,8.0,8.0,11,0,118.8,1,1,1,1,0,0.13
DeShon Elliott,28854,S,DET,5,16,8.0,5.3,11,0,81.3,2,3,0,17,7,1.06
Malik Hooker,11770,S,DAL,6,24,8.0,8.0,9,0,88.9,3,3,0,16,7,0.67
Kindle Vildor,49346,CB,CHI,5,8,8.0,8.0,6,0,118.8,1,1,0,31,10,3.88
Brandon Stephens,45644,CB,BLT,5,55,7.9,4.6,3,0,91.0,7,12,1,36,25,0.65
Rasul Douglas,11854,CB,GB,5,63,7.9,7.9,12,0,92.7,8,8,0,50,21,0.79
Chandon Sullivan,49349,CB,MIN,6,186,7.8,6.6,18,0,130.2,24,28,1,347,229,1.87
Bobby Okereke,50954,LB,IND,6,39,7.8,3.5,14,0,52.5,5,11,0,28,24,0.72
Adrian Amos,9575,S,GB,5,23,7.7,4.6,12,0,106.7,3,5,1,18,19,0.78
Marcus Epps,51391,S,PHI,6,23,7.7,5.8,24,0,95.8,3,4,0,30,16,1.3
Dre Greenlaw,51503,LB,SF,6,23,7.7,5.8,28,0,87.5,3,4,0,22,15,0.96
Myles Bryant,43336,CB,NE,6,115,7.7,6.1,19,0,135.1,15,19,2,152,45,1.32
Kyle Hamilton,102684,S,BLT,6,30,7.5,7.5,3,0,106.3,4,4,0,38,16,1.27
A.J. Terrell,55586,CB,ATL,5,15,7.5,7.5,2,0,158.3,2,2,1,35,15,2.33
Myles Jack,10670,LB,PIT,4,15,7.5,7.5,25,0,93.8,2,2,0,13,4,0.87
L'Jarius Sneed,40588,CB,KC,6,162,7.4,6.0,16,0,93.5,22,27,0,174,111,1.07
Byron Murphy Jr.,44027,CB,ARZ,6,52,7.4,5.2,1,0,111.3,7,10,1,42,27,0.81
Ernest Jones,81399,LB,LA,6,37,7.4,6.2,26,0,87.5,5,6,0,30,31,0.81
Harrison Smith,7641,S,MIN,5,29,7.3,5.8,18,1,78.8,4,5,0,62,42,2.14
Matt Milano,11918,LB,BUF,5,36,7.2,6.0,4,1,54.2,5,6,0,39,23,1.08
Jordan Hicks,9517,LB,MIN,6,43,7.2,4.3,18,0,88.3,6,10,0,87,48,2.02
Myles Hartsfield,49159,S,CAR,6,106,7.1,5.6,5,0,134.9,15,19,2,151,98,1.42
Mike Hughes,34057,CB,DET,4,99,7.1,5.8,11,0,131.6,14,17,1,185,60,1.87
Rock Ya-Sin,49564,CB,LV,4,14,7.0,4.7,23,0,75.7,2,3,0,13,13,0.93
Jordan Whitehead,49196,S,NYJ,6,28,7.0,7.0,22,0,118.8,4,4,0,62,13,2.21
