player,player_id,position,team_name,player_game_count,allowed_pressure_dropbacks,ce_percent,declined_penalties,franchise_id,hits_allowed,hurries_allowed,lg_percent,lt_percent,ol_te_percent,other_percent,penalties,pressures_allowed,pressures_ce,pressures_lg,pressures_lt,pressures_off,pressures_ol_te,pressures_other,pressures_rg,pressures_rt,pressures_self,pressures_te,rg_percent,rt_percent,sacks_allowed,self_percent,te_percent
Patrick Mahomes,11765,QB,KC,6,78,9.0,0,16,3,7,10.3,28.2,80.8,7.7,0,11,7,8,22,78,63,6,14,20,11,2,17.9,25.6,1,14.1,2.6
Matt Ryan,4317,QB,IND,6,76,14.5,0,14,2,6,10.5,22.4,78.9,7.9,0,10,11,8,17,76,60,6,14,18,10,1,18.4,23.7,2,13.2,1.3
Justin Herbert,28237,QB,LAC,6,74,9.5,0,27,0,6,25.7,24.3,81.1,8.1,0,9,7,19,18,74,60,6,14,14,9,3,18.9,18.9,3,12.2,4.1
Matthew Stafford,4924,QB,LA,6,74,23.0,0,26,0,0,25.7,31.1,94.6,-1.4,0,3,17,19,23,74,70,-1,15,16,3,2,20.3,21.6,3,4.1,2.7
Carson Wentz,10636,QB,WAS,6,72,18.1,0,32,2,2,18.1,16.7,88.9,4.2,0,6,13,13,12,72,64,3,16,15,6,3,22.2,20.8,2,8.3,4.2
Justin Fields,82118,QB,CHI,6,72,13.9,0,6,3,8,19.4,27.8,73.6,5.6,0,16,10,14,20,72,53,4,11,6,16,4,15.3,8.3,5,22.2,5.6
Daniel Jones,39395,QB,NYG,6,70,15.7,0,21,3,5,12.9,11.4,75.7,7.1,0,12,11,9,8,70,53,5,15,15,12,3,21.4,21.4,4,17.1,4.3
Kyler Murray,38334,QB,ARZ,6,70,14.3,0,1,1,2,27.1,14.3,90.0,4.3,0,7,10,19,10,70,63,3,12,19,7,3,17.1,27.1,4,10.0,4.3
Josh Allen,46601,QB,BUF,6,66,18.2,0,4,2,4,16.7,15.2,80.3,9.1,0,8,12,11,10,66,53,6,12,18,8,0,18.2,27.3,2,12.1,0.0
Joe Burrow,28022,QB,CIN,6,66,18.2,0,7,0,1,22.7,30.3,92.4,4.5,0,3,12,15,20,66,61,3,7,12,3,2,10.6,18.2,2,4.5,3.0
Kirk Cousins,7102,QB,MIN,6,64,18.8,0,18,1,2,20.3,12.5,85.9,9.4,0,4,12,13,8,64,55,6,21,10,4,5,32.8,15.6,1,6.3,7.8
Jared Goff,10635,QB,DET,5,61,4.9,0,11,2,2,24.6,26.2,86.9,3.3,0,5,3,15,16,61,53,2,16,10,5,3,26.2,16.4,1,8.2,4.9
Geno Smith,7820,QB,SEA,6,60,11.7,0,29,2,2,16.7,23.3,80.0,10.0,0,6,7,10,14,60,48,6,16,11,6,4,26.7,18.3,2,10.0,6.7
Russell Wilson,7077,QB,DEN,6,59,6.8,0,10,2,2,16.9,22.0,79.7,6.8,0,9,4,10,13,59,47,4,7,13,9,4,11.9,22.0,5,15.3,6.8
Lamar Jackson,46416,QB,BLT,6,57,12.3,0,3,2,11,8.8,22.8,66.7,5.3,0,16,7,5,13,57,38,3,8,9,16,4,14.0,15.8,3,28.1,7.0
Jacoby Brissett,10725,QB,CLV,6,57,10.5,0,8,5,8,12.3,28.1,70.2,5.3,0,14,6,7,16,57,40,3,8,8,14,1,14.0,14.0,1,24.6,1.8
Aaron Rodgers,2241,QB,GB,6,54,5.6,0,12,1,1,9.3,16.7,87.0,5.6,0,4,3,5,9,54,47,3,17,15,4,5,31.5,27.8,2,7.4,9.3
Derek Carr,8671,QB,LV,5,53,20.8,0,23,2,1,20.8,22.6,81.1,7.5,0,6,11,11,12,53,43,4,8,12,6,0,15.1,22.6,3,11.3,0.0
Joe Flacco,4332,QB,NYJ,3,53,9.4,0,22,2,1,24.5,34.0,94.3,0.0,0,4,5,13,18,53,50,0,11,9,4,4,20.8,17.0,1,7.5,7.5
Davis Mills,52269,QB,HST,5,51,17.6,0,13,2,1,33.3,7.8,84.3,5.9,0,5,9,17,4,51,43,3,5,7,5,3,9.8,13.7,2,9.8,5.9
Trevor Lawrence,77632,QB,JAX,6,50,22.0,0,15,0,6,18.0,22.0,82.0,4.0,0,8,11,9,11,50,41,2,6,7,8,2,12.0,14.0,2,16.0,4.0
Ryan Tannehill,7014,QB,TEN,5,50,6.0,0,31,0,1,26.0,28.0,92.0,6.0,0,2,3,13,14,50,46,3,5,9,2,5,10.0,18.0,1,4.0,10.0
Jalen Hurts,40291,QB,PHI,6,50,6.0,0,24,3,6,10.0,38.0,72.0,8.0,0,13,3,5,19,50,36,4,9,4,13,1,18.0,8.0,4,26.0,2.0
Baker Mayfield,46518,QB,CAR,5,46,13.0,0,5,2,3,19.6,23.9,80.4,4.3,0,9,6,9,11,46,37,2,5,10,9,1,10.9,21.7,4,19.6,2.2
Cooper Rush,12324,QB,DAL,6,45,8.9,0,9,0,0,44.4,24.4,93.3,4.4,0,2,4,20,11,45,42,2,7,7,2,1,15.6,15.6,2,4.4,2.2
Tom Brady,698,QB,TB,6,45,15.6,0,30,0,0,42.2,33.3,93.3,6.7,0,0,7,19,15,45,42,3,6,3,0,0,13.3,6.7,0,0.0,0.0
Marcus Mariota,9435,QB,ATL,6,37,16.2,0,2,1,3,18.9,21.6,83.8,0.0,0,6,6,7,8,37,31,0,6,5,6,4,16.2,13.5,2,16.2,10.8
Jimmy Garoppolo,8697,QB,SF,5,35,2.9,0,28,1,3,17.1,28.6,82.9,0.0,0,6,1,6,10,35,29,0,7,11,6,1,20.0,31.4,2,17.1,2.9
Mitchell Trubisky,11757,QB,PIT,5,34,8.8,0,25,0,5,8.8,14.7,64.7,11.8,0,10,3,3,5,34,22,4,2,8,10,3,5.9,23.5,5,29.4,8.8
Jameis Winston,9434,QB,NO,3,31,6.5,0,20,1,0,25.8,9.7,64.5,19.4,0,4,2,8,3,31,20,6,2,8,4,2,6.5,25.8,3,12.9,6.5
Teddy Bridgewater,8667,QB,MIA,4,26,0.0,0,17,1,2,23.1,30.8,88.5,0.0,0,3,0,6,8,26,23,0,4,7,3,2,15.4,26.9,0,11.5,7.7
Tua Tagovailoa,60326,QB,MIA,4,25,12.0,0,17,1,0,24.0,24.0,84.0,8.0,0,2,3,6,6,25,21,2,2,6,2,1,8.0,24.0,1,8.0,4.0
Zach Wilson,82096,QB,NYJ,3,25,4.0,0,22,0,1,12.0,16.0,76.0,16.0,0,4,1,3,4,25,19,4,5,8,4,0,20.0,32.0,3,16.0,0.0
Mac Jones,60323,QB,NE,3,23,21.7,0,19,0,0,26.1,30.4,100.0,0.0,0,0,5,6,7,23,23,0,2,6,0,0,8.7,26.1,0,0.0,0.0
Kenny Pickett,60515,QB,PIT,3,22,22.7,0,25,1,3,4.5,22.7,77.3,0.0,0,6,5,1,5,22,17,0,4,4,6,1,18.2,18.2,2,27.3,4.5
Andy Dalton,6187,QB,NO,3,21,19.0,0,20,1,1,19.0,23.8,76.2,4.8,0,4,4,4,5,21,16,1,2,3,4,1,9.5,14.3,2,19.0,4.8
Skylar Thompson,60417,QB,MIA,2,21,19.0,0,17,1,0,23.8,52.4,90.5,4.8,0,1,4,5,11,21,19,1,4,5,1,0,19.0,23.8,0,4.8,0.0
Bailey Zappe,60396,QB,NE,3,20,0.0,0,19,1,3,10.0,30.0,70.0,0.0,0,5,0,2,6,20,14,0,0,6,5,2,0.0,30.0,1,25.0,10.0
Trey Lance,91399,QB,SF,2,11,18.2,0,28,0,1,27.3,27.3,90.9,0.0,0,1,2,3,3,11,10,0,0,2,1,0,0.0,18.2,0,9.1,0.0
Dak Prescott,10769,QB,DAL,1,11,9.1,0,9,0,0,36.4,18.2,90.9,9.1,0,0,1,4,2,11,10,1,1,2,0,0,9.1,18.2,0,0.0,0.0
Malik Willis,60341,QB,TEN,1,4,0.0,0,31,0,1,0.0,50.0,75.0,0.0,0,1,0,0,2,4,3,0,0,2,1,0,0.0,50.0,0,25.0,0.0
