player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
Elijah Moore,84302,WR,NYJ,6,27,0,22,0,,0,,,0,0,,0,0,0,,43.5,0,0,0.0,0,15,0,73.3,11,0.0,0,0.0,0,0,0,,,0.0,10.3,0,66.7,0.0,0,1,0.0,0,1,0,86.1,57.5,0,10,0.0,0,59,2,96.6,57,82.6,3,11.1,0,18,7,3.5,9.0,0.32
Robbie Anderson,11254,WR,CAR,6,26,0,5,0,-1.3,0,100.0,,0,0,0.0,0,0,1,88.7,29.7,0,12,0.0,0,34,3,97.1,33,94.4,3,11.5,0,20,24,8.0,6.7,0.61,16.0,0,50.0,0.0,0,1,0.0,0,1,0,82.2,49.7,0,19,0.0,0,19,2,100.0,19,68.8,4,15.4,0,24,1,0.5,12.0,1.26
Mack Hollins,11873,WR,LV,5,26,0,23,0,1.0,0,0.0,,0,0,,0,0,0,,44.5,0,0,0.0,0,17,0,88.2,15,39.6,1,3.8,0,0,0,,,0.0,5.3,0,100.0,,0,0,0.0,0,2,0,42.0,62.1,0,9,3.6,1,28,3,89.3,25,95.8,3,11.5,0,21,5,1.7,7.0,0.84
Nico Collins,61441,WR,HST,5,26,0,13,0,,0,,,0,0,,0,0,0,,44.8,0,0,0.0,0,14,0,100.0,14,0.0,0,0.0,0,0,0,,,0.0,4.0,0,100.0,100.0,1,1,0.0,0,0,0,78.7,56.2,0,4,0.0,0,8,1,100.0,8,83.3,1,3.8,0,4,0,0.0,4.0,0.5
Saquon Barkley,45791,HB,NYG,6,26,0,21,0,-5.0,3,77.8,,0,0,12.5,1,1,0,56.2,90.6,0,21,4.8,1,21,7,76.2,16,92.6,9,34.6,0,56,91,13.0,8.0,3.5,2.0,1,66.7,0.0,0,1,0.0,0,0,0,47.0,56.5,1,6,0.0,0,7,2,100.0,7,30.6,3,11.5,0,5,12,6.0,2.5,0.71
K.J. Osborn,23503,WR,MIN,6,26,0,18,0,,0,,,0,0,,0,0,0,,42.3,0,0,5.0,1,20,0,95.0,19,0.0,0,0.0,0,0,0,,,0.0,8.1,0,85.7,,0,0,0.0,0,4,0,86.5,58.7,0,28,1.5,2,130,12,91.5,119,123.2,14,53.8,1,110,28,2.3,9.2,0.92
Isaiah McKenzie,11927,WR,BUF,5,25,0,4,0,-3.5,0,50.0,,0,0,50.0,1,0,0,24.1,47.1,0,7,0.0,0,9,1,100.0,9,58.3,2,8.0,0,7,11,11.0,7.0,0.78,6.4,1,72.7,33.3,1,3,5.9,1,9,0,54.9,60.0,0,28,0.0,0,99,16,99.0,98,130.7,22,88.0,3,150,40,2.5,9.4,1.53
Gabriel Davis,55410,WR,BUF,5,25,0,4,0,,0,,,0,0,,0,0,0,,43.0,0,0,0.0,0,14,0,100.0,14,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,56.9,58.0,0,0,0.0,0,21,0,100.0,21,0.0,0,0.0,0,0,0,,,0.0
Kyle Pitts,83964,TE,ATL,5,25,0,2,0,-2.0,1,100.0,,0,0,0.0,0,2,0,84.5,93.2,0,21,8.3,1,12,2,83.3,10,118.8,2,8.0,0,26,30,15.0,13.0,2.6,10.7,0,30.0,0.0,0,4,0.0,0,0,0,81.1,65.4,0,8,0.0,0,50,3,92.0,46,39.6,10,40.0,0,20,4,1.3,6.7,0.43
Devin Duvernay,40006,WR,BLT,6,24,0,3,0,4.8,1,100.0,,0,0,0.0,0,2,0,90.2,92.5,0,21,0.0,0,11,4,100.0,11,118.8,4,16.7,0,52,33,8.3,13.0,4.73,14.7,0,70.0,66.7,2,3,0.0,0,3,0,89.3,78.7,0,21,0.0,0,44,7,97.7,43,120.0,10,41.7,1,63,27,3.9,9.0,1.47
