Player,Team,Position,Redraft PPR ADP,Redraft Half PPR ADP,Redraft SF ADP,Dynasty PPR ADP,Dynasty Half PPR ADP,Dynasty SF ADP,IDP ADP
Jahmyr Gibbs,DET,RB,35.5,35.2,44,22.6,19.9,26.5,37.5
Breece Hall,NYJ,RB,35.8,33.4,39.8,15.1,11.5,20.9,26.6
Deebo Samuel,SF,WR,37.4,38.5,52.2,43.5,43.1,58.6,43.6
Calvin Ridley,JAC,WR,38.7,40.2,50.7,51.4,57.9,60.6,48.1
Joe Mixon,CIN,RB,39,37.4,57.8,48.6,50.3,71.3,56.1
Keenan Allen,LAC,WR,40.1,41.6,49.1,71,76.9,97.3,79.4
Aaron Jones,GB,RB,41.9,42,56.2,59.8,62.2,88.5,64.8
Kenneth Walker,SEA,RB,42.8,39.7,51,33.8,32.7,40.1,34
T.J. Hockenson,MIN,TE,43.1,46.2,41.8,45,46.4,48.8,42
Amari Cooper,CLE,WR,44.2,43.1,53.2,67.2,70.5,79.5,67.2
Justin Fields,CHI,QB,44.7,44.3,11,40.3,42.5,11.6,17.3
George Kittle,SF,TE,46.5,47.8,53.5,53.2,58.9,61.6,47.6
Justin Herbert,LAC,QB,47.6,44.5,7.3,31.8,31.9,6.6,13.7
DeAndre Hopkins,TEN,WR,48,48,59.6,73.4,75.6,95.9,76.9
Terry McLaurin,WAS,WR,49.5,49.4,61.2,50,56.3,70.1,58.5
Dameon Pierce,HOU,RB,50.8,50.3,64.4,46.9,44.8,57.4,46.6
DJ Moore,CHI,WR,51.3,52.8,66,57.8,53.3,59,50.1
Jerry Jeudy,DEN,WR,52.5,53.4,62.2,52,53.5,55.6,52.9
Miles Sanders,CAR,RB,53.2,51.2,68.9,60.7,59,74.9,62.4
Trevor Lawrence,JAC,QB,53.3,57.3,12.3,44.6,44.2,8.9,21.1
Drake London,ATL,WR,55.9,55.4,62.2,41,39.5,41.9,41
J.K. Dobbins,BAL,RB,56.8,53.1,65,58.7,55.1,62.2,60.8
Alexander Mattison,MIN,RB,57.4,58.6,77.5,76.3,73.3,96.6,84.3
Christian Watson,GB,WR,58.8,59.2,70.3,56.2,51.8,53.6,51.7
Darren Waller,NYG,TE,59,65.3,69,79.7,86.7,93.9,80.1
Kyle Pitts,ATL,TE,60,60.3,60,42.3,40.8,35.6,44.3
Dallas Goedert,PHI,TE,61.4,64.4,67.7,62.7,65,69.7,65.1
D'Andre Swift,PHI,RB,62.1,62.9,71.3,47.5,48,67,57.8
Chris Godwin,TB,WR,62.9,63,74.7,69.8,68.3,77,75.6
Alvin Kamara,NO,RB,64.7,68,89.5,75.5,80.4,105.3,91.5
