"","Name","ID","Salary","AvgPointsPerGame","fpts","proj_own","ceil","floor","make_cut","first_round_lead","top_30","top_20","top_10","top_5","top_3","win","observed_finish","ownership","total_pts","odds_per_dollar","residuals","own_change","adj_own","date","tournament"
"1","Scottie Scheffler",23114140,11200,90.14,80.33,14.5,101.5,34,0.8301,0.0338,0.6737,0.5744,0.4092,0.275,0.1969,0.0888,13,0.2095,81,7.93,0.19,0.03,15,2022-06-26,"Travelers Championship"
"2","Rory McIlroy",23114141,11000,88.43,85.92,19.7,107.5,55.8,0.8237,0.0434,0.657,0.556,0.3949,0.2635,0.1896,0.0866,19,0.1969,91,7.87,0.86,0.13,20,2022-06-26,"Travelers Championship"
"3","Sam Burns",23114143,10400,79.25,67.48,11.8,93,29,0.7253,0.0199,0.4846,0.3752,0.2312,0.1338,0.087,0.0331,100,0.15,28.5,3.18,-1.97,-0.3,12,2022-06-26,"Travelers Championship"
"4","Patrick Cantlay",23114144,10200,80.5,76.43,21.4,98,32,0.7997,0.0266,0.6172,0.5116,0.3545,0.2286,0.161,0.0678,13,0.2349,97.5,6.65,2.03,0.3,22,2022-06-26,"Travelers Championship"
"5","Xander Schauffele",23114145,10000,82.2,81.3,18.8,102,36,0.7502,0.023,0.5209,0.4062,0.2533,0.1448,0.0949,0.0354,1,0.1405,129,3.54,-0.6,-0.09,19,2022-06-26,"Travelers Championship"
"6","Jordan Spieth",23114146,9900,72.25,71.66,16.5,96,30.5,0.6738,0.0132,0.4006,0.2919,0.1639,0.0897,0.0561,0.019,100,0.1438,33,1.92,-1.99,-0.3,16,2022-06-26,"Travelers Championship"
"7","Joaquin Niemann",23114148,9600,74.26,72.04,13.4,95.5,30.5,0.7245,0.015,0.4762,0.3622,0.2135,0.1205,0.0753,0.0256,100,0.1492,23,2.67,-0.63,-0.09,13,2022-06-26,"Travelers Championship"
"8","Tony Finau",23114149,9500,65.92,77.53,11.7,99,33,0.6975,0.0166,0.431,0.3186,0.1835,0.0986,0.0608,0.0211,13,0.1027,88,2.22,-0.9,-0.14,12,2022-06-26,"Travelers Championship"
"9","Keegan Bradley",23114150,9400,68.76,65.98,13.8,91.5,29,0.7404,0.0181,0.5046,0.3968,0.2427,0.1394,0.0902,0.0346,19,0.1168,81,3.68,0.74,0.11,14,2022-06-26,"Travelers Championship"
"10","Tommy Fleetwood",23114152,9200,68.19,71.84,9.4,96,30,0.653,0.014,0.3647,0.2584,0.1369,0.0712,0.0437,0.0134,46,0.0675,71.5,1.46,-1.16,-0.17,9,2022-06-26,"Travelers Championship"
"11","Seamus Power",23114153,9100,68.5,62.73,12.3,88.5,28,0.6898,0.014,0.4298,0.3193,0.1818,0.1,0.0635,0.0217,25,0.1056,74,2.38,-0.1,-0.01,12,2022-06-26,"Travelers Championship"
