player_name,sample_size,DG_odds,bet365_odds,bet365_ev,whill_odds,whill_ev,fanduel_odds,fanduel_ev,draftkings_odds,draftkings_ev,pinnacle_odds,pinnacle_ev,betcris_odds,betcris_ev,betfair_odds,betfair_ev,betonline_odds,betonline_ev,betmgm_odds,betmgm_ev,betway_odds,betway_ev,bovada_odds,bovada_ev,circa_odds,circa_ev,pointsbet_odds,pointsbet_ev,skybet_odds,skybet_ev,unibet_odds,unibet_ev
"Schwab, Matthias",150,67697,22500,-0.667,20000,-0.704,21000,-0.689,25000,-0.63,51924,0,0,0,15000,-0.777,20000,-0.704,25000,-0.63,15000,-0.777,20000,-0.704,,0,20000,-0.704,17500,-0.74,25000,-0.63
"Sigg, Greyson",150,71329,35000,-0.509,30000,-0.579,50000,-0.299,40000,-0.439,51924,0,0,0,30000,-0.579,,0,25000,-0.649,30000,-0.579,30000,-0.579,,0,40000,-0.439,30000,-0.579,35000,-0.509
"Norlander, Henrik",150,71329,40000,-0.439,35000,-0.509,50000,-0.299,40000,-0.439,51924,0,0,0,30000,-0.579,,0,40000,-0.439,40000,-0.439,40000,-0.439,,0,35000,-0.509,40000,-0.439,50000,-0.299
"Johnson, Zach",150,72627,22500,-0.689,25000,-0.655,25000,-0.655,25000,-0.655,31162,0,0,0,17500,-0.758,20000,-0.724,20000,-0.724,20000,-0.724,25000,-0.655,,0,20000,-0.724,20000,-0.724,25000,-0.655
"Streb, Robert",150,73974,40000,-0.459,30000,-0.594,42000,-0.432,30000,-0.594,51924,0,0,0,30000,-0.594,,0,40000,-0.459,30000,-0.594,40000,-0.459,,0,30000,-0.594,30000,-0.594,50000,-0.324
"Willett, Danny",150,73974,22500,-0.695,25000,-0.661,25000,-0.661,25000,-0.661,51924,0,0,0,17500,-0.762,22500,-0.695,20000,-0.729,15000,-0.796,25000,-0.661,,0,20000,-0.729,17500,-0.762,20000,-0.729
"Clark, Wyndham",150,75372,17500,-0.767,10000,-0.866,21000,-0.72,20000,-0.734,30903,0,13500,0,15000,-0.8,17500,-0.767,20000,-0.734,15000,-0.8,15000,-0.8,,0,15000,-0.8,15000,-0.8,17500,-0.767
"Malnati, Peter",150,75372,30000,-0.601,25000,-0.667,34000,-0.548,30000,-0.601,51924,0,0,0,25000,-0.667,,0,40000,-0.469,25000,-0.667,25000,-0.667,,0,25000,-0.667,30000,-0.601,35000,-0.535
"Hoffman, Charley",150,75372,22500,-0.701,25000,-0.667,34000,-0.548,30000,-0.601,31162,0,0,0,25000,-0.667,22500,-0.701,25000,-0.667,25000,-0.667,25000,-0.667,,0,25000,-0.667,20000,-0.734,25000,-0.667
"Lebioda, Hank",150,76823,20000,-0.739,20000,-0.739,28000,-0.635,20000,-0.739,31162,0,20000,0,20000,-0.739,17500,-0.771,15000,-0.804,20000,-0.739,20000,-0.739,,0,20000,-0.739,15000,-0.804,20000,-0.739
