"X","Name","ID","Salary","AvgPointsPerGame","odds_open","odds_close","odds_rank","odds_delta","odds_delta_per","fpts","proj_own","ceil","floor","make_cut","top_20","top_10","top_5","win","odds_per_dollar","one","residuals","own_change","adj_own","total_pts"
1,"Scottie Scheffler",23114140,11200,90.14,0.0758,0.0949,1,0.0191,0.252,80.33,14.5,101.5,34,0.8316,0.5652,0.4,0.2667,0.0842,8.47,1,-0.02,10.67,25,70.82
2,"Rory McIlroy",23114141,11000,88.43,0.0871,0.0929,2,0.0058,0.0666,85.92,19.7,107.5,55.8,0.8264,0.5556,0.3937,0.2632,0.0829,8.45,1,0.71,11.51,31,100.74
3,"Sam Burns",23114143,10400,79.25,0.0415,0.0445,5,0.003,0.0723,67.48,11.8,93,29,0.7222,0.3717,0.2247,0.1295,0.0311,4.28,1,-1.48,7.88,20,83.84
4,"Patrick Cantlay",23114144,10200,80.5,0.0639,0.0684,3,0.0045,0.0704,76.43,21.4,98,32,0.8051,0.5098,0.3448,0.2188,0.0651,6.71,1,1.52,10.33,32,74.13
5,"Xander Schauffele",23114145,10000,82.2,0.0415,0.0456,4,0.0041,0.0988,81.3,18.8,102,36,0.7519,0.4065,0.2463,0.1408,0.0341,4.56,1,-0.11,9.94,29,63.44
6,"Jordan Spieth",23114146,9900,72.25,0.0314,0.0372,6,0.0058,0.1847,71.66,16.5,96,30.5,0.6689,0.2941,0.1639,0.087,0.0181,3.76,1,-0.66,8.23,25,67.52
7,"Sungjae Im",23114147,9700,76.42,0.0367,0.0357,7,-0.001,-0.0272,79.75,14.2,100,34.5,0.7585,0.4219,0.2681,0.1592,0.041,3.68,1,-0.28,9.08,23,79.21
8,"Joaquin Niemann",23114148,9600,74.26,0.0325,0.0325,8,0,0,72.04,13.4,95.5,30.5,0.726,0.3636,0.2155,0.1178,0.0276,3.39,1,-0.35,8.39,22,72.02
9,"Tony Finau",23114149,9500,65.92,0.0262,0.0254,10,-0.000800000000000002,-0.0305,77.53,11.7,99,33,0.696,0.3165,0.1789,0.0976,0.0194,2.67,1,-0.87,7.79,19,84.63
10,"Keegan Bradley",23114150,9400,68.76,0.0308,0.0306,9,-0.000200000000000002,-0.0065,65.98,13.8,91.5,29,0.7409,0.3984,0.2457,0.1422,0.0353,3.26,1,-0.08,7.68,21,75.53
11,"Tommy Fleetwood",23114152,9200,68.19,0.0165,0.017,18,5e-04,0.0303,71.84,9.4,96,30,0.6528,0.2577,0.1337,0.0673,0.0121,1.85,1,-1.13,7.53,17,85.66
12,"Seamus Power",23114153,9100,68.5,0.0211,0.0247,11,0.0036,0.1706,62.73,12.3,88.5,28,0.6865,0.3106,0.1776,0.0955,0.0195,2.71,1,-0.11,7.44,20,75.76
13,"Harold Varner III",23114154,9000,64.78,0.0174,0.0203,15,0.0029,0.1667,69.6,8.6,94.5,29.5,0.6721,0.2899,0.16,0.0838,0.0181,2.26,1,-0.4,7.63,16,80.12
14,"Davis Riley",23114155,8900,66.04,0.0187,0.023,12,0.0043,0.2299,60.12,16.3,86.85,27.5,0.6139,0.2217,0.1107,0.0534,0.0093,2.58,1,0.06,7.2,24,68.03
15,"Aaron Wise",23114156,8800,70.14,0.021,0.0197,16,-0.0013,-0.0619,62.74,15,89.5,28,0.6815,0.3096,0.1745,0.0982,0.0206,2.24,1,-0.15,7.49,22,69.98
16,"Mito Pereira",23114157,8700,68.91,0.0215,0.0214,14,-9.99999999999994e-05,-0.0047,78.68,17.4,100,32.5,0.6933,0.3175,0.1818,0.0997,0.021,2.46,1,0.2,8.79,26,83.65
17,"Brian Harman",23114158,8600,58.74,0.0191,0.0215,13,0.0024,0.1257,60.41,15.7,86.5,28,0.7067,0.3344,0.1898,0.1007,0.0211,2.5,1,0.36,6.7,22,66.94
18,"Webb Simpson",23114159,8500,63.04,0.0144,0.0142,22,-0.000199999999999999,-0.0139,68.04,10.9,93,29.5,0.635,0.2451,0.1292,0.0643,0.0128,1.67,1,-0.37,7.22,18,84.63
19,"Marc Leishman",23114160,8400,70.85,0.0155,0.0158,19,0.000300000000000002,0.0194,57.55,10.2,85,27,0.6047,0.2101,0.1045,0.0506,0.009,1.88,1,-0.06,7.16,17,59.21
20,"Denny McCarthy",23114161,8300,65.39,0.0129,0.0139,23,0.000999999999999999,0.0775,48.99,6.2,78.5,25,0.6109,0.2132,0.105,0.0507,0.0082,1.67,1,-0.18,5.99,12,54.76
21,"Keith Mitchell",23114162,8200,69.22,0.0144,0.0149,21,5e-04,0.0347,62.88,8,89,28.5,0.639,0.2538,0.134,0.0695,0.0132,1.82,1,0.05,7.55,16,77.5
22,"Jason Day",23114163,8100,60.88,0.0134,0.0133,24,-0.000100000000000001,-0.0075,59.15,6.9,86,27,0.5984,0.2088,0.1065,0.0517,0.0096,1.64,1,-0.05,6.47,13,66.2
23,"Jason Kokrak",23114164,8000,65.73,0.01,0.0133,24,0.0033,0.33,63.55,3.9,89.5,28.15,0.6016,0.2155,0.1098,0.0555,0.0093,1.66,1,0.05,7.54,11,73.5
