,Name,ID,Salary,ceil,fpts,total_pts,odds_open,odds_close,odds_delta_per,odds_rank,win,residuals,proj_own,own_change,own
2,Rory McIlroy,23114141,11000,107.5,85.92,100.74,0.0871,0.0929,0.0666,2,0.0829,0.71,19.7,11.51,0.31
16,Mito Pereira,23114157,8700,100,78.68,83.65,0.0215,0.0214,-0.0047,14,0.021,0.2,17.4,8.79,0.26
7,Sungjae Im,23114147,9700,100,79.75,79.21,0.0367,0.0357,-0.0272,7,0.041,-0.28,14.2,9.08,0.23
26,Brendan Steele,23114167,7700,88,62.39,74.55,0.0172,0.0173,0.0058,17,0.0196,0.85,16,6.83,0.23
15,Aaron Wise,23114156,8800,89.5,62.74,69.98,0.021,0.0197,-0.0619,16,0.0206,-0.15,15,7.49,0.22
10,Keegan Bradley,23114150,9400,91.5,65.98,75.53,0.0308,0.0306,-0.0065,9,0.0353,-0.08,13.8,7.68,0.21
3,Sam Burns,23114143,10400,93,67.48,83.84,0.0415,0.0445,0.0723,5,0.0311,-1.48,11.8,7.88,0.2
12,Seamus Power,23114153,9100,88.5,62.73,75.76,0.0211,0.0247,0.1706,11,0.0195,-0.11,12.3,7.44,0.2
27,Maverick McNealy,23114168,7700,87,60.53,63.56,0.0087,0.0094,0.0805,33,0.0071,-0.18,12.6,7.59,0.2
9,Tony Finau,23114149,9500,99,77.53,84.63,0.0262,0.0254,-0.0305,10,0.0194,-0.87,11.7,7.79,0.19
18,Webb Simpson,23114159,8500,93,68.04,84.63,0.0144,0.0142,-0.0139,22,0.0128,-0.37,10.9,7.22,0.18
11,Tommy Fleetwood,23114152,9200,96,71.84,85.66,0.0165,0.017,0.0303,18,0.0121,-1.13,9.4,7.53,0.17
29,Si Woo Kim,23114170,7600,90.85,64.95,64.81,0.0112,0.0154,0.375,20,0.0153,0.7,9.2,8,0.17
13,Harold Varner III,23114154,9000,94.5,69.6,80.12,0.0174,0.0203,0.1667,15,0.0181,-0.4,8.6,7.63,0.16
21,Keith Mitchell,23114162,8200,89,62.88,77.5,0.0144,0.0149,0.0347,21,0.0132,0.05,8,7.55,0.16
25,Christiaan Bezuidenhout,23114166,7800,88.35,62.54,73.5,0.0087,0.0116,0.3333,28,0.0068,0.02,8.5,7.16,0.16
33,Cameron Davis,23114175,7500,87,59.23,65.55,0.0068,0.0082,0.2059,39,0.0037,-0.16,9.6,6.32,0.16
38,Tom Hoge,23114180,7400,87.5,61.28,61.34,0.01,0.0121,0.21,26,0.0105,0.47,8.7,7.34,0.16
43,Luke List,23114185,7300,91,65.31,69.4,0.01,0.0097,-0.03,32,0.0081,0.24,9.1,6.83,0.16
34,Jhonattan Vegas,23114176,7500,90.5,65.55,69.39,0.0087,0.0083,-0.046,38,0.0063,-0.14,7.9,7.29,0.15
37,Aaron Rai,23114179,7400,87,60.15,65.57,0.0068,0.0073,0.0735,45,0.0072,-0.18,8.1,6.41,0.15
22,Jason Day,23114163,8100,86,59.15,66.2,0.0134,0.0133,-0.0075,24,0.0096,-0.05,6.9,6.47,0.13
40,C.T. Pan,23114182,7300,87,60.15,66.82,0.0073,0.0083,0.137,38,0.0067,0.05,6.1,6.92,0.13
71,Adam Svensson,23114213,6800,84.5,56.23,57.93,0.0043,0.0052,0.2093,66,0.0037,0.08,6.5,6.05,0.13
45,Kevin Streelman,23114187,7200,87,60.4,69.55,0.0056,0.006,0.0714,55,0.0077,-0.17,6.4,5.82,0.12
8,Joaquin Niemann,23114148,9600,95.5,72.04,72.02,0.0325,0.0325,0,8,0.0276,-0.35,13.4,8.39,0.11
23,Jason Kokrak,23114164,8000,89.5,63.55,73.5,0.01,0.0133,0.33,24,0.0093,0.05,3.9,7.54,0.11
35,Cameron Tringale,23114177,7400,85,56.74,60.2,0.0112,0.0115,0.0268,30,0.0102,0.38,8.8,6.97,0.11
61,Russell Knox,23114203,6900,85.5,57.28,62.73,0.006,0.0075,0.25,42,0.0068,0.34,4.2,6.42,0.11
68,Lucas Glover,23114210,6800,87,60.62,64.59,0.0068,0.007,0.0294,48,0.0057,0.35,4.3,6.82,0.11
79,David Lipsky,23114221,6700,87,59,68.57,0.0057,0.0062,0.0877,54,0.0042,0.32,4.7,6.34,0.11
17,Brian Harman,23114158,8600,86.5,60.41,66.94,0.0191,0.0215,0.1257,13,0.0211,0.36,15.7,6.7,0.1
51,Lanto Griffin,23114193,7100,87,59.22,67.58,0.0073,0.0074,0.0137,44,0.0058,0.13,2.7,6.86,0.1
53,Emiliano Grillo,23114195,7100,86.5,58.28,62.73,0.0043,0.0071,0.6512,47,0.0052,0.09,3.8,6.45,0.1
44,Charles Howell III,23114186,7200,87,60.89,59.95,0.0087,0.0085,-0.023,35,0.0068,0.18,2.1,6.54,0.09
14,Davis Riley,23114155,8900,86.85,60.12,68.03,0.0187,0.023,0.2299,12,0.0093,0.06,16.3,7.2,0.08
59,Alex Smalley,23114201,7000,85.5,57.22,61.05,0.0058,0.005,-0.1379,70,0.0055,-0.11,1.9,5.96,0.08
42,Ryan Palmer,23114184,7300,86.85,59.17,65.55,0.0043,0.0057,0.3256,60,0.0023,-0.31,1.3,6.01,0.07
62,Scott Stallings,23114205,6900,84,54.99,56.95,0.0043,0.0058,0.3488,58,0.0028,0.09,0.65,6.02,0.07
4,Patrick Cantlay,23114144,10200,98,76.43,74.13,0.0639,0.0684,0.0704,3,0.0651,1.52,21.4,10.33,0.05
30,Kyoung-Hoon Lee,23114171,7600,82.35,53.86,59.43,0.01,0.0115,0.15,30,0.0099,0.18,6.8,6.51,0.02
50,Doug Ghim,23114192,7100,87,59.79,56.86,0.0056,0.0084,0.5,36,0.0075,0.27,0.95,6.54,0.02
39,Sahith Theegala,23114181,7300,84.85,57.09,56.94,0.0053,0.0065,0.2264,53,0.0032,-0.2,6.4,6.74,0.01
65,Martin Laird,23114208,6900,84.5,55.23,55.27,0.0056,0.0044,-0.2143,76,0.0046,-0.11,0.89,5.43,0.01
1,Scottie Scheffler,23114140,11200,101.5,80.33,70.82,0.0758,0.0949,0.252,1,0.0842,-0.02,14.5,10.67,0
5,Xander Schauffele,23114145,10000,102,81.3,63.44,0.0415,0.0456,0.0988,4,0.0341,-0.11,18.8,9.94,0
6,Jordan Spieth,23114146,9900,96,71.66,67.52,0.0314,0.0372,0.1847,6,0.0181,-0.66,16.5,8.23,0
19,Marc Leishman,23114160,8400,85,57.55,59.21,0.0155,0.0158,0.0194,19,0.009,-0.06,10.2,7.16,0
20,Denny McCarthy,23114161,8300,78.5,48.99,54.76,0.0129,0.0139,0.0775,23,0.0082,-0.18,6.2,5.99,0
24,Brendon Todd,23114165,7900,81.5,52.44,50.52,0.0103,0.0121,0.1748,26,0.0075,-0.01,13.7,5.99,0
28,Joel Dahmen,23114169,7700,80.5,50.88,50.54,0.0119,0.0109,-0.084,31,0.0103,0.02,9.1,5.94,0
31,Harris English,23114172,7600,77,47.07,49.21,0.0065,0.0058,-0.1077,58,0.0022,-0.57,5.2,4.55,0
32,Kevin Kisner,23114173,7500,81,51.95,48.05,0.0057,0.0075,0.3158,42,0.0043,-0.25,4.6,5.43,0
36,Mackenzie Hughes,23114178,7400,76.5,46.22,52.29,0.0073,0.0076,0.0411,41,0.005,-0.14,9.4,5.11,0
41,Anirban Lahiri,23114183,7300,82,54.26,48.05,0.0057,0.0066,0.1579,51,0.0063,-0.19,3.8,5.3,0
46,Cameron Champ,23114188,7200,80,49.41,48.05,0.0043,0.0066,0.5349,51,0.0035,-0.08,0.74,5.32,0
47,Chez Reavie,23114189,7200,80.5,51.33,48.05,0.0056,0.0066,0.1786,51,0.0038,-0.08,1.4,5.11,0
48,Matthew NeSmith,23114190,7200,80.5,52.89,45.15,0.0068,0.0092,0.3529,34,0.0074,0.28,6,6.03,0
49,Troy Merritt,23114191,7100,83.5,54.29,54.28,0.0073,0.0069,-0.0548,49,0.0054,0.06,1.2,6.39,0
52,Sepp Straka,23114194,7100,81,52.21,52.29,0.0056,0.0058,0.0357,58,0.0048,-0.09,2.2,5.56,0
54,Nick Hardy,23114196,7100,78.5,48.97,52.29,0.0043,0.0044,0.0233,76,0.0033,-0.29,2.6,5.07,0
55,Adam Long,23114197,7000,81,51.97,49.39,0.0073,0.0079,0.0822,40,0.0095,0.31,6.1,5.87,0
56,Rickie Fowler,23114198,7000,81,52.8,48.05,0.0048,0.0056,0.1667,62,0.0025,-0.02,2.9,5.44,0
57,Stewart Cink,23114199,7000,81,51.31,48.05,0.0043,0.005,0.1628,70,0.0026,-0.11,0.76,5.18,0
58,Dylan Frittelli,23114200,7000,78,49.62,48.05,0.0032,0.0052,0.625,66,0.0019,-0.08,0.82,5.54,0
60,J.J. Spaun,23114202,7000,83,54.7,52.97,0.0043,0.0072,0.6744,46,0.0058,0.21,1.3,6.61,0
63,Danny Willett,23114206,6900,80,50.82,48.05,0.0019,0.0047,1.4737,72,0.0017,-0.07,0.48,5.71,0
64,Scott Piercy,23114207,6900,79.5,50.65,40.29,0.0032,0.0027,-0.1562,104,0.0017,-0.36,0.4,4.65,0
66,Beau Hossler,23127955,6900,71,41.37,42.7,0.0057,0.0057,0,60,0.0032,0.08,0,4.4,0
67,John Huh,23114209,6800,82,53.67,40.29,0.0032,0.0023,-0.2813,108,0.0031,-0.34,1.5,5.29,0
69,Matthew Wolff,23114211,6800,59,33.61,27.73,0.0019,0.0019,0,130,0,-0.4,1.4,2.69,0
70,Stephan Jaeger,23114212,6800,74,44.06,49.52,0.0019,0.0044,1.3158,76,0.0014,-0.03,0.29,4.86,0
72,Austin Smotherman,23114214,6800,84,56.18,53.95,0.0032,0.0044,0.375,76,0.0027,-0.03,5.1,6.33,0
73,Zach Johnson,23114215,6800,76.5,46.39,48.87,0.0032,0.0035,0.0937,82,0.0019,-0.17,0.26,3.81,0
74,Patton Kizzire,23114216,6700,73.35,48.14,42.6,0.0032,0.0039,0.2187,80,0.0019,-0.03,1.6,4.77,0
75,Wyndham Clark,23114217,6700,74.5,44.32,37.53,0.0032,0.0031,-0.0313,90,0.0016,-0.15,2.3,4.59,0
76,Matt Wallace,23114218,6700,74,45.2,34.69,0.0019,0.0019,0,130,7.00E-04,-0.33,1.3,3.93,0
77,Joseph Bramlett,23114219,6700,78,47.23,42.88,0.0019,0.0033,0.7368,84,0.0017,-0.12,0.38,5.15,0
78,Chad Ramey,23114220,6700,76,46.52,41.57,0.0032,0.0031,-0.0313,90,0.0025,-0.15,0.67,4.8,0
80,Kramer Hickok,23114222,6700,80,51.18,46.9,0.0032,0.0058,0.8125,58,0.003,0.26,1.2,5.4,0
81,Carlos Ortiz,23114223,6600,79.5,49.01,41.57,0.0032,0.0029,-0.0938,96,0.0018,-0.11,1.3,5.35,0
82,J.T. Poston,23114224,6600,79,48.99,49.8,0.0032,0.0041,0.2813,78,0.0033,0.07,1.4,4.73,0
83,Danny Lee,23114225,6600,77,47.34,41.57,0.0043,0.0031,-0.2791,90,0.0034,-0.08,2.3,4.29,0
84,James Hahn,23114226,6600,82,52.82,46.9,0.0032,0.0051,0.5938,67,0.0026,0.22,0.52,5.33,0
85,Callum Tarren,23114227,6600,73.5,44.2,39.3,0.0019,0.0036,0.8947,81,8.00E-04,0,0.5,5.12,0
86,Brice Garnett,23114228,6600,81,52.19,41.57,0.0032,0.0032,0,86,0.0019,-0.07,0.25,4.93,0
87,Andrew Putnam,23114229,6600,73.5,43.86,44.87,0.0043,0.005,0.1628,70,0.0032,0.21,2,4.63,0
88,Adam Schenk,23114230,6600,75.5,45.7,45.59,0.0056,0.0054,-0.0357,64,0.0026,0.27,3.7,4.47,0
89,Matthias Schwab,23114231,6500,75.68,52.11,42.88,0.0019,0.0035,0.8421,82,0.0019,0.04,0.61,5.64,0
90,Rory Sabbatini,23114232,6500,81,52.23,40.48,0.0032,0.0033,0.0312,84,0.0027,0.01,0.84,5.74,0
91,Garrick Higgo,23114233,6500,77.5,48.5,44.28,0.002,0.0021,0.05,111,8.00E-04,-0.18,0.86,4.32,0
92,Nate Lashley,23114234,6500,80,51.04,41.57,0.0032,0.0032,0,86,0.0033,-0.01,1.3,5.52,0
93,Charley Hoffman,23114235,6500,84.5,55.71,50.64,0.0032,0.0031,-0.0313,90,0.0019,-0.02,2.9,5.19,0
94,Hayden Buckley,23114236,6500,74.5,44.62,44.87,0.0032,0.0045,0.4062,73,0.0017,0.19,3.1,4.75,0
95,Doc Redman,23114237,6500,76.5,47.04,39.58,0.0019,0.0029,0.5263,96,0.0014,-0.05,0.38,4.85,0
96,Hank Lebioda,23114238,6500,80,50.17,46.9,0.0032,0.005,0.5625,70,0.0018,0.27,3.3,5.19,0
97,Brian Stuard,23114240,6400,76,46.56,44.63,0.0019,0.0028,0.4737,100,0.002,-0.01,0.74,4.52,0
98,Peter Malnati,23114241,6400,74.35,45.01,39.3,0.0019,0.003,0.5789,94,0.0013,0.02,1.4,5.2,0
99,Lee Hodges,23114242,6400,81.5,52.72,41.9,0.0019,0.0039,1.0526,80,0.0019,0.16,1.2,6.13,0
100,Chris Gotterup,23114243,6400,82.2,47.54,49.36,0.0032,0.0027,-0.1562,104,9.00E-04,-0.03,4.8,5.24,0
101,Greyson Sigg,23114244,6400,77.5,49.25,42.88,0.0019,0.0028,0.4737,100,0.002,-0.01,0.34,5.34,0
102,Luke Donald,23114245,6400,76,46.4,35.61,0.0019,0.0019,0,130,6.00E-04,-0.15,0.8,4.29,0
103,Tyler Duncan,23114246,6400,79.5,50.51,45.17,0.0056,0.0054,-0.0357,64,0.0043,0.39,5.1,5.48,0
104,Max McGreevy,23114247,6400,57.85,33.3,29.48,0.0019,0.0019,0,130,0,-0.15,0.2,2.1,0
105,Bo Hoag,23123235,6400,75.5,46,35.61,0.0019,0.0019,0,130,0,-0.15,0.13,3.65,0
106,Kevin Tway,23114248,6300,67.35,38.34,29.48,0.0019,0.0019,0,130,5.00E-04,-0.11,0.24,2.91,0
107,Brandon Wu,23114249,6300,75.5,45.48,39.58,0.0019,0.0031,0.6316,90,0.0015,0.08,0.62,5.07,0
108,Taylor Moore,23114250,6300,77.5,48,43.32,0.0032,0.003,-0.0625,94,0.0025,0.07,1.2,4.56,0
109,Robert Streb,23114251,6300,74.5,44.65,44.35,0.0019,0.0028,0.4737,100,0.0017,0.03,0.63,4.49,0
110,Austin Cook,23114252,6300,61.85,34.59,29.48,0.0019,0.0019,0,130,0,-0.11,0.35,2.45,0
111,Harry Higgs,23114253,6300,69,39.32,31.56,0.0019,0.0019,0,130,0,-0.11,0.3,3.28,0
112,Henrik Norlander,23114254,6300,80.35,50.4,40.04,0.0019,0.0023,0.2105,108,9.00E-04,-0.04,0.41,4.9,0
113,Andrew Novak,23114255,6300,79,49,36.46,0.0019,0.0028,0.4737,100,6.00E-04,0.03,0.54,5.36,0
114,Roger Sloan,23114256,6300,78.5,49.03,38.73,0.0019,0.0019,0,130,7.00E-04,-0.11,0.27,4.06,0
115,Dylan Wu,23114257,6300,70.5,40.96,34.69,0.0019,0.0019,0,130,7.00E-04,-0.11,0.26,3.59,0
116,Brandt Snedeker,23114258,6200,74.5,45.33,39.76,0.0019,0.0027,0.4211,104,0.0011,0.07,0.88,4.38,0
