datagolf_name,dk_name,sample_size,dk_id,dk_salary,std_dev,tee_time,early_late_wave,scoring_points,finish_points,manual_bump,total_points,value,max_exposure,projected_ownership,lineup_rule
"Streb, Robert","Robert Streb",150,23114251,6300,28.771,12:30 pm,0,49.2,1.3,0,50.5,0.15,100,0.931826848310849,
"Higgs, Harry","Harry Higgs",150,23114253,6300,25.446,1:30 pm,0,42.5,0.7,0,43.2,-0.21,100,0.648803304428477,
"Cook, Austin","Austin Cook",150,23114252,6300,25.601,12:10 pm,0,43.1,0.7,0,43.8,-0.19,100,0.411819533206551,
"Sloan, Roger","Roger Sloan",150,23114256,6300,26.862,6:45 am,1,45.5,0.9,0,46.4,-0.09,100,0.0417220668478584,
"Novak, Andrew","Andrew Novak",150,23114255,6300,26.686,8:35 am,1,45.3,0.9,0,46.2,-0.1,100,0.49081412361386,
"Moore, Taylor","Taylor Moore",150,23114250,6300,29.037,12:10 pm,0,50.4,1.4,0,51.8,0.27,100,1.20680554887573,
"Wu, Dylan","Dylan Wu",150,23114257,6300,25.308,8:45 am,1,42.6,0.7,0,43.2,-0.21,100,0.0417220668478584,
"Norlander, Henrik","Henrik Norlander",150,23114254,6300,27.968,6:45 am,1,48,1.1,0,49.1,0.03,100,0.664602222509938,
"Wu, Brandon","Brandon Wu",150,23114249,6300,27.955,7:05 am,1,47.9,1.1,0,49,0.02,100,0.907983086911893,
"Gligic, Michael","Michael Gligic",150,23114265,6200,25.646,1:50 pm,0,43,0.7,0,43.7,-0.17,100,0.0417220668478584,
"Kohles, Ben","Ben Kohles",150,23114267,6200,25.955,1:50 pm,0,44.2,0.8,0,45.1,-0.11,100,0.0417220668478584,
"Skinns, David","David Skinns",150,23114266,6200,22.214,1:40 pm,0,37.4,0.4,0,37.8,-0.39,100,0.0417220668478584,
"Snedeker, Brandt","Brandt Snedeker",150,23114258,6200,27.449,7:15 am,1,46.9,1,0,47.9,-0.01,100,1.41237300488255,
"Hadley, Chesson","Chesson Hadley",150,23114264,6200,21.805,7:05 am,1,36.7,0.3,0,37.1,-0.42,100,0.0417220668478584,
"Aphibarnrat, Kiradech","Kiradech Aphibarnrat",150,23114262,6200,24.999,12:10 pm,0,42.3,0.6,0,42.9,-0.2,100,0.244386595985271,
"Kraft, Kelly","Kelly Kraft",150,23114263,6200,27.109,6:55 am,1,45.2,0.9,0,46.1,-0.07,100,0.746338779323402,
"Lower, Justin","Justin Lower",150,23114259,6200,27.183,2:00 pm,0,46.7,1,0,47.7,-0.01,100,0.800132626747816,
"Ryder, Sam","Sam Ryder",150,23114260,6200,29.029,6:55 am,1,50.6,1.4,0,52,0.34,100,0.923740073488124,
