"","Name","ID","Salary","AvgPointsPerGame","odds_open","odds_close","odds_rank","odds_delta","odds_delta_per","fpts","proj_own","ceil","floor","odds_per_dollar","one","residuals","own_change","adj_own","ownership","total_pts","date","tournament"
"1","Scottie Scheffler",21880896,11000,92.62,0.0581,0.0492,6,-0.0089,-0.1532,70.61,9.5,88,32,4.47,1,-2.28,-9.28,0,0.0948,108,"2022-04-07","The Masters"
"2","Jon Rahm",21880897,10800,84.94,0.076,0.0872,1,0.0112,0.1474,82.14,18.1,97.5,65.5,8.07,1,1.81,33.97,50,0.1721,53.5,"2022-04-07","The Masters"
"3","Dustin Johnson",21880898,10500,72.9,0.0501,0.0544,4,0.0043,0.0858,70.62,13.8,89,32.5,5.18,1,-0.37,18.4,30,0.0952,66.5,"2022-04-07","The Masters"
"4","Justin Thomas",21880899,10300,104.15,0.0682,0.0724,2,0.00420000000000001,0.0616,79.14,22.6,96.5,62,7.03,1,1.93,19.89,40,0.2597,79.5,"2022-04-07","The Masters"
"5","Collin Morikawa",21880900,10200,89,0.0435,0.0372,12,-0.0063,-0.1448,67.94,9,87,30.43,3.65,1,-1.24,-3.32,5,0.0915,85,"2022-04-07","The Masters"
"6","Viktor Hovland",21880901,10100,98.35,0.0419,0.0419,8,0,0,72.25,8.5,89.57,52.93,4.15,1,-0.53,9.6,20,0.1071,64.5,"2022-04-07","The Masters"
"7","Rory McIlroy",21880902,10000,87.89,0.0431,0.0503,5,0.0072,0.1671,70.36,11.6,88.5,32,5.03,1,0.56,25.1,35,0.1005,94.5,"2022-04-07","The Masters"
"8","Cameron Smith",21880903,9900,98.69,0.0538,0.0578,3,0.004,0.0743,68.85,21.8,86.5,30.93,5.84,1,1.57,19.23,40,0.217,97.5,"2022-04-07","The Masters"
"9","Jordan Spieth",21880904,9800,69.28,0.0412,0.0394,10,-0.0018,-0.0437,65.4,13.2,84.5,28.5,4.02,1,-0.05,6.38,20,0.1245,21.5,"2022-04-07","The Masters"
"10","Xander Schauffele",21880905,9600,88.5,0.0346,0.038,11,0.0034,0.0983,75,15.6,92,58.5,3.96,1,0.27,17.1,35,0.1563,12.5,"2022-04-07","The Masters"
"11","Patrick Cantlay",21880906,9500,94.75,0.0418,0.041,9,-0.000799999999999995,-0.0191,73.8,10.5,91.5,56.5,4.32,1,0.81,9.01,20,0.1274,44.5,"2022-04-07","The Masters"
"12","Brooks Koepka",21880907,9400,61.38,0.0444,0.0433,7,-0.0011,-0.0248,63.93,20.5,85,28,4.61,1,1.28,8.77,30,0.2059,16.5,"2022-04-07","The Masters"
"13","Hideki Matsuyama",21880908,9300,88.75,0.018,0.0193,17,0.0013,0.0722,64.71,1.8,85,28,2.08,1,-1.08,11.84,15,0.0392,61.5,"2022-04-07","The Masters"
"14","Will Zalatoris",21880909,9200,73.45,0.0259,0.0229,13,-0.003,-0.1158,64.22,12.8,84.5,27,2.49,1,-0.5,3.76,15,0.1358,83,"2022-04-07","The Masters"
"15","Bryson DeChambeau",21880910,9100,63.38,0.0151,0.0165,23,0.0014,0.0927,60.97,3.4,82,26.5,1.81,1,-1.02,12.12,15,0.0228,12,"2022-04-07","The Masters"
"16","Daniel Berger",21880911,9000,87,0.0188,0.0202,16,0.0014,0.0745,71.48,9.7,88.57,52.5,2.24,1,-0.43,12.53,20,0.0783,48.5,"2022-04-07","The Masters"
"17","Louis Oosthuizen",21880912,8900,71,0.0203,0.0186,19,-0.0017,-0.0837,67.87,8.6,85.5,30,2.09,1,-0.43,6.35,15,0.0799,10.5,"2022-04-07","The Masters"
"18","Shane Lowry",21880913,8800,69.39,0.0195,0.0216,14,0.0021,0.1077,66.97,14.8,85.5,29.5,2.45,1,0.07,14.37,30,0.0967,89,"2022-04-07","The Masters"
"19","Talor Gooch",21880914,8700,84.82,0.0107,0.0086,40,-0.0021,-0.1963,59.26,3.9,81.5,26.5,0.99,1,-1.25,5.25,10,0.0352,57.5,"2022-04-07","The Masters"
"20","Sam Burns",21880915,8600,86.88,0.0184,0.0214,15,0.003,0.163,66.29,12.4,85.07,29.43,2.49,1,0.37,16.54,30,0.1359,22.5,"2022-04-07","The Masters"
"21","Tiger Woods",21880916,8500,0,0.0126,0.0174,21,0.0048,0.381,37.45,11.4,64,20.5,2.05,1,0.05,21.09,30,0.0743,42,"2022-04-07","The Masters"
"22","Sungjae Im",21880917,8400,81.54,0.0138,0.0127,27,-0.0011,-0.0797,66.53,4.1,85.5,28.5,1.51,1,-0.38,7.58,10,0.0625,79,"2022-04-07","The Masters"
"23","Adam Scott",21880918,8300,75.05,0.0162,0.0153,25,-9e-04,-0.0556,62.33,12.9,83.5,27,1.84,1,0.04,8.26,20,0.1116,44.5,"2022-04-07","The Masters"
"24","Joaquin Niemann",21880919,8200,75.27,0.0178,0.0192,18,0.0014,0.0787,65.57,11.7,84,28.5,2.34,1,0.62,13.33,25,0.1119,52,"2022-04-07","The Masters"
"25","Tony Finau",21880920,8100,63.18,0.0169,0.0178,20,0.000900000000000001,0.0533,63.92,13.3,84,27.5,2.2,1,0.55,12.24,25,0.1066,55,"2022-04-07","The Masters"
"26","Tyrrell Hatton",21880921,8000,82.72,0.0166,0.0167,22,9.99999999999994e-05,0.006,67.21,12.1,86,29.5,2.09,1,0.48,10.56,25,0.1594,40.5,"2022-04-07","The Masters"
"27","Abraham Ancer",21880922,7900,70.5,0.0083,0.009,38,0.000699999999999999,0.0843,58.48,2.3,80,26,1.14,1,-0.43,11.15,15,0.0521,23,"2022-04-07","The Masters"
"28","Sergio Garcia",21880923,7800,72.36,0.0093,0.0072,46,-0.0021,-0.2258,59.41,3.4,81,26,0.92,1,-0.61,5.85,10,0.0469,61.5,"2022-04-07","The Masters"
"29","Russell Henley",21880924,7800,88.59,0.013,0.0146,26,0.0016,0.1231,61.96,15.3,82.07,27,1.87,1,0.34,13.61,30,0.1781,63,"2022-04-07","The Masters"
"30","Tommy Fleetwood",21880926,7700,70.22,0.0095,0.0104,31,9e-04,0.0947,62.53,8.8,82.5,27.5,1.35,1,-0.14,11.78,20,0.0976,64.5,"2022-04-07","The Masters"
