,,Win,,Cover,,Total Points,,Implied,Implied Score,
Team,Date,Moneyline,$20 Bet,Spread,$20 Bet,Over-Under,$20 Bet,Win %,Team,Opp
Norfolk State,2021-11-29 18:00:00,,,,,,,,,
Grambling,2021-11-29 18:00:00,,,,,,,,,
Hartford,2021-11-29 18:30:00,310,62.00,9.0,18.18,129.5,18.18,23.3,60.3,69.3
Appalachian State,2021-11-29 18:30:00,-410,4.88,-9.0,18.18,129.5,18.18,76.7,69.3,60.3
Lafayette,2021-11-29 19:00:00,-115,17.39,-1.0,18.18,138.5,17.39,51.1,69.8,68.8
Columbia,2021-11-29 19:00:00,-105,19.05,1.0,18.18,138.5,19.05,48.9,68.8,69.8
Iowa,2021-11-29 19:00:00,115,23.00,2.0,18.18,130.0,18.18,44.7,64.0,66.0
Virginia,2021-11-29 19:00:00,-135,14.81,-2.0,18.18,130.0,18.18,55.3,66.0,64.0
Central Michigan,2021-11-29 19:00:00,1700,340.00,30.0,18.18,147.5,18.18,5.4,58.8,88.8
Kentucky,2021-11-29 19:00:00,-4000,0.50,-30.0,18.18,147.5,18.18,94.6,88.8,58.8
South Florida,2021-11-29 19:00:00,180,36.00,5.5,18.18,119.0,16.67,34.2,56.8,62.3
Boston College,2021-11-29 19:00:00,-220,9.09,-5.5,18.18,119.0,20.00,65.8,62.3,56.8
Cornell,2021-11-29 19:00:00,160,32.00,4.5,18.18,157.0,18.18,37.0,76.3,80.8
Canisius,2021-11-29 19:00:00,-190,10.53,-4.5,18.18,157.0,18.18,63.0,80.8,76.3
North Carolina Central,2021-11-29 19:00:00,-575,3.48,10.5,19.05,137.5,18.18,,63.5,74.0
Gardner-Webb,2021-11-29 19:00:00,,,-10.5,17.39,137.5,18.18,,74.0,63.5
Niagara,2021-11-29 19:00:00,385,77.00,11.0,18.18,138.5,18.18,19.7,63.8,74.8
Colgate,2021-11-29 19:00:00,-525,3.81,-11.0,18.18,138.5,18.18,80.3,74.8,63.8
Tulsa,2021-11-29 20:00:00,110,22.00,1.5,18.18,143.5,18.18,45.7,71.0,72.5
Oral Roberts,2021-11-29 20:00:00,-130,15.38,-1.5,18.18,143.5,18.18,54.3,72.5,71.0
Austin Peay,2021-11-29 20:00:00,850,170.00,17.0,19.05,136.5,19.05,10.1,59.8,76.8
TCU,2021-11-29 20:00:00,-1500,1.33,-17.0,17.39,136.5,17.39,89.9,76.8,59.8
Mississippi Valley St.,2021-11-29 20:00:00,3500,700.00,37.5,18.18,144.0,18.18,2.7,53.3,90.8
Vanderbilt,2021-11-29 20:00:00,-12500,0.16,-37.5,18.18,144.0,18.18,97.3,90.8,53.3
Sam Houston,2021-11-29 20:30:00,1300,260.00,22.0,18.18,127.5,18.18,6.9,52.8,74.8
Texas,2021-11-29 20:30:00,-3000,0.67,-22.0,18.18,127.5,18.18,93.1,74.8,52.8
Morgan State,2021-11-29 20:30:00,-180,11.11,-4.0,17.39,144.5,18.18,62.1,74.3,70.3
Hampton,2021-11-29 20:30:00,155,31.00,4.0,19.05,144.5,18.18,37.9,70.3,74.3
Notre Dame,2021-11-29 21:00:00,,,,,,,,,
Illinois,2021-11-29 21:00:00,,,,,,,,,
Texas-Arlington,2021-11-29 21:00:00,550,110.00,12.5,17.39,136.5,18.18,14.8,62.0,74.5
Cal-Santa Barbara,2021-11-29 21:00:00,-800,2.50,-12.5,19.05,136.5,18.18,85.2,74.5,62.0
Tarleton State,2021-11-29 22:00:00,2000,400.00,31.0,18.18,138.0,18.18,4.6,53.5,84.5
Gonzaga,2021-11-29 22:00:00,-5000,0.40,-31.0,18.18,138.0,18.18,95.4,84.5,53.5
Grand Canyon,2021-11-29 22:00:00,140,28.00,3.5,18.18,129.0,18.18,40.4,62.8,66.3
Loyola Marymount,2021-11-29 22:00:00,-160,12.50,-3.5,18.18,129.0,18.18,59.6,66.3,62.8
UC Riverside,2021-11-29 22:00:00,360,72.00,9.5,18.18,120.5,18.18,20.7,55.5,65.0
St. Mary's (CAL),2021-11-29 22:00:00,-490,4.08,-9.5,18.18,120.5,18.18,79.3,65.0,55.5
Montana,2021-11-29 22:00:00,525,105.00,13.0,18.18,131.0,17.39,15.3,59.0,72.0
Oregon,2021-11-29 22:00:00,-760,2.63,-13.0,18.18,131.0,19.05,84.7,72.0,59.0
Wyoming,2021-11-29 22:00:00,-195,10.26,-4.0,18.18,141.0,17.39,63.7,72.5,68.5
Cal State-Fullerton,2021-11-29 22:00:00,165,33.00,4.0,18.18,141.0,19.05,36.3,68.5,72.5
