ENO,Player,IP,PPERA,PPK,PPSTUFF+,PPLOCATION+,PPPITCHING+,INJURY PCT,NFC ADP,LEAGUE,TEAM
1,Corbin Burnes,196,2.34,0.33,126,103,109,5.6,17,NL,MIL
2,Gerrit Cole,199,2.65,0.34,129,103,111,70.3,19,AL,NYY
3,Spencer Strider,151,2.43,0.36,134,102,111,64.3,35,NL,ATL
4,Shohei Ohtani,171,2.9,0.33,125,98,106,70.3,9,AL,LAA
5,Sandy Alcantara,216,2.87,0.26,120,105,107,4.2,29,NL,MIA
6,Brandon Woodruff,182,2.97,0.3,113,107,109,21.9,36,NL,MIL
7,Shane McClanahan,181,2.89,0.3,112,103,107,50.8,41,AL,TBR
8,Jacob deGrom,138,1.76,0.39,137,106,115,92.9,29,AL,TEX
9,Justin Verlander,175,2.86,0.29,118,105,108,97.5,44,NL,NYM
10,Carlos Rodon,178,2.89,0.33,114,103,106,89.7,45,AL,NYY
11,Max Scherzer,175,3.2,0.3,106,103,105,54.7,50,NL,NYM
12,Zack Wheeler,174,3.17,0.27,111,106,109,94.3,56,NL,PHI
13,Luis Castillo,194,3.12,0.26,102,103,102,26.1,62,AL,SEA
14,Aaron Nola,202,3.18,0.28,107,108,108,13.4,39,NL,PHI
15,Dylan Cease,187,3.18,0.32,124,98,106,3.1,44,AL,CHW
16,Cristian Javier,175,3.21,0.32,116,99,104,36.3,67,AL,HOU
17,Kevin Gausman,179,3.19,0.28,110,105,108,39.5,64,AL,TOR
18,Zac Gallen,183,3.33,0.26,107,104,106,30,74,NL,ARI
19,Julio Urias,190,3.48,0.26,110,107,109,0.3,58,NL,LAD
20,Tyler Glasnow,135,2.19,0.37,139,102,110,97.8,87,AL,TBR
21,Blake Snell,156,3.18,0.31,119,98,104,74.5,120,NL,SDP
22,Yu Darvish,185,3.31,0.27,113,102,104,90.4,82,NL,SDP
23,Joe Musgrove,187,3.35,0.26,103,101,103,15.5,82,NL,SDP
24,Shane Bieber,204,3.49,0.27,98,102,103,8.8,59,AL,CLE
25,Luis Severino,146,3.44,0.28,108,102,104,99.6,115,AL,NYY
26,Framber Valdez,195,3.44,0.25,110,97,99,8.1,84,AL,HOU
27,Logan Webb,186,3.33,0.23,105,103,104,11.3,118,NL,SFG
28,Alek Manoah,199,3.63,0.25,100,99,100,3.8,70,AL,TOR
29,Max Fried,186,3.62,0.23,96,101,102,12,72,NL,ATL
30,George Kirby,170,3.42,0.24,99,106,104,44.8,105,AL,SEA
31,Logan Gilbert,181,3.57,0.25,102,100,103,7.4,115,AL,SEA
32,Robbie Ray,190,3.58,0.28,95,101,100,6.3,101,AL,SEA
33,Drew Rasmussen,160,3.28,0.25,106,104,107,52.6,181,AL,TBR
34,Clayton Kershaw,144,3.36,0.27,106,103,106,89.3,126,NL,LAD
35,Kodai Senga,156,3.72,#N/A,#N/A,#N/A,#N/A,#N/A,187,NL,NYM
36,Nestor Cortes,157,3.47,0.27,107,102,103,24.3,117,AL,NYY
37,Hunter Greene,156,3.71,0.31,128,100,106,78,114,NL,CIN
38,Triston McKenzie,191,3.8,0.27,109,101,103,5.3,91,AL,CLE
39,Chris Sale,140,3.73,0.26,103,102,101,99.2,159,AL,BOS
40,Grayson Rodriguez,121,3.05,0.29,114,100,102,#N/A,193,AL,BAL
41,Dustin May,130,3.61,0.27,104,100,104,91.5,157,NL,LAD
42,Charlie Morton,149,3.75,0.27,102,100,103,92.2,168,NL,ATL
43,Jordan Montgomery,172,3.47,0.23,100,103,100,61.1,166,NL,STL
44,Luis Garcia,174,3.02,0.27,121,98,104,11.6,162,AL,HOU
45,Jeffrey Springs,156,3.55,0.26,93,104,104,68.9,176,AL,TBR
46,Lance Lynn,175,3.78,0.24,99,103,101,86.5,139,AL,CHW
47,Chris Bassitt,176,3.87,0.22,98,102,101,79.8,155,AL,TOR
48,Kyle Wright,181,3.91,0.23,103,98,99,14.4,123,NL,ATL
49,Nathan Eovaldi,145,3.39,0.25,108,106,109,94.3,240,AL,TEX
50,Alex Cobb,155,3.54,0.23,94,102,101,94.3,235,NL,SFG
51,Freddy Peralta,128,3.41,0.29,107,99,103,74.9,145,NL,MIL
52,Jon Gray,172,3.65,0.25,100,101,100,84.8,196,AL,TEX
53,Pablo Lopez,161,3.77,0.23,96,104,102,66.4,168,NL,MIA
54,Andrew Heaney,133,3.87,0.27,97,102,102,95.7,214,AL,TEX
55,Tyler Mahle,145,3.62,0.25,100,104,104,27.9,274,AL,MIN
56,Jose Berrios,176,4,0.23,101,103,103,1,234,AL,TOR
57,Nick Lodolo,160,4.15,0.28,105,97,99,55.1,130,NL,CIN
58,Patrick Sandoval,163,4.13,0.24,95,98,98,17.6,215,AL,LAA
59,Jameson Taillon,170,3.91,0.23,100,105,105,87.6,251,NL,CHC
60,Joe Ryan,175,3.87,0.26,98,103,100,23.3,148,AL,MIN
61,Trevor Rogers,169,3.7,0.25,101,101,102,31.8,253,NL,MIA
62,Sonny Gray,135,3.41,0.25,104,100,102,78.7,220,AL,MIN
63,Lance McCullers Jr.,125,3.58,0.26,106,98,102,95.4,205,AL,HOU
64,Jesus Luzardo,141,3.84,0.25,103,97,97,62.8,149,NL,MIA
65,Marcus Stroman,171,3.71,0.22,104,102,101,66.7,277,NL,CHC
66,Garrett Whitlock,131,3.57,0.26,103,104,106,59.7,289,AL,BOS
67,Zach Eflin,144,3.49,0.23,98,107,102,75.9,302,AL,TBR
68,Kyle Bradish,159,3.64,0.24,108,98,101,61.4,391,AL,BAL
69,Brady Singer,179,3.7,0.23,98,101,99,43.8,186,AL,KCR
70,Aaron Civale,130,3.89,0.23,102,102,101,48.4,326,AL,CLE
71,Carlos Carrasco,145,3.98,0.22,92,104,102,97.1,304,NL,NYM
72,Miles Mikolas,169,3.94,0.18,91,106,101,81.2,234,NL,STL
73,Ross Stripling,142,3.96,0.22,98,105,100,57.5,301,NL,SFG
74,Merrill Kelly,196,4.07,0.21,96,104,101,9.5,251,NL,ARI
75,Alex Wood,126,3.77,0.23,92,101,99,85.5,383,NL,SFG
76,Lucas Giolito,178,4.01,0.25,92,101,102,1.4,152,AL,CHW
77,Tony Gonsolin,143,4.09,0.24,102,98,101,74.2,173,NL,LAD
78,Reid Detmers,155,4.54,0.25,97,97,97,33.2,213,AL,LAA
79,Kenta Maeda,140,4.12,#N/A,#N/A,#N/A,#N/A,#N/A,321,AL,MIN
80,Hunter Brown,121,3.3,0.27,112,100,100,53.3,253,AL,HOU
81,Edward Cabrera,120,3.87,0.26,104,95,95,71,219,NL,MIA
82,Michael Kopech,138,3.95,0.27,113,98,103,90.1,294,AL,CHW
83,Ken Waldichuk,135,3.73,0.25,101,99,100,38.8,431,AL,OAK
84,Roansy Contreras,142,4,0.24,106,99,100,49.4,297,NL,PIT
85,Ryne Nelson,165,4.08,0.22,115,101,105,56.5,500,NL,ARI
86,Adam Wainwright,145,3.59,0.2,106,104,102,86.2,357,NL,STL
87,Jack Flaherty,140,3.74,0.23,98,99,99,80.9,222,NL,STL
88,Justin Steele,155,3.82,0.24,97,98,98,46.6,282,NL,CHC
89,Hayden Wesneski,141,4.02,0.21,101,104,104,28.6,351,NL,CHC
90,Jose Urquidy,155,4.01,0.23,106,105,106,54.4,279,AL,HOU
91,Sean Manaea,154,4.16,0.23,89,102,99,72,304,NL,SFG
92,Graham Ashcraft,140,4.21,0.2,109,100,103,73.1,580,NL,CIN
93,Corey Kluber,148,4.25,0.21,102,103,103,80.5,436,AL,BOS
94,Eduardo Rodriguez,141,3.89,0.21,81,103,98,52.2,343,AL,DET
95,Mitch Keller,181,4.01,0.21,103,100,98,30.3,447,NL,PIT
96,Steven Matz,120,3.53,0.23,100,103,102,91.8,360,NL,STL
97,Clarke Schmidt,121,3.6,0.26,113,100,104,#N/A,576,AL,NYY
98,Ranger Suarez,173,4.3,0.2,87,101,97,9.1,300,NL,PHI
99,Taijuan Walker,149,4.29,0.22,105,101,102,95.7,317,NL,PHI
100,Shintaro Fujinami,130,4.36,#N/A,#N/A,#N/A,#N/A,#N/A,572,AL,OAK
101,Noah Syndergaard,157,4.78,0.19,88,104,101,96.4,310,NL,LAD
102,Nick Martinez,134,4.12,0.22,95,101,101,42.7,457,NL,SDP
103,Tyler Wells,111,3.7,0.23,106,104,108,78.4,595,AL,BAL
104,Drew Rucinski,147,4.08,,,,,,,AL,
105,Andrew Painter,101,4.11,,,,,,,NL,
106,Bailey Ober,111,4.15,0.23,91,104,101,31.4,319,AL,MIN
107,Luis Ortiz,81,4.05,0.21,115,97,102,63.6,475,NL,PIT
108,Spencer Turnbull,125,3.92,#N/A,#N/A,#N/A,#N/A,#N/A,508,AL,DET
109,Aaron Ashby,93,3.6,0.27,102,98,100,75.2,252,NL,MIL
110,DL Hall,64,3.33,0.29,112,101,105,#N/A,543,AL,BAL
111,Tylor Megill,67,3.67,0.26,104,101,102,73.4,473,NL,NYM
112,Tarik Skubal,69,3.76,0.24,91,102,101,48.7,484,AL,DET
113,Tanner Houck,80,3.72,0.26,106,97,100,#N/A,442,AL,BOS
114,Mike Soroka,101,3.83,0.21,0,0,0,#N/A,378,NL,ATL
115,David Peterson,62,4,0.24,92,96,94,50.5,475,NL,NYM
116,Tyler Anderson,184,4.49,0.19,93,106,101,48,281,AL,LAA
117,Matthew Boyd,148,3.92,0.22,94,101,98,#N/A,524,AL,DET
118,Paul Blackburn,156,3.99,0.18,88,101,97,83,631,AL,OAK
119,Kyle Gibson,182,3.97,0.19,94,101,98,4.5,496,AL,BAL
120,Domingo German,121,4.05,0.22,102,101,101,69.9,487,AL,NYY
121,Cade Cavalli,117,4.1,0.22,95,98,96,66,517,NL,WSN
122,Nick Pivetta,171,4.19,0.25,107,99,102,0.3,453,AL,BOS
123,Eric Lauer,154,4.35,0.23,94,100,97,45.9,277,NL,MIL
124,Braxton Garrett,107,4.31,0.21,94,100,97,25.4,402,NL,MIA
125,Michael Lorenzen,140,4.1,0.2,95,100,98,93.2,526,AL,DET
126,Yusei Kikuchi,115,4.15,0.26,107,97,99,25.7,618,AL,TOR
127,Cole Irvin,181,4.68,0.16,76,104,97,0,475,AL,OAK
128,Brayan Bello,113,4.12,0.23,96,99,98,56.8,338,AL,BOS
129,Martin Perez,171,4.25,0.19,83,102,96,85.1,323,AL,TEX
130,Matt Manning,124,4.13,0.19,96,101,98,59.3,493,AL,DET
131,MacKenzie Gore,118,4.45,0.22,100,98,98,67.4,400,NL,WSN
132,Cal Quantrill,169,4.49,0.19,90,100,96,3.5,341,AL,CLE
133,Josiah Gray,172,4.56,0.24,98,98,98,13.7,428,NL,WSN
134,James Paxton,131,4.32,0.24,0,0,0,99.5,534,AL,BOS
135,Kutter Crawford,71,4.34,0.24,105,101,104,60.4,728,AL,BOS
136,Austin Voth,62,4.24,0.21,92,102,101,59,713,AL,BAL
137,Keegan Thompson,95,4.15,0.23,104,98,99,68.1,608,NL,CHC
138,Frankie Montas,55,3.81,0.25,103,102,105,60,303,AL,NYY
139,Adrian Morejon,83,3.42,0.26,119,101,104,#N/A,647,NL,SDP
140,Yonny Chirinos,67,4.21,0.21,108,86,101,98.5,685,AL,TBR
141,Dean Kremer,161,4.21,0.2,95,100,99,20.4,563,AL,BAL
142,Cody Morris,60,3.83,0.28,102,99,99,76.3,462,AL,CLE
143,JT Brubaker,159,4.08,0.22,91,101,98,47.3,564,NL,PIT
144,Kyle Harrison,48,3.91,0.27,0,0,0,#N/A,548,NL,SFG
145,Trevor Williams,121,4.28,0.2,92,104,100,7.7,662,NL,WSN
146,Luis Patino,85,4.13,0.23,102,101,105,42.4,680,AL,TBR
147,Zack Greinke,134,4.41,0.15,88,103,99,81.6,673,AL,KCR
148,Kyle Muller,110,4.02,0.22,91,97,96,40.2,539,AL,OAK
149,Matt Brash,63,3.14,0.3,123,95,105,#N/A,516,AL,SEA
150,German Marquez,194,4.42,0.2,95,99,98,5.6,479,NL,COL
151,Adbert Alzolay,65,3.65,0.25,105,103,103,#N/A,490,NL,CHC
152,Drew Smyly,126,4.49,0.21,92,105,99,93.9,478,NL,CHC
153,Brandon Pfaadt,37,4.23,0.23,100,99,101,#N/A,412,NL,ARI
154,Ryan Yarbrough,131,4.59,0.16,85,102,97,2.8,682,AL,KCR
155,Gavin Stone,55,4.03,0.24,92,98,96,#N/A,578,NL,LAD
156,Jordan Lyles,166,4.67,0.18,89,100,98,22.9,611,AL,KCR
157,Nate Pearson,67,4.22,0.25,0,0,0,#N/A,636,AL,TOR
158,JP Sears,90,4.02,0.21,87,98,95,33.2,609,AL,OAK
159,Ryan Pepiot,58,4.7,0.25,102,93,96,37.8,606,NL,LAD
160,Drey Jameson,62,4.2,0.2,99,102,101,47.7,374,NL,ARI
161,James Kaprielian,142,4.47,0.19,87,99,96,49.1,672,AL,OAK
162,Jose Quintana,153,4.18,0.21,84,101,97,34.9,361,NL,NYM
163,Bailey Falter,98,4.66,0.21,83,104,98,18,494,NL,PHI
164,Vince Velasquez,111,4.31,0.23,102,100,101,84.4,730,NL,PIT
165,Anthony DeSclafani,128,4.12,0.21,96,102,101,85.8,561,NL,SFG
166,Jakob Junis,73,4.11,0.21,101,102,102,58.3,676,NL,SFG
167,Carlos Hernandez,38,4.45,0.19,106,95,98,29.3,750,AL,KCR
168,Marco Gonzales,176,4.76,0.16,81,103,96,2.4,555,AL,SEA
169,Louie Varland,38,4.17,0.21,96,102,101,36.3,736,AL,MIN
170,Brad Keller,101,4.29,0.19,98,98,98,20.8,744,AL,KCR
171,Jose Suarez,161,4.53,0.21,90,102,100,10.2,419,AL,LAA
172,Ricky Tiedeman,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,AL,TOR
173,Kyle Hendricks,159,5.01,0.16,74,105,97,10.9,618,NL,CHC
174,Johnny Cueto,156,4.69,0.17,81,103,97,96.8,512,NL,MIA
175,John Means,44,3.63,0.23,104,103,107,82.3,639,AL,BAL
176,Jake Woodford,66,4.14,0.17,92,101,97,#N/A,751,NL,STL
177,Rich Hill,106,4.29,0.21,100,100,101,90.8,631,NL,PIT
178,Wade Miley,101,4.23,0.18,97,102,99,83.7,617,NL,MIL
179,Caleb Kilian,20,4.26,0.21,92,96,95,36.3,746,NL,CHC
180,Glenn Otto,55,4.32,0.22,97,95,95,24.7,718,AL,TEX
181,Michael Wacha,122,4.54,0.21,91,104,101,87.2,461,NL,SDP
182,Zach Plesac,155,4.63,0.19,91,102,99,17.3,582,AL,CLE
183,Jackson Kowar,24,4.4,0.21,102,93,93,#N/A,751,AL,KCR
184,Zack Thompson,43,4.53,0.18,85,100,98,#N/A,748,NL,STL
185,Mitch White,76,4.38,0.2,95,100,100,35.3,745,AL,TOR
186,Johan Oviedo,88,4.5,0.2,98,97,96,23.3,668,NL,PIT
187,Mike Clevinger,105,4.98,0.2,98,92,100,87.6,433,AL,CHW
188,Tyler Alexander,61,4.45,0.17,88,104,99,10.2,#N/A,AL,DET
189,Thomas Hatch,21,4.43,0.19,105,97,95,63.2,#N/A,AL,TOR
190,Spencer Howard,30,4.44,0.21,90,100,97,57.9,749,AL,TEX
191,Madison Bumgarner,142,4.91,0.17,87,100,95,44.5,705,NL,ARI
192,Andre Pallante,70,4.08,0.16,89,98,96,44.8,743,NL,STL
193,Stephen Strasburg,85,4.46,0.21,99,97,96,98.2,679,NL,WSN
194,Dane Dunning,69,4.62,0.2,79,98,93,4.9,726,AL,TEX
195,Zach Thompson,41,4.64,0.18,86,100,96,15.9,750,NL,PIT
196,Dakota Hudson,97,4.55,0.14,82,98,93,80.2,745,NL,STL
197,Adrian Houser,106,4.53,0.17,91,100,97,41.3,743,NL,MIL
198,Chris Flexen,100,4.36,0.18,93,100,96,1.7,688,AL,SEA
199,Chris Archer,83,4.06,0.23,107,97,99,91.1,#N/A,,
200,Joey Lucchesi,46,4.12,0.22,0,0,,,,,
