player,player_id,position,team_name,player_game_count,allowed_pressure_dropbacks,ce_percent,declined_penalties,franchise_id,hits_allowed,hurries_allowed,lg_percent,lt_percent,ol_te_percent,other_percent,penalties,pressures_allowed,pressures_ce,pressures_lg,pressures_lt,pressures_off,pressures_ol_te,pressures_other,pressures_rg,pressures_rt,pressures_self,pressures_te,rg_percent,rt_percent,sacks_allowed,self_percent,te_percent
Joe Flacco,4332,QB,NYJ,3,53,9.4,0,22,2,1,24.5,34.0,94.3,0.0,0,4,5,13,18,53,50,0,11,9,4,4,20.8,17.0,1,7.5,7.5
Joe Burrow,28022,QB,CIN,4,52,17.3,0,7,0,1,23.1,28.8,94.2,1.9,0,3,9,12,15,52,49,1,7,9,3,2,13.5,17.3,2,5.8,3.8
Daniel Jones,39395,QB,NYG,3,50,12.0,0,21,3,4,14.0,12.0,70.0,10.0,0,9,6,7,6,50,35,5,10,10,9,2,20.0,20.0,2,18.0,4.0
Carson Wentz,10636,QB,WAS,3,42,19.0,0,32,1,1,16.7,19.0,88.1,7.1,0,3,8,7,8,42,37,3,7,9,3,1,16.7,21.4,1,7.1,2.4
Justin Herbert,28237,QB,LAC,3,40,5.0,0,27,0,3,35.0,27.5,85.0,7.5,0,4,2,14,11,40,34,3,8,7,4,2,20.0,17.5,1,10.0,5.0
Josh Allen,46601,QB,BUF,3,39,17.9,0,4,0,0,20.5,15.4,87.2,10.3,0,2,7,8,6,39,34,4,9,10,2,0,23.1,25.6,2,5.1,0.0
Russell Wilson,7077,QB,DEN,3,35,2.9,0,10,2,1,14.3,25.7,82.9,2.9,0,6,1,5,9,35,29,1,5,9,6,3,14.3,25.7,3,17.1,8.6
Patrick Mahomes,11765,QB,KC,3,35,11.4,0,16,1,3,8.6,25.7,80.0,8.6,0,5,4,3,9,35,28,3,8,5,5,1,22.9,14.3,1,14.3,2.9
Kirk Cousins,7102,QB,MIN,3,35,20.0,0,18,1,1,25.7,14.3,82.9,8.6,0,3,7,9,5,35,29,3,10,6,3,1,28.6,17.1,1,8.6,2.9
Jared Goff,10635,QB,DET,3,34,0.0,0,11,1,0,20.6,20.6,88.2,2.9,0,2,0,7,7,34,30,1,13,6,2,3,38.2,17.6,1,5.9,8.8
Geno Smith,7820,QB,SEA,3,33,12.1,0,29,0,1,18.2,24.2,87.9,9.1,0,1,4,6,8,33,29,3,13,7,1,2,39.4,21.2,0,3.0,6.1
Derek Carr,8671,QB,LV,3,31,22.6,0,23,2,0,16.1,19.4,80.6,6.5,0,4,7,5,6,31,25,2,5,8,4,0,16.1,25.8,2,12.9,0.0
Matt Ryan,4317,QB,IND,3,31,9.7,0,14,1,2,9.7,19.4,71.0,12.9,0,5,3,3,6,31,22,4,6,6,5,0,19.4,19.4,2,16.1,0.0
Kyler Murray,38334,QB,ARZ,3,31,9.7,0,1,0,1,25.8,9.7,83.9,9.7,0,4,3,8,3,31,26,3,4,8,4,3,12.9,25.8,3,12.9,9.7
Jameis Winston,9434,QB,NO,3,31,6.5,0,20,1,0,25.8,9.7,64.5,19.4,0,4,2,8,3,31,20,6,2,8,4,2,6.5,25.8,3,12.9,6.5
Baker Mayfield,46518,QB,CAR,3,30,10.0,0,5,2,3,20.0,30.0,80.0,3.3,0,7,3,6,9,30,24,1,3,5,7,1,10.0,16.7,2,23.3,3.3
Lamar Jackson,46416,QB,BLT,3,29,10.3,0,3,1,5,13.8,27.6,69.0,3.4,0,8,3,4,8,29,20,1,3,3,8,2,10.3,10.3,2,27.6,6.9
Trevor Lawrence,77632,QB,JAX,3,29,27.6,0,15,0,2,17.2,27.6,86.2,6.9,0,2,8,5,8,29,25,2,3,1,2,2,10.3,3.4,0,6.9,6.9
Davis Mills,52269,QB,HST,3,28,10.7,0,13,2,1,28.6,10.7,85.7,0.0,0,4,3,8,3,28,24,0,2,5,4,3,7.1,17.9,1,14.3,10.7
Matthew Stafford,4924,QB,LA,3,26,11.5,0,26,0,0,26.9,46.2,96.2,0.0,0,1,3,7,12,26,25,0,4,7,1,0,15.4,26.9,1,3.8,0.0
Ryan Tannehill,7014,QB,TEN,3,26,7.7,0,31,0,1,30.8,19.2,92.3,3.8,0,1,2,8,5,26,24,1,2,5,1,4,7.7,19.2,0,3.8,15.4
Tua Tagovailoa,60326,QB,MIA,4,25,12.0,0,17,1,0,24.0,24.0,84.0,8.0,0,2,3,6,6,25,21,2,2,6,2,1,8.0,24.0,1,8.0,4.0
Justin Fields,82118,QB,CHI,3,25,8.0,0,6,0,4,12.0,36.0,80.0,0.0,0,6,2,3,9,25,20,0,6,5,6,2,24.0,20.0,2,24.0,8.0
Jalen Hurts,40291,QB,PHI,3,24,12.5,0,24,1,3,8.3,25.0,66.7,12.5,0,6,3,2,6,24,16,3,4,2,6,1,16.7,8.3,2,25.0,4.2
Aaron Rodgers,2241,QB,GB,3,24,8.3,0,12,0,0,4.2,20.8,95.8,0.0,0,1,2,1,5,24,23,0,7,9,1,2,29.2,37.5,1,4.2,8.3
Jacoby Brissett,10725,QB,CLV,3,24,16.7,0,8,1,2,12.5,37.5,83.3,4.2,0,3,4,3,9,24,20,1,2,4,3,0,8.3,16.7,0,12.5,0.0
Mitchell Trubisky,11757,QB,PIT,3,23,13.0,0,25,0,4,4.3,8.7,56.5,17.4,0,8,3,1,2,23,13,4,1,4,8,3,4.3,17.4,4,34.8,13.0
Mac Jones,60323,QB,NE,3,23,21.7,0,19,0,0,26.1,30.4,100.0,0.0,0,0,5,6,7,23,23,0,2,6,0,0,8.7,26.1,0,0.0,0.0
Tom Brady,698,QB,TB,3,21,19.0,0,30,0,0,42.9,47.6,100.0,0.0,0,0,4,9,10,21,21,0,1,3,0,0,4.8,14.3,0,0.0,0.0
Marcus Mariota,9435,QB,ATL,3,19,10.5,0,2,1,3,10.5,26.3,73.7,5.3,0,5,2,2,5,19,14,1,2,4,5,0,10.5,21.1,1,26.3,0.0
