Player,Roster Position,%Drafted,FPTS
D'Ernest Johnson,RB,43.06%,22.7
Mike Evans,WR,29.46%,14.2
Najee Harris,RB,25.57%,20.3
Michael Pittman Jr.,WR,25.18%,12.1
Mark Ingram II,RB,22.53%,20.8
Davante Adams,WR,22.23%,14.8
Titans ,DST,20.25%,6
Jonathan Taylor,RB,20.01%,27.6
Tom Brady,QB,18.07%,15
James Conner,RB,17.30%,15.4
Dan Arnold,TE,16.93%,13.7
Mike Williams,WR,14.93%,7.3
Dak Prescott,QB,13.54%,26.34
Cordarrelle Patterson,FLEX,13.20%,4.9
Amari Cooper,WR,12.81%,9.1
Cole Beasley,WR,12.70%,3.5
Pat Freiermuth,TE,12.34%,7.1
Kyle Pitts,TE,12.04%,10
Dalvin Cook,RB,11.77%,20.8
Justin Herbert,QB,11.45%,13
Tyler Johnson,WR,11.33%,4.7
Austin Ekeler,RB,11.30%,14.9
Dawson Knox,TE,11.19%,2.7
Aaron Jones,RB,10.97%,12.6
Ezekiel Elliott,RB,10.82%,21.76
Josh Allen,QB,10.65%,24.94
Leonard Fournette,RB,10.50%,17.2
Carson Wentz,QB,10.41%,7.1
CeeDee Lamb,WR,9.66%,28.6
Melvin Gordon III,RB,9.63%,10.3
DK Metcalf,WR,9.33%,5.6
Jerry Jeudy,WR,9.14%,11.1
Tyler Conklin,TE,9.10%,16.1
Chris Godwin,WR,8.85%,12.7
Keenan Allen,WR,8.43%,17.8
Bills ,DST,8.37%,12
Russell Gage,WR,8.20%,0
Cardinals ,DST,8.10%,3
A.J. Brown,WR,8.02%,3.3
Stefon Diggs,WR,7.76%,33.2
Tyler Lockett,FLEX,7.45%,4.3
Jared Cook,TE,7.32%,2
Diontae Johnson,WR,6.98%,14.3
Lions ,DST,6.87%,7
Noah Fant,TE,6.77%,10.9
Matt Ryan,QB,6.65%,2.68
Jakobi Meyers,WR,6.51%,14.9
Michael Gallup,WR,6.47%,7.2
Donovan Peoples-Jones,WR,6.30%,2.6
D'Andre Swift,RB,6.00%,19.5
Colts ,DST,5.99%,14
Emmanuel Sanders,WR,5.98%,7.1
Christian McCaffrey,RB,5.87%,26.1
Aaron Rodgers,QB,5.80%,11.48
Dalton Schultz,TE,5.78%,2.4
Christian Kirk,WR,5.77%,12.8
Browns ,DST,5.71%,-2
Panthers ,DST,5.59%,12
Cowboys ,DST,5.24%,23
Justin Jefferson,WR,5.12%,25.9
Jarvis Landry,WR,5.09%,6.6
Buccaneers ,DST,4.88%,6
Adam Thielen,FLEX,4.76%,11.5
Terry McLaurin,WR,4.73%,11.9
DeVonta Smith,FLEX,4.59%,22.6
Hunter Henry,TE,4.42%,19.7
Ricky Seals-Jones,TE,4.12%,6
Deonte Harris,WR,3.98%,11
James Washington,FLEX,3.95%,9.5
T.Y. Hilton,WR,3.89%,1.5
T.J. Hockenson,TE,3.79%,0
Marvin Jones Jr.,WR,3.75%,5.5
Vikings ,DST,3.66%,5
J.D. McKissic,RB,3.66%,7.9
Steelers ,DST,3.63%,5
Javonte Williams,RB,3.62%,6.9
Zack Moss,RB,3.53%,8.7
Mason Rudolph,QB,3.50%,16.28
Russell Wilson,QB,3.44%,7.64
A.J. Green,FLEX,3.36%,1.4
Eagles ,DST,3.21%,15
Jets ,DST,3.18%,2
Elijah Moore,WR,3.10%,13.4
Michael Carter,RB,3.04%,18.2
O.J. Howard,TE,2.95%,0
Dallas Goedert,TE,2.91%,4.8
Kirk Cousins,QB,2.81%,18.46
Marquez Valdes-Scantling,WR,2.72%,5.1
Jamison Crowder,WR,2.72%,5
Jalen Hurts,QB,2.58%,19.42
Jordan Howard,FLEX,2.57%,8.3
Jaguars ,DST,2.45%,1
Patriots ,DST,2.44%,11
Marquez Callaway,WR,2.43%,11.7
Devin Singletary,RB,2.41%,11.9
Zach Ertz,TE,2.33%,8.6
Olamide Zaccheaus,FLEX,2.30%,4.2
Courtland Sutton,WR,2.28%,4.9
Rhamondre Stevenson,RB,2.28%,30.4
Packers ,DST,2.28%,17
Saints ,DST,2.28%,2
DJ Moore,WR,2.19%,6.4
Zach Pascal,WR,2.18%,2.9
Broncos ,DST,2.18%,3
Brandon Bolden,RB,2.01%,10
Tony Pollard,RB,1.85%,15.8
Adrian Peterson,FLEX,1.84%,3
Jamal Agnew,WR,1.80%,13.9
Cameron Brate,TE,1.80%,7.6
Taylor Heinicke,QB,1.80%,15.74
Ryan Tannehill,QB,1.74%,18.62
Randall Cobb,WR,1.71%,5.1
Mo Alie-Cox,TE,1.70%,1.6
Corey Davis,WR,1.64%,13.3
WAS Football Team ,DST,1.61%,5
K.J. Osborn,FLEX,1.61%,0
Teddy Bridgewater,QB,1.53%,9.04
Antonio Gibson,RB,1.39%,21.8
Gerald Everett,TE,1.38%,14.3
Allen Lazard,WR,1.36%,1.6
Alex Collins,RB,1.33%,5.9
AJ Dillon,RB,1.31%,26.8
Nyheim Hines,FLEX,1.19%,4.9
Kendrick Bourne,WR,1.16%,24.1
David Njoku,TE,1.13%,2.1
Laviska Shenault Jr.,WR,1.11%,5.1
Mike White,QB,1.11%,6.04
