"","team","opp","name","salary","fpts","fantasyPoints","proj_own","ownership","offYprr","grades_offense","adv","def_pass_epa_rank","cov_rank","man_zone_yprr_split","man_rank","def_man_grade_rank","man_yprr","man_routes","zone_rank","def_zone_grade_rank","zone_yprr","zone_routes"
"1","KC","DEN","Travis Kelce",7600,17.61,18.3,7.42,6,2.24,91.3,43,2,1,-0.41,25,3,2.24,152,8,6,2.65,212
"2","BAL","PIT","Mark Andrews",6500,13.07,12.9,5.77,5.3,1.93,79.2,6,18,22,0.58,3,12,2.42,108,30,25,1.84,196
"3","MIN","DET","T.J. Hockenson",5100,12.5,12.6,11.83,7.9,1.6,69.5,8,22,28,-0.16,4,17,1.41,119,28,28,1.57,206
"4","PIT","BAL","Pat Freiermuth",4500,11.63,11.9,8.16,7.5,1.88,79.6,9,6,17,-1.32,10,19,0.9,88,23,16,2.22,192
"5","DAL","HOU","Dalton Schultz",4400,10.59,10.5,6.7,6,1.45,66.3,11,28,32,-0.75,24,29,0.9,52,10,31,1.65,132
"6","DEN","KC","Greg Dulcich",3400,10.51,11.5,25.58,14.3,1.48,63,-32,16,10,-1.03,8,2,0.8,61,25,13,1.83,122
"7","TEN","JAX","Chig Okonkwo",2700,8.27,NA,9.95,NA,NA,NA,NA,26,32,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","SEA","CAR","Noah Fant",3100,8.06,7.8,4.01,5.4,1.59,69,-15,10,26,-0.33,30,32,1.47,49,3,23,1.8,148
"9","JAX","TEN","Evan Engram",3300,7.79,9.2,2.74,5.1,1.04,56.4,-17,17,13,0.0499999999999998,16,8,1.16,88,18,17,1.11,224
"10","CLE","CIN","David Njoku",3900,7.72,9,4.39,3.4,1.89,81.4,-3,4,14,-0.23,12,10,1.68,80,21,18,1.91,131
"11","BUF","NYJ","Dawson Knox",3800,7.6,8.2,6.28,4.1,0.92,63.2,13,11,2,-0.27,13,1,0.74,97,20,11,1.01,202
"12","SF","TB","George Kittle",4300,7.28,11.6,2.64,3.3,1.49,70.5,-17,3,6,-0.82,28,6,0.84,80,5,9,1.66,189
"13","NYG","PHI","Daniel Bellinger",3300,7.18,7.8,2.22,4.8,1.21,68.6,-2,1,5,-0.99,18,7,0.44,25,15,3,1.43,110
"14","TEN","JAX","Austin Hooper",2900,6.6,8.4,2.97,5.1,1.32,68.1,-6,26,32,0.24,NA,NA,1.64,56,NA,NA,1.4,114
"15","NYJ","BUF","Tyler Conklin",3100,6.58,5.9,0.83,4.8,1.13,59,-47,20,7,-0.0600000000000001,16,14,1.03,93,18,7,1.09,191
"16","HOU","DAL","Jordan Akins",2800,6.25,7.1,0.7,3.4,NA,72.1,NA,7,3,0.55,22,22,2.35,57,11,1,1.8,103
"17","TB","SF","Cade Otton",2800,5.28,3.6,0.9,0.9,0.95,60.5,-28,8,4,0.15,29,18,1.1,73,4,4,0.95,194
"18","HOU","DAL","Brevin Jordan",2500,5.25,4.9,0.57,1.1,NA,51.4,NA,7,3,-0.7,22,22,0.19,16,11,1,0.89,79
"19","BAL","PIT","Isaiah Likely",2700,4.74,6,0.66,0.9,NA,67.4,NA,18,22,0.2,3,12,1.51,53,30,25,1.31,96
"20","DET","MIN","Brock Wright",2900,4.57,4.9,1.03,0.9,1.26,50.5,-36,24,27,0.13,31,5,1.42,33,2,10,1.29,69
"21","SEA","CAR","Will Dissly",2700,4.27,6.9,0.55,2.4,NA,72,NA,10,26,0.89,30,32,2.13,45,3,23,1.24,137
"22","CLE","CIN","Harrison Bryant",2800,4.03,4.1,0.4,0.9,NA,58.1,NA,4,14,-1.27,12,10,0.07,74,21,18,1.34,114
"23","CIN","CLE","Mitchell Wilcox",2700,4.03,7.4,0.41,0.9,0.56,52.9,-33,5,20,0.42,21,9,0.96,28,12,27,0.54,61
"24","CAR","SEA","Tommy Tremble",2600,3.92,4.9,0.04,0.9,0.57,47.3,-39,25,24,-0.6,26,31,0.03,30,7,19,0.63,129
"25","PHI","NYG","Jack Stoll",2800,3.9,5.7,0.99,0.7,0.64,54.2,-48,27,30,-1,1,15,0,42,32,32,1,97
"26","KC","DEN","Noah Gray",2600,3.8,2,0.42,0.9,NA,64.1,NA,2,1,-0.39,25,3,0.76,55,8,6,1.15,110
"27","CAR","SEA","Ian Thomas",2700,3.4,2.2,0.04,1.9,NA,51,NA,25,24,-1.71,26,31,0,26,7,19,1.71,94
"28","TB","SF","Cameron Brate",3000,3.35,5.1,0.97,1.5,NA,56.1,NA,8,4,-0.93,29,18,0.22,49,4,4,1.15,88
"29","KC","DEN","Jody Fortson",2500,3.35,NA,0.04,NA,NA,NA,NA,2,1,NA,25,3,NA,NA,8,6,NA,NA
