"","Name","TeamAbbrev","Salary","proj_own","fpts","grades_offense","advantage","targets_per_game","yprr","sum_sd","opp","def_pass_epa_rank","cov_rank","man_zone_yprr_split","man_yprr","zone_yprr","man_rank","zone_rank","man_pass_plays","man_percentage","def_man_grade_rank","zone_pass_plays","zone_percentage","def_zone_grade_rank","def_pass_epa","touchdowns","yards_after_catch_per_reception","name_salary_own"
"35","Corey Davis","NYJ",4200,1.89,8.86,70,28.4,4.7,1.61,-0.253,"BUF",20,7,-1.24,0.77,2.01,16,18,89,0.285,14,149,0.715,7,0.1,2,4.1,"Corey Davis 4200 1.89"
"36","Phillip Dorsett II","HOU",3000,8.66,8.7,NA,NA,NA,NA,NA,"DAL",7,3,NA,NA,NA,22,11,NA,0.247,22,NA,0.753,1,-0.041,NA,NA,"Phillip Dorsett II 3000 8.66"
"37","Demarcus Robinson","BAL",4000,1.74,8.58,67.3,15.1,4.1,1.33,-0.263,"PIT",18,22,-0.5,1.05,1.55,3,30,83,0.43,12,157,0.57,25,0.096,1,3.7,"Demarcus Robinson 4000 1.74"
"38","Isaiah McKenzie","BUF",4200,2.5,8.31,68,41,4.4,1.22,-0.235,"NYJ",11,2,-0.38,1,1.38,13,20,91,0.295,1,167,0.705,11,-0.001,4,3.4,"Isaiah McKenzie 4200 2.5"
"39","Isaiah Hodgins","NYG",3500,1.74,7.7,74,20.7,3.3,1.62,-0.143,"PHI",1,5,-0.68,1.28,1.96,18,15,36,0.271,7,76,0.729,3,-0.155,1,3.2,"Isaiah Hodgins 3500 1.74"
"40","Devin Duvernay","BAL",4400,1.06,7.54,67.9,20.2,3.6,1.2,-0.333,"PIT",18,22,-0.81,0.74,1.55,3,30,98,0.43,12,204,0.57,25,0.096,3,3.9,"Devin Duvernay 4400 1.06"
"41","Terrace Marshall Jr.","CAR",3600,5.39,7.37,72.2,20.6,3.8,1.66,-0.177,"SEA",25,24,0.14,1.68,1.54,26,7,37,0.227,31,151,0.773,19,0.123,1,6.2,"Terrace Marshall Jr. 3600 5.39"
"42","K.J. Osborn","MIN",3500,2.77,7.14,57.4,24.2,4,0.66,-0.313,"DET",22,28,0.6,1.12,0.52,4,28,142,0.422,17,229,0.578,28,0.116,2,3.4,"K.J. Osborn 3500 2.77"
"43","Richie James Jr.","NYG",3600,0.91,7.09,67,31.5,3.4,1.44,-0.127,"PHI",1,5,-0.61,1.07,1.68,18,15,47,0.271,7,157,0.729,3,-0.155,2,2.9,"Richie James Jr. 3600 0.91"
"44","Josh Reynolds","DET",3400,2.02,6.98,66.7,33.7,4.9,1.37,-0.071,"MIN",24,27,0.61,1.59,0.98,31,2,101,0.19,5,144,0.81,10,0.118,2,3.4,"Josh Reynolds 3400 2.02"
