player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Xavier Hutchinson,122518,WR,IOWA STATE,11,9.2,15,68.2,51.9,14,27,0,4.5,5,62,193,1,84.2,78.4,90.7,,90.5,0.5,2,3,38,0.0,0,418,0,105,95.9,401,28.0,117,95.2,154,6,71.3,298,1160,439,4.2,11.0,2.89
Rashee Rice,97605,WR,SMU,11,11.6,12,59.7,41.9,13,31,1,11.7,11,52,287,3,49.3,26.1,81.0,,80.4,0.2,1,4,75,0.0,0,429,1,83,93.7,402,17.0,73,97.3,139,9,82.8,355,1197,512,6.2,14.4,2.98
Charlie Jones,55038,WR,PURDUE,11,11.1,4,72.1,52.6,20,38,1,3.1,3,49,273,1,88.6,71.5,78.0,61.0,79.8,0.0,0,1,55,0.2,1,452,3,93,94.2,426,10.4,47,121.5,129,11,89.6,405,1056,282,3.0,11.4,2.48
Jayshon Jackson,78041,WR,BALL ST,12,8.5,13,58.9,31.0,9,29,0,8.4,7,44,117,0,68.7,85.6,72.9,54.4,71.8,0.0,0,3,43,0.0,0,478,0,76,94.4,451,49.4,236,75.7,129,3,50.6,242,820,462,6.1,10.8,1.82
Nathaniel Dell,78874,WR,HOUSTON,11,11.6,14,74.4,70.0,7,10,0,5.1,5,59,182,2,82.2,53.3,83.9,,84.9,0.0,0,2,63,0.0,0,484,2,93,95.2,461,66.9,324,134.6,125,14,32.9,159,1194,445,4.8,12.8,2.59
Zay Flowers,97268,WR,BOSTON COL,11,10.4,12,60.9,54.5,6,11,0,11.4,9,42,121,2,57.3,54.0,74.8,,74.8,0.0,0,5,69,0.0,0,457,1,70,96.3,440,33.7,154,98.8,115,10,65.9,301,968,476,6.8,13.8,2.2
Jacob Cowing,100894,WR,ARIZONA,11,8.4,17,70.8,50.0,4,8,0,7.0,6,48,109,1,73.7,45.5,79.5,,80.9,0.0,0,4,39,0.0,0,476,1,80,95.2,453,70.6,336,103.9,113,7,29.0,138,1001,630,7.9,12.5,2.21
Tyrin Smith,145487,WR,UTEP,11,12.8,14,59.8,27.3,3,11,0,13.0,10,42,330,1,43.8,54.0,71.9,,72.8,0.0,0,2,74,0.0,0,398,2,67,95.2,379,78.1,311,97.6,112,6,21.9,87,948,296,4.4,14.1,2.5
Isaiah Winstead,91115,WR,E CAROLINA,11,10.4,11,67.6,51.4,18,35,0,2.6,2,46,156,2,88.9,33.5,75.9,,76.8,0.0,0,1,67,0.0,0,453,3,75,94.7,429,7.3,33,99.3,111,3,92.7,420,950,310,4.1,12.7,2.21
Corey Crooms,97276,WR,W MICHIGAN,11,13.1,9,49.1,30.4,7,23,0,5.3,3,34,347,0,73.0,74.8,73.8,,75.0,0.0,0,6,75,0.0,0,395,1,54,93.2,368,76.2,301,65.4,110,5,23.5,93,792,287,5.3,14.7,2.15
