player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Langston Anderson,99546,WR,OKLA STATE,5,35.8,0,262,60.2,,60.5,0,0,0,0.0,0.0,,0,0,0,39,0,0,0,109,0,70,0,0,39,0
Darius Boone Jr.,100216,HB,E MICHIGAN,11,53.4,0,160,67.6,82.8,53.5,0,0,7,50.0,46.7,100.0,0,0,0,39,0,0,0,73,7,15,0,0,32,0
Peny Boone,129498,HB,TOLEDO,10,17.6,0,316,68.0,35.8,62.5,0,2,21,20.4,20.4,95.2,0,2,0,39,0,0,0,222,22,108,0,0,17,0
Munir McClain,100663,TE,UTAH,8,42.4,0,328,49.6,64.4,68.4,0,0,0,0.0,1.9,,1,0,0,39,0,0,0,92,1,54,0,0,38,44
Bryan Bradford,97436,HB,KENT STATE,11,25.3,0,201,76.1,64.7,69.3,0,2,29,37.2,35.8,96.6,0,2,0,39,0,0,0,154,29,81,0,0,10,0
Bradley Archer,100623,TE,STANFORD,10,79.6,0,300,52.0,68.3,56.5,0,0,3,23.1,23.1,100.0,0,0,0,39,0,0,0,49,3,13,0,1,36,48
Shea Whiting,101336,WR,BOISE ST,6,80.9,0,120,52.5,,78.3,0,0,0,0.0,0.0,,0,0,0,38,0,0,0,47,0,9,0,0,38,0
Dakereon Joyner,83554,WR,S CAROLINA,10,34.2,0,289,62.9,,51.6,0,0,0,0.0,0.0,,1,0,0,38,0,0,0,111,0,62,0,0,38,0
Charlie Offerdahl,146314,HB,COLORADO,8,27.7,0,143,71.5,89.9,56.8,0,0,28,32.6,33.7,100.0,0,0,0,38,0,0,0,137,31,92,0,0,7,0
Dae'Quan Wright,157645,TE,VA TECH,7,27.1,0,337,62.1,,36.1,0,0,0,0.0,0.0,,1,0,0,38,0,0,0,140,0,102,0,5,38,35
RJ Harvey,99622,HB,UCF,9,16.9,0,323,77.6,25.2,57.9,0,1,11,10.8,10.3,95.5,0,1,0,38,0,0,0,225,11,107,0,0,27,0
Jovantae Barnes,158085,HB,OKLAHOMA,8,21.6,0,261,71.5,53.4,56.8,0,2,14,22.2,21.7,92.9,0,2,0,38,0,0,0,176,15,69,0,0,23,0
Cameron Davis,72376,HB,WASHINGTON,10,12.3,0,340,74.1,31.7,49.0,1,1,23,12.6,12.5,95.7,0,2,0,38,0,0,0,310,24,192,0,0,14,0
Rahjai Harris,123814,HB,E CAROLINA,5,19.9,0,156,62.5,80.0,57.7,0,0,28,24.8,24.8,100.0,0,0,0,38,0,0,0,191,29,117,0,0,9,0
Jahmari Sylvester,123649,G,FIU,1,100.0,0,166,52.6,83.4,45.8,0,0,20,100.0,100.0,100.0,0,0,0,38,0,38,0,38,21,21,0,0,17,0
Austin Fontaine,82325,ED,MARYLAND,10,92.7,0,215,69.9,67.8,69.9,0,0,3,50.0,50.0,100.0,0,0,0,38,0,0,0,41,3,6,0,0,35,40
Anthony Smith,122885,WR,NC STATE,4,51.4,0,248,65.4,,61.6,0,0,0,0.0,0.0,,0,0,0,38,0,0,0,74,0,36,0,0,38,0
Quinton Patten,97323,WR,CHARLOTTE,9,29.2,0,136,65.2,,83.1,0,0,0,0.0,0.0,,0,0,0,38,0,0,0,130,0,92,0,0,38,0
Samuel Brown V,162899,HB,RUTGERS,7,23.9,0,278,83.3,55.5,48.3,0,0,20,38.5,39.3,100.0,0,0,0,38,0,0,0,159,22,56,0,0,16,0
Nate Muersch,130522,TE,MIAMI OH,11,27.7,0,221,58.6,,52.9,0,0,0,0.0,0.0,,0,0,0,38,0,0,0,137,0,99,0,0,38,30
Orion Peters,146506,WR,WASH STATE,11,30.4,0,341,67.5,,82.2,0,0,0,0.0,0.0,,0,0,0,38,0,0,0,125,0,87,0,0,38,0
Carlos Del Rio-Wilson,146687,QB,SYRACUSE,7,29.6,0,304,52.0,,60.0,0,0,0,0.0,0.0,,1,0,0,37,0,0,0,125,0,75,0,0,37,0
Tahj Magee,78919,WR,LA TECH,9,40.7,0,208,69.5,60.5,52.4,0,0,1,1.9,1.8,100.0,0,0,0,37,0,0,0,91,1,55,0,0,36,0
Kade Zimmerman,157232,WR,NEW MEXICO,7,64.9,0,241,53.8,,58.1,0,0,0,0.0,0.0,,0,0,0,37,0,0,0,57,0,20,0,0,37,0
Joe Milton III,82151,QB,TENNESSEE,7,44.0,0,307,87.0,,60.0,0,0,0,0.0,0.0,,0,0,0,37,0,0,0,84,0,43,0,0,37,0
Cartevious Norton,157582,HB,IOWA STATE,7,16.9,0,193,66.4,65.2,56.1,0,1,21,17.2,17.2,97.6,1,1,0,37,0,0,0,219,22,128,0,0,15,0
Faaope Laloulu,131717,G,OREGON,5,100.0,0,264,61.9,56.9,61.8,0,1,14,100.0,100.0,96.4,0,1,0,37,0,0,0,37,16,16,35,2,21,0
