player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play
Cole Smith,99094,G,MISS STATE,12,0,227,68.9,2,14,608,100.0,100.0,98.5,0,17,1,646,646,33.1,2,9,161,100.0,100.0,96.0,12,1,169,169
Nick Jones,146837,T,MISS STATE,12,0,227,75.7,5,5,598,100.0,100.0,98.3,0,15,5,635,635,67.8,4,1,159,100.0,100.0,95.3,10,5,167,167
Kameron Jones,81739,T,MISS STATE,12,2,227,65.9,4,22,550,100.0,100.0,97.1,5,29,3,586,586,55.1,2,12,152,100.0,100.0,94.1,16,2,160,160
Dennis Wilburn,157314,C,TEXAS TECH,11,0,315,53.6,1,28,561,100.0,100.0,97.2,1,30,1,581,581,49.3,0,12,193,100.0,100.0,96.4,13,1,199,199
Caleb Rogers,123157,T,TEXAS TECH,11,1,315,63.8,2,28,560,99.8,99.8,94.8,1,44,14,580,581,60.1,1,15,193,100.0,100.0,91.7,24,8,199,199
Quantavious Leslie,123456,G,W KENTUCKY,12,1,346,82.6,2,9,537,100.0,100.0,98.6,1,13,2,562,562,66.7,1,7,118,100.0,100.0,95.8,9,1,129,129
Vincent Murphy,99046,G,W KENTUCKY,12,0,346,75.9,2,12,537,100.0,100.0,98.7,1,14,0,562,562,59.7,1,5,118,100.0,100.0,97.5,6,0,129,129
Rusty Staats,81941,C,W KENTUCKY,12,0,346,81.1,1,5,537,100.0,100.0,99.3,0,7,1,562,562,73.2,0,1,118,100.0,100.0,98.7,2,1,129,129
Gunner Britton,81937,T,W KENTUCKY,12,0,346,85.0,2,3,534,99.4,99.5,98.6,0,10,5,559,562,65.1,2,2,118,100.0,100.0,94.1,9,5,129,129
Logan Langemeier,108708,C,GA SOUTHRN,11,0,174,68.9,5,13,529,100.0,100.0,98.1,1,19,1,555,555,74.8,0,4,103,100.0,100.0,98.1,4,0,109,109
Khalil Crowder,78240,G,GA SOUTHRN,11,1,174,70.7,2,8,529,100.0,100.0,99.1,1,10,0,555,555,53.2,0,3,103,100.0,100.0,98.5,3,0,109,109
LaQuinston Sharp,99095,C,MISS STATE,11,0,227,81.4,0,9,512,100.0,100.0,99.1,1,9,0,546,546,70.6,0,4,124,100.0,100.0,98.4,4,0,129,129
Caleb Etienne,144643,T,OKLA STATE,11,0,262,61.1,6,17,502,100.0,100.0,97.5,2,24,1,533,533,29.0,4,12,133,100.0,100.0,93.2,17,1,144,144
Caleb Kelly,59709,T,GA SOUTHRN,11,1,174,71.9,3,11,507,100.0,100.0,98.6,1,14,0,532,532,67.0,2,6,94,100.0,100.0,95.7,8,0,100,100
Ethan Crowe,130330,C,BALL ST,12,0,117,80.0,1,6,499,100.0,100.0,99.3,4,7,0,528,528,65.5,1,4,170,100.0,100.0,98.5,5,0,183,183
Josh Baker,131560,C,ARIZONA,11,0,109,69.1,1,12,500,100.0,100.0,98.7,1,13,0,527,527,74.3,0,3,212,100.0,100.0,99.3,3,0,222,222
Mike Katic,101575,G,INDIANA,11,0,190,67.4,3,6,493,100.0,100.0,98.3,0,13,4,524,524,60.3,3,5,172,100.0,100.0,95.9,11,3,186,186
Luke Haggard,129442,T,INDIANA,11,1,190,73.4,7,10,492,99.8,99.8,97.7,1,20,3,523,524,73.0,5,6,171,99.4,99.5,95.6,13,2,185,186
Jack Freeman,77435,C,HOUSTON,11,1,182,79.4,1,14,489,100.0,100.0,98.3,4,16,1,515,515,70.4,0,9,189,100.0,100.0,97.1,10,1,202,202
Ed Montilus,77353,G,N CAROLINA,11,0,245,50.7,5,16,494,100.0,100.0,97.1,1,25,4,514,514,42.8,2,10,157,100.0,100.0,94.9,14,2,160,160
Asim Richards,99674,T,N CAROLINA,11,0,245,76.9,2,9,494,100.0,100.0,98.5,1,13,2,514,514,71.2,1,6,157,100.0,100.0,96.5,9,2,160,160
Corey Gaynor,59844,C,N CAROLINA,11,1,245,75.3,1,7,493,100.0,100.0,98.8,2,10,2,513,513,62.7,0,4,157,100.0,100.0,97.5,6,2,160,160
