player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards
Archer Trafford,155563,P,MISS STATE,10,16,16,3.56,39.25,42.44,4.4,0,0,5,1,227,59.5,9,60,2,0,43.8,31,7,16,56.98,628,1,679
Sam Candotti,156220,P,BOSTON COL,7,10,10,3.9,38.1,38.1,,0,0,1,6,121,66.8,6,49,3,0,0.0,0,0,10,39.04,381,0,381
Sam Vander Haar,156357,P,PITTSBURGH,9,29,29,3.56,37.69,39.34,3.1,2,0,7,9,268,56.2,12,53,3,0,31.0,28,9,31,103.37,1093,1,1141
Riley Thompson,156535,P,FAU,11,52,52,3.55,41.92,45.23,6.9,1,0,11,14,165,71.4,24,71,4,0,42.3,152,22,53,184.8,2180,1,2352
Patrick Rea,156583,P,LA TECH,4,10,10,3.29,37.6,39.6,,0,0,6,2,208,58.8,1,51,1,0,0.0,0,0,10,32.89,376,1,396
Tom Ellard,156641,P,W KENTUCKY,11,38,38,3.83,40.37,43.05,10.3,0,0,12,15,346,54.4,16,64,2,0,21.1,82,8,38,145.6,1534,1,1636
Evan Crenshaw,156684,P,COAST CAR,10,35,35,3.57,35.43,38.69,9.4,0,0,6,12,141,62.0,8,54,6,0,28.6,94,10,35,124.8,1240,1,1354
Braxton Guilbeau,156786,P,LA MONROE,2,3,3,3.95,29.33,42.0,19.0,0,0,0,0,209,65.9,1,47,1,0,66.7,38,2,3,11.85,88,0,126
Rece Verhoff,156821,K,MARSHALL,3,10,10,3.56,39.1,41.0,-1.0,0,0,3,4,214,62.5,2,55,1,0,10.0,-1,1,10,35.58,391,1,410
Nick Woolfolk,156880,K,TROY,1,1,1,3.98,36.0,36.0,,0,0,0,1,318,60.0,1,36,0,0,0.0,0,0,1,3.98,36,0,36
Sami Sir,156907,P,BOWL GREEN,12,68,68,3.77,36.75,38.47,4.1,0,0,14,27,122,60.6,18,61,10,0,20.6,57,14,68,256.26,2499,3,2616
Jonathon Batzke,156993,P,TOLEDO,11,48,48,3.63,38.27,40.29,6.2,3,0,19,17,316,50.6,10,91,3,0,12.5,37,6,51,174.44,1837,3,1934
Max Fletcher,157028,P,ARKANSAS,8,32,32,4.04,32.81,37.56,22.0,0,0,7,11,111,85.5,14,51,7,0,18.8,132,6,32,129.25,1050,1,1202
Brett Thorson,157071,P,GEORGIA,10,27,27,4.18,38.81,43.63,22.0,0,0,3,14,173,77.2,15,75,4,0,18.5,110,5,27,112.87,1048,1,1178
Fraser Masin,157137,P,OLE MISS,11,40,40,3.73,39.08,42.03,7.1,0,0,11,12,226,57.5,14,65,4,0,27.5,78,11,40,149.22,1563,2,1681
James Ferguson-Reynolds,157204,P,BOISE ST,10,46,46,3.69,40.72,43.8,8.9,1,0,10,21,120,77.6,16,61,4,0,15.2,62,7,47,169.8,1873,4,2015
Paddy Turner,157217,P,COLO STATE,11,59,59,3.46,37.49,39.17,6.6,0,0,17,21,144,51.8,12,56,8,0,20.3,79,12,59,203.93,2212,1,2311
Oliver Straw,157362,P,W VIRGINIA,10,41,41,3.75,41.27,42.27,3.0,0,0,11,20,343,68.1,17,63,2,0,17.1,21,7,41,153.93,1692,1,1733
Tyler Perkins,157568,P,IOWA STATE,11,46,46,3.78,40.54,41.52,0.6,3,0,11,20,193,56.2,19,61,5,0,17.4,5,8,49,173.96,1865,2,1910
Ben Garbarini,157571,P,IOWA STATE,2,2,2,4.26,25.5,35.5,,0,0,0,0,193,59.3,0,47,1,0,0.0,0,0,2,8.52,51,1,71
Ashton Logan,157726,P,COLORADO,3,17,17,3.65,34.35,40.59,14.3,0,0,4,6,143,53.9,5,55,0,0,35.3,86,6,17,62.0,584,1,690
Anthony Venneri,157949,K,BUFFALO,7,28,28,3.38,35.64,43.18,13.1,0,0,4,5,126,60.8,7,64,5,0,35.7,131,10,28,94.72,998,4,1209
Harry Webster,158251,P,NEVADA,6,22,22,4.06,33.64,33.86,5.0,0,0,6,13,239,61.2,6,49,2,0,4.5,5,1,22,89.32,740,0,745
Maximilian Von Marburg,158309,P,SYRACUSE,10,47,47,3.8,36.36,40.47,7.0,0,0,5,12,304,62.2,8,55,8,0,40.4,133,19,47,178.55,1709,3,1902
Ryan Eckley,158380,P,MICH STATE,1,1,1,3.36,35.0,41.0,6.0,0,0,0,0,223,60.0,0,41,0,0,100.0,6,1,1,3.36,35,0,41
Mitch McCarthy,158448,P,UCF,9,28,28,3.98,39.71,42.64,9.1,0,0,7,10,323,68.9,12,56,2,0,32.1,82,9,28,111.48,1112,0,1194
Bruno Perlicki,158627,P,UCONN,1,2,2,2.97,17.0,23.0,12.0,0,0,0,0,146,49.9,0,29,1,0,50.0,12,1,2,5.93,34,0,46
Chase Barry,162456,P,UCLA,1,1,1,3.03,39.0,39.0,,0,0,1,0,324,60.0,0,39,0,0,0.0,0,0,1,3.03,39,0,39
Jack McCallister,162493,P,WASHINGTON,10,19,19,3.45,36.05,41.05,5.5,0,0,3,1,340,41.8,5,58,3,0,52.6,55,10,20,65.49,685,2,780
Jordan Doelling,162942,P,FIU,1,1,1,2.93,30.0,30.0,,0,0,0,0,166,60.0,0,30,1,0,0.0,0,0,1,2.93,30,0,30
Trent Carrizosa,163281,P,COLORADO,8,37,37,3.58,35.86,40.81,8.3,0,0,4,10,143,42.9,12,52,1,0,59.5,183,22,37,132.46,1327,0,1510
Ross James,163296,P,OREGON,3,8,8,4.03,36.38,41.88,22.0,0,0,1,5,264,66.4,3,52,0,0,25.0,44,2,8,32.27,291,0,335
Aadyn Sleep-Dalton,163312,P,USC,11,26,26,3.78,37.0,40.08,11.4,0,0,6,11,326,64.7,8,52,2,0,26.9,80,7,26,98.21,962,0,1042
Alex Weir,163371,P,S JOSE ST,6,22,22,3.99,38.64,41.18,5.3,1,0,1,15,285,56.7,7,57,1,0,13.6,16,3,23,87.72,850,2,906
Luke Freer,169503,K,AIR FORCE,1,2,2,3.44,47.0,47.5,1.0,0,0,1,0,101,58.0,1,48,0,0,50.0,1,1,2,6.87,94,0,95
