player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
Kip Frankland,100901,T,NAVY,11,0,237,65.2,100.0,256,42.4,256,65.6,0,100.0,604,604,66.9,100.0,69,11.4,69
Isaac Cochran,101273,G,AIR FORCE,11,0,101,73.1,100.0,251,42.8,251,85.8,0,100.0,586,586,84.2,100.0,67,11.4,67
Everett Smalley,131512,T,AIR FORCE,11,0,101,67.4,100.0,251,42.9,251,74.0,1,100.0,585,585,69.7,100.0,67,11.5,67
Joshua Pena,121864,G,NAVY,11,0,237,55.9,100.0,250,43.4,250,60.7,0,100.0,576,576,62.8,100.0,67,11.6,67
Connor McMahon,144330,G,NAVY,10,0,237,68.7,100.0,234,44.9,234,79.9,1,100.0,521,521,67.3,100.0,60,11.5,60
Connor Bishop,102830,C,ARMY,10,0,114,57.6,100.0,172,33.2,172,65.6,1,100.0,518,518,76.6,100.0,116,22.4,116
Nick Broeker,99084,G,OLE MISS,12,0,226,57.1,100.0,211,41.8,211,63.8,0,100.0,505,505,70.0,100.0,265,52.5,265
Connor Finucane,121569,G,ARMY,10,0,114,62.6,100.0,166,33.0,166,76.6,0,100.0,503,503,87.6,100.0,110,21.9,110
Jayden Williams,146815,T,OLE MISS,12,0,226,40.5,100.0,207,42.8,207,40.9,0,100.0,484,484,48.0,100.0,249,51.4,249
Sam Glover,121844,T,NAVY,10,0,237,55.6,100.0,215,44.5,215,58.0,0,100.0,483,483,47.9,100.0,58,12.0,58
Caleb Warren,99083,C,OLE MISS,12,0,226,60.9,100.0,196,41.9,196,56.6,1,99.8,468,469,54.9,100.0,245,52.4,245
Haaziq Daniels,125263,QB,AIR FORCE,11,0,101,60.1,79.3,191,41.7,241,60.1,1,80.2,458,571,60.0,97.0,64,14.0,66
Jonathan Mingo,97774,WR,OLE MISS,12,0,226,57.9,100.0,198,43.3,198,61.8,2,100.0,457,457,65.5,100.0,236,51.6,236
Beaux Limmer,99067,G,ARKANSAS,11,0,111,62.2,100.0,74,16.4,74,82.8,0,100.0,452,452,85.3,100.0,338,74.8,338
Ricky Stromberg,99066,C,ARKANSAS,11,0,111,59.5,100.0,75,16.6,75,84.1,0,100.0,451,451,86.6,100.0,336,74.5,336
Brady Latham,99068,G,ARKANSAS,11,0,111,60.2,100.0,75,16.6,75,68.3,0,100.0,451,451,73.1,100.0,336,74.5,336
Luke Jones,81780,T,ARKANSAS,11,0,111,63.2,100.0,75,16.7,75,69.5,0,100.0,449,449,68.7,100.0,334,74.4,334
Jeremy James,98423,G,OLE MISS,12,0,226,48.2,100.0,187,41.7,187,65.9,1,100.0,448,448,78.2,100.0,235,52.5,235
Pat Bartlett,55191,G,GA STATE,11,0,175,68.7,100.0,90,20.1,90,70.0,0,100.0,448,448,70.3,100.0,334,74.6,334
Malik Sumter,55194,C,GA STATE,11,0,175,53.7,100.0,90,20.2,90,58.3,1,100.0,446,446,60.4,100.0,332,74.4,332
Quinn Carroll,98517,T,MINNESOTA,11,0,225,83.2,100.0,182,41.2,182,79.1,2,100.0,442,442,69.3,100.0,245,55.4,245
Jayden Umbarger,121874,WR,NAVY,11,0,237,66.2,100.0,185,41.9,185,65.8,0,99.3,442,445,85.9,100.0,61,13.8,61
Aireontae Ersery,129649,T,MINNESOTA,11,0,225,64.8,100.0,180,41.2,180,64.2,2,100.0,437,437,63.5,100.0,242,55.4,242
Cole Garcia,75872,G,UMASS,11,0,216,54.5,100.0,306,70.0,306,52.9,0,100.0,437,437,56.6,100.0,117,26.8,117
Jonny Hassard,128082,T,UMASS,11,0,216,55.6,100.0,306,70.0,306,55.7,0,100.0,437,437,56.4,100.0,117,26.8,117
Josh Atwood,128073,C,UMASS,11,0,216,60.1,100.0,306,70.2,306,57.9,1,100.0,436,436,59.5,100.0,116,26.6,116
Alex Pihlstrom,60911,C,ILLINOIS,11,0,187,67.7,100.0,143,32.9,143,64.7,1,100.0,434,434,61.7,100.0,250,57.6,250
