player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Dru Prox,23093,LB,UTSA,3,1,0,66.7,0,0,331,57.4,66.6,76.2,55.0,76.3,65.4,0,0,0,16,10.0,1,0,0,92.4,2,0,52,0,26,55,3,0,0,3,0,0,52,4,25,0,4,8,3,0,0,25,13,12.5
John Porchivina,28202,LB,OLE MISS,1,0,0,,0,0,226,60.3,47.4,67.2,,60.0,,0,0,0,,,0,0,0,0.0,0,0,3,0,2,3,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,
Colby Reeder,30285,LB,IOWA STATE,8,8,1,61.1,0,0,193,73.9,80.1,38.2,75.1,84.0,77.2,5,2,2,18,8.3,3,1,1,70.6,11,2,164,2,146,361,56,0,0,56,0,0,305,51,164,139,19,25,18,9,2,87,34,7.9
Kyle Pugh,35900,LB,N ILLINOIS,11,19,0,33.3,0,0,254,81.0,74.5,82.0,50.6,69.3,83.8,1,4,0,11,6.8,4,2,0,43.1,2,0,342,0,137,360,10,0,0,10,0,1,350,28,195,5,17,36,6,5,0,19,12,9.5
Jordan Carmouche,39951,LB,ARK STATE,11,24,0,72.7,0,0,113,59.1,63.0,57.1,52.3,67.5,81.0,2,6,0,51,6.6,5,0,1,130.5,16,1,653,0,313,680,21,0,0,21,0,0,659,43,324,6,26,47,22,9,2,198,130,12.4
Alema Pilimai,41395,ED,BYU,4,0,0,,0,0,128,60.0,74.1,75.5,67.3,71.5,73.6,0,1,0,,0.0,0,0,0,0.0,0,0,0,0,0,31,31,0,0,17,14,0,0,20,11,0,1,1,0,1,0,0,0,
Monte McGary,42477,CB,KANSAS,7,1,0,100.0,0,0,198,63.4,63.7,76.2,69.5,54.7,53.8,1,0,0,12,33.3,1,0,0,116.7,1,0,9,18,22,44,0,0,0,0,0,0,44,2,20,17,0,1,1,1,0,12,3,12.0
Bricen Garner,42520,S,W MICHIGAN,11,20,1,64.9,0,0,347,68.0,66.4,86.8,58.1,61.5,71.4,0,1,1,37,14.6,14,3,0,79.0,24,0,285,1,331,668,0,0,0,0,0,286,668,9,328,96,19,62,37,1,0,303,131,12.6
Brandon Moore,42620,CB,NEBRASKA,7,1,0,55.6,0,0,238,75.5,73.4,0.0,60.0,66.2,61.8,0,0,1,13,16.7,1,0,1,28.7,5,0,3,127,83,137,4,0,0,4,0,2,133,1,53,1,1,4,9,0,0,43,19,8.6
Clifford Chattman,42657,S,UTSA,11,11,0,48.7,0,0,331,73.0,71.8,88.9,68.8,64.5,66.3,1,1,2,55,15.7,11,7,2,71.8,19,0,147,6,373,615,4,0,0,4,0,252,611,5,237,206,15,48,39,2,2,313,123,16.5
Anthony Watts,42807,DI,MARSHALL,11,8,0,100.0,0,0,214,54.9,57.6,57.1,59.6,60.3,63.3,0,7,0,49,8.3,2,0,1,118.8,1,1,1,0,6,314,313,55,217,10,31,0,1,188,120,0,11,14,1,8,0,49,32,49.0
Justin Clark,43185,CB,WISCONSIN,9,1,0,61.5,0,0,349,61.2,61.2,81.8,,59.3,62.7,0,0,0,29,16.7,2,0,2,85.7,8,0,15,204,125,229,3,0,0,3,0,0,226,0,104,7,3,9,13,0,0,101,19,12.6
Ryan McWood,43189,LB,MIAMI OH,11,30,0,87.5,0,1,221,67.9,61.6,83.4,52.3,58.6,49.8,2,7,1,23,17.4,23,4,0,102.5,28,1,710,0,363,751,10,0,0,10,0,0,741,54,334,30,43,79,32,10,1,295,201,10.5
Jaydon Grant,43354,S,OREGON ST,10,8,0,56.7,0,1,265,79.4,77.8,48.0,51.9,77.5,74.7,1,5,3,60,11.7,7,3,2,42.9,17,1,106,5,392,618,9,0,0,9,0,318,609,17,209,180,18,45,30,7,0,239,118,14.1
Linwood Crump,43401,CB,NEW MEX ST,9,3,0,44.4,0,0,242,76.3,77.0,83.6,79.5,68.1,69.2,0,1,0,19,10.5,2,2,2,78.0,8,1,30,330,189,373,10,0,0,10,0,2,363,6,178,1,6,14,18,2,1,88,11,11.0
Jon-Michael Terry,43635,LB,TULSA,11,23,0,69.6,1,0,320,61.7,58.1,43.0,60.6,56.6,65.2,1,13,0,26,14.3,12,0,2,97.6,16,2,518,0,240,732,172,0,0,170,2,0,560,83,409,41,35,49,23,16,1,127,64,7.9
Tyrone Hopper,43714,ED,MISSOURI,10,2,0,0.0,1,0,229,62.1,47.4,0.0,56.8,52.4,31.6,0,0,0,,33.3,2,0,3,39.6,0,0,2,0,6,115,112,0,5,94,13,0,3,59,50,1,1,2,1,0,0,0,0,
Sione Tupou,44093,LB,TEXAS ST,11,21,0,75.0,0,1,314,63.1,76.0,84.7,79.4,78.6,77.2,1,7,2,74,9.8,8,3,0,100.9,36,2,644,2,353,690,7,0,0,7,0,3,683,58,279,34,31,53,48,10,2,458,326,12.7
Semisi Fakasiieiki,44340,LB,PURDUE,9,7,0,42.9,0,0,273,64.1,62.7,0.0,77.8,59.6,56.0,0,1,0,11,16.1,5,0,1,89.9,3,0,167,1,89,183,2,0,0,2,0,0,181,5,89,13,14,19,7,1,1,13,25,4.3
Antwaine Richardson,49364,S,KENT STATE,7,9,0,69.2,0,0,201,52.6,60.7,85.3,,79.2,72.3,0,0,0,71,11.1,5,1,0,127.9,18,0,89,3,225,418,2,0,0,2,0,154,416,0,193,170,10,31,26,0,2,265,90,14.7
Todd Bradley-Glenn,49811,LB,GA SOUTHRN,4,5,0,80.0,0,0,174,41.6,55.9,78.3,51.2,71.0,35.3,0,1,0,24,27.3,6,1,0,156.3,4,0,110,0,47,129,11,0,0,11,0,0,118,11,71,8,6,11,5,1,1,60,14,15.0
Alden Tofa,51983,ED,BYU,11,5,0,50.0,0,0,128,70.4,63.8,83.5,58.9,61.2,61.5,1,3,0,9,14.3,2,0,0,62.5,1,1,15,0,13,176,159,0,0,125,34,0,17,75,88,2,7,7,2,5,0,9,3,9.0
Chaz Ah You,51989,S,BYU,2,3,0,100.0,0,0,128,67.9,61.5,74.4,59.5,52.6,56.6,0,0,0,8,20.0,1,0,0,100.0,1,0,10,0,9,24,5,0,0,5,0,0,19,1,14,9,1,1,1,0,0,8,6,8.0
Earl Tuioti-Mariner,51992,ED,BYU,9,2,0,,0,0,128,60.6,55.4,81.5,55.8,54.6,79.2,0,4,0,,0.0,0,0,0,0.0,0,0,0,0,1,228,228,2,52,60,114,0,0,111,116,0,6,6,0,4,0,0,0,
Lorenzo Fauatea,52005,DI,BYU,10,4,0,,1,1,128,,46.6,31.8,56.9,44.1,51.8,2,3,0,,13.3,2,0,2,0.0,0,2,1,0,0,330,329,67,140,28,94,0,1,157,173,0,9,9,0,7,0,0,0,
Penei Pavihi,52079,LB,HAWAII,12,20,0,82.2,0,0,180,52.8,45.2,57.4,65.9,40.2,53.3,1,3,1,35,19.6,18,1,1,100.9,37,2,664,1,332,737,13,0,0,13,0,4,724,37,368,55,38,54,45,6,1,390,343,10.5
Kaleb Hayes,52137,CB,BYU,10,5,0,68.8,0,0,128,62.9,64.3,29.4,,71.8,69.0,0,0,0,30,13.2,5,4,2,125.3,22,0,33,388,208,436,2,0,0,2,0,4,434,0,228,8,4,28,32,0,3,266,43,12.1
Jared Reed,52173,CB,BOISE ST,1,0,0,,0,0,120,,60.0,61.7,,60.0,,0,0,0,,,0,0,0,0.0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
George Nyakwol,52203,S,RICE,8,3,0,66.7,0,2,275,61.6,64.6,83.5,60.0,68.7,47.7,3,1,1,28,20.6,7,1,0,105.6,4,0,108,7,158,314,8,0,0,8,0,162,306,11,145,29,7,24,6,4,1,69,14,17.3
Kenneth Orji,52209,ED,RICE,8,8,0,0.0,0,0,275,58.4,61.6,84.5,51.0,69.4,59.8,0,6,0,,20.0,3,0,0,39.6,0,0,11,0,15,168,148,0,0,139,9,0,20,68,85,9,1,4,1,6,0,0,0,
Trey Schuman,52216,ED,RICE,11,4,0,,0,0,275,63.2,76.9,0.8,77.4,74.7,77.3,5,10,0,,5.3,1,0,3,0.0,0,5,0,0,4,227,227,0,7,151,69,0,0,119,104,0,17,14,0,20,0,0,0,
Alii Matau,52219,LB,S JOSE ST,10,15,1,73.3,0,0,285,60.1,64.1,89.2,70.6,60.3,56.4,1,11,1,24,19.6,11,0,0,82.1,11,5,205,3,194,582,244,0,0,244,0,0,338,116,272,130,16,30,15,17,1,88,40,8.0
Rico Tolefree,52250,LB,S JOSE ST,8,3,0,83.3,0,0,285,66.8,63.6,0.0,54.5,66.6,83.2,0,0,0,17,0.0,0,1,1,105.6,5,0,18,2,45,100,24,0,0,24,0,0,76,10,45,56,4,5,6,0,0,56,16,11.2
Sinjun Astani,52257,ED,USC,2,0,0,,0,0,326,,58.8,70.0,58.1,60.0,,0,0,0,,,0,0,0,0.0,0,0,0,0,0,5,5,0,1,4,0,0,0,3,2,0,0,0,0,0,0,0,0,
Tre White,52261,S,S JOSE ST,7,1,0,100.0,0,0,285,68.4,64.6,0.0,61.0,61.7,80.6,0,0,0,11,0.0,0,0,1,129.2,2,0,25,1,40,84,0,0,0,0,0,45,84,1,43,13,1,3,2,0,1,11,0,5.5
Gabe Reid,52273,ED,UTAH,10,7,0,,0,0,328,76.9,78.2,59.2,75.0,69.9,72.5,2,24,0,,10.7,3,0,1,0.0,0,4,6,0,16,311,305,0,14,262,29,0,6,185,110,0,17,18,0,30,0,0,0,
Ryan Johnson,52282,ED,NWESTERN,6,2,3,,0,0,256,58.7,69.2,81.1,65.8,68.9,64.5,2,4,0,,16.7,1,0,0,0.0,0,1,0,0,2,168,168,0,23,88,57,0,0,76,90,0,3,3,0,7,0,0,0,
Bentlee Sanders,52291,S,NEVADA,11,4,0,55.6,0,3,239,80.0,79.2,88.3,59.6,72.2,81.9,0,0,5,44,9.4,8,3,2,45.6,25,0,200,4,376,714,3,0,0,3,0,223,711,1,337,281,20,73,45,0,1,317,101,12.7
Darrien Grant,52293,DI,USF,11,1,0,,0,0,327,,57.0,83.0,54.6,57.8,78.9,1,2,0,,0.0,0,0,0,0.0,0,0,1,0,0,301,300,9,216,32,43,0,1,138,163,0,7,10,0,3,0,0,0,
Fred Lloyd Jr.,52300,WR,LA MONROE,1,0,0,,0,0,209,,60.0,60.0,,60.0,,0,0,0,,,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
Mekhi LaPointe,52315,S,USF,9,11,0,80.0,0,1,327,42.3,46.6,85.1,62.7,53.8,45.2,1,0,1,26,24.2,16,1,0,117.5,20,1,138,3,220,433,0,0,0,0,0,217,433,5,208,75,14,39,25,2,2,245,111,12.3
Nick Roberts,52318,S,SMU,11,15,0,72.5,0,2,287,52.7,55.8,85.9,55.4,59.5,70.6,0,0,3,58,11.6,8,1,2,106.5,29,0,349,12,353,701,21,0,0,21,0,139,680,6,342,180,14,46,40,0,3,482,218,16.6
Bryce Dugan,52425,DI,OHIO,9,5,0,,0,1,259,60.7,66.8,82.8,61.9,70.6,56.2,0,10,1,,19.0,4,0,0,0.0,0,2,6,0,9,261,255,23,149,41,42,0,6,190,62,0,13,12,0,12,0,0,0,
Malik Vann,52555,ED,CINCINNATI,2,0,0,,0,0,138,,53.9,0.0,60.1,56.9,73.1,0,1,0,,0.0,0,0,1,0.0,0,0,0,0,0,53,53,0,9,27,17,0,0,28,25,0,1,2,0,1,0,0,0,
Tyler Bentley,52790,DI,PITTSBURGH,10,4,0,,0,0,268,60.0,69.2,81.5,60.9,73.5,66.0,0,4,0,,9.1,1,0,0,0.0,0,1,0,0,0,198,198,12,181,4,1,0,0,134,64,0,7,6,0,5,0,0,0,
Xavier Peters,52819,ED,FAU,11,3,0,100.0,0,0,165,57.9,51.0,27.1,56.9,50.9,35.8,3,0,0,12,25.0,4,0,1,116.7,1,0,1,0,8,132,131,1,16,64,50,0,1,63,61,0,7,9,1,3,0,12,9,12.0
Cole Pearce,52970,LB,BALL ST,11,31,3,57.1,0,0,117,65.5,79.2,86.4,82.0,77.9,81.5,5,5,1,27,9.1,10,1,0,48.3,12,5,816,1,388,854,14,0,0,14,0,1,840,55,411,22,51,69,21,15,0,93,57,7.8
James Camden,53418,S,CINCINNATI,1,0,0,,0,0,138,,60.8,64.9,,60.0,,0,0,0,,,0,0,0,0.0,0,0,2,1,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,
Deshawn Pace,53549,LB,CINCINNATI,11,16,0,79.2,0,0,138,67.7,65.5,50.8,62.1,64.5,61.9,2,4,1,32,14.8,9,1,2,87.2,19,1,350,18,215,511,78,0,0,78,0,10,433,37,259,55,18,36,24,7,1,138,72,7.3
Ja'von Hicks,53569,S,CINCINNATI,11,15,0,46.2,1,0,138,78.9,77.0,55.7,60.0,71.4,66.5,0,1,2,33,15.8,9,3,2,52.9,12,0,99,15,403,786,16,0,0,16,0,480,770,1,382,176,10,33,26,1,2,117,27,9.8
Eric Phillips,53572,ED,CINCINNATI,11,8,1,,0,1,138,66.0,69.6,24.5,65.3,72.4,71.1,6,12,0,,8.3,3,0,4,0.0,0,4,1,0,0,564,563,0,57,287,219,0,1,283,281,0,20,25,0,22,0,0,0,
Ivan Pace Jr.,53587,LB,CINCINNATI,11,25,2,85.7,2,2,138,71.4,93.0,0.0,93.4,90.5,71.7,15,23,0,19,15.6,19,3,7,140.2,12,11,721,0,240,757,34,1,0,33,0,0,723,156,361,2,59,78,14,49,2,114,68,9.5
Ryan Mullaney,53704,ED,CINCINNATI,7,4,0,,0,0,138,,60.5,0.0,62.6,64.8,58.5,0,6,0,,15.4,2,0,2,0.0,0,0,0,0,0,114,114,0,1,61,52,0,0,39,75,0,5,7,0,6,0,0,0,
Carrington Valentine,53750,CB,KENTUCKY,11,6,0,55.4,2,0,202,70.5,65.6,48.7,61.4,44.3,63.9,0,3,1,63,15.1,8,5,4,91.8,31,1,54,584,337,659,8,0,0,8,0,4,651,7,315,9,15,39,56,4,3,446,196,14.4
Jaheim Thomas,54193,LB,CINCINNATI,11,16,0,62.5,0,1,138,58.6,74.4,44.7,81.8,76.2,63.1,4,8,0,20,12.7,7,0,1,81.8,5,2,253,3,123,368,95,0,0,95,0,0,273,59,186,17,19,32,8,14,0,53,13,10.6
Isaiah Norman,54967,S,MARSHALL,6,1,0,71.4,0,0,214,54.4,57.3,13.9,59.1,67.8,90.3,0,0,0,37,0.0,0,0,1,153.0,5,0,86,5,156,286,3,0,0,3,0,99,283,2,128,93,4,19,7,0,1,87,40,17.4
Aapri Washington,55013,CB,E CAROLINA,9,5,0,57.1,1,0,156,66.8,69.6,82.0,59.3,79.3,69.6,0,1,0,18,10.0,2,0,1,92.3,8,0,9,225,133,237,3,0,0,3,0,0,234,2,102,0,3,13,14,1,1,63,24,7.9
Tim Terry,55020,LB,AKRON,8,7,0,75.0,0,0,102,76.8,65.6,81.3,50.9,56.4,62.2,2,4,0,40,15.4,6,0,0,126.0,9,0,270,1,126,288,7,0,0,7,0,0,281,17,145,9,18,26,12,6,1,97,83,10.8
