bet_outcome_numeric,bet_outcome_text,close_odds,close_time,dg_id,open_odds,open_time,outcome,player_name,book,event_completed,event_name,market,season,year,event_id
0,loss,97.74,2022-05-05 00:37,19870,88.07,2022-05-02 16:25,T25,"McCarthy, Denny",pinnacle,2022-05-08,Wells Fargo Championship,win,2022,2022,480
0,loss,101.77,2022-05-05 00:37,17786,128.06,2022-05-02 16:25,CUT,"Davis, Cameron",pinnacle,2022-05-08,Wells Fargo Championship,win,2022,2022,480
0,loss,104.82,2022-05-05 00:37,12669,110.43,2022-05-02 16:25,T6,"Lahiri, Anirban",pinnacle,2022-05-08,Wells Fargo Championship,win,2022,2022,480
0,loss,107.61,2022-05-05 00:37,9586,97.18,2022-05-02 16:25,61,"Laird, Martin",pinnacle,2022-05-08,Wells Fargo Championship,win,2022,2022,480
0,loss,109.48,2022-05-05 00:37,7960,109.73,2022-05-02 16:25,T31,"List, Luke",pinnacle,2022-05-08,Wells Fargo Championship,win,2022,2022,480
0,loss,114.33,2022-05-05 00:37,11019,120.73,2022-05-02 16:25,T51,"Steele, Brendan",pinnacle,2022-05-08,Wells Fargo Championship,win,2022,2022,480
0,loss,114.81,2022-05-05 00:37,7399,120.73,2022-05-02 16:25,CUT,"Glover, Lucas",pinnacle,2022-05-08,Wells Fargo Championship,win,2022,2022,480
0,loss,115.86,2022-05-05 00:37,8469,104.35,2022-05-02 16:25,T25,"Armour, Ryan",pinnacle,2022-05-08,Wells Fargo Championship,win,2022,2022,480
0,loss,118.66,2022-05-05 00:37,18187,159.53,2022-05-02 16:25,CUT,"Duncan, Tyler",pinnacle,2022-05-08,Wells Fargo Championship,win,2022,2022,480
0,loss,118.86,2022-05-05 00:37,8605,107.04,2022-05-02 16:25,CUT,"Jones, Matt",pinnacle,2022-05-08,Wells Fargo Championship,win,2022,2022,480
0,loss,122.11,2022-05-05 00:37,12965,134.24,2022-05-02 16:25,T21,"Fowler, Rickie",pinnacle,2022-05-08,Wells Fargo Championship,win,2022,2022,480
0,loss,125.07,2022-05-05 00:37,15330,115.83,2022-05-02 16:25,T6,"Griffin, Lanto",pinnacle,2022-05-08,Wells Fargo Championship,win,2022,2022,480
0,loss,125.12,2022-05-05 00:37,11952,148.03,2022-05-02 16:25,CUT,"Grace, Branden",pinnacle,2022-05-08,Wells Fargo Championship,win,2022,2022,480
0,loss,139.84,2022-05-05 00:37,23482,138.58,2022-05-02 16:25,CUT,"Sigg, Greyson",pinnacle,2022-05-08,Wells Fargo Championship,win,2022,2022,480
0,loss,152.14,2022-05-05 00:37,13022,169.09,2022-05-02 16:25,CUT,"Stuard, Brian",pinnacle,2022-05-08,Wells Fargo Championship,win,2022,2022,480
0,loss,153.75,2022-05-05 00:37,15016,138.58,2022-05-02 16:25,CUT,"Schwab, Matthias",pinnacle,2022-05-08,Wells Fargo Championship,win,2022,2022,480
0,loss,153.8,2022-05-05 00:37,21554,176.15,2022-05-02 16:25,T9,"Poston, J.T.",pinnacle,2022-05-08,Wells Fargo Championship,win,2022,2022,480
0,loss,154.35,2022-05-05 00:37,7881,166.17,2022-05-02 16:25,CUT,"Kang, Sung",pinnacle,2022-05-08,Wells Fargo Championship,win,2022,2022,480
0,loss,155.41,2022-05-05 00:37,13497,165.79,2022-05-02 16:25,T25,"Lee, Kyounghoon",pinnacle,2022-05-08,Wells Fargo Championship,win,2022,2022,480
0,loss,159.26,2022-05-05 00:37,10943,143.3,2022-05-02 16:25,WD,"Lashley, Nate",pinnacle,2022-05-08,Wells Fargo Championship,win,2022,2022,480
0,loss,163.47,2022-05-05 00:37,21237,201.29,2022-05-02 16:25,CUT,"Hickok, Kramer",pinnacle,2022-05-08,Wells Fargo Championship,win,2022,2022,480
0,loss,167.33,2022-05-05 00:37,16394,150.62,2022-05-02 16:25,T6,"Jaeger, Stephan",pinnacle,2022-05-08,Wells Fargo Championship,win,2022,2022,480
0,loss,169.71,2022-05-05 00:37,21944,169.09,2022-05-02 16:25,T64,"Moore, Taylor",pinnacle,2022-05-08,Wells Fargo Championship,win,2022,2022,480
0,loss,173.99,2022-05-05 00:37,11955,156.57,2022-05-02 16:25,T46,"Frittelli, Dylan",pinnacle,2022-05-08,Wells Fargo Championship,win,2022,2022,480
0,loss,179.68,2022-05-05 00:37,15556,162.57,2022-05-02 16:25,T9,"Hughes, Mackenzie",pinnacle,2022-05-08,Wells Fargo Championship,win,2022,2022,480
0,loss,180.76,2022-05-05 00:37,13126,162.57,2022-05-02 16:25,T15,"Taylor, Nick",pinnacle,2022-05-08,Wells Fargo Championship,win,2022,2022,480
0,loss,181.44,2022-05-05 00:37,7655,164.04,2022-05-02 16:25,CUT,"Molinari, Francesco",pinnacle,2022-05-08,Wells Fargo Championship,win,2022,2022,480
0,loss,183.39,2022-05-05 00:37,14704,179.96,2022-05-02 16:25,CUT,"Putnam, Andrew",pinnacle,2022-05-08,Wells Fargo Championship,win,2022,2022,480
0,loss,185.06,2022-05-05 00:37,12946,222.52,2022-05-02 16:25,T64,"Thompson, Michael",pinnacle,2022-05-08,Wells Fargo Championship,win,2022,2022,480
0,loss,187.99,2022-05-05 00:37,17509,169.09,2022-05-02 16:25,T46,"Seiffert, Chase",pinnacle,2022-05-08,Wells Fargo Championship,win,2022,2022,480
0,loss,191.36,2022-05-05 00:37,15470,194.83,2022-05-02 16:25,CUT,"Hossler, Beau",pinnacle,2022-05-08,Wells Fargo Championship,win,2022,2022,480
0,loss,199.21,2022-05-05 00:37,24481,234.91,2022-05-02 16:25,CUT,"Redman, Doc",pinnacle,2022-05-08,Wells Fargo Championship,win,2022,2022,480
0,loss,207.23,2022-05-05 00:37,19840,272.76,2022-05-02 16:25,T21,"Ramey, Chad",pinnacle,2022-05-08,Wells Fargo Championship,win,2022,2022,480
0,loss,220.98,2022-05-05 00:37,14606,248.68,2022-05-02 16:25,CUT,"Huh, John",pinnacle,2022-05-08,Wells Fargo Championship,win,2022,2022,480
0,loss,223.85,2022-05-05 00:37,13997,201.29,2022-05-02 16:25,CUT,"Svensson, Adam",pinnacle,2022-05-08,Wells Fargo Championship,win,2022,2022,480
0,loss,233.58,2022-05-05 00:37,14140,264.24,2022-05-02 16:25,CUT,"Higgs, Harry",pinnacle,2022-05-08,Wells Fargo Championship,win,2022,2022,480
0,loss,243.09,2022-05-05 00:37,25363,316.13,2022-05-02 16:25,CUT,"Buckley, Hayden",pinnacle,2022-05-08,Wells Fargo Championship,win,2022,2022,480
0,loss,244.41,2022-05-05 00:37,7961,291.53,2022-05-02 16:25,T15,"Reavie, Chez",pinnacle,2022-05-08,Wells Fargo Championship,win,2022,2022,480
0,loss,244.77,2022-05-05 00:37,21891,357.86,2022-05-02 16:25,T15,"Kitayama, Kurt",pinnacle,2022-05-08,Wells Fargo Championship,win,2022,2022,480
0,loss,249.22,2022-05-05 00:37,6986,228.53,2022-05-02 16:25,CUT,"Johnson, Zach",pinnacle,2022-05-08,Wells Fargo Championship,win,2022,2022,480
0,loss,261.55,2022-05-05 00:37,11451,264.24,2022-05-02 16:25,CUT,"Garnett, Brice",pinnacle,2022-05-08,Wells Fargo Championship,win,2022,2022,480
0,loss,276.46,2022-05-05 00:37,22985,384.34,2022-05-02 16:25,T25,"Smotherman, Austin",pinnacle,2022-05-08,Wells Fargo Championship,win,2022,2022,480
0,loss,283.64,2022-05-05 00:37,5665,325.23,2022-05-02 16:25,T9,"Cink, Stewart",pinnacle,2022-05-08,Wells Fargo Championship,win,2022,2022,480
0,loss,297.67,2022-05-05 00:37,14698,302.02,2022-05-02 16:25,CUT,"Bramlett, Joseph",pinnacle,2022-05-08,Wells Fargo Championship,win,2022,2022,480
0,loss,297.67,2022-05-05 00:37,11374,302.02,2022-05-02 16:25,T9,"Hahn, James",pinnacle,2022-05-08,Wells Fargo Championship,win,2022,2022,480
0,loss,303.2,2022-05-05 00:37,14926,272.76,2022-05-02 16:25,T51,"Malnati, Peter",pinnacle,2022-05-08,Wells Fargo Championship,win,2022,2022,480
