"game_id","first","time_control_name","game_end_reason","winner","created_at","last_update","type","game_request.lexicon","game_request.initial_time_seconds","game_request.increment_seconds","game_request.challenge_rule","game_request.game_mode","game_request.rating_mode","game_request.max_overtime_minutes","game_request.player_vs_bot","game_request.bot_type","game_request.rules.board_layout_name","game_request.rules.letter_distribution_name","game_request.rules.variant_name"
"ZxmQMxaU","BasicBot","regular","STANDARD",0,"2022-07-13T15:02:19.098043Z","2022-07-13T15:11:26.725524Z","NATIVE","CSW21",1260,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"wbXR2ggQ","BasicBot","rapid","TIME",0,"2022-07-13T14:58:14.644929Z","2022-07-13T15:06:20.085763Z","NATIVE","CSW21",480,0,"VOID","REAL_TIME","RATED",0,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"NPUy6VW7","Cappellusman","regular","STANDARD",1,"2022-07-13T14:57:02.274199Z","2022-07-13T15:06:54.625775Z","NATIVE","RD28",1800,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_PROBABILISTIC","CrosswordGame","german",""
"d5X7mtGq","BasicBot","regular","STANDARD",0,"2022-07-13T14:53:25.448511Z","2022-07-13T15:05:29.030814Z","NATIVE","CSW21",900,0,"SINGLE","REAL_TIME","RATED",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"bzHdxCr6","erishacbees","regular","STANDARD",0,"2022-07-13T14:52:59.630507Z","2022-07-13T15:04:31.627702Z","NATIVE","CSW21",900,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"LoFtuMnR","BasicBot","regular","STANDARD",0,"2022-07-13T14:51:25.917053Z","2022-07-13T15:02:19.396128Z","NATIVE","CSW21",1200,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"6XHwGBPk","BasicBot","regular","STANDARD",0,"2022-07-13T14:49:42.494193Z","2022-07-13T14:56:50.545325Z","NATIVE","RD28",1800,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_PROBABILISTIC","CrosswordGame","german",""
"EWBpPg9M","CarlTassya","rapid","TIME",0,"2022-07-13T14:46:15.358118Z","2022-07-13T14:56:22.057400Z","NATIVE","CSW21",600,0,"VOID","REAL_TIME","RATED",0,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"oUhvAkLh","anupama","regular","STANDARD",0,"2022-07-13T14:45:39.111411Z","2022-07-13T15:02:15.253572Z","NATIVE","CSW21",1260,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"ReUrQern","CHUYUZHE","regular","RESIGNED",0,"2022-07-13T14:43:24.593522Z","2022-07-13T14:53:24.367747Z","NATIVE","CSW21",900,0,"SINGLE","REAL_TIME","RATED",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"nSEK7zME","mithumn","regular","STANDARD",0,"2022-07-13T14:42:41.048493Z","2022-07-13T14:50:28.980895Z","NATIVE","CSW21",900,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"XfxbcV5d","Cappellusman","regular","STANDARD",0,"2022-07-13T14:41:58.486802Z","2022-07-13T14:49:31.583086Z","NATIVE","RD28",1800,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_PROBABILISTIC","CrosswordGame","german",""
"Rqfh3WN9","BasicBot","regular","STANDARD",0,"2022-07-13T14:38:38.700004Z","2022-07-13T14:52:12.056155Z","NATIVE","CSW21",900,0,"SINGLE","REAL_TIME","RATED",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"wJDGFKFV","Jese77","regular","STANDARD",1,"2022-07-13T14:37:07.040442Z","2022-07-13T14:51:04.237695Z","NATIVE","CSW21",1200,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
