"game_id","first","time_control_name","game_end_reason","winner","created_at","last_update","type","game_request.lexicon","game_request.initial_time_seconds","game_request.increment_seconds","game_request.challenge_rule","game_request.game_mode","game_request.rating_mode","game_request.max_overtime_minutes","game_request.player_vs_bot","game_request.bot_type","game_request.rules.board_layout_name","game_request.rules.letter_distribution_name","game_request.rules.variant_name"
"DxQmAjmv","JudyMaria","regular","STANDARD",0,"2022-07-13T19:14:50.859139Z","2022-07-13T19:23:26.497264Z","NATIVE","RD28",1200,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_PROBABILISTIC","CrosswordGame","german",""
"QSnPdMfn","DelrayScrabbler","regular","STANDARD",1,"2022-07-13T19:13:02.751740Z","2022-07-13T19:23:44.952223Z","NATIVE","NWL20",3600,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"n3AuKq8d","BasicBot","regular","STANDARD",0,"2022-07-13T19:00:26.612092Z","2022-07-13T19:14:49.221547Z","NATIVE","RD28",1200,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_PROBABILISTIC","CrosswordGame","german",""
"vdaK8Lgh","BasicBot","regular","STANDARD",1,"2022-07-13T18:56:36.645198Z","2022-07-13T19:05:55.491694Z","NATIVE","NWL20",3600,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"hdxjwwNE","BasicBot","regular","STANDARD",1,"2022-07-13T18:54:38.624619Z","2022-07-13T19:14:03.232201Z","NATIVE","CSW21",1200,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"WYscNr89","JudyMaria","regular","STANDARD",0,"2022-07-13T18:47:35.171798Z","2022-07-13T19:00:24.811441Z","NATIVE","RD28",1200,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_PROBABILISTIC","CrosswordGame","german",""
"QGbFNZjS","DelrayScrabbler","regular","STANDARD",1,"2022-07-13T18:41:08.459798Z","2022-07-13T18:56:31.127826Z","NATIVE","NWL20",3600,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"BNhriseC","BasicBot","regular","STANDARD",1,"2022-07-13T18:34:18.472956Z","2022-07-13T18:47:31.882180Z","NATIVE","RD28",1200,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_PROBABILISTIC","CrosswordGame","german",""
"wvjQR7xq","BasicBot","regular","STANDARD",1,"2022-07-13T18:30:45.784259Z","2022-07-13T18:41:04.264210Z","NATIVE","NWL20",3600,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"Vn5Ubu9d","JudyMaria","regular","STANDARD",1,"2022-07-13T18:22:47.264725Z","2022-07-13T18:34:13.713013Z","NATIVE","RD28",1200,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_PROBABILISTIC","CrosswordGame","german",""
