tour,year,season,event_name,event_id,site,ownerships_from,player_name,dg_id,salary,ownership,fin_text,streak_pts,bogey_free_pts,hole_in_one_pts,sub_70_pts,hole_score_pts,finish_pts,total_pts
pga,2022,2022,Genesis Scottish Open,541,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Veerman, Johannes",20522,7000,0.0159,CUT,0,0,0,0,20.5,0,20.5
pga,2022,2022,Genesis Scottish Open,541,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Watney, Nick",7955,6000,0.0008,CUT,0,0,0,0,20.0,0,20.0
pga,2022,2022,Genesis Scottish Open,541,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Lagergren, Joakim",14780,6100,0.0052,CUT,0,0,0,0,20.0,0,20.0
pga,2022,2022,Genesis Scottish Open,541,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Meronk, Adrian",14196,7700,0.1131,CUT,0,0,0,0,20.0,0,20.0
pga,2022,2022,Genesis Scottish Open,541,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"MacIntyre, Robert",23323,7600,0.1133,CUT,0,0,0,0,19.5,0,19.5
pga,2022,2022,Genesis Scottish Open,541,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Pereira, Mito",19455,7700,0.1104,CUT,0,0,0,0,19.5,0,19.5
pga,2022,2022,Genesis Scottish Open,541,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Zalatoris, Will",19428,9300,0.194,CUT,0,0,0,0,19.5,0,19.5
pga,2022,2022,Genesis Scottish Open,541,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Matsuyama, Hideki",13562,9000,0.1149,CUT,0,0,0,0,19.5,0,19.5
pga,2022,2022,Genesis Scottish Open,541,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Perez, Victor",20730,6900,0.0688,CUT,0,0,0,0,19.0,0,19.0
pga,2022,2022,Genesis Scottish Open,541,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Munoz, Sebastian",20770,7500,0.0554,CUT,0,0,0,0,18.5,0,18.5
pga,2022,2022,Genesis Scottish Open,541,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Dahmen, Joel",14509,7100,0.0227,CUT,0,0,0,0,18.0,0,18.0
pga,2022,2022,Genesis Scottish Open,541,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Forrest, Grant",16475,6400,0.0012,CUT,0,0,0,0,18.0,0,18.0
pga,2022,2022,Genesis Scottish Open,541,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Kawamura, Masahiro",13530,6300,0.0016,CUT,0,0,0,0,18.0,0,18.0
pga,2022,2022,Genesis Scottish Open,541,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Janewattananond, Jazz",14368,6100,0.002,CUT,0,0,0,0,17.5,0,17.5
pga,2022,2022,Genesis Scottish Open,541,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Im, Sungjae",17488,8700,0.0734,CUT,0,0,0,0,17.5,0,17.5
pga,2022,2022,Genesis Scottish Open,541,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Kim, Si Woo",14609,7100,0.0171,CUT,0,0,0,0,17.0,0,17.0
pga,2022,2022,Genesis Scottish Open,541,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Glover, Lucas",7399,6500,0.0049,CUT,0,0,0,0,17.0,0,17.0
pga,2022,2022,Genesis Scottish Open,541,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Donald, Luke",4163,6400,0.0011,CUT,0,0,0,0,17.0,0,17.0
pga,2022,2022,Genesis Scottish Open,541,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Kokrak, Jason",12337,7300,0.021,CUT,0,0,0,0,17.0,0,17.0
pga,2022,2022,Genesis Scottish Open,541,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Gavins, Daniel",18241,6100,0.0006,CUT,0,0,0,0,17.0,0,17.0
pga,2022,2022,Genesis Scottish Open,541,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Lipsky, David",15980,6800,0.0162,CUT,0,0,0,0,16.5,0,16.5
pga,2022,2022,Genesis Scottish Open,541,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Catlin, John",18524,6600,0.0113,CUT,0,0,0,0,16.5,0,16.5
pga,2022,2022,Genesis Scottish Open,541,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Senior, Jack",15115,6300,0.0042,CUT,0,0,0,0,16.5,0,16.5
pga,2022,2022,Genesis Scottish Open,541,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Stenson, Henrik",5994,7000,0.0055,CUT,0,0,0,0,16.5,0,16.5
pga,2022,2022,Genesis Scottish Open,541,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Horschel, Billy",11276,8200,0.0712,CUT,0,0,0,0,16.5,0,16.5
pga,2022,2022,Genesis Scottish Open,541,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Lee, Jaekyeong",19047,6000,0.0008,CUT,0,0,0,0,16.0,0,16.0
pga,2022,2022,Genesis Scottish Open,541,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Thomas, Justin",14139,10600,0.1997,CUT,0,0,0,0,16.0,0,16.0
pga,2022,2022,Genesis Scottish Open,541,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Lee, K.H.",13497,7300,0.0276,CUT,0,0,0,0,16.0,0,16.0
pga,2022,2022,Genesis Scottish Open,541,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"van Rooyen, Erik",17550,7100,0.0196,CUT,0,0,0,0,16.0,0,16.0
pga,2022,2022,Genesis Scottish Open,541,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Tarren, Callum",20519,6300,0.0522,CUT,0,0,0,0,16.0,0,16.0
pga,2022,2022,Genesis Scottish Open,541,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Broberg, Kristoffer",15603,6300,0.0005,CUT,0,0,0,0,15.5,0,15.5
pga,2022,2022,Genesis Scottish Open,541,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Straka, Sepp",17511,6800,0.0098,CUT,0,0,0,0,15.5,0,15.5
pga,2022,2022,Genesis Scottish Open,541,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Aphibarnrat, Kiradech",12321,6200,0.0014,CUT,0,0,0,0,15.5,0,15.5
pga,2022,2022,Genesis Scottish Open,541,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"List, Luke",7960,7200,0.0379,CUT,0,0,0,0,15.5,0,15.5
pga,2022,2022,Genesis Scottish Open,541,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Samooja, Kalle",14120,6300,0.003,CUT,0,0,0,0,15.0,0,15.0
pga,2022,2022,Genesis Scottish Open,541,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Rozner, Antoine",18770,6600,0.0131,CUT,0,0,0,0,15.0,0,15.0
pga,2022,2022,Genesis Scottish Open,541,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Caldwell, Jonathan",13682,6000,0.0001,CUT,0,0,0,0,14.5,0,14.5
pga,2022,2022,Genesis Scottish Open,541,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Kim, Bio",12188,6600,0.0011,CUT,0,0,0,0,14.5,0,14.5
pga,2022,2022,Genesis Scottish Open,541,draftkings,PGA TOUR $800K Pitch + Putt [$200K to 1st],"Besseling, Wil",9413,6600,0.0018,CUT,0,0,0,0,14.5,0,14.5
