player_name,sample_size,baseline,links_adj,age,age_adj,true_sg_adj,timing_adj,sg_category_adj,course_history_adj,driving_dist_adj,driving_acc_adj,fit_other_adj,course_fit_total_adj,final_prediction,std_dev,event_name,course_name
"Rahm, Jon",150,1.981,0.021,27,0.016,-0.022,-0.009,0.114,-0.017,0.065,-0.011,-0.066,-0.013,2.071,2.799,"Genesis Scottish Open","The Renaissance Club"
"Scheffler, Scottie",150,2.196,-0.189,26,0.022,0.101,-0.064,0.050,-0.014,0.045,-0.005,-0.101,-0.061,2.042,2.793,"Genesis Scottish Open","The Renaissance Club"
"Thomas, Justin",150,2.042,-0.202,29,0.011,0.079,-0.008,-0.023,0.015,0.048,0.010,-0.095,-0.038,1.877,2.776,"Genesis Scottish Open","The Renaissance Club"
"Fitzpatrick, Matthew",150,1.801,-0.052,27,0.016,0.062,0.011,0.024,0.046,0.020,-0.017,-0.061,-0.058,1.851,2.727,"Genesis Scottish Open","The Renaissance Club"
"Cantlay, Patrick",150,1.906,-0.235,30,0.008,-0.008,-0.033,-0.005,-0.040,0.032,-0.001,-0.067,-0.035,1.558,2.793,"Genesis Scottish Open","The Renaissance Club"
"Schauffele, Xander",150,1.923,-0.143,28,0.013,-0.024,-0.021,-0.158,-0.017,0.031,-0.010,-0.080,-0.060,1.513,2.747,"Genesis Scottish Open","The Renaissance Club"
"Zalatoris, Will",150,1.688,-0.215,25,0.022,-0.015,0.025,0.003,-0.020,0.049,0.008,-0.077,-0.020,1.469,2.769,"Genesis Scottish Open","The Renaissance Club"
"Matsuyama, Hideki",150,1.600,-0.090,30,0.008,-0.070,0.016,-0.035,-0.040,0.015,-0.006,-0.082,-0.072,1.317,2.802,"Genesis Scottish Open","The Renaissance Club"
"Im, Sungjae",150,1.482,-0.189,24,0.028,0.048,-0.050,0.049,-0.040,0.011,-0.017,-0.054,-0.061,1.266,2.797,"Genesis Scottish Open","The Renaissance Club"
"Smith, Cameron",150,1.633,-0.080,28,0.013,-0.020,0.004,-0.221,-0.040,0.010,0.012,-0.083,-0.061,1.227,2.802,"Genesis Scottish Open","The Renaissance Club"
"Conners, Corey",150,1.431,-0.120,30,0.007,0.017,-0.027,-0.016,-0.044,0.008,-0.025,-0.058,-0.074,1.175,2.755,"Genesis Scottish Open","The Renaissance Club"
"Niemann, Joaquin",150,1.177,-0.260,23,0.029,0.065,0.025,0.147,-0.040,0.046,0.009,-0.051,0.004,1.148,2.753,"Genesis Scottish Open","The Renaissance Club"
"Fleetwood, Tommy",150,1.014,0.238,31,0.004,0.042,-0.006,-0.151,0.033,0.012,0.001,-0.042,-0.029,1.146,2.742,"Genesis Scottish Open","The Renaissance Club"
"Hovland, Viktor",150,1.279,0.019,24,0.026,0.007,0.018,-0.140,-0.040,0.034,-0.012,-0.053,-0.032,1.137,2.785,"Genesis Scottish Open","The Renaissance Club"
"Burns, Sam",150,1.632,-0.248,25,0.022,0.026,-0.007,-0.263,-0.013,0.036,0.007,-0.065,-0.022,1.127,2.843,"Genesis Scottish Open","The Renaissance Club"
"Spieth, Jordan",150,1.151,-0.006,28,0.012,-0.064,-0.016,0.066,-0.040,0.023,0.011,-0.047,-0.013,1.090,2.827,"Genesis Scottish Open","The Renaissance Club"
"Fox, Ryan",150,0.843,0.120,35,-0.009,0.093,0.055,-0.089,-0.002,0.059,0.036,-0.045,0.050,1.061,2.805,"Genesis Scottish Open","The Renaissance Club"
"Hatton, Tyrrell",150,0.758,0.244,30,0.007,0.052,0.018,-0.052,0.015,0.016,0.014,-0.025,0.006,1.047,2.825,"Genesis Scottish Open","The Renaissance Club"
"Morikawa, Collin",150,1.367,-0.208,25,0.024,0.055,-0.024,-0.024,-0.060,0.012,-0.024,-0.072,-0.084,1.046,2.812,"Genesis Scottish Open","The Renaissance Club"
