"game_id","nickname","score","rating"
"fnTjmmMz","BasicBot",451,"1940"
"fnTjmmMz","MyraA",145,"1375?"
"fS28grSt","BasicBot",428,"1931"
"fS28grSt","Eleez",128,"1238"
"FssAxmiA","BasicBot",401,"1519"
"FssAxmiA","was54",327,"1179"
"FZt8MTyc","BasicBot",298,"1927"
"FZt8MTyc","erishacbees",280,"1463"
"g2bdYoek","BasicBot",253,"1964"
"g2bdYoek","Cracker",144,"1562"
"g7MJnTFZ","BasicBot",318,"1449"
"g7MJnTFZ","Cappellusman",374,"1428"
"GcjzvzaV","BasicBot",265,"1916"
"GcjzvzaV","BobSluys",360,"2100"
"ggPMnEqE","BasicBot",313,"1447"
"ggPMnEqE","Festus66",299,"1395"
"ggSfagKw","BasicBot",261,"1466"
"ggSfagKw","Cappellusman",372,"1412"
"GhGredXm","BasicBot",398,"1919"
"GhGredXm","Chipsmore",304,"1720?"
"GHUq8VAb","BasicBot",126,"1476"
"GHUq8VAb","kyjo55555",26,"1632?"
"giXx6Gen","BasicBot",437,"1926"
"giXx6Gen","Rimuzy",189,"1435?"
"giZCePJA","AAKIMI",76,"1500?"
"giZCePJA","BasicBot",206,"1841"
"gSx5iasj","BasicBot",285,"1504"
"gSx5iasj","DelrayScrabbler",380,"1615"
"GthcvZqH","BasicBot",476,"1853"
"GthcvZqH","CarlTassya",128,"1185?"
"GUDvzdBv","BasicBot",265,"1923"
"GUDvzdBv","ntsy",154,"1395?"
"GVPVSCDh","BasicBot",24,"1922"
"GVPVSCDh","MISSOOI",-50,"1583?"
"gvyQ3FMf","BasicBot",465,"1952"
"gvyQ3FMf","ppphrlyn",184,"1651?"
"GwWhkqVY","BasicBot",370,"1941"
"GwWhkqVY","erishacbees",285,"1491"
"gyJBknRR","BasicBot",381,"1916"
"gyJBknRR","MaryC123",346,"1902"
"HcEZofn2","BasicBot",376,"1488"
"HcEZofn2","RobbinSteif",404,"1371"
"Hd8D93GL","BasicBot",406,"1940"
"Hd8D93GL","erishacbees",353,"1493"
"HdKF64M6","BasicBot",218,"1913"
"HdKF64M6","saya",140,"1500?"
"hdxjwwNE","BasicBot",297,"1964"
"hdxjwwNE","BobSluys",324,"2100"
"hE8exRua","BasicBot",348,"1966"
"hE8exRua","Sammy",412,"1778"
"hFw37X27","agal",207,"1157?"
"hFw37X27","BasicBot",479,"1945"
"HgJWmYxc","BasicBot",360,"1925"
"HgJWmYxc","Bryson",366,"2319"
"HH3xmp7o","BasicBot",476,"1901"
"HH3xmp7o","Yuki86",239,"1222?"
"hieTsprV","BasicBot",395,"1946"
"hieTsprV","Jese77",313,"1790"
"hmyHrT5B","BasicBot",341,"1879"
"hmyHrT5B","Schil",307,"1500?"
"hnoT65Rs","BasicBot",337,"1974"
"hnoT65Rs","Jese77",299,"1779"
"hqkiv4Ef","BasicBot",366,"1860"
"hqkiv4Ef","Ibrahim28",322,"1544"
"hQtjDFEE","BasicBot",382,"1913"
"hQtjDFEE","Mamito",265,"1785"
"HrkoHMoH","BasicBot",325,"1486"
"HrkoHMoH","DelrayScrabbler",358,"1621"
"hxNYDLqx","BasicBot",233,"1502"
"hxNYDLqx","BJCUBBS",131,"1374"
"hxVgtgRs","anupama",330,"1892"
"hxVgtgRs","BasicBot",336,"1974"
"i2Cxmm3W","BasicBot",311,"1909"
"i2Cxmm3W","Hardesi",430,"1697"
"i2jawEcj","BasicBot",125,"1942"
"i2jawEcj","Haujaf",18,"1458?"
"i82CT3aK","BasicBot",343,"1936"
"i82CT3aK","joyce_1",315,"1802"
"i9yMDLHj","BasicBot",493,"1852"
"i9yMDLHj","CarlTassya",112,"1191?"
"iaorefud","BasicBot",340,"1904"
"iaorefud","madhulekha",359,"1882"
"iGF2Wavx","BasicBot",365,"1871"
"iGF2Wavx","Ibrahim28",307,"1534"
"iJEvTpcv","BasicBot",68,"1922"
"iJEvTpcv","rqts",49,"1561"
"iKfXvjDF","AaronRoni",314,"1647"
"iKfXvjDF","BasicBot",365,"1873"
"iKRzDmiP","BasicBot",216,"1928"
"iKRzDmiP","Fieyza",65,"1413?"
"iRG2yunH","BasicBot",478,"1952"
"iRG2yunH","Fahim_Nuruddin",116,"1500?"
"j635H6kY","BasicBot",382,"1867"
"j635H6kY","Lightning_Warrior",414,"1595"
"j7Wehyk9","Aghalya",292,"1893"
"j7Wehyk9","BasicBot",356,"1902"
"jAXopkZs","BasicBot",174,"1946"
"jAXopkZs","MegatRashidi",81,"1529"
"JBZAGzuP","BasicBot",100,"1925"
"JBZAGzuP","ttan",24,"1426"
"JdTPpt9H","BasicBot",293,"1902"
"JdTPpt9H","Ndnzhmhkm",198,"1999?"
"JeGAUpj7","BasicBot",399,"1913"
"JeGAUpj7","Wendy555",194,"1654"
"jeZ3YjWi","BasicBot",410,"1969"
"jeZ3YjWi","megan123456",196,"1788"
"JFFLUp3c","BasicBot",402,"1923"
"JFFLUp3c","SEKTA_TEACHER",306,"1422?"
"jfrcKqBZ","BasicBot",325,"1462"
"jfrcKqBZ","JudyMaria",355,"1251"
"jhLX4amJ","BasicBot",385,"1927"
"jhLX4amJ","raniahannani",298,"1964?"
"jHN42pK3","AAKIMI",177,"1483?"
"jHN42pK3","BasicBot",448,"1936"
"JoZ6BBrj","AkbaranIkqmal",91,"1526?"
"JoZ6BBrj","BasicBot",477,"1852"
"JuFQaAsq","BasicBot",301,"1934"
"JuFQaAsq","mutton",420,"1764?"
"jVeNce9e","BasicBot",338,"1954"
"jVeNce9e","madhulekha",344,"1847"
"Jzx63eig","BasicBot",313,"1935"
"Jzx63eig","Struha23",415,"1879"
"K4S27zcc","BasicBot",370,"1874"
"K4S27zcc","DinethScrabber123",415,"2081"
"k8jBmjAr","BasicBot",313,"1911"
"k8jBmjAr","patvinraj2305",195,"1500?"
"K9t7AJHX","BasicBot",506,"1887"
"K9t7AJHX","SEKTA_TEACHER",208,"1440?"
"KBdyDjBL","Aghalya",358,"1903"
"KBdyDjBL","BasicBot",363,"1873"
"KBzuxcut","BasicBot",301,"1494"
"KBzuxcut","beetmaven",390,"1155"
"kJ5SaMa3","BasicBot",397,"1500"
"kJ5SaMa3","was54",355,"1179"
"kJ6CiaiS","BasicBot",315,"1956"
"kJ6CiaiS","Bryson",371,"2319"
"KmBembqq","BasicBot",330,"1449"
"KmBembqq","Cappellusman",327,"1428"
"KQfGG7sv","BasicBot",327,"1883"
"KQfGG7sv","DinethScrabber123",354,"2081"
"KQHCVkAS","BasicBot",345,"1945"
"KQHCVkAS","Cracker",386,"1485"
"kQMfwSNB","Banul07",367,"1829"
"kQMfwSNB","BasicBot",341,"1936"
"Ku8ezipd","BasicBot",23,"1516"
"Ku8ezipd","Husker",11,"1280?"
"kUNRx4YJ","BasicBot",278,"1519"
"kUNRx4YJ","DelrayScrabbler",405,"1600"
"L3S6xPbM","BasicBot",79,"1886"
"L3S6xPbM","ttan",13,"1426"
"L4z6oQJQ","Alan_Aldrie",156,"1450?"
"L4z6oQJQ","BasicBot",460,"1896"
"L9qLahUV","BasicBot",86,"1904"
"L9qLahUV","ttan",18,"1426"
"LbfnPaJE","BasicBot",433,"1491"
"LbfnPaJE","Cappellusman",257,"1386"
"LFQPcsGN","BasicBot",340,"1911"
"LFQPcsGN","BobSluys",398,"2105"
"LiT6pQj7","BasicBot",360,"1863"
"LiT6pQj7","Ibrahim28",276,"1542"
"LoFtuMnR","BasicBot",404,"1905"
"LoFtuMnR","Jese77",272,"1796"
"LRoacJYS","BasicBot",375,"1473"
"LRoacJYS","Heng820",240,"1155?"
"LWAvu3oi","BasicBot",513,"1960"
"LWAvu3oi","SEKTA_TEACHER",257,"1394?"
"LyYr8mDG","BasicBot",383,"1925"
"LyYr8mDG","Rimuzy",174,"1431?"
"m2uK7iGr","BasicBot",74,"1874"
"m4WkV9K6","BasicBot",323,"1883"
"m4WkV9K6","CarlTassya",124,"1194?"
"m8etSzTo","BasicBot",372,"1855"
"m8etSzTo","Ibrahim28",328,"1549"
"M8Lz9Ug9","BasicBot",336,"1479"
"M8Lz9Ug9","OnTheHop",352,"1525"
"MDcMZ67K","BasicBot",397,"1963"
"MDcMZ67K","megan123456",175,"1796"
"mfUGRjjc","BasicBot",253,"1500"
"mfUGRjjc","gppa",374,"1651"
"mhkdYndr","BasicBot",320,"1942"
"mhkdYndr","HM123",339,"1915"
"MJhsdFRV","BasicBot",511,"1494"
"MJhsdFRV","was54",275,"1179"
"mnKQDcXM","BasicBot",420,"1878"
"mnKQDcXM","CarlTassya",134,"1215?"
"MpYKRfu2","BasicBot",341,"1935"
"MpYKRfu2","Fieyza",173,"1413?"
"mroJDko8","BasicBot",331,"1519"
"mroJDko8","BJCUBBS",391,"1381"
"ms3k3urd","BasicBot",115,"1930"
"ms3k3urd","Kyaperx",44,"1714"
"MsUcGmx4","BasicBot",479,"1873"
"MsUcGmx4","CarlTassya",108,"1240?"
"muzPTrcU","BasicBot",354,"1459"
"muzPTrcU","Cappellusman",361,"1419"
"mVPuEBuK","BasicBot",280,"1933"
"mVPuEBuK","BobSluys",403,"2095"
"mVZUrtxy","BasicBot",384,"1924"
"mVZUrtxy","Rimuzy",185,"1439?"
"mXXMWyLt","BasicBot",305,"1930"
"mXXMWyLt","madhulekha",332,"1850"
"MYGCs6bB","BasicBot",384,"1934"
"MYGCs6bB","SKBATUMAUNG",223,"1295?"
"MywZGCbe","BasicBot",268,"1512"
"MywZGCbe","DelrayScrabbler",378,"1606"
"MzFFvPCK","AmirahSyahirah95",36,"1449?"
"MzFFvPCK","BasicBot",194,"1894"
"MZhdy62y","BasicBot",383,"1879"
