Tm,G,Att,Cmp,Yds,TD,DADOT,Air,YAC,Bltz,Bltz%,Hrry,Hrry%,QBKD,QBKD%,Sk,Prss,Prss%,MTkl
Atlanta Falcons,12,423,288,3067,18,8.1,1827,1357,64,14.10%,10,2.20%,29,6.90%,17,56,12.40%,38
Buffalo Bills,12,425,273,2620,15,7,1464,1351,93,19.40%,38,7.90%,45,10.60%,31,114,23.80%,65
Carolina Panthers,12,410,271,2550,15,7.7,1549,1148,131,28.90%,39,8.60%,36,8.80%,25,100,22.10%,48
Chicago Bears,12,325,219,2473,15,6.8,1269,1287,63,17.40%,39,10.80%,14,4.30%,16,69,19.10%,56
Cincinnati Bengals,11,368,217,2377,10,8.6,1423,1063,88,22.10%,30,7.50%,43,11.70%,17,90,22.60%,53
Cleveland Browns,11,345,223,2377,16,7.8,1339,1195,91,24.10%,34,9.00%,18,5.20%,25,77,20.40%,54
Indianapolis Colts,12,357,244,2287,13,6.9,1110,1359,67,16.40%,36,8.80%,25,7.00%,31,92,22.50%,55
Arizona Cardinals,12,438,303,2945,24,6,1264,1860,169,35.30%,42,8.80%,53,12.10%,23,118,24.60%,66
Dallas Cowboys,11,346,222,1955,12,7.6,1044,1203,113,27.60%,39,9.50%,40,11.60%,45,124,30.20%,42
Denver Broncos,11,376,231,2032,9,6.9,1137,1065,151,36.30%,33,7.90%,34,9.00%,26,93,22.40%,63
Detroit Lions,11,380,246,2859,18,9.3,1870,1084,135,31.20%,49,11.30%,30,7.90%,20,99,22.90%,40
Green Bay Packers,12,338,221,2254,18,6.9,1230,1116,144,38.10%,32,8.50%,31,9.20%,24,87,23.00%,42
Houston Texans,11,333,205,2380,10,8.4,1404,1118,65,17.10%,30,7.90%,30,9.00%,27,87,22.90%,63
Jacksonville Jaguars,11,386,242,2729,17,7.9,1456,1366,99,23.30%,44,10.40%,41,10.60%,17,102,24.00%,63
Kansas City Chiefs,11,401,269,2568,22,7,1475,1326,130,28.50%,45,9.90%,39,9.70%,35,119,26.10%,57
Miami Dolphins,11,388,263,2572,17,7.7,1391,1336,130,29.30%,32,7.20%,31,8.00%,25,88,19.80%,55
Minnesota Vikings,11,391,271,3037,16,8.3,1706,1430,77,17.20%,39,8.70%,23,5.90%,29,91,20.30%,50
New Orleans Saints,12,378,235,2368,14,7.9,1353,1230,76,17.80%,21,4.90%,22,5.80%,33,76,17.80%,63
New England Patriots,12,394,233,2407,17,8.6,1428,1221,119,26.60%,57,12.70%,27,6.90%,39,123,27.50%,51
New York Giants,11,357,213,2379,12,8.9,1311,1173,168,42.30%,30,7.60%,44,12.30%,20,94,23.70%,29
New York Jets,11,365,229,2173,10,8.6,1225,1162,63,15.10%,26,6.20%,43,11.80%,34,103,24.70%,48
Tennessee Titans,11,441,282,2934,19,7.7,1794,1306,74,15.00%,37,7.50%,45,10.20%,31,113,22.90%,63
Philadelphia Eagles,11,377,227,2020,13,7.5,1128,1146,100,23.30%,36,8.40%,32,8.50%,36,104,24.20%,59
Pittsburgh Steelers,11,398,245,2901,23,8.7,1755,1270,136,30.80%,15,3.40%,31,7.80%,22,68,15.40%,52
Las Vegas Raiders,11,377,270,2783,19,6.7,1477,1436,114,28.00%,20,4.90%,38,10.10%,16,74,18.20%,51
Los Angeles Rams,11,370,252,2487,15,6.1,1252,1362,105,25.70%,17,4.20%,21,5.70%,22,60,14.70%,41
Baltimore Ravens,11,410,275,2792,16,6.5,1636,1382,100,21.60%,27,5.80%,27,6.60%,35,89,19.20%,60
Los Angeles Chargers,11,349,225,2391,18,8.5,1422,1120,110,28.50%,19,4.90%,27,7.70%,22,68,17.60%,38
Seattle Seahawks,11,371,246,2584,18,8.2,1315,1422,70,16.60%,24,5.70%,31,8.40%,28,83,19.70%,55
San Francisco 49ers,11,365,238,2225,9,6.5,1256,1140,93,22.30%,31,7.40%,37,10.10%,33,101,24.20%,47
Tampa Bay Buccaneers,11,366,232,2112,17,8.5,1255,1100,119,28.30%,28,6.70%,35,9.60%,36,99,23.60%,43
Washington Commanders,12,373,224,2419,19,8.7,1542,1059,96,22.60%,18,4.20%,59,15.80%,30,107,25.20%,37
