,,Win,,Cover,,Total Points,,Implied,Implied Score,
Team,Date,Moneyline,$20 Bet,Spread,$20 Bet,Over-Under,$20 Bet,Win %,Team,Opp
Northern Illinois,12/13/2021 13:00,,,-1,,125,,,,
Chicago State,12/13/2021 13:00,,,1,,125,,,,
Maryland-Baltimore County,12/13/2021 18:00,215,43,6,18.18,152,18.18,30.4,73,79
Princeton,12/13/2021 18:00,-265,7.55,-6,18.18,152,18.18,69.6,79,73
Radford,12/13/2021 19:00,140,28,3.5,18.18,130.5,18.18,40.4,63.5,67
George Washington,12/13/2021 19:00,-160,12.5,-3.5,18.18,130.5,18.18,59.6,67,63.5
Sacred Heart,12/13/2021 20:00,-190,10.53,-4,18.18,139.5,18.18,63,71.8,67.8
Columbia,12/13/2021 20:00,160,32,4,18.18,139.5,18.18,37,67.8,71.8
Indiana State,12/13/2021 20:00,120,24,3,17.39,142,19.05,43.8,69.5,72.5
North Dakota State,12/13/2021 20:00,-140,14.29,-3,19.05,142,17.39,56.2,72.5,69.5
Albany,12/13/2021 20:00,900,180,16.5,18.18,124.5,18.18,9.6,54,70.5
Boston College,12/13/2021 20:00,-1600,1.25,-16.5,18.18,124.5,18.18,90.4,70.5,54
Rhode Island,12/13/2021 20:00,-275,7.27,-6.5,18.18,130.5,18.18,70.1,68.5,62
Wisconsin-Milwaukee,12/13/2021 20:00,220,44,6.5,18.18,130.5,18.18,29.9,62,68.5
Cleveland State,12/13/2021 20:00,575,115,12.5,18.18,132.5,19.05,,60,72.5
Oklahoma State,12/13/2021 20:00,,,-12.5,18.18,132.5,17.39,,72.5,60
Cal-Poly San Luis Obispo,12/13/2021 22:00,160,32,5,17.39,128.5,18.18,37,61.8,66.8
Portland,12/13/2021 22:00,-190,10.53,-5,19.05,128.5,18.18,63,66.8,61.8
