Purdue (1) ,68,Final
Rutgers,70,
Merrimack,55,Final
Gonzaga (5) ,80,
Texas (7) ,60,Final
Seton Hall (23) ,64,
Iowa,53,Final
Iowa State (17) ,73,
Asbury,55,Final
Bellarmine,87,
Bethune-Cookman,48,Final
NC State,65,
Carver College,50,Final
North Carolina Central,102,
Colgate,68,Final
Pitt,71,
Denver,67,Final
New Mexico,87,
Detroit,52,Final
Kent State,69,
Grand Canyon,62,Final
Arizona State,67,
Hampton,54,Final
William & Mary,53,
Lindsey Wilson,68,Final
Southern,86,
LIU,57,Final
Fordham,73,
Monmouth,83,Final
St. John's (NY),88,
Nicholls State,95,Final
Mississippi Valley State,80,
