,,Win,,Cover,,Total Points,,Implied,Implied Score,
Team,Date,Moneyline,$20 Bet,Spread,$20 Bet,Over-Under,$20 Bet,Win %,Team,Opp
Dayton,2021-11-25 12:00:00,195,39.00,6.0,17.39,135.0,19.05,32.4,64.5,70.5
Miami,2021-11-25 12:00:00,-240,8.33,-6.0,19.05,135.0,17.39,67.6,70.5,64.5
Michigan State,2021-11-25 12:00:00,100,20.00,1.0,19.05,139.5,17.39,47.8,69.3,70.3
Connecticut,2021-11-25 12:00:00,-120,16.67,-1.0,17.39,139.5,19.05,52.2,70.3,69.3
San Diego,2021-11-25 13:30:00,-125,16.00,-1.5,17.39,136.5,19.05,53.2,69.0,67.5
South Alabama,2021-11-25 13:30:00,105,21.00,1.5,19.05,136.5,17.39,46.8,67.5,69.0
Presbyterian,2021-11-25 14:00:00,110,22.00,2.0,18.18,137.5,18.18,45.7,67.8,69.8
New Orleans,2021-11-25 14:00:00,-130,15.38,-2.0,18.18,137.5,18.18,54.3,69.8,67.8
North Texas,2021-11-25 14:30:00,650,130.00,14.5,17.39,130.5,19.05,12.8,58.0,72.5
Kansas,2021-11-25 14:30:00,-1000,2.00,-14.5,19.05,130.5,17.39,87.2,72.5,58.0
Loyola-Chicago,2021-11-25 14:30:00,,,,,,,,,
Auburn,2021-11-25 14:30:00,,,,,,,,,
Central Arkansas,2021-11-25 16:00:00,320,64.00,9.0,19.05,146.5,16.67,22.7,68.8,77.8
VMI,2021-11-25 16:00:00,-425,4.71,-9.0,17.39,146.5,20.00,77.3,77.8,68.8
Illinois-Chicago,2021-11-25 16:00:00,,,,,,,,,
Hawaii,2021-11-25 16:00:00,,,,,,,,,
Alabama,2021-11-25 17:00:00,-675,2.96,-12.0,18.18,152.5,18.18,83.4,82.3,70.3
Iona,2021-11-25 17:00:00,475,95.00,12.0,18.18,152.5,18.18,16.6,70.3,82.3
VCU,2021-11-25 17:00:00,525,105.00,12.5,18.18,130.5,20.00,15.3,59.0,71.5
Baylor,2021-11-25 17:00:00,-760,2.63,-12.5,18.18,130.5,16.67,84.7,71.5,59.0
Maryland,2021-11-25 19:00:00,-120,16.67,-1.0,18.18,139.5,19.05,52.2,70.3,69.3
Richmond,2021-11-25 19:00:00,100,20.00,1.0,18.18,139.5,17.39,47.8,69.3,70.3
New Mexico,2021-11-25 19:00:00,500,100.00,11.5,18.18,151.0,20.00,16.0,69.8,81.3
UAB,2021-11-25 19:00:00,-720,2.78,-11.5,18.18,151.0,16.67,84.0,81.3,69.8
UC San Diego,2021-11-25 19:00:00,-115,17.39,-1.0,18.18,141.5,18.18,,71.3,70.3
Southern Mississippi,2021-11-25 19:00:00,,,1.0,18.18,141.5,18.18,,70.3,71.3
Belmont,2021-11-25 19:30:00,135,27.00,3.0,18.18,150.5,20.00,41.2,73.8,76.8
Drake,2021-11-25 19:30:00,-155,12.90,-3.0,18.18,150.5,16.67,58.8,76.8,73.8
Syracuse,2021-11-25 19:30:00,-130,15.38,-2.0,18.18,140.5,16.67,54.3,71.3,69.3
Arizona State,2021-11-25 19:30:00,110,22.00,2.0,18.18,140.5,20.00,45.7,69.3,71.3
USC,2021-11-25 21:30:00,-1600,1.25,-18.0,18.18,148.5,18.18,90.4,83.3,65.3
St. Joseph's,2021-11-25 21:30:00,900,180.00,18.0,18.18,148.5,18.18,9.6,65.3,83.3
Louisville,2021-11-25 21:30:00,105,21.00,2.0,16.67,133.0,20.00,46.8,65.5,67.5
Mississippi State,2021-11-25 21:30:00,-125,16.00,-2.0,20.00,133.0,16.67,53.2,67.5,65.5
UNC-Wilmington,2021-11-25 21:30:00,-255,7.84,6.5,17.39,132.5,19.05,,63.0,69.5
Montana,2021-11-25 21:30:00,,,-6.5,19.05,132.5,17.39,,69.5,63.0
San Francisco,2021-11-25 21:30:00,-720,2.78,-12.5,19.05,137.0,17.39,84.0,74.8,62.3
Towson,2021-11-25 21:30:00,500,100.00,12.5,17.39,137.0,19.05,16.0,62.3,74.8
