"","teams","lines","totals"
"1","Wofford",33.5,40.5
"2","Virginia Tech",-33.5,40.5
"3","Oklahoma",-11,66
"4","Nebraska",11,66
"5","Georgia",-25.5,55
"6","South Carolina",25.5,55
"7","Purdue",1.5,59.5
"8","Syracuse",-1.5,59.5
"9","Western Kentucky",7,60.5
"10","Indiana",-7,60.5
"11","Cincinnati",-24,51
"12","Miami OH",24,51
"13","UConn",47.5,59
"14","Michigan",-47.5,59
"15","Villanova",14,56
"16","Army West Point",-14,56
"17","Southern Illinois",13.5,58
"18","Northwestern",-13.5,58
"19","Texas State",30,53
"20","Baylor",-30,53
"21","Youngstown State",30,49.5
"22","Kentucky",-30,49.5
"23","Abilene Christian",31.5,56.5
"24","Missouri",-31.5,56.5
"25","LIU",40.5,64.5
"26","Kent State",-40.5,64.5
"27","Buffalo",12.5,59
"28","Coastal Carolina",-12.5,59
"29","Towson",40,58.5
"30","West Virginia",-40,58.5
"31","Bucknell",40,60.5
"32","Central Michigan",-40,60.5
"33","South Alabama",15.5,59
"34","UCLA",-15.5,59
"35","Ohio",20,47.5
"36","Iowa State",-20,47.5
"37","Old Dominion",8,53
"38","Virginia",-8,53
"39","Murray State",21,53
"40","Ball State",-21,53
"41","California",13,41
"42","Notre Dame",-13,41
"43","Tulane",14,49.5
"44","Kansas State",-14,49.5
"45","North Texas",2.5,62.5
"46","UNLV",-2.5,62.5
"47","BYU",3.5,58
"48","Oregon",-3.5,58
"49","Penn State",-2.5,48
"50","Auburn",2.5,48
"51","Troy",14,52
"52","Appalachian State",-14,52
"53","Ole Miss",-17,62.5
"54","Georgia Tech",17,62.5
"55","Colorado",28,47
"56","Minnesota",-28,47
"57","Vanderbilt",2.5,59
"58","Northern Illinois",-2.5,59
"59","Georgia Southern",12.5,59
"60","UAB",-12.5,59
"61","New Mexico State",37.5,46
"62","Wisconsin",-37.5,46
"63","Stony Brook",1,48.5
"64","Massachusetts",-1,48.5
"65","Kansas",8.5,58.5
"66","Houston",-8.5,58.5
"67","ULM",49.5,61.5
"68","Alabama",-49.5,61.5
"69","UT Martin",24,53.5
"70","Boise State",-24,53.5
"71","Liberty",17,63.5
"72","Wake Forest",-17,63.5
"73","Colorado State",16.5,52.5
"74","Washington State",-16.5,52.5
"75","Marshall",-16.5,50.5
"76","Bowling Green",16.5,50.5
"77","Mississippi State",-3,52.5
"78","LSU",3,52.5
"79","North Carolina A&T",28.5,56.5
"80","Duke",-28.5,56.5
"81","Campbell",32.5,58
"82","East Carolina",-32.5,58
"83","Texas Tech",10,56
"84","North Carolina State",-10,56
"85","Toledo",31,62.5
"86","Ohio State",-31,62.5
"87","Missouri State",26,59.5
"88","Arkansas",-26,59.5
"89","Arkansas State",14.5,64
"90","Memphis",-14.5,64
"91","Charlotte",20.5,62.5
"92","Georgia State",-20.5,62.5
"93","Akron",47.5,67
"94","Tennessee",-47.5,67
"95","Jacksonville State",10,61
"96","Tulsa",-10,61
"97","Tennessee State",20,52
"98","Middle Tennessee",-20,52
"99","Arkansas-Pine Bluff",54.5,62.5
"100","Oklahoma State",-54.5,62.5
"101","Northwestern State",33,50.5
"102","Southern Mississippi",-33,50.5
"103","Michigan State",3.5,56.5
"104","Washington",-3.5,56.5
"105","South Florida",23,58.5
"106","Florida",-23,58.5
"107","Pittsburgh",-10.5,48
"108","Western Michigan",10.5,48
"109","Nevada",24,39.5
"110","Iowa",-24,39.5
"111","SMU",2.5,73
"112","Maryland",-2.5,73
"113","UCF",-8,62
"114","Florida Atlantic",8,62
"115","Louisiana-Lafayette",-11.5,51.5
"116","Rice",11.5,51.5
"117","Maine",31,48
"118","Boston College",-31,48
"119","UTSA",12.5,57.5
"120","Texas",-12.5,57.5
"121","Montana State",15,56.5
"122","Oregon State",-15,56.5
"123","Louisiana Tech",33.5,53.5
"124","Clemson",-33.5,53.5
"125","UTEP",-2.5,38.5
"126","New Mexico",2.5,38.5
"127","Miami FL",6.5,45
"128","Texas A&M",-6.5,45
"129","San Diego State",21,48.5
"130","Utah",-21,48.5
"131","Fresno State",11,71
"132","USC",-11,71
"133","Eastern Michigan",20.5,56.5
"134","Arizona State",-20.5,56.5
"135","North Dakota State",-1.5,49.5
"136","Arizona",1.5,49.5
"137","Duquesne",8,64.5
"138","Hawaii",-8,64.5
"139","USC",-6,40.5
"140","Oregon State",6,40.5
"141","Notre Dame",NA,66
"142","North Carolina",NA,66
"143","Clemson",-7,55
"144","Wake Forest",7,55
"145","Minnesota",3,59.5
"146","Michigan State",-3,59.5
"147","Arkansas",1,60.5
"148","Texas A&M",-1,60.5
"149","Wisconsin",17,51
"150","Ohio State",-17,51
"151","Florida",7,59
"152","Tennessee",-7,59
"153","James Madison",9.5,56
"154","Appalachian State",-9.5,56
"155","TCU",-1,58
"156","SMU",1,58
"157","Kansas State",11,53
"158","Oklahoma",-11,53
