"","teams","lines","totals"
"1","Florida State",-2,54.5
"2","Louisville",2,54.5
"3","Air Force",-15.5,50
"4","Wyoming",15.5,50
"5","Oklahoma",-13,64.5
"6","Nebraska",13,64.5
"7","Western Kentucky",6.5,59
"8","Indiana",-6.5,59
"9","Georgia",-24.5,50.5
"10","South Carolina",24.5,50.5
"11","Purdue",-1,59
"12","Syracuse",1,59
"13","Texas State",31,53
"14","Baylor",-31,53
"15","UConn",47,59.5
"16","Michigan",-47,59.5
"17","Cincinnati",-20.5,50
"18","Miami OH",20.5,50
"19","Buffalo",17.5,58
"20","Coastal Carolina",-17.5,58
"21","South Alabama",13.5,59
"22","UCLA",-13.5,59
"23","Old Dominion",11,53
"24","Virginia",-11,53
"25","Ohio",21,49
"26","Iowa State",-21,49
"27","California",11,43.5
"28","Notre Dame",-11,43.5
"29","North Texas",2.5,58
"30","UNLV",-2.5,58
"31","Tulane",16.5,49
"32","Kansas State",-16.5,49
"33","Penn State",-3,48.5
"34","Auburn",3,48.5
"35","Ole Miss",-14.5,60
"36","Georgia Tech",14.5,60
"37","BYU",4,56.5
"38","Oregon",-4,56.5
"39","Colorado",27,46.5
"40","Minnesota",-27,46.5
"41","Troy",12.5,54
"42","Appalachian State",-12.5,54
"43","Vanderbilt",1.5,61.5
"44","Northern Illinois",-1.5,61.5
"45","Georgia Southern",12.5,56.5
"46","UAB",-12.5,56.5
"47","New Mexico State",37.5,47.5
"48","Wisconsin",-37.5,47.5
"49","ULM",49,60
"50","Alabama",-49,60
"51","Kansas",9.5,62
"52","Houston",-9.5,62
"53","Liberty",16,62.5
"54","Wake Forest",-16,62.5
"55","Marshall",-18,53.5
"56","Bowling Green",18,53.5
"57","Colorado State",16.5,53
"58","Washington State",-16.5,53
"59","Mississippi State",-3,54
"60","LSU",3,54
"61","Arkansas State",13.5,62
"62","Memphis",-13.5,62
"63","Toledo",30.5,61
"64","Ohio State",-30.5,61
"65","Akron",47.5,65.5
"66","Tennessee",-47.5,65.5
"67","Texas Tech",9.5,55
"68","North Carolina State",-9.5,55
"69","Charlotte",19.5,60.5
"70","Georgia State",-19.5,60.5
"71","SMU",3,70
"72","Maryland",-3,70
"73","Pittsburgh",-11.5,54.5
"74","Western Michigan",11.5,54.5
"75","Louisiana-Lafayette",-12,52.5
"76","Rice",12,52.5
"77","Nevada",21,41
"78","Iowa",-21,41
"79","Michigan State",2,54.5
"80","Washington",-2,54.5
"81","South Florida",24.5,59
"82","Florida",-24.5,59
"83","UCF",-10,59
"84","Florida Atlantic",10,59
"85","UTSA",13.5,59
"86","Texas",-13.5,59
"87","Louisiana Tech",33,54.5
"88","Clemson",-33,54.5
"89","UTEP",-3.5,41
"90","New Mexico",3.5,41
"91","Miami FL",5.5,49
"92","Texas A&M",-5.5,49
"93","San Diego State",21,49
"94","Utah",-21,49
"95","Fresno State",13,71
"96","USC",-13,71
"97","Eastern Michigan",19,57
"98","Arizona State",-19,57
