"","teams","lines","totals"
"1","Florida State",9,61
"2","Louisville",-9,61
"3","Air Force",-0.5,33.5
"4","Wyoming",0.5,33.5
"5","Wofford",38,45.5
"6","Virginia Tech",-38,45.5
"7","Oklahoma",-11,65.5
"8","Nebraska",11,65.5
"9","Georgia",-25,55
"10","South Carolina",25,55
"11","Purdue",1.5,60
"12","Syracuse",-1.5,60
"13","Western Kentucky",6.5,61
"14","Indiana",-6.5,61
"15","Cincinnati",-23,50.5
"16","Miami OH",23,50.5
"17","Texas State",30,53
"18","Baylor",-30,53
"19","UConn",47.5,58.5
"20","Michigan",-47.5,58.5
"21","Villanova",13.5,54
"22","Army West Point",-13.5,54
"23","Buffalo",12.5,59
"24","Coastal Carolina",-12.5,59
"25","South Alabama",15.5,59.5
"26","UCLA",-15.5,59.5
"27","Old Dominion",8.5,53
"28","Virginia",-8.5,53
"29","Ohio",18.5,47.5
"30","Iowa State",-18.5,47.5
"31","Murray State",20.5,53
"32","Ball State",-20.5,53
"33","California",12,40.5
"34","Notre Dame",-12,40.5
"35","Tulane",14,49.5
"36","Kansas State",-14,49.5
"37","North Texas",2.5,63.5
"38","UNLV",-2.5,63.5
"39","BYU",3.5,58
"40","Oregon",-3.5,58
"41","Ole Miss",-17,63.5
"42","Georgia Tech",17,63.5
"43","Penn State",-2.5,48
"44","Auburn",2.5,48
"45","Troy",13,52
"46","Appalachian State",-13,52
"47","Colorado",28,47
"48","Minnesota",-28,47
"49","Vanderbilt",2.5,59
"50","Northern Illinois",-2.5,59
"51","Georgia Southern",12,57.5
"52","UAB",-12,57.5
"53","New Mexico State",37.5,46
"54","Wisconsin",-37.5,46
"55","Kansas",8,58
"56","Houston",-8,58
"57","ULM",49.5,61.5
"58","Alabama",-49.5,61.5
"59","UT Martin",22,51.5
"60","Boise State",-22,51.5
"61","Liberty",17,63.5
"62","Wake Forest",-17,63.5
"63","Marshall",-16.5,50.5
"64","Bowling Green",16.5,50.5
"65","Colorado State",16.5,53
"66","Washington State",-16.5,53
"67","Mississippi State",-3,52.5
"68","LSU",3,52.5
"69","North Carolina A&T",26.5,55
"70","Duke",-26.5,55
"71","Campbell",31,55
"72","East Carolina",-31,55
"73","Texas Tech",10,56
"74","North Carolina State",-10,56
"75","Toledo",31,62.5
"76","Ohio State",-31,62.5
"77","Arkansas State",14.5,64
"78","Memphis",-14.5,64
"79","Charlotte",19.5,61.5
"80","Georgia State",-19.5,61.5
"81","Akron",47,67
"82","Tennessee",-47,67
"83","Michigan State",3.5,56.5
"84","Washington",-3.5,56.5
"85","South Florida",24.5,58.5
"86","Florida",-24.5,58.5
"87","Nevada",23,39.5
"88","Iowa",-23,39.5
"89","SMU",2.5,73
"90","Maryland",-2.5,73
"91","Pittsburgh",-10.5,48
"92","Western Michigan",10.5,48
"93","UCF",-7.5,62
"94","Florida Atlantic",7.5,62
"95","Louisiana-Lafayette",-11,51.5
"96","Rice",11,51.5
"97","UTSA",12.5,58
"98","Texas",-12.5,58
"99","Louisiana Tech",33.5,53.5
"100","Clemson",-33.5,53.5
"101","UTEP",-2.5,38.5
"102","New Mexico",2.5,38.5
"103","Miami FL",6,44.5
"104","Texas A&M",-6,44.5
"105","San Diego State",21,48.5
"106","Utah",-21,48.5
"107","Fresno State",11,72
"108","USC",-11,72
"109","Eastern Michigan",20.5,56.5
"110","Arizona State",-20.5,56.5
"111","Notre Dame",NA,61
"112","North Carolina",NA,61
"113","USC",-6,33.5
"114","Oregon State",6,33.5
"115","Minnesota",3,45.5
"116","Michigan State",-3,45.5
"117","Florida",7,65.5
"118","Tennessee",-7,65.5
"119","Arkansas",1.5,55
"120","Texas A&M",-1.5,55
"121","Wisconsin",16.5,60
"122","Ohio State",-16.5,60
"123","Clemson",-7,61
"124","Wake Forest",7,61
"125","James Madison",10,50.5
"126","Appalachian State",-10,50.5
"127","TCU",-1,53
"128","SMU",1,53
"129","Kansas State",12,58.5
"130","Oklahoma",-12,58.5
