,Name,ID,Salary,AvgPointsPerGame,odds_open,odds_close,odds_rank,odds_delta,odds_delta_per,fpts,proj_own,ceil,floor,odds_per_dollar,one,residuals,own_change,adj_own,X.Drafted,FPTS,date,tournament
36,Nate Lashley,22311748,7500,57.47,0.0079,0.0084,44,0.0005,0.0633,52.69,8.9,76,24.5,1.12,1,-0.15,10.93,20,0.0867,94.5,4/28/2022,Mexico Open
37,Alex Smalley,22311750,7400,57.03,0.0118,0.011,31,-8.00E-04,-0.0678,54.43,12.4,77,25,1.49,1,0.28,8.66,20,0.097,97.5,4/28/2022,Mexico Open
38,Rafa Cabrera Bello,22311751,7400,55.7,0.0051,0.0077,48,0.0026,0.5098,43.82,1.1,70,22,1.04,1,-0.17,17.67,20,0.048,26.5,4/28/2022,Mexico Open
39,Brandon Wu,22311752,7300,47.89,0.0066,0.0072,52,6.00E-04,0.0909,42.84,2.6,69,22,0.99,1,-0.15,11.17,15,0.0381,115,4/28/2022,Mexico Open
40,Adam Svensson,22311753,7300,54.94,0.0101,0.0105,32,0.0004,0.0396,55.73,11.1,78,25,1.44,1,0.3,11.04,20,0.1116,26,4/28/2022,Mexico Open
41,Greyson Sigg,22311754,7300,61.22,0.0101,0.0113,30,0.0012,0.1188,53.16,8.7,76,24.5,1.55,1,0.41,12.85,20,0.1031,74.5,4/28/2022,Mexico Open
42,Brian Stuard,22311755,7300,50.32,0.0056,0.0069,56,0.0013,0.2321,50.81,0.96,74,24,0.95,1,-0.19,13,15,0.0345,65.5,4/28/2022,Mexico Open
43,Emiliano Grillo,22311756,7200,47.22,0.0076,0.0105,32,0.0029,0.3816,57.17,3.8,78.5,25.5,1.46,1,0.38,17.54,20,0.0501,77,4/28/2022,Mexico Open
44,Tyler Duncan,22311757,7200,58.57,0.0098,0.0088,41,-0.001,-0.102,51.84,10.1,75.5,24.5,1.22,1,0.14,8.21,20,0.0952,20,4/28/2022,Mexico Open
45,Scott Piercy,22311758,7200,49,0.0065,0.0065,61,0,0,48.76,0.89,73.5,23.5,0.9,1,-0.18,9.87,10,0.0202,74,4/28/2022,Mexico Open
46,Michael Thompson,22311759,7200,58.1,0.0082,0.0074,50,-8.00E-04,-0.0976,53.99,2.1,77,24.93,1.03,1,-0.05,8.46,10,0.0324,29,4/28/2022,Mexico Open
47,Kramer Hickok,22311760,7200,50.56,0.009,0.0099,35,0.0009,0.1,53.09,3.2,76,24.5,1.38,1,0.3,12.13,15,0.0347,24.5,4/28/2022,Mexico Open
48,Graeme McDowell,22311761,7100,48.54,0.0065,0.0036,92,-0.0029,-0.4462,37.35,3.9,63.5,20.5,0.51,1,-0.5,5.82,10,0.0212,69,4/28/2022,Mexico Open
49,Kurt Kitayama,22311762,7100,48.08,0.0066,0.0057,68,-9.00E-04,-0.1364,51.42,2.5,75.5,24,0.8,1,-0.21,8.23,10,0.0239,112,4/28/2022,Mexico Open
50,Nick Taylor,22311763,7100,56.25,0.0082,0.0095,36,0.0013,0.1585,54.46,8.6,76.5,24.93,1.34,1,0.33,13.1,20,0.0649,31.5,4/28/2022,Mexico Open
51,Danny Lee,22311764,7100,52,0.0093,0.0115,28,0.0022,0.2366,48.93,7.9,74,23.5,1.62,1,0.61,15.42,25,0.0402,23.5,4/28/2022,Mexico Open
52,Chase Seiffert,22311765,7100,61.43,0.0078,0.0071,54,-0.0007,-0.0897,56.66,6.8,78,25.5,1,1,-0.01,8.67,15,0.0775,29.5,4/28/2022,Mexico Open
53,Joseph Bramlett,22311766,7100,51.26,0.0081,0.0089,40,8.00E-04,0.0988,53.99,10.9,78,24.5,1.25,1,0.24,11.88,25,0.0582,35,4/28/2022,Mexico Open
54,Peter Uihlein,22311768,7000,60.54,0.0058,0.0059,64,1.00E-04,0.0172,46.86,6.6,72,23,0.84,1,-0.1,10.13,15,0.0563,28,4/28/2022,Mexico Open
55,Andrew Putnam,22311769,7000,56.06,0.0103,0.0058,66,-0.0045,-0.4369,50.66,1.8,74.5,24,0.83,1,-0.11,2.83,5,0.0267,29,4/28/2022,Mexico Open
56,John Huh,22311770,7000,56.96,0.006,0.0056,70,-4.00E-04,-0.0667,50.78,1.9,74.5,23.5,0.8,1,-0.14,9.14,10,0.019,68.5,4/28/2022,Mexico Open
57,Matt Wallace,22311771,7000,41.25,0.0053,0.0044,80,-9.00E-04,-0.1698,44.26,0.94,70,22,0.63,1,-0.31,8.26,10,0.0136,75,4/28/2022,Mexico Open
58,Robert Streb,22311772,7000,51.34,0.0075,0.0072,52,-3.00E-04,-0.04,47.91,3.9,72.5,23,1.03,1,0.09,9.48,15,0.0606,23.5,4/28/2022,Mexico Open
59,Kiradech Aphibarnrat,22311773,6900,48.96,0.0061,0.0036,92,-0.0025,-0.4098,39.95,1.3,66.58,21.5,0.52,1,-0.33,6.43,10,0.023,76.5,4/28/2022,Mexico Open
60,Ben Martin,22311774,6900,52.5,0.0026,0.0035,96,9.00E-04,0.3462,50.33,1.1,74.5,24,0.51,1,-0.34,12.74,15,0.021,32.5,4/28/2022,Mexico Open
61,Peter Malnati,22311775,6900,56.08,0.0079,0.0072,52,-0.0007,-0.0886,45.08,2.7,70.5,22.5,1.04,1,0.19,8.82,10,0.0389,85.5,4/28/2022,Mexico Open
62,Adam Schenk,22311776,6900,45.19,0.0053,0.0059,64,6.00E-04,0.1132,50.38,3.1,74,24,0.86,1,0.01,11.34,15,0.0262,30.5,4/28/2022,Mexico Open
63,Ryan Armour,22311777,6900,50.39,0.0074,0.0064,62,-0.001,-0.1351,58.3,4.5,79,25.5,0.93,1,0.08,8.24,15,0.0342,24.5,4/28/2022,Mexico Open
64,Lee Hodges,22311778,6900,53.19,0.0067,0.0089,40,0.0022,0.3284,52.25,3.8,75.5,24.43,1.29,1,0.44,15.81,20,0.021,66,4/28/2022,Mexico Open
65,Vaughn Taylor,22311779,6900,56.17,0.0059,0.0085,43,0.0026,0.4407,49.79,2.8,73.58,23.5,1.23,1,0.38,17.43,20,0.0323,5.5,4/28/2022,Mexico Open
66,Hayden Buckley,22311781,6800,53.94,0.005,0.0054,71,4.00E-04,0.08,51.46,4.6,75.58,24,0.79,1,0.02,10.88,15,0.0287,63.5,4/28/2022,Mexico Open
67,Luke Donald,22311782,6800,51.75,0.0053,0.0031,102,-0.0022,-0.4151,48.5,0.62,72.5,23.5,0.46,1,-0.31,7.09,10,0.0078,22.5,4/28/2022,Mexico Open
68,Justin Lower,22311783,6800,55.85,0.0041,0.0041,86,0,0,35.42,1.2,62,20,0.6,1,-0.17,9.87,10,0.0093,60.5,4/28/2022,Mexico Open
69,James Hahn,22311784,6800,40.58,0.0074,0.0069,56,-5.00E-04,-0.0676,51.1,1.4,74.5,24,1.01,1,0.24,9.23,10,0.0131,27,4/28/2022,Mexico Open
70,Trey Mullinax,22311785,6800,47.73,0.0046,0.0068,58,0.0022,0.4783,50.16,1.9,74.5,23.5,1,1,0.23,16.86,20,0.0261,84.5,4/28/2022,Mexico Open
71,Chez Reavie,22311786,6800,47.12,0.0029,0.0046,78,0.0017,0.5862,51.36,0.54,74.58,24,0.68,1,-0.09,16.77,15,0.0122,83,4/28/2022,Mexico Open
72,Hank Lebioda,22311787,6700,42.38,0.0065,0.0043,82,-0.0022,-0.3385,50.34,1.7,74.5,24,0.64,1,-0.06,6.7,10,0.0179,79,4/28/2022,Mexico Open
73,Callum Tarren,22311788,6700,49.96,0.0049,0.0081,46,0.0032,0.6531,47.37,4.7,72,23,1.21,1,0.51,21.05,25,0.0233,71,4/28/2022,Mexico Open
74,Andrew Novak,22311789,6700,50.89,0.006,0.0051,73,-9.00E-04,-0.15,48.41,3.1,73.5,23.5,0.76,1,0.06,8.47,10,0.0122,80.5,4/28/2022,Mexico Open
75,Brice Garnett,22311790,6700,46.76,0.0049,0.0051,73,0.0002,0.0408,50.06,1.7,74,24,0.76,1,0.06,10.46,10,0.0173,76,4/28/2022,Mexico Open
76,Aaron Baddeley,22311791,6700,59.88,0.0019,0.0023,113,4.00E-04,0.2105,44.78,0.95,70.5,22.5,0.34,1,-0.36,10.97,10,0.0105,30.5,4/28/2022,Mexico Open
77,Bill Haas,22311792,6700,52.22,0.0043,0.0047,76,4.00E-04,0.093,44.75,0.73,69.5,23,0.7,1,0,10.89,10,0.0255,73.5,4/28/2022,Mexico Open
78,Curtis Thompson,22311793,6700,48.5,0.0017,0.0028,106,0.0011,0.6471,45.44,0.99,70,22.5,0.42,1,-0.28,16.18,15,0.0055,27,4/28/2022,Mexico Open
79,Bo Hoag,22311794,6600,52.35,0.0028,0.004,88,0.0012,0.4286,48.61,1.6,73.5,23,0.61,1,-0.03,14.21,15,0.0066,28.5,4/28/2022,Mexico Open
80,Dylan Wu,22311795,6600,51.54,0.0059,0.0056,70,-3.00E-04,-0.0508,49.2,5.2,73.5,23.5,0.85,1,0.21,9.58,15,0.0222,35,4/28/2022,Mexico Open
81,Camilo Villegas,22311796,6600,49.25,0.002,0.0024,110,4.00E-04,0.2,47.78,0.86,73.5,23.5,0.36,1,-0.28,10.99,10,0.0142,22,4/28/2022,Mexico Open
82,Sung Kang,22311797,6600,50.16,0.0043,0.0023,113,-0.002,-0.4651,37.34,0.58,63.5,20.5,0.35,1,-0.29,7.95,10,0.0046,73.5,4/28/2022,Mexico Open
83,Ben Griffin,22311798,6600,76.88,0.0047,0.0058,66,0.0011,0.234,18.28,2.4,23.5,12,0.88,1,0.24,12.93,15,0.0398,36,4/28/2022,Mexico Open
84,Roger Sloan,22311799,6600,45.53,0.0076,0.0051,73,-0.0025,-0.3289,54.76,2.2,77.5,25,0.77,1,0.13,6.18,10,0.0177,29,4/28/2022,Mexico Open
85,Wesley Bryan,22311800,6600,49.56,0.0037,0.007,55,0.0033,0.8919,44.54,1.1,70.5,22.5,1.06,1,0.42,24.87,25,0.0074,70.5,4/28/2022,Mexico Open
86,Robert Garrigus,22311801,6600,70,0.0028,0.002,119,-8.00E-04,-0.2857,52.73,1.9,76,24.5,0.3,1,-0.34,8.96,10,0.039,68,4/28/2022,Mexico Open
87,Patrick Flavin,22311802,6500,75,0.0019,0.0032,100,0.0013,0.6842,38.15,3.9,65,20.5,0.49,1,-0.08,17.22,20,0.0524,38.5,4/28/2022,Mexico Open
88,Ben Kohles,22311803,6500,54.42,0.004,0.0042,84,2.00E-04,0.05,40,2.6,66,21.5,0.65,1,0.08,10.48,15,0.004,83,4/28/2022,Mexico Open
89,Kevin Tway,22311804,6500,45.68,0.0053,0.0062,63,9.00E-04,0.1698,42.58,1.8,68.5,22,0.95,1,0.38,12.37,15,0.0117,37,4/28/2022,Mexico Open
90,Satoshi Kodaira,22311805,6500,53.21,0.0034,0.0018,123,-0.0016,-0.4706,52.89,0.6,76,24.5,0.28,1,-0.29,8.8,10,0.0076,87,4/28/2022,Mexico Open
91,Stephan Jaeger,22311806,6500,42.76,0.0037,0.0039,89,2.00E-04,0.0541,38.52,0.57,66,20.5,0.6,1,0.03,10.45,10,0.0042,97,4/28/2022,Mexico Open
92,Paul Barjon,22311807,6500,46.85,0.0046,0.0047,76,1.00E-04,0.0217,47.35,5.4,73,23,0.72,1,0.15,10.32,15,0.0157,29.5,4/28/2022,Mexico Open
93,Austin Cook,22311808,6500,44.23,0.0016,0.0038,90,0.0022,1.375,35.47,0.29,62,19.5,0.58,1,0.01,24.41,25,0.0016,28,4/28/2022,Mexico Open
94,Scott Gutschewski,22311809,6500,50.41,0.0042,0.0046,78,4.00E-04,0.0952,54.19,2.2,77,25,0.71,1,0.14,11,15,0.0154,41.5,4/28/2022,Mexico Open
95,Seth Reeves,22311810,6400,47.75,0.0024,0.0032,100,8.00E-04,0.3333,46.61,1.7,73,23.5,0.5,1,-0.01,12.7,15,0.0068,23.5,4/28/2022,Mexico Open
96,Brandon Hagy,22311811,6400,42.19,0.0057,0.0045,79,-0.0012,-0.2105,44.6,2.8,70.5,22.5,0.7,1,0.19,8.19,10,0.0105,82,4/28/2022,Mexico Open
97,Max McGreevy,22311812,6400,48.75,0.0024,0.0033,98,9.00E-04,0.375,45.08,1.9,70.5,22.5,0.52,1,0.01,13.21,15,0.0035,28.5,4/28/2022,Mexico Open
98,Jason Dufner,22311813,6400,40.89,0.0016,0.0017,124,1.00E-04,0.0625,49.49,1.1,73.5,23.5,0.27,1,-0.24,10.06,10,0.0071,25.5,4/28/2022,Mexico Open
99,Richy Werenski,22311814,6400,42.43,0.0032,0.0066,60,0.0034,1.0625,44.5,3.5,70.5,22.43,1.03,1,0.52,27.19,30,0.0111,28,4/28/2022,Mexico Open
100,Fabian Gomez,22311815,6400,47.18,0.0012,0.0036,92,0.0024,2,31.29,0.9,56.5,18,0.56,1,0.05,24.84,25,0.0017,25.5,4/28/2022,Mexico Open
101,Scott Brown,22311816,6400,57.11,0.0032,0.0036,92,4.00E-04,0.125,51.83,4.3,75.5,24.43,0.56,1,0.05,10.99,15,0.0099,91,4/28/2022,Mexico Open
102,Joshua Creel,22311817,6400,37.77,0.0012,7.00E-04,135,-5.00E-04,-0.4167,38.72,0.09,65.5,21,0.11,1,-0.4,10.44,10,4.00E-04,51,4/28/2022,Mexico Open
103,Michael Gligic,22311818,6400,46.29,0.0018,0.001,132,-8.00E-04,-0.4444,36.35,0.32,62.5,20,0.16,1,-0.35,10.11,10,0.0018,78.5,4/28/2022,Mexico Open
104,Tommy Gainey,22311819,6300,40.89,1.00E-04,0.0028,106,0.0027,27,30.89,0.07,55,18.5,0.44,1,0,25.4,25,0.0016,69.5,4/28/2022,Mexico Open
105,Ryan Blaum,22311820,6300,61.8,0.0015,0.0013,128,-2.00E-04,-0.1333,39.83,0.23,67,21,0.21,1,-0.23,9.61,10,0.0082,77,4/28/2022,Mexico Open
106,Bryson Nimmer,22311821,6300,52.38,0.0015,0.0022,116,7.00E-04,0.4667,41.05,0.87,67,21.5,0.35,1,-0.09,13.51,15,0.0057,64.5,4/28/2022,Mexico Open
107,David Skinns,22311822,6300,45.42,0.0025,0.0043,82,0.0018,0.72,36.75,0.3,63.58,20,0.68,1,0.24,18.96,20,0.0023,76,4/28/2022,Mexico Open
108,Seung-Yul Noh,22311823,6300,49.38,0.0033,0.0042,84,9.00E-04,0.2727,35.85,1.7,62,20,0.67,1,0.23,12.72,15,0.0085,29,4/28/2022,Mexico Open
109,David Hearn,22311824,6300,46.55,3.00E-04,0.0016,125,0.0013,4.3333,40.49,0.05,66.5,21,0.25,1,-0.19,22.46,25,7.00E-04,14,4/28/2022,Mexico Open
110,Alvaro Ortiz,22311825,6300,41.92,3.00E-04,8.00E-04,134,5.00E-04,1.6667,29.06,0.47,50,17.5,0.13,1,-0.31,20.77,20,0.0067,78,4/28/2022,Mexico Open
111,Martin Trainer,22311826,6300,41.47,0.0014,0.0031,102,0.0017,1.2143,31.2,0.28,55,18.5,0.49,1,0.05,23.44,25,0.0087,94,4/28/2022,Mexico Open
112,Turk Pettit,22311827,6300,34.62,0.0017,0.0033,98,0.0016,0.9412,38.48,0.03,65,21,0.52,1,0.08,22.12,20,5.00E-04,65.5,4/28/2022,Mexico Open
113,Armando Favela,22311828,6200,0,1.00E-04,0.0025,109,0.0024,24,18.18,0.41,23.5,11.5,0.4,1,0.02,24.82,25,0.0013,29.5,4/28/2022,Mexico Open
114,Bo Van Pelt,22311829,6200,34.62,0.0011,9.00E-04,133,-2.00E-04,-0.1818,45.33,0.08,71.5,22.5,0.15,1,-0.23,9.76,10,9.00E-04,15.5,4/28/2022,Mexico Open
115,David Lingmerth,22311830,6200,50.75,0.0016,0.0032,100,0.0016,1,46.27,1.1,71,23,0.52,1,0.14,23.3,25,0.0062,24,4/28/2022,Mexico Open
116,Jonathan Byrd,22311831,6200,51.7,0.0032,0.0042,84,0.001,0.3125,45.71,0.83,71,22.5,0.68,1,0.3,13.2,15,0.0083,88,4/28/2022,Mexico Open
117,Roberto Diaz,22311832,6200,50.56,0.0036,0.002,119,-0.0016,-0.4444,18.2,0.82,23.5,11.5,0.32,1,-0.06,8.73,10,0.0069,22,4/28/2022,Mexico Open
118,Brett Drewitt,22311833,6200,49.34,0.0011,0.003,104,0.0019,1.7273,46.13,0.1,71.5,23,0.48,1,0.1,23.88,25,9.00E-04,56.5,4/28/2022,Mexico Open
119,Jared Wolfe,22311834,6200,45.11,0.0029,0.0041,86,0.0012,0.4138,44.25,0.55,69.5,22.5,0.66,1,0.28,14.32,15,0.0047,31.5,4/28/2022,Mexico Open
120,Johnson Wagner,22311835,6200,67.75,6.00E-04,0.0027,108,0.0021,3.5,40.65,0.46,66.5,21.5,0.44,1,0.06,24.25,25,0.0103,13.5,4/28/2022,Mexico Open
121,D.J. Trahan,22311836,6200,46.3,2.00E-04,0.0014,126,0.0012,6,43.53,0.61,69,22,0.23,1,-0.15,22.29,25,0.0016,31,4/28/2022,Mexico Open
122,Ricky Barnes,22311838,6100,37.88,1.00E-04,1.00E-04,137,0,0,34.52,0.05,60.5,19,0.02,1,-0.29,9.78,10,5.00E-04,22.5,4/28/2022,Mexico Open
123,Grayson Murray,22311839,6100,49.43,3.00E-04,0.0021,117,0.0018,6,31.43,0.63,57,18.5,0.34,1,0.03,23.62,25,0.004,81.5,4/28/2022,Mexico Open
124,Jeffrey Kang,22311840,6100,24.5,1.00E-04,0.0019,122,0.0018,18,34.25,0.24,60.5,19.5,0.31,1,0,23.6,25,4.00E-04,38,4/28/2022,Mexico Open
125,Mark Hensby,22311841,6100,54.67,0.0023,0.0012,131,-0.0011,-0.4783,30.66,0.42,53.5,18,0.2,1,-0.11,10.01,10,0.0085,24.5,4/28/2022,Mexico Open
126,Greg Chalmers,22311842,6100,53.12,7.00E-04,0.0023,113,0.0016,2.2857,32.49,0.43,58,19,0.38,1,0.07,23.25,25,0.0016,30.5,4/28/2022,Mexico Open
127,Jim Knous,22311843,6100,53.3,8.00E-04,0.0028,106,0.002,2.5,45.32,0.34,71,22.5,0.46,1,0.15,24.11,25,0.0034,28,4/28/2022,Mexico Open
128,Arjun Atwal,22311844,6100,52,2.00E-04,0.002,119,0.0018,9,44.24,0.29,70,22.5,0.33,1,0.02,23.62,25,0.0031,27.5,4/28/2022,Mexico Open
129,Jonas Blixt,22311845,6100,32.8,1.00E-04,0.0013,128,0.0012,12,31.22,0.06,56,18.43,0.21,1,-0.1,22.33,20,5.00E-04,32,4/28/2022,Mexico Open
130,Ben Crane,22311846,6100,34,3.00E-04,0.0019,122,0.0016,5.3333,32.78,0.04,58.5,19,0.31,1,0,23.2,25,4.00E-04,29,4/28/2022,Mexico Open
131,Kelly Kraft,22311848,6000,37.07,0.0011,0.0023,113,0.0012,1.0909,32.65,0.03,58,19,0.38,1,0.13,22.5,25,0.0018,83,4/28/2022,Mexico Open
132,D.A. Points,22311849,6000,53,1.00E-04,0.0013,128,0.0012,12,28.3,0.11,48.08,17,0.22,1,-0.03,22.38,20,0.0053,60.5,4/28/2022,Mexico Open
133,Matt Every,22311851,6000,34.25,1.00E-04,0.0013,128,0.0012,12,27.39,0.1,36,16.5,0.22,1,-0.03,22.38,20,0.0015,29.5,4/28/2022,Mexico Open
134,Isidro Benitez,22311852,6000,0,1.00E-04,0.0035,96,0.0034,34,18.59,0.48,24,12,0.58,1,0.33,27.05,30,0.0018,17,4/28/2022,Mexico Open
135,Jose Antonio Safa,22311853,6000,0,1.00E-04,1.00E-04,137,0,0,18.35,0.02,24,12,0.02,1,-0.23,9.83,10,5.00E-04,21.5,4/28/2022,Mexico Open
136,Manuel Inman,22311856,6000,0,1.00E-04,1.00E-04,137,0,0,18.23,0.12,23.5,12,0.02,1,-0.23,9.83,10,6.00E-04,10,4/28/2022,Mexico Open
1,Scottie Scheffler,21880896,11000,92.62,0.0581,0.0492,6,-0.0089,-0.1532,70.61,9.5,88,32,4.47,1,-2.28,-9.28,0,0.0948,108,4/7/2022,The Masters
2,Jon Rahm,21880897,10800,84.94,0.076,0.0872,1,0.0112,0.1474,82.14,18.1,97.5,65.5,8.07,1,1.81,33.97,50,0.1721,53.5,4/7/2022,The Masters
3,Dustin Johnson,21880898,10500,72.9,0.0501,0.0544,4,0.0043,0.0858,70.62,13.8,89,32.5,5.18,1,-0.37,18.4,30,0.0952,66.5,4/7/2022,The Masters
4,Justin Thomas,21880899,10300,104.15,0.0682,0.0724,2,0.0042,0.0616,79.14,22.6,96.5,62,7.03,1,1.93,19.89,40,0.2597,79.5,4/7/2022,The Masters
5,Collin Morikawa,21880900,10200,89,0.0435,0.0372,12,-0.0063,-0.1448,67.94,9,87,30.43,3.65,1,-1.24,-3.32,5,0.0915,85,4/7/2022,The Masters
6,Viktor Hovland,21880901,10100,98.35,0.0419,0.0419,8,0,0,72.25,8.5,89.57,52.93,4.15,1,-0.53,9.6,20,0.1071,64.5,4/7/2022,The Masters
