#,Name,ID,Salary,AvgPointsPerGame,odds_open,odds_close,odds_rank,odds_delta,odds_delta_per,fpts,proj_own,ceil,floor,make_cut,top_20,top_10,top_5,win,odds_per_dollar,one,residuals,own_change,adj_own,total_pts
19,Bryson DeChambeau,22549476,8300,53.1,0.0326,0.008,43,-0.0246,-0.7546,48.72,3.4,74,23,0.5413,0.1133,0.0505,0.0227,0.0038,0.96,1,-0.84,-43.17,0,79.56
20,Tiger Woods,22549477,8200,42,0.0246,0.0082,40,-0.0164,-0.6667,29.64,7.6,52.5,17.43,0.5918,0.1508,0.0713,0.0324,0.0056,1,1,-0.69,-27.23,0,51.62
21,Tyrrell Hatton,22549478,8100,76.58,0.0134,0.0115,23,-0.0019,-0.1418,55.45,8.7,77.5,24.5,0.6441,0.2028,0.101,0.0506,0.0091,1.42,1,-0.17,0.23,8,62.36
22,Max Homa,22549479,8100,76.08,0.0134,0.0126,22,-8.00E-04,-0.0597,52.84,15.2,76,23.5,0.6644,0.2212,0.1124,0.0575,0.0104,1.56,1,-0.03,2.41,18,62.02
23,Corey Conners,22549480,8000,71.3,0.0163,0.0176,16,0.0013,0.0798,62.26,19.9,82.5,26,0.7283,0.2967,0.1642,0.087,0.0182,2.2,1,0.7,6.84,26,35.45
24,Louis Oosthuizen,22549481,8000,63.44,0.0282,0.0128,21,-0.0154,-0.5461,58.53,10.5,80,25.5,0.6933,0.2577,0.1387,0.0696,0.0145,1.6,1,0.1,-25.58,0,49.20
25,Tony Finau,22549483,7900,65.18,0.0292,0.014,19,-0.0152,-0.5205,56.39,15.5,78.5,24.5,0.6914,0.2457,0.128,0.064,0.0124,1.77,1,0.36,-25.21,0,46.89
26,Webb Simpson,22549484,7800,66.5,0.0126,0.0064,50,-0.0062,-0.4921,51.92,3.7,75.5,23.5,0.5652,0.1212,0.0532,0.0228,0.0033,0.82,1,-0.51,-7.58,0,26.11
27,Abraham Ancer,22549485,7800,65.43,0.0126,0.007,46,-0.0056,-0.4444,47.2,8.8,72,22.5,0.6078,0.1543,0.0717,0.0332,0.0051,0.9,1,-0.43,-6.54,2,54.77
28,Adam Scott,22549486,7700,74.58,0.0119,0.009,34,-0.0029,-0.2437,50.85,8.2,75,23.5,0.6283,0.1812,0.087,0.0403,0.0074,1.17,1,-0.09,-1.59,6,61.53
29,Marc Leishman,22549487,7700,76.71,0.0104,0.0057,58,-0.0047,-0.4519,52,6.3,75.5,23.5,0.5652,0.1256,0.0554,0.024,0.0038,0.74,1,-0.52,-4.74,2,45.98
30,Tommy Fleetwood,22549488,7600,72.58,0.0134,0.0105,28,-0.0029,-0.2164,58.26,9.8,79.5,25,0.661,0.2092,0.1021,0.0493,0.0086,1.38,1,0.18,-1.56,8,70.55
31,Cameron Young,22549489,7600,69.9,NA,0.0109,25,NA,NA,55.26,17.4,77.5,24.5,0.6845,0.2415,0.1263,0.0648,0.0122,1.43,1,0.23,NA,NA,49.13
32,Keegan Bradley,22549490,7500,70.96,0.0088,0.0113,24,0.0025,0.2841,59.28,13.8,80.08,25.5,0.6805,0.2404,0.1256,0.0646,0.0129,1.51,1,0.36,9.43,24,62.43
33,Jason Day,22549491,7500,62.68,0.0111,0.0084,39,-0.0027,-0.2432,49.2,2.9,73.5,22.5,0.6047,0.1605,0.0758,0.0344,0.0059,1.12,1,-0.03,-1.17,2,82.04
34,Talor Gooch,22549492,7400,80.06,0.0144,0.0087,37,-0.0057,-0.3958,52.86,9.3,76,24,0.6429,0.1942,0.0978,0.0464,0.0086,1.18,1,0.1,-6.74,2,45.74
35,Billy Horschel,22549493,7400,79.95,0.0099,0.0107,26,0.0008,0.0808,50.78,7.3,74.5,23,0.6599,0.2092,0.1035,0.051,0.0087,1.45,1,0.37,5.74,14,140.48
36,Matthew Wolff,22549495,7300,58.42,0.0069,0.0019,112,-0.005,-0.7246,29.4,0.94,52.5,17,0.4219,0.0501,0.018,0.0072,7.00E-04,0.26,1,-0.76,-4.13,0,88.91
37,Gary Woodland,22549496,7300,57.13,0.0151,0.0077,45,-0.0074,-0.4901,50.94,9.1,74.5,23.5,0.6016,0.1511,0.0701,0.0329,0.0052,1.05,1,0.03,-9.83,0,80.44
38,Bubba Watson,22549497,7300,49.17,0.0067,0.0043,72,-0.0024,-0.3582,45.18,0.86,70,22,0.5868,0.1453,0.0657,0.0301,0.0047,0.59,1,-0.43,-0.42,0,37.86
39,Jason Kokrak,22549498,7300,72.38,0.0087,0.0107,26,0.002,0.2299,50.08,9.4,74,23,0.639,0.1934,0.0964,0.0486,0.0087,1.47,1,0.45,8.35,18,42.70
40,Justin Rose,22549499,7200,66.25,0.0104,0.0054,64,-0.005,-0.4808,46.87,1.6,71.5,22.5,0.5633,0.1305,0.0592,0.0272,0.0047,0.75,1,-0.2,-5.14,0,70.19
41,Patrick Reed,22549500,7200,62.26,0.0114,0.0044,70,-0.007,-0.614,41.84,1.3,66,20.5,0.5413,0.1052,0.0451,0.0189,0.0024,0.61,1,-0.34,-8.59,0,68.47
42,Sergio Garcia,22549501,7200,70.44,0.0114,0.009,34,-0.0024,-0.2105,57.74,6.2,80,25,0.6644,0.207,0.1016,0.0495,0.0094,1.25,1,0.3,-0.53,6,26.87
43,Sepp Straka,22549502,7200,59.21,NA,0.0055,62,NA,NA,43.8,2.2,69.08,21.93,0.6078,0.1565,0.0716,0.0327,0.005,0.76,1,-0.19,NA,NA,33.66
44,Si Woo Kim,22549503,7200,67.53,0.0083,0.0069,47,-0.0014,-0.1687,51.32,3.3,74,23.5,0.6364,0.1789,0.0864,0.0422,0.0075,0.96,1,0.01,1.32,4,57.16
45,Luke List,22549504,7200,57.39,NA,0.0059,56,NA,NA,48.16,4.6,73,23,0.5885,0.1404,0.062,0.0276,0.0037,0.82,1,-0.13,NA,NA,46.72
46,Russell Henley,22549505,7200,79.57,0.0067,0.01,32,0.0033,0.4925,53.18,5.4,76.5,23.5,0.6815,0.2326,0.1196,0.0603,0.0114,1.39,1,0.44,11.7,18,51.52
47,Thomas Pieters,22549506,7100,58.44,0.0056,0.0044,70,-0.0012,-0.2143,51.95,1.4,75,23.5,0.5816,0.1346,0.0632,0.0292,0.0043,0.62,1,-0.26,1.71,4,61.58
48,Erik Van Rooyen,22549507,7100,65.81,0.0086,0.0078,44,-8.00E-04,-0.093,47.04,2.7,71.58,22.5,0.6078,0.1608,0.075,0.0359,0.0066,1.1,1,0.22,2.5,6,61.26
49,Maverick McNealy,22549508,7100,79.4,NA,0.0081,42,NA,NA,52.09,7.4,76,24,0.6466,0.1912,0.0947,0.0453,0.0081,1.14,1,0.26,NA,NA,45.14
50,Cameron Tringale,22549511,7100,69.31,0.0056,0.0047,66,-9.00E-04,-0.1607,50.44,1.3,73.5,23,0.5763,0.1304,0.0565,0.0247,0.0039,0.66,1,-0.22,2.24,4,50.47
51,Tom Hoge,22549512,7100,69.97,NA,0.0081,42,NA,NA,49.36,2.8,73.5,23,0.6337,0.177,0.0828,0.0392,0.0067,1.14,1,0.26,NA,NA,53.32
52,Lee Westwood,22549513,7000,41.65,0.0064,0.002,110,-0.0044,-0.6875,41.21,0.17,66.5,21,0.4425,0.0608,0.0232,0.009,0.0013,0.29,1,-0.51,-3.06,0,56.72
53,Alex Noren,22549514,7000,72,0.0057,0.0087,37,0.003,0.5263,55.55,4.5,77,24.5,0.639,0.1855,0.0878,0.0408,0.0061,1.24,1,0.44,11.24,16,35.26
54,Harold Varner III,22549515,7000,67.21,0.0084,0.0089,35,5.00E-04,0.0595,51.78,6.6,75.5,23.5,0.6503,0.2028,0.1003,0.05,0.0085,1.27,1,0.47,5.16,12,37.28
55,Ian Poulter,22549516,7000,52.62,0.0048,0.0044,70,-0.0004,-0.0833,43.06,0.81,67.08,21.5,0.5238,0.0909,0.036,0.0149,0.0018,0.63,1,-0.17,3.18,4,37.90
56,Seamus Power,22549517,7000,71.76,NA,0.0103,30,NA,NA,54.59,1.8,78,24.5,0.6599,0.2179,0.1099,0.0548,0.0107,1.47,1,0.67,NA,NA,51.66
57,Brian Harman,22549518,7000,61.37,0.0067,0.0062,53,-5.00E-04,-0.0746,53.01,1.2,76.5,23.5,0.6154,0.1629,0.0737,0.0333,0.0054,0.89,1,0.09,3.05,4,17.73
58,Rickie Fowler,22549519,7000,53.42,0.0105,0.0031,93,-0.0074,-0.7048,42.51,0.66,68,21,0.5074,0.0898,0.0378,0.016,0.0021,0.44,1,-0.36,-8.92,0,43.93
59,Christiaan Bezuidenhout,22549520,7000,66.11,0.0056,0.0057,58,1.00E-04,0.0179,48.73,3,72,22.5,0.5726,0.1253,0.0545,0.0223,0.0033,0.81,1,0.01,4.2,8,63.82
60,Robert Macintyre,22549521,6900,63.19,0.0068,0.0045,67,-0.0023,-0.3382,46.56,2.7,72,22,0.5556,0.1189,0.0534,0.0236,0.0035,0.65,1,-0.07,-0.16,2,40.53
61,Francesco Molinari,22549522,6900,55.5,0.0042,0.0037,80,-5.00E-04,-0.119,41.37,0.35,67,21,0.5,0.088,0.036,0.0146,0.0024,0.54,1,-0.18,3,4,56.72
62,Ryan Palmer,22549523,6900,58.27,0.0042,0.0036,84,-6.00E-04,-0.1429,50.34,1.5,74,23,0.5305,0.1056,0.0453,0.0188,0.003,0.52,1,-0.2,2.82,4,53.84
63,Chris Kirk,22549524,6900,63.1,NA,0.0055,62,NA,NA,56.57,1.2,79,24.5,0.6047,0.1575,0.073,0.0329,0.0054,0.8,1,0.08,NA,NA,43.04
64,Kevin Na,22549525,6900,62.56,0.0062,0.0064,50,0.0002,0.0323,45.46,1.1,70.5,22,0.569,0.1295,0.0585,0.0258,0.0042,0.93,1,0.21,4.47,6,34.94
65,Martin Kaymer,22549526,6900,38.5,0.0034,0.0016,118,-0.0018,-0.5294,38,0.08,64,19.5,0.369,0.0355,0.0116,0.0042,7.00E-04,0.23,1,-0.49,1.37,2,37.07
66,Jhonattan Vegas,22549527,6900,70.09,NA,0.0059,56,NA,NA,54.71,3.4,77.5,24,0.6183,0.1595,0.0733,0.0331,0.0047,0.86,1,0.14,NA,NA,37.81
67,Cameron Champ,22549528,6900,57.68,0.0075,0.0051,65,-0.0024,-0.32,39,3.5,65,20.5,0.5763,0.1416,0.0646,0.029,0.005,0.74,1,0.02,-0.38,4,54.26
68,Charl Schwartzel,22677978,6900,47.37,0.0042,0.0022,104,-0.002,-0.4762,NA,NA,NA,NA,0.463,0.0637,0.0243,0.0092,0.0011,0.32,1,-0.4,0.79,NA,81.32
69,Sebastian Munoz,22549529,6800,70.81,0.0046,0.0104,29,0.0058,1.2609,51.8,5.7,75,23.5,0.6441,0.202,0.1025,0.0518,0.0098,1.53,1,0.88,19.86,26,52.65
70,Kevin Streelman,22549530,6800,54.97,0.0034,0.0032,92,-2.00E-04,-0.0588,51.23,0.41,75.5,23,0.505,0.0855,0.0335,0.0133,0.0016,0.47,1,-0.18,3.56,4,38.91
71,Hudson Swafford,22549531,6800,59.21,NA,0.0018,114,NA,NA,37.87,0.28,64,20,0.4608,0.0673,0.0268,0.0103,0.0013,0.26,1,-0.39,NA,NA,87.18
72,Aaron Wise,22549532,6800,70.07,0.0046,0.0102,31,0.0056,1.2174,52.47,4.8,75.5,24,0.6528,0.2058,0.1036,0.0508,0.0087,1.5,1,0.85,19.46,24,63.01
73,Nicolai Hojgaard,22549533,6800,46.75,NA,0.0021,108,NA,NA,43.44,0.22,69,21,0.4566,0.0656,0.027,0.0095,0.0011,0.31,1,-0.34,NA,NA,49.92
74,Matt Kuchar,22549534,6800,73.82,0.0043,0.0054,64,0.0011,0.2558,45.33,3.9,70.5,22,0.5556,0.1175,0.0498,0.0212,0.0032,0.79,1,0.14,6.5,10,43.53
75,Lucas Herbert,22549535,6800,52.86,NA,0.0028,99,NA,NA,37.2,0.24,63,19.5,0.4926,0.085,0.0332,0.014,0.002,0.41,1,-0.24,NA,NA,90.93
76,Kevin Kisner,22549536,6800,60.62,0.0054,0.0037,80,-0.0017,-0.3148,41.35,0.58,66.5,21,0.505,0.0903,0.0368,0.0154,0.0026,0.54,1,-0.11,0.96,2,0
77,Davis Riley,22549537,6800,64.94,NA,0.0042,74,NA,NA,45.59,4.1,70.58,22,0.5455,0.1117,0.0469,0.0204,0.0032,0.62,1,-0.03,NA,NA,0
78,Joel Dahmen,22677982,6800,66.03,NA,0.0056,60,NA,NA,NA,NA,NA,NA,0.5575,0.1155,0.0493,0.0218,0.003,0.82,1,0.17,NA,NA,0
79,Mito Pereira,22549538,6700,69.33,NA,0.0087,37,NA,NA,60.76,4.6,81.58,25.5,0.6429,0.1887,0.0899,0.0433,0.0073,1.3,1,0.71,NA,NA,0
80,Min Woo Lee,22549539,6700,43.5,NA,0.0022,104,NA,NA,40.44,0.67,65.5,21,0.4902,0.084,0.0353,0.0145,0.0019,0.33,1,-0.26,NA,NA,0
81,Cameron Davis,22549540,6700,56.03,0.0043,0.0038,79,-5.00E-04,-0.1163,46.27,0.82,71,22.5,0.5536,0.1182,0.0523,0.023,0.0033,0.57,1,-0.02,3.05,4,0
82,Branden Grace,22549541,6700,48.13,0.0048,0.0034,90,-0.0014,-0.2917,42.07,0.43,67,21.5,0.5146,0.0909,0.0362,0.0153,0.0019,0.51,1,-0.08,1.52,2,0
83,Adri Arnaus,22549542,6700,75.65,NA,0.0034,90,NA,NA,39.73,0.3,65.5,20.5,0.505,0.0912,0.0386,0.016,0.0019,0.51,1,-0.08,NA,NA,0
84,Garrick Higgo,22549543,6700,48.3,0.0097,0.0012,122,-0.0085,-0.8763,35.64,0.19,61.5,19.5,0.3663,0.0329,0.0108,0.0038,0,0.18,1,-0.41,-10.05,0,0
85,Justin Harding,22549544,6700,77.69,NA,0.0029,97,NA,NA,46.35,0.03,70.5,22.5,0.4831,0.0764,0.0299,0.0125,0.002,0.43,1,-0.16,NA,NA,0
86,Sam Horsfield,22549545,6700,92.12,0.0028,0.0056,60,0.0028,1,51.89,1.6,76,24,0.5633,0.1328,0.0616,0.028,0.0043,0.84,1,0.25,13.68,16,0
87,Stewart Cink,22549546,6700,54.79,0.0034,0.0029,97,-5.00E-04,-0.1471,40.77,0.68,67,20.5,0.4739,0.0754,0.0306,0.0129,0.0019,0.43,1,-0.16,3.04,4,0
88,Brendan Steele,22677976,6700,53.53,NA,0.0029,97,NA,NA,NA,NA,NA,NA,0.5349,0.1054,0.0444,0.0197,0.0023,0.43,1,-0.16,NA,NA,0
89,Carlos Ortiz,22549547,6600,61.81,0.0042,0.0036,84,-6.00E-04,-0.1429,40.68,0.94,66.08,21,0.5025,0.0875,0.0357,0.015,0.0022,0.55,1,0.01,2.88,4,0
90,Bernd Wiesberger,22549548,6600,64.44,0.0034,0.0044,70,0.001,0.2941,51.62,0.79,74.08,23.5,0.5516,0.1127,0.046,0.019,0.0027,0.67,1,0.13,6.38,8,0
91,Keith Mitchell,22549549,6600,68.73,NA,0.0065,48,NA,NA,48.43,3.3,72.5,22.5,0.5833,0.1389,0.0641,0.0277,0.0041,0.98,1,0.44,NA,NA,0
92,Henrik Stenson,22549550,6600,45.12,0.0034,0.0027,100,-7.00E-04,-0.2059,34.01,0.16,59.5,19,0.495,0.0789,0.0298,0.0116,0.0019,0.41,1,-0.13,2.73,2,0
93,Zach Johnson,22549551,6600,40.56,0.0034,0.0011,124,-0.0023,-0.6765,38.39,0.25,64,20,0.4149,0.0446,0.0155,0.0053,7.00E-04,0.17,1,-0.37,1.12,2,0
94,Mackenzie Hughes,22549552,6600,58.69,0.0034,0.0036,84,2.00E-04,0.0588,39.37,0.79,65.5,20.5,0.537,0.1027,0.0428,0.0177,0.0023,0.55,1,0.01,4.42,6,0
95,Laurie Canter,22549553,6600,69.17,NA,0.0036,84,NA,NA,47.94,0.18,74,23,0.505,0.0898,0.0355,0.0149,0.0024,0.55,1,0.01,NA,NA,0
96,Matt Jones,22549554,6600,58.91,0.0034,0.0034,90,0,0,49.41,0.68,73,23,0.5516,0.1139,0.0481,0.0199,0.0027,0.52,1,-0.02,3.99,4,0
97,Shaun Norris,22549555,6600,83.25,NA,0.0016,118,NA,NA,36.96,0.85,63,19.5,0.3802,0.0371,0.0125,0.0046,6.00E-04,0.24,1,-0.3,NA,NA,0
98,Pablo Larrazabal,22549556,6500,89,NA,0.0025,102,NA,NA,42.54,0.97,67.5,21.5,0.5,0.0858,0.0345,0.0144,0.0019,0.38,1,-0.12,NA,NA,0
99,Patton Kizzire,22549558,6500,62.5,NA,0.0036,84,NA,NA,46.96,0.73,71,22.5,0.5305,0.1029,0.0418,0.0181,0.003,0.55,1,0.05,NA,NA,0
100,Harry Higgs,22549559,6500,47.53,NA,0.0019,112,NA,NA,37.02,0.36,63,20,0.4673,0.0668,0.0261,0.0107,0.0013,0.29,1,-0.21,NA,NA,0
101,Lucas Glover,22549560,6500,62.31,NA,0.003,94,NA,NA,45.7,0.61,71,22,0.495,0.0854,0.035,0.0146,0.002,0.46,1,-0.04,NA,NA,0
102,Richard Bland,22549562,6500,58.25,NA,0.003,94,NA,NA,44.27,0.29,69,22,0.4444,0.056,0.0206,0.0077,7.00E-04,0.46,1,-0.04,NA,NA,0
103,Anirban Lahiri,22549564,6500,54.58,NA,0.0041,76,NA,NA,44.41,1.2,68.5,22,0.5516,0.1176,0.0511,0.0223,0.0037,0.63,1,0.13,NA,NA,0
104,Takumi Kanaya,22549565,6400,37.31,NA,0.0013,120,NA,NA,33.1,0.05,58.5,18.5,0.4608,0.0682,0.0249,0.0096,0.0012,0.2,1,-0.27,NA,NA,0
105,Chan Kim,22549567,6400,59.9,NA,0.001,125,NA,NA,18.27,0.08,24,11.5,0.3367,0.026,0.0081,0.0027,0,0.16,1,-0.31,NA,NA,0
106,J.J. Spaun,22549568,6400,65.28,NA,0.0063,51,NA,NA,44.81,0.88,69.58,21.5,0.5951,0.1449,0.0651,0.03,0.0048,0.98,1,0.51,NA,NA,0
107,Chad Ramey,22549569,6400,58.82,NA,0.0027,100,NA,NA,37.64,0.32,63.5,20,0.4717,0.0691,0.0261,0.0099,0.0013,0.42,1,-0.05,NA,NA,0
108,Sadom Kaewkanjana,22549570,6400,0,NA,0.0016,118,NA,NA,18.63,0.02,24,11.5,0.3534,0.0296,0.0103,0.0035,0,0.25,1,-0.22,NA,NA,0
109,Troy Merritt,22549571,6400,68.5,NA,0.0041,76,NA,NA,44.22,1.1,69.5,21.5,0.5652,0.1245,0.0562,0.024,0.0034,0.64,1,0.17,NA,NA,0
110,Oliver Bekker,22549573,6400,84.32,NA,0.0036,84,NA,NA,47.13,0.17,71,22.5,0.5392,0.1105,0.0477,0.021,0.003,0.56,1,0.09,NA,NA,0
111,Beau Hossler,22677975,6400,54.57,NA,0.0021,108,NA,NA,NA,NA,NA,NA,0.4405,0.063,0.0248,0.0098,0.0011,0.33,1,-0.14,NA,NA,0
112,Adam Schenk,22677979,6400,47.57,NA,0.0018,114,NA,NA,NA,NA,NA,NA,0.4444,0.0586,0.0219,0.0085,0.001,0.28,1,-0.19,NA,NA,0
113,Lanto Griffin,22549574,6300,66.14,NA,0.0062,53,NA,NA,47.42,2,71.5,22.5,0.6,0.1479,0.0671,0.0306,0.0058,0.98,1,0.54,NA,NA,0
114,Daniel Van Tonder,22549575,6300,68.6,NA,0.0017,115,NA,NA,39.17,0.01,64.5,20.5,0.4049,0.0449,0.0153,0.0055,6.00E-04,0.27,1,-0.17,NA,NA,0
115,Joohyung Kim,22549577,6300,69,NA,0.0021,108,NA,NA,35.23,0.24,61,19,0.4673,0.0693,0.0274,0.0106,0.0014,0.33,1,-0.11,NA,NA,0
116,Ryan Fox,22549578,6300,81.39,NA,0.0041,76,NA,NA,52.77,1.6,76,23.5,0.537,0.1056,0.0455,0.0195,0.0032,0.65,1,0.21,NA,NA,0
117,Rikuya Hoshino,22549580,6300,53,NA,0.0021,108,NA,NA,29.74,0.04,52.5,17.5,0.5,0.0826,0.0328,0.0131,0.0016,0.33,1,-0.11,NA,NA,0
118,Adam Hadwin,22549582,6300,67.09,NA,0.0062,53,NA,NA,51.62,5.6,74.5,23.43,0.5833,0.1351,0.0613,0.0276,0.0048,0.98,1,0.54,NA,NA,0
119,Kramer Hickok,22677977,6300,47.35,NA,0.0025,102,NA,NA,NA,NA,NA,NA,0.4785,0.0766,0.03,0.0118,0.0016,0.4,1,-0.04,NA,NA,0
120,Russell Knox,22677980,6300,59.29,NA,0.0043,72,NA,NA,NA,NA,NA,NA,0.5516,0.116,0.0481,0.0206,0.0031,0.68,1,0.24,NA,NA,0
121,Scott Stallings,22677981,6300,57.55,NA,0.0035,88,NA,NA,NA,NA,NA,NA,0.5098,0.0922,0.0376,0.0158,0.002,0.56,1,0.12,NA,NA,0
122,Dean Burmester,22549583,6200,71.31,NA,0.0041,76,NA,NA,46.1,0.83,71,22,0.5283,0.0996,0.0406,0.0161,0.0024,0.66,1,0.24,NA,NA,0
123,Yuki Inamori,22549595,6100,57,NA,0.0012,122,NA,NA,18.21,0.11,23.5,11.5,0.3788,0.0339,0.0108,0.0043,6.00E-04,0.2,1,-0.21,NA,NA,0
124,Bio Kim,22549596,6100,0,NA,0.0011,124,NA,NA,18.69,0.02,24,12,0.3623,0.0304,0.0106,0.004,0,0.18,1,-0.23,NA,NA,0
125,Padraig Harrington,22549599,6100,62.77,NA,0.0016,118,NA,NA,40.35,0.8,65.5,21,0.4255,0.0509,0.0182,0.0071,8.00E-04,0.26,1,-0.15,NA,NA,0
