#,Name,ID,Salary,AvgPointsPerGame,odds_open,odds_close,odds_rank,odds_delta,odds_delta_per,fpts,proj_own,ceil,floor,make_cut,top_20,top_10,top_5,win,odds_per_dollar,one,residuals,own_change,adj_own,total_pts
1,Scottie Scheffler,22549457,11400,95.57,0.0846,0.0728,1,-0.0118,-0.1395,65.86,11.2,86.5,27.5,0.8267,0.4785,0.3135,0.1938,0.0556,6.39,1,0.23,-19.45,0,82.34
2,Jon Rahm,22549458,11200,86.25,0.0696,0.0654,2,-0.0042,-0.0603,69.67,12.9,89,30.5,0.8328,0.4975,0.3333,0.211,0.0632,5.84,1,-0.02,-4.39,8,87.86
3,Justin Thomas,22549459,10700,101.35,0.0572,0.051,4,-0.0062,-0.1084,72.62,14.2,91,33.92,0.8084,0.4348,0.271,0.1618,0.0432,4.77,1,-0.37,-8.46,6,80.42
4,Collin Morikawa,22549460,10400,87.38,0.0569,0.04,7,-0.0169,-0.297,56.12,11.8,78.58,24.5,0.7625,0.3534,0.2128,0.1206,0.0284,3.85,1,-0.86,-29.71,0,36.42
5,Rory McIlroy,22549461,10000,88.04,0.0598,0.0546,3,-0.0052,-0.087,68.38,17.5,87.5,30,0.811,0.4545,0.295,0.1799,0.0501,5.46,1,1.32,-5.97,12,79.28
6,Viktor Hovland,22549462,9900,95.93,0.045,0.032,10,-0.013,-0.2889,57.41,10.6,80.5,25,0.7449,0.3289,0.1862,0.1033,0.0219,3.23,1,-0.77,-21.9,0,48.98
7,Cameron Smith,22549463,9700,91.25,0.043,0.0362,8,-0.0068,-0.1581,59.74,13.9,81.5,25.5,0.7537,0.3378,0.1972,0.1088,0.0256,3.73,1,0.02,-9.49,4,66.24
8,Jordan Spieth,22549464,9600,75.62,0.0467,0.0457,5,-0.001,-0.0214,62.5,18.5,82,27,0.7015,0.2747,0.1515,0.0809,0.016,4.76,1,1.19,2.36,20,48.43
9,Dustin Johnson,22549465,9500,68.25,0.0529,0.0306,12,-0.0223,-0.4216,61.66,9.9,83,26.5,0.6997,0.2732,0.1506,0.0789,0.0162,3.22,1,-0.21,-39.95,0,43.93
10,Xander Schauffele,22549466,9300,85.62,0.0362,0.0323,9,-0.0039,-0.1077,66.23,17.9,86.5,28,0.7653,0.3571,0.2096,0.116,0.0274,3.47,1,0.32,-3.66,14,78.14
11,Hideki Matsuyama,22549467,9200,90.43,0.028,0.0311,11,0.0031,0.1107,55.43,13.7,78,24.5,0.7669,0.369,0.2217,0.1269,0.0299,3.38,1,0.37,10.36,24,29.39
12,Patrick Cantlay,22549468,9100,89.94,0.0469,0.0434,6,-0.0035,-0.0746,71.44,18.2,89.5,49.43,0.8043,0.4292,0.2703,0.1613,0.0428,4.77,1,1.9,-2.41,16,52.87
13,Brooks Koepka,22549469,9000,57.92,0.0498,0.0167,17,-0.0331,-0.6647,55.55,7.6,78,24,0.67,0.2237,0.1163,0.0578,0.0109,1.86,1,-0.86,-60.69,0,22.98
14,Will Zalatoris,22549470,8900,71.08,0.0278,0.0213,14,-0.0065,-0.2338,60.93,16.4,82,26,0.7275,0.2976,0.1661,0.0889,0.0196,2.39,1,-0.19,-8.84,8,56.99
15,Sam Burns,22549471,8800,78.71,0.0258,0.0164,18,-0.0094,-0.3643,55.66,12.5,78,24.5,0.6875,0.2532,0.1364,0.071,0.0141,1.86,1,-0.58,-14.44,0,8.64
16,Shane Lowry,22549472,8700,74.46,0.032,0.0262,13,-0.0058,-0.1812,65.03,21.4,85,27.5,0.759,0.3497,0.2066,0.1153,0.0256,3.01,1,0.71,-7.26,14,62.44
17,Daniel Berger,22549473,8600,80.31,0.0216,0.0132,20,-0.0084,-0.3889,65.11,10.2,84.5,27.5,0.6835,0.2398,0.123,0.0599,0.0115,1.53,1,-0.64,-12.39,0,81.77
18,Joaquin Niemann,22549474,8500,75.86,0.0221,0.0181,15,-0.004,-0.181,61.03,18,82.08,25.5,0.7085,0.2667,0.1412,0.0719,0.0139,2.13,1,0.09,-3.84,14,46.45
