player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Xavier Hutchinson,122518,WR,IOWA STATE,8,117,0,193,6.5,3,57.7,28.6,2,7,6.3,1,10,0,69.9,75.9,0,33,0.0,0,54,15,94.4,51,111.1,26,22.2,3,140,84,5.6,9.3,2.75,0,9.9,6,71.2,66.7,6,9,6.0,3,27,1,75.0,80.8,1,38,0.0,0,186,47,94.6,176,92.8,66,56.4,1,517,179,3.8,11.0,2.94
Rashee Rice,97605,WR,SMU,8,108,0,287,15.5,2,33.3,33.3,2,6,27.3,3,7,0,20.9,60.4,1,41,0.0,0,81,8,87.7,71,63.4,24,22.2,2,133,61,7.6,16.6,1.87,0,11.2,9,69.4,53.3,8,15,9.1,5,30,2,65.5,89.2,1,75,0.0,0,186,50,95.7,178,114.5,72,66.7,3,803,335,6.7,16.1,4.51
Tyrin Smith,145487,WR,UTEP,10,106,0,330,13.4,4,45.0,0.0,0,1,0.0,0,8,0,80.9,75.0,1,32,0.0,0,66,9,92.4,61,76.3,20,18.9,2,116,40,4.4,12.9,1.9,0,12.9,7,62.5,33.3,1,3,18.6,8,20,1,26.5,65.8,1,74,0.0,0,208,35,95.2,198,98.9,56,52.8,2,541,172,4.9,15.5,2.73
Jayshon Jackson,78041,WR,BALL ST,9,105,0,117,10.3,3,57.9,60.0,6,10,4.3,1,16,0,76.5,78.6,0,37,0.0,0,122,22,91.0,111,99.9,38,36.2,2,292,155,7.0,13.3,2.63,0,7.8,7,67.2,20.0,2,10,7.1,3,22,0,71.6,75.5,1,43,0.0,0,181,39,95.6,173,85.6,58,55.2,1,402,237,6.1,10.3,2.32
Zay Flowers,97268,WR,BOSTON COL,9,98,0,121,8.3,2,47.4,66.7,2,3,30.8,4,3,1,23.0,47.4,1,14,0.0,0,78,9,96.2,75,49.7,19,19.4,1,35,30,3.3,3.9,0.47,0,9.9,4,63.3,33.3,1,3,6.1,2,18,0,72.9,77.6,4,51,0.0,0,167,31,95.8,160,59.7,49,50.0,1,377,187,6.0,12.2,2.36
Charlie Jones,55038,WR,PURDUE,8,97,0,273,13.3,1,69.4,55.6,10,18,3.8,1,17,0,78.0,83.2,1,55,0.0,0,117,25,94.0,110,130.0,36,37.1,4,385,112,4.5,15.4,3.5,0,10.7,3,74.5,57.1,8,14,2.8,1,18,1,82.7,72.8,0,36,0.6,1,168,35,94.6,159,111.5,47,48.5,2,374,123,3.5,10.7,2.35
Isaiah Winstead,91115,WR,E CAROLINA,9,91,0,156,11.9,1,70.0,56.3,9,16,0.0,0,15,1,86.3,85.6,0,67,0.0,0,98,21,94.9,93,122.4,30,33.0,1,366,145,6.9,17.4,3.94,0,10.7,7,68.8,54.5,6,11,2.9,1,22,1,81.8,76.0,1,30,0.0,0,177,33,97.2,172,92.5,48,52.7,1,402,100,3.0,12.2,2.34
Corey Crooms,97276,WR,W MICHIGAN,9,91,0,347,14.1,0,38.9,50.0,2,4,22.2,2,5,0,37.6,59.3,1,25,0.0,0,86,7,91.9,79,68.8,18,19.8,2,88,5,0.7,12.6,1.11,0,13.0,2,49.2,23.1,3,13,3.2,1,18,0,81.4,75.1,4,75,0.0,0,187,30,95.2,178,62.6,61,67.0,3,446,202,6.7,14.9,2.51
Jacob Cowing,100894,WR,ARIZONA,8,87,0,109,7.3,8,71.9,50.0,2,4,8.0,2,22,0,67.6,91.5,1,39,0.0,0,96,23,92.7,89,135.7,32,36.8,5,362,261,11.3,15.7,4.07,0,8.8,3,70.7,50.0,2,4,6.5,2,13,0,71.6,68.9,2,38,0.0,0,191,29,95.8,183,72.9,41,47.1,0,317,167,5.8,10.9,1.73
Shocky Jacques-Louis,77960,WR,AKRON,9,85,0,102,14.9,2,68.4,71.4,5,7,0.0,0,10,0,67.5,71.5,1,34,0.0,0,87,13,93.1,81,86.5,19,22.4,1,145,26,2.0,11.2,1.79,0,10.5,4,75.0,33.3,3,9,4.9,2,21,1,77.1,70.7,2,41,0.8,2,242,39,97.1,235,85.6,52,61.2,0,462,129,3.3,11.8,1.97
