player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
DJ Irons,145585,QB,AKRON,9,2.92,2.67,3.53,5.18,436,102,85.9,142,142,3.6,1.84,0,1,0.7,81.7,116,20,4.9,146,33.5,6,49,0,0,156,20.0,97.7,2.7,4,0,0,0,3,1,0.6,819,5.8,65.7,201,220,13.1,3.48,1,10,4.4,56.8,125,131,5.3,288,66.1,7,87,3,6,296,28.2,79.0,12.8,37,31,0,15,6,13,4.4,1680,7.6
Michael Penix Jr.,82134,QB,WASHINGTON,9,2.54,2.49,3.3,4.44,405,340,84.0,212,214,4.9,1.85,2,2,0.9,76.2,163,23,8.4,214,52.8,15,90,0,1,225,0.0,111.8,0.0,0,0,0,0,11,2,0.9,1596,7.5,63.5,167,178,15.6,3.32,1,14,7.2,54.5,97,61,8.5,191,47.2,9,72,1,4,208,6.6,98.9,2.1,4,9,0,9,12,3,1.4,1636,9.2
Connor Bazelak,99135,QB,INDIANA,8,2.47,2.44,3.13,4.8,403,190,70.5,207,216,6.4,1.84,4,6,2.6,63.0,136,46,6.8,218,54.1,10,64,0,4,233,4.3,80.8,0.9,2,0,0,5,6,6,2.6,1280,5.9,56.3,142,165,11.2,3.23,1,3,1.7,43.6,72,90,10.0,184,45.7,8,39,1,5,198,20.0,58.6,9.8,18,1,0,21,6,8,4.0,819,5.0
Will Rogers,124184,QB,MISS STATE,8,2.44,2.4,3.12,5.98,398,227,78.7,207,215,6.2,1.72,7,8,3.5,71.2,153,15,6.1,218,54.8,10,76,0,2,229,20.0,111.9,1.4,3,0,0,1,16,5,2.2,1525,7.1,76.0,146,162,6.6,3.38,4,5,2.9,63.0,102,63,8.1,177,44.5,9,56,1,2,186,17.5,89.8,6.2,11,4,0,11,7,6,3.2,1010,6.2
Austin Reed,111760,QB,W KENTUCKY,9,2.27,2.17,3.54,4.75,398,346,82.9,234,242,3.6,1.57,6,4,1.6,76.9,186,24,4.1,243,61.1,8,85,2,1,254,0.0,107.9,0.0,0,1,0,0,11,4,1.6,1643,6.8,62.7,118,128,15.4,3.46,5,12,8.8,53.9,69,41,6.8,151,37.9,5,49,2,5,159,26.8,96.2,7.3,11,12,0,3,11,11,6.9,1131,8.8
Kyle Vantrease,55029,QB,GA SOUTHRN,8,2.24,2.19,4.0,4.71,382,174,77.5,240,245,5.7,1.77,4,8,3.2,72.7,178,31,4.3,245,64.1,8,91,0,6,252,0.0,99.9,0.0,0,0,0,1,13,6,2.4,1749,7.1,54.0,113,123,15.3,3.2,0,6,4.5,44.7,55,49,9.8,132,34.6,6,41,0,6,144,4.1,65.0,1.5,2,7,0,10,5,13,9.0,957,7.8
John Paddock,77689,QB,BALL ST,9,2.11,2.07,3.06,5.37,377,117,72.7,256,269,6.6,1.77,11,11,4.0,65.1,175,53,5.9,270,71.6,11,94,1,5,277,1.9,91.9,0.4,1,0,0,1,13,8,2.9,1756,6.5,62.5,88,98,9.3,2.97,1,3,2.7,53.1,52,39,5.5,107,28.4,3,26,2,5,122,15.4,56.3,5.6,6,3,0,7,3,4,3.3,496,5.1
Shedeur Sanders,131396,QB,JACKSON ST,8,2.66,2.33,4.07,5.32,372,194,86.5,207,213,4.3,1.74,4,3,1.4,80.8,172,23,3.9,213,57.3,7,83,1,1,219,0.0,124.2,0.0,0,0,0,1,19,3,1.4,1522,7.1,70.1,97,110,12.6,3.94,0,6,5.0,53.6,59,69,13.2,157,42.2,9,49,5,4,168,18.8,80.2,8.3,13,34,0,8,5,5,3.0,882,8.0
Cole Snyder,97617,QB,BUFFALO,9,2.47,2.24,3.6,4.5,369,126,76.1,205,215,7.3,1.82,4,8,3.6,69.3,149,31,4.5,218,59.1,7,77,1,3,228,9.7,95.7,1.4,3,0,0,5,9,7,3.1,1432,6.7,47.7,88,104,15.4,3.43,3,6,5.6,37.5,39,75,7.1,150,40.7,3,33,1,3,154,29.3,65.9,14.7,22,24,0,12,5,11,7.1,714,6.9
Cameron Ward,133244,QB,WASH STATE,8,2.99,2.75,4.18,5.3,365,341,77.7,179,181,5.3,1.66,2,2,1.1,70.7,128,21,7.9,184,50.4,11,64,0,3,191,14.3,105.5,1.6,3,0,0,0,12,2,1.0,1272,7.0,71.7,106,131,10.5,4.42,0,5,3.6,56.5,74,115,2.6,178,48.8,2,53,1,5,186,22.6,75.0,14.6,26,21,0,24,5,9,4.8,912,7.0
