,,Win,,Cover,,Total Points,,Implied,Implied Score,
Team,Date,Moneyline,$20 Bet,Spread,$20 Bet,Over-Under,$20 Bet,Win %,Team,Opp
Alabama,2022-03-05 12:00:00,145,29.00,3.5,18.18,153.0,19.05,39.6,74.8,78.3
Louisiana State,2022-03-05 12:00:00,-165,12.12,-3.5,18.18,153.0,17.39,60.4,78.3,74.8
Arkansas,2022-03-05 12:00:00,215,43.00,6.5,18.18,139.5,19.05,30.4,66.5,73.0
Tennessee,2022-03-05 12:00:00,-265,7.55,-6.5,18.18,139.5,17.39,69.6,73.0,66.5
Boston College,2022-03-05 12:00:00,135,27.00,3.0,19.05,133.5,18.18,41.2,65.3,68.3
Georgia Tech,2022-03-05 12:00:00,-155,12.90,-3.0,17.39,133.5,18.18,58.8,68.3,65.3
Virginia,2022-03-05 12:00:00,-180,11.11,-4.0,18.18,125.5,18.18,62.1,64.8,60.8
Louisville,2022-03-05 12:00:00,155,31.00,4.0,18.18,125.5,18.18,37.9,60.8,64.8
Villanova,2022-03-05 12:00:00,-410,4.88,-8.5,18.18,128.0,19.05,76.7,68.3,59.8
Butler,2022-03-05 12:00:00,310,62.00,8.5,18.18,128.0,17.39,23.3,59.8,68.3
USC Upstate,2022-03-05 12:00:00,245,49.00,6.5,18.18,143.5,18.18,27.7,68.5,75.0
Longwood,2022-03-05 12:00:00,-310,6.45,-6.5,18.18,143.5,18.18,72.3,75.0,68.5
Citadel,2022-03-05 12:00:00,450,90.00,11.5,18.18,144.5,18.18,17.4,66.5,78.0
Chattanooga,2022-03-05 12:00:00,-630,3.17,-11.5,18.18,144.5,18.18,82.6,78.0,66.5
Davidson,2022-03-05 12:30:00,155,31.00,3.5,19.05,131.0,20.00,37.9,63.8,67.3
Dayton,2022-03-05 12:30:00,-180,11.11,-3.5,17.39,131.0,16.67,62.1,67.3,63.8
Louisiana-Lafayette,2022-03-05 12:30:00,175,35.00,5.0,18.18,135.5,18.18,34.9,65.3,70.3
Texas State,2022-03-05 12:30:00,-210,9.52,-5.0,18.18,135.5,18.18,65.1,70.3,65.3
South Carolina,2022-03-05 13:00:00,800,160.00,15.0,18.18,146.0,18.18,10.6,65.5,80.5
Auburn,2022-03-05 13:00:00,-1375,1.45,-15.0,18.18,146.0,18.18,89.4,80.5,65.5
Quinnipiac,2022-03-05 13:00:00,600,120.00,13.0,18.18,148.5,18.18,13.7,67.8,80.8
Iona,2022-03-05 13:00:00,-900,2.22,-13.0,18.18,148.5,18.18,86.3,80.8,67.8
Marist,2022-03-05 13:00:00,130,26.00,3.0,18.18,130.0,18.18,42.0,63.5,66.5
Niagara,2022-03-05 13:00:00,-150,13.33,-3.0,18.18,130.0,18.18,58.0,66.5,63.5
Fairfield,2022-03-05 13:00:00,230,46.00,7.0,18.18,126.5,18.18,29.0,59.8,66.8
St. Peter's,2022-03-05 13:00:00,-290,6.90,-7.0,18.18,126.5,18.18,71.0,66.8,59.8
Miami,2022-03-05 13:00:00,100,20.00,1.5,18.18,153.5,18.18,47.8,76.0,77.5
Syracuse,2022-03-05 13:00:00,-120,16.67,-1.5,18.18,153.5,18.18,52.2,77.5,76.0
Middle Tennessee St.,2022-03-05 14:00:00,110,22.00,2.0,18.18,134.0,18.18,45.7,66.0,68.0
Old Dominion,2022-03-05 14:00:00,-130,15.38,-2.0,18.18,134.0,18.18,54.3,68.0,66.0
Kentucky,2022-03-05 14:00:00,-220,9.09,-5.0,18.18,140.0,16.67,65.8,72.5,67.5
Florida,2022-03-05 14:00:00,180,36.00,5.0,18.18,140.0,20.00,34.2,67.5,72.5
Indiana,2022-03-05 14:00:00,360,72.00,10.0,18.18,140.5,17.39,20.7,65.3,75.3
Purdue,2022-03-05 14:00:00,-490,4.08,-10.0,18.18,140.5,19.05,79.3,75.3,65.3
Florida International,2022-03-05 14:00:00,475,95.00,11.5,18.18,138.5,18.18,16.6,63.5,75.0
Florida Atlantic,2022-03-05 14:00:00,-675,2.96,-11.5,18.18,138.5,18.18,83.4,75.0,63.5
Dartmouth,2022-03-05 14:00:00,170,34.00,5.0,17.39,130.0,18.18,35.7,62.5,67.5
Harvard,2022-03-05 14:00:00,-200,10.00,-5.0,19.05,130.0,18.18,64.3,67.5,62.5
TCU,2022-03-05 14:00:00,120,24.00,2.5,18.18,137.0,18.18,43.8,67.3,69.8
West Virginia,2022-03-05 14:00:00,-140,14.29,-2.5,18.18,137.0,18.18,56.2,69.8,67.3
Virginia Tech,2022-03-05 14:00:00,-155,12.90,-3.0,18.18,134.5,18.18,58.8,68.8,65.8
Clemson,2022-03-05 14:00:00,135,27.00,3.0,18.18,134.5,18.18,41.2,65.8,68.8
North Carolina State,2022-03-05 14:00:00,230,46.00,6.5,20.00,144.0,16.67,29.0,68.8,75.3
Florida State,2022-03-05 14:00:00,-290,6.90,-6.5,16.67,144.0,20.00,71.0,75.3,68.8
La Salle,2022-03-05 14:00:00,-125,16.00,-1.5,18.18,134.5,18.18,53.2,68.0,66.5
Duquesne,2022-03-05 14:00:00,105,21.00,1.5,18.18,134.5,18.18,46.8,66.5,68.0
George Washington,2022-03-05 14:00:00,175,35.00,5.0,18.18,133.5,18.18,34.9,64.3,69.3
Fordham,2022-03-05 14:00:00,-210,9.52,-5.0,18.18,133.5,18.18,65.1,69.3,64.3
Gardner-Webb,2022-03-05 14:00:00,120,24.00,2.5,18.18,138.0,18.18,43.8,67.8,70.3
Winthrop,2022-03-05 14:00:00,-140,14.29,-2.5,18.18,138.0,18.18,56.2,70.3,67.8
Pittsburgh,2022-03-05 14:30:00,550,110.00,12.5,18.18,131.0,17.39,14.8,59.3,71.8
Notre Dame,2022-03-05 14:30:00,-800,2.50,-12.5,18.18,131.0,19.05,85.2,71.8,59.3
Seton Hall,2022-03-05 14:30:00,-115,17.39,1.0,18.18,135.0,16.67,51.1,67.0,68.0
Creighton,2022-03-05 14:30:00,-105,19.05,-1.0,18.18,135.0,20.00,48.9,68.0,67.0
Rhode Island,2022-03-05 14:30:00,-115,17.39,-1.0,18.18,132.5,17.39,51.1,66.8,65.8
St. Joseph's,2022-03-05 14:30:00,-105,19.05,1.0,18.18,132.5,19.05,48.9,65.8,66.8
VMI,2022-03-05 14:30:00,190,38.00,5.5,18.18,146.5,18.18,33.0,70.5,76.0
Wofford,2022-03-05 14:30:00,-235,8.51,-5.5,18.18,146.5,18.18,67.0,76.0,70.5
Louisiana Tech,2022-03-05 15:00:00,230,46.00,7.5,18.18,147.0,18.18,29.0,69.8,77.3
UAB,2022-03-05 15:00:00,-290,6.90,-7.5,18.18,147.0,18.18,71.0,77.3,69.8
Rice,2022-03-05 15:00:00,-150,13.33,-3.0,18.18,148.0,18.18,58.0,75.5,72.5
Texas-San Antonio,2022-03-05 15:00:00,130,26.00,3.0,18.18,148.0,18.18,42.0,72.5,75.5
Marshall,2022-03-05 15:00:00,385,77.00,10.0,18.18,156.5,18.18,19.7,73.3,83.3
Western Kentucky,2022-03-05 15:00:00,-525,3.81,-10.0,18.18,156.5,18.18,80.3,83.3,73.3
UNC-Charlotte,2022-03-05 15:00:00,-475,4.21,-9.0,18.18,139.0,18.18,78.8,74.0,65.0
Southern Mississippi,2022-03-05 15:00:00,350,70.00,9.0,18.18,139.0,18.18,21.2,65.0,74.0
California Baptist,2022-03-05 15:00:00,-410,4.88,-8.5,18.18,135.0,18.18,76.7,71.8,63.3
Lamar,2022-03-05 15:00:00,310,62.00,8.5,18.18,135.0,18.18,23.3,63.3,71.8
Texas Tech,2022-03-05 15:00:00,-140,14.29,-3.0,18.18,130.0,18.18,56.2,66.5,63.5
Oklahoma State,2022-03-05 15:00:00,120,24.00,3.0,18.18,130.0,18.18,43.8,63.5,66.5
East Carolina,2022-03-05 15:00:00,385,77.00,10.0,18.18,136.0,18.18,19.7,63.0,73.0
Wichita State,2022-03-05 15:00:00,-525,3.81,-10.0,18.18,136.0,18.18,80.3,73.0,63.0
Stanford,2022-03-05 15:00:00,210,42.00,6.5,16.67,130.5,20.00,30.9,62.0,68.5
Arizona State,2022-03-05 15:00:00,-260,7.69,-6.5,20.00,130.5,16.67,69.1,68.5,62.0
North Texas,2022-03-05 15:00:00,-220,9.09,-5.0,18.18,119.0,18.18,65.8,62.0,57.0
UTEP,2022-03-05 15:00:00,180,36.00,5.0,18.18,119.0,18.18,34.2,57.0,62.0
Arkansas-Little Rock,2022-03-05 15:00:00,270,54.00,8.0,18.18,134.5,18.18,25.8,63.3,71.3
Troy,2022-03-05 15:00:00,-350,5.71,-8.0,18.18,134.5,18.18,74.2,71.3,63.3
Georgia,2022-03-05 15:30:00,230,46.00,7.0,18.18,144.5,18.18,29.0,68.8,75.8
Missouri,2022-03-05 15:30:00,-290,6.90,-7.0,18.18,144.5,18.18,71.0,75.8,68.8
Loyola-Chicago,2022-03-05 15:30:00,,,,,,,,,
Northern Iowa,2022-03-05 15:30:00,,,,,,,,,
Cornell,2022-03-05 16:00:00,-575,3.48,-10.5,18.18,157.5,18.18,81.3,84.0,73.5
Columbia,2022-03-05 16:00:00,410,82.00,10.5,18.18,157.5,18.18,18.7,73.5,84.0
Fresno State,2022-03-05 16:00:00,145,29.00,3.5,18.18,124.0,18.18,39.6,60.3,63.8
Wyoming,2022-03-05 16:00:00,-165,12.12,-3.5,18.18,124.0,18.18,60.4,63.8,60.3
SE Louisiana,2022-03-05 16:00:00,-125,16.00,-1.5,18.18,164.5,18.18,53.2,83.0,81.5
Northwestern State,2022-03-05 16:00:00,105,21.00,1.5,18.18,164.5,18.18,46.8,81.5,83.0
Siena,2022-03-05 16:00:00,115,23.00,2.5,18.18,136.5,18.18,44.7,67.0,69.5
Canisius,2022-03-05 16:00:00,-135,14.81,-2.5,18.18,136.5,18.18,55.3,69.5,67.0
Monmouth,2022-03-05 16:00:00,-130,15.38,-2.0,18.18,134.5,18.18,54.3,68.3,66.3
Rider,2022-03-05 16:00:00,110,22.00,2.0,18.18,134.5,18.18,45.7,66.3,68.3
Texas,2022-03-05 16:00:00,210,42.00,6.5,18.18,138.5,20.00,30.9,66.0,72.5
Kansas,2022-03-05 16:00:00,-260,7.69,-6.5,18.18,138.5,16.67,69.1,72.5,66.0
