player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Calais Campbell,4364,ED,ATL,3,0,,,5.3,,,0,0,0,,2,55.9,71.4,83.2,57.4,79.8,27.5,0,,100.0,1,0,0,0.0,0,4,75,0,0,0,0,0,0,0.0,
Brandon Graham,5538,ED,PHI,3,0,,,9.5,,,0,0,0,,24,72.9,77.5,80.8,66.6,69.6,73.1,0,,0.0,0,0,0,0.0,0,4,42,1,1,0,0,0,0,0.0,
Kareem Jackson,5545,S,DEN,3,0,18.0,100.0,100.0,83.0,83.0,0,0,0,0.0,10,65.5,57.1,0.0,,50.5,74.6,1,18,0.0,0,0,2,79.2,1,87,87,2,7,1,0,18,0,0.2,18.0
Jerry Hughes,5556,ED,HST,3,0,,,2.1,,,0,0,0,,13,60.0,45.8,25.2,53.9,49.7,27.2,0,,100.0,1,0,1,0.0,0,1,47,0,0,0,0,0,0,0.0,
Patrick Peterson,6157,CB,PIT,3,0,10.8,56.3,100.0,14.7,8.3,1,0,2,12.5,25,72.7,72.8,81.1,,66.0,50.6,1,29,25.0,2,2,1,94.3,9,140,140,1,6,16,2,122,36,0.9,13.6
Cameron Jordan,6176,ED,NO,3,0,,,1.7,,,0,0,0,,20,62.0,76.0,83.9,66.8,76.0,77.1,0,,100.0,1,0,0,0.0,0,2,119,0,0,0,0,0,0,0.0,
Justin Houston,6222,ED,CAR,3,0,,,14.5,,,0,0,0,,5,76.0,63.7,29.5,68.4,51.8,30.5,0,,0.0,0,0,1,0.0,0,10,69,3,2,0,0,0,0,0.0,
Stephon Gilmore,7016,CB,DAL,3,1,11.8,52.9,100.0,10.3,5.5,0,0,3,17.6,9,71.2,70.6,79.9,,61.1,68.2,1,68,0.0,0,3,1,101.8,9,103,103,2,11,17,2,167,66,1.8,18.6
Bobby Wagner,7050,LB,SEA,3,2,7.9,90.0,85.7,13.6,12.2,0,0,0,0.0,29,57.1,76.9,79.6,55.3,91.6,83.9,0,21,0.0,0,0,0,115.0,9,126,147,3,13,10,0,116,55,1.0,12.9
Lavonte David,7060,LB,TB,3,2,3.8,88.2,88.0,7.1,6.3,0,0,0,0.0,30,61.3,62.2,79.9,57.0,62.4,58.1,0,25,0.0,0,0,0,91.7,15,110,125,6,9,17,0,102,48,1.0,6.8
Demario Davis,7079,LB,NO,3,1,16.3,37.5,84.3,36.0,13.5,0,0,0,0.0,20,63.9,78.0,81.3,64.8,89.1,88.0,0,11,0.0,0,0,0,45.8,3,118,140,4,6,8,0,18,5,0.2,6.0
Rodney McLeod,7271,S,CLV,3,0,4.2,40.0,100.0,25.5,10.2,0,1,1,20.0,8,54.0,54.7,79.2,,61.8,50.8,0,7,0.0,0,1,0,47.9,2,54,54,1,1,5,0,8,17,0.2,4.0
Tashaun Gipson Sr.,7288,S,SF,3,4,15.0,50.0,98.1,72.0,36.0,0,1,0,0.0,28,77.1,79.1,83.0,54.5,66.0,69.9,0,4,0.0,0,0,0,56.3,2,151,154,2,4,4,0,6,1,0.0,3.0
Harrison Smith,7641,S,MIN,3,3,5.8,83.3,81.2,18.6,15.5,0,0,0,0.0,18,75.9,64.0,81.2,48.8,36.8,34.8,0,13,0.0,0,0,0,92.4,5,95,117,1,5,6,0,37,23,0.4,7.4
Justin Bethel,7654,CB,MIA,3,1,2.0,100.0,92.3,11.5,11.5,0,0,0,0.0,17,76.8,80.0,76.3,91.6,55.6,81.7,0,7,0.0,0,0,0,79.2,4,48,52,2,4,4,0,10,2,0.2,2.5
Darius Slay,7817,CB,PHI,3,1,9.2,66.7,100.0,9.4,6.3,0,2,3,14.3,24,57.5,58.0,81.6,,59.1,64.0,1,23,10.0,1,1,0,95.9,14,140,140,1,8,21,2,133,54,1.0,9.5
Tyrann Mathieu,7850,S,NO,3,0,6.9,63.6,98.6,18.1,11.5,1,1,1,9.1,20,66.0,67.4,80.5,57.5,64.9,55.2,0,46,0.0,0,1,1,94.1,7,138,140,3,7,11,0,103,68,0.8,14.7
Micah Hyde,7941,S,BUF,3,3,4.5,83.3,98.8,15.6,13.0,0,0,0,0.0,4,88.0,90.1,81.2,60.0,64.6,71.2,1,9,11.1,1,0,0,50.7,5,81,82,3,5,6,0,34,9,0.4,6.8
Jordan Poyer,8000,S,BUF,3,0,9.8,75.0,95.3,26.3,19.8,0,0,0,0.0,4,58.7,55.6,78.6,55.1,51.2,71.7,0,21,14.3,1,0,0,92.7,3,81,85,1,6,4,0,27,3,0.3,9.0
Jadeveon Clowney,8636,ED,BLT,3,0,,,6.4,,,0,0,0,,3,64.5,73.2,85.0,71.7,59.8,29.2,0,,50.0,1,0,0,0.0,0,7,109,1,1,0,0,0,0,0.0,
Khalil Mack,8640,ED,LAC,3,0,,,7.1,,,0,0,0,,27,61.6,67.4,84.1,66.7,60.1,31.2,0,,,0,0,0,0.0,0,8,112,0,0,0,0,0,0,0.0,
C.J. Mosley,8652,LB,NYJ,3,4,4.3,75.0,93.6,12.6,9.4,0,1,1,8.3,22,63.1,67.6,80.9,66.8,66.9,78.8,0,31,0.0,0,1,0,97.9,9,117,125,2,10,12,0,96,65,0.8,10.7
Jimmie Ward,8665,S,HST,1,0,5.5,75.0,97.9,14.3,10.8,0,0,0,0.0,13,67.9,70.5,73.9,59.1,66.4,84.4,0,6,0.0,0,0,1,80.2,3,46,47,2,5,4,0,15,6,0.3,5.0
Shelby Harris,8869,DI,CLV,3,0,,,5.9,,,0,0,0,,8,58.0,76.1,78.2,63.7,78.6,50.2,0,,,0,0,0,0.0,0,2,34,0,0,0,0,0,0,0.0,
Denico Autry,8982,ED,TEN,3,0,5.0,100.0,1.1,1.0,1.0,0,0,0,0.0,31,60.2,74.2,83.4,69.5,66.6,76.0,0,7,0.0,0,0,0,95.8,1,1,90,3,1,1,0,7,2,7.0,7.0
Shaquil Barrett,9000,ED,TB,3,0,0.0,100.0,25.3,8.5,8.5,0,0,0,0.0,30,73.5,74.9,30.0,83.1,51.9,76.0,1,3,50.0,1,0,1,39.6,2,19,75,2,1,2,0,5,5,0.3,2.5
Adrian Phillips,9177,S,NE,3,1,10.7,100.0,100.0,9.0,9.0,0,0,0,0.0,19,53.2,60.9,73.6,,75.2,80.0,0,29,0.0,0,0,0,118.8,3,27,27,1,3,3,0,40,8,1.5,13.3
C.J. Goodwin,9243,CB,DAL,1,1,-5.0,100.0,100.0,10.0,10.0,0,0,0,0.0,9,69.3,69.2,82.1,,60.0,75.4,0,5,0.0,0,0,0,87.5,1,14,14,0,1,1,0,5,10,0.5,5.0
Dante Fowler Jr.,9436,ED,DAL,3,0,5.0,100.0,2.0,1.0,1.0,0,0,0,0.0,9,61.0,56.1,15.5,61.9,54.3,23.6,0,6,0.0,0,0,1,91.7,1,1,50,1,1,1,0,6,1,6.0,6.0
Marcus Peters,9451,CB,LV,3,0,8.0,76.5,100.0,8.2,6.2,0,1,1,5.9,23,60.2,60.5,81.5,,58.7,47.1,0,72,9.1,1,1,1,124.1,13,116,116,4,10,17,1,158,54,1.5,12.2
Bud Dupree,9455,ED,ATL,3,0,,,1.2,,,0,0,0,,2,60.6,52.0,81.1,51.8,54.9,59.4,0,,50.0,1,0,0,0.0,0,1,83,1,1,0,0,0,0,0.0,
Shaq Thompson,9458,LB,CAR,2,0,-1.8,100.0,90.9,5.6,5.6,0,0,0,0.0,5,59.9,65.3,75.2,64.3,65.8,43.2,0,14,33.3,1,0,0,80.0,5,30,33,2,2,5,0,16,25,0.6,3.2
Preston Smith,9471,ED,GB,3,1,0.0,0.0,9.6,,8.0,0,0,0,0.0,12,79.0,72.7,81.0,54.4,78.2,67.4,0,,20.0,1,0,0,39.6,0,8,83,1,3,1,0,0,0,0.0,
Eric Kendricks,9478,LB,LAC,1,2,6.8,100.0,89.4,10.3,10.3,0,0,1,25.0,27,50.1,54.9,76.2,64.8,64.2,78.6,0,19,0.0,0,1,0,118.8,4,42,47,0,2,4,0,56,29,1.4,14.0
Denzel Perryman,9481,LB,HST,2,2,8.1,85.7,87.0,9.3,8.0,0,0,0,0.0,13,48.0,59.1,77.8,46.9,74.3,45.7,0,18,33.3,2,0,0,100.6,6,60,69,0,2,7,0,57,12,1.0,9.5
Ronald Darby,9483,CB,BLT,3,1,11.7,50.0,100.0,10.6,5.3,0,0,3,15.0,3,61.5,63.9,81.1,,74.2,67.0,0,26,9.1,1,1,0,81.9,10,112,112,3,9,20,1,103,26,1.0,10.3
Jordan Phillips,9485,DI,BUF,3,0,,,3.3,,,0,0,0,,4,60.0,41.7,0.0,52.1,50.3,26.6,0,,100.0,2,0,1,0.0,0,1,30,1,0,0,0,0,0,0.0,
Markus Golden,9491,ED,PIT,3,0,,,24.1,,,0,0,0,,25,77.3,78.5,79.2,63.7,72.7,76.3,0,,0.0,0,0,0,0.0,0,7,29,3,1,0,0,0,0,0.0,
Randy Gregory,9493,ED,DEN,3,0,-1.3,100.0,5.8,1.0,1.0,0,0,0,0.0,10,29.3,39.5,1.6,53.8,55.0,77.1,0,21,,0,0,2,111.5,4,4,69,1,0,4,0,43,48,10.8,10.8
Frank Clark,9496,ED,DEN,1,0,-1.0,100.0,15.8,3.0,3.0,0,0,0,0.0,10,63.4,48.3,0.0,55.1,60.0,71.6,0,5,0.0,0,0,1,87.5,1,3,19,1,2,1,0,5,6,1.7,5.0
Jordan Hicks,9517,LB,MIN,3,2,8.0,85.7,62.2,12.2,10.4,0,0,0,0.0,18,85.4,72.0,83.1,52.8,57.9,78.2,0,25,0.0,0,0,0,149.7,6,74,119,3,5,7,1,73,17,1.0,12.2
Danielle Hunter,9521,ED,MIN,3,0,,,3.7,,,0,0,0,,18,70.8,67.8,85.7,69.1,54.6,69.7,0,,0.0,0,0,0,0.0,0,4,108,6,1,0,0,0,0,0.0,
Steven Nelson,9531,CB,HST,3,1,9.0,70.0,99.1,15.4,10.8,0,0,2,20.0,13,79.6,77.5,82.3,60.0,60.9,36.5,1,21,16.7,1,2,1,54.6,7,116,117,0,4,10,0,81,25,0.8,11.6
Za'Darius Smith,9555,ED,CLV,3,0,,,3.9,,,0,0,0,,8,61.7,88.7,30.5,79.3,86.4,28.7,0,,100.0,3,0,1,0.0,0,3,76,0,0,0,0,0,0,0.0,
Kwon Alexander,9557,LB,PIT,3,0,7.4,69.2,93.5,9.3,6.5,0,0,0,0.0,25,62.0,62.1,76.9,73.8,56.7,66.8,0,23,0.0,0,0,0,90.9,9,87,93,3,14,13,0,97,25,1.2,10.8
Adrian Amos,9575,S,NYJ,3,1,2.6,80.0,100.0,14.3,11.4,0,0,1,20.0,22,60.5,70.9,83.2,,83.6,70.8,0,18,14.3,1,1,0,92.5,4,60,60,1,5,5,0,31,26,0.5,7.8
Bobby McCain,9578,S,NYG,1,0,,,100.0,,,0,0,0,,21,60.8,61.2,69.6,,,,0,,,0,0,0,0.0,0,3,3,0,0,0,0,0,0,0.0,
Quandre Diggs,9633,S,SEA,3,0,26.0,50.0,100.0,64.0,32.0,0,0,0,0.0,29,40.9,33.4,3.8,,42.7,34.7,0,47,0.0,0,0,1,135.4,2,135,135,0,4,4,1,70,21,0.5,35.0
Troy Hill,9881,CB,CAR,3,1,9.3,66.7,97.4,8.8,5.8,0,0,1,8.3,5,61.7,52.2,0.0,55.0,30.6,34.3,0,21,25.0,2,0,1,82.6,8,76,78,1,5,12,0,72,24,1.0,9.0
Alex Singleton,9994,LB,DEN,3,0,2.5,87.5,88.9,5.2,4.6,0,0,1,6.3,10,44.6,42.1,0.0,74.1,47.6,30.2,0,36,22.2,2,1,1,142.2,14,80,90,4,7,16,2,138,110,1.9,9.9
DeForest Buckner,10641,DI,IND,3,0,,,5.1,,,0,0,0,,14,65.7,74.9,44.1,82.0,57.2,36.6,0,,,0,0,1,0.0,0,5,99,2,0,0,0,0,0,0.0,
Leonard Floyd,10643,ED,BUF,3,0,3.0,100.0,4.2,2.0,2.0,0,0,0,0.0,4,65.2,68.8,79.4,70.3,54.1,62.4,0,5,50.0,1,0,0,87.5,1,2,48,4,1,1,0,5,2,2.5,5.0
Eli Apple,10644,CB,MIA,3,1,14.2,60.0,100.0,9.0,5.4,1,1,2,13.3,17,45.4,49.9,81.4,,76.5,41.8,0,14,30.0,3,1,3,79.0,9,86,86,0,6,15,0,97,35,1.2,10.8
Keanu Neal,10651,S,PIT,3,4,7.4,54.5,95.5,13.0,7.1,0,0,1,9.1,25,69.4,67.9,77.9,53.7,59.4,69.6,0,16,0.0,0,1,0,74.1,6,85,89,0,3,11,0,70,42,0.9,11.7
Shaq Lawson,10653,ED,BUF,3,0,,,2.6,,,0,0,0,,4,60.0,50.7,82.0,56.6,47.1,27.8,0,,100.0,1,0,0,0.0,0,1,39,0,0,0,0,0,0,0.0,
Artie Burns,10659,CB,SEA,3,2,5.3,75.0,96.6,6.8,5.1,0,0,1,6.3,29,56.8,57.3,79.2,54.7,62.2,36.8,0,25,28.6,2,1,0,97.1,12,85,88,0,3,16,0,125,75,1.5,10.4
Emmanuel Ogbah,10666,ED,MIA,3,0,,,7.1,,,0,0,0,,17,79.2,47.4,79.4,56.4,32.1,26.3,1,,,0,0,0,0.0,0,2,28,1,0,0,0,0,0,0.0,
Xavien Howard,10672,CB,MIA,3,0,9.0,72.7,99.2,7.4,5.4,0,0,1,4.5,17,41.7,45.5,80.8,60.0,56.5,57.9,1,30,8.3,1,1,4,89.4,16,128,129,1,11,22,1,161,76,1.4,10.1
Jihad Ward,10678,ED,NYG,3,0,,,2.2,,,1,0,0,,21,76.9,37.0,31.3,50.5,35.9,74.5,0,,0.0,0,0,1,0.0,0,1,46,1,1,0,0,0,0,0.0,
Deion Jones,10686,LB,CAR,1,0,7.5,50.0,87.9,27.0,13.5,0,0,0,0.0,5,63.4,51.6,0.0,64.7,48.6,32.2,1,12,,0,0,1,29.2,1,29,33,0,0,2,0,12,6,0.4,12.0
