player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_hangtime,average_net_yards,average_yards_per_attempt,average_yards_per_return,blocks,declined_penalties,downeds,fair_catches,franchise_id,grades_punter,inside_twenties,long,out_of_bounds,penalties,percent_returned,return_yards,returns,snaps,total_hangtime,total_net_yards,touchbacks,yards
Thomas Morstead,5088,P,NYJ,5,25,25,4.48,43.96,47.68,7.6,0,0,2,11,22,76.9,10,58,3,0,28.0,53,7,25,111.92,1099,2,1192
Bryan Anger,7072,P,DAL,5,15,15,4.5,45.27,51.27,7.8,0,0,1,4,9,70.5,5,57,0,0,60.0,70,9,15,67.48,679,1,769
Johnny Hekker,7252,P,CAR,5,23,23,4.31,43.65,47.57,7.8,0,0,5,7,5,55.6,9,69,1,0,39.1,70,9,23,99.02,1004,1,1094
Sam Martin,7947,P,BUF,5,13,13,4.21,39.92,46.92,14.2,0,0,1,4,4,73.0,5,64,2,0,38.5,71,5,13,54.67,519,1,610
Brad Wing,8256,P,PIT,2,11,11,4.48,38.91,45.0,6.8,0,0,0,4,25,58.9,3,52,1,0,36.4,27,4,11,49.3,428,2,495
Tress Way,8358,P,WAS,5,19,19,4.32,39.42,47.37,12.6,0,0,3,4,32,55.9,5,66,0,0,63.2,151,12,19,82.07,749,0,900
Bradley Pinion,9598,P,ATL,5,24,24,4.57,44.38,47.83,7.0,0,0,1,9,2,88.2,9,62,4,0,37.5,63,9,24,109.67,1065,1,1148
Riley Dixon,10862,P,DEN,6,23,23,4.23,41.09,44.17,6.5,0,0,3,7,10,64.0,8,61,2,0,47.8,71,11,23,97.18,945,0,1016
Rigoberto Sanchez,12130,P,IND,5,22,22,4.21,38.45,45.27,11.5,0,0,3,3,14,61.9,8,54,3,0,59.1,150,13,22,92.63,846,0,996
Cameron Johnston,12255,P,HST,1,6,6,4.29,37.33,39.0,10.0,0,0,1,3,13,60.6,2,48,1,0,16.7,10,1,6,25.76,224,0,234
Corey Bojorquez,27626,P,CLV,4,23,23,4.25,41.87,47.0,12.3,0,0,1,6,8,63.7,8,67,7,0,34.8,98,8,23,97.68,963,1,1081
Logan Cooke,29214,P,JAX,5,20,20,4.29,44.5,48.35,5.3,0,0,2,6,15,72.6,14,60,3,0,35.0,37,7,20,85.7,890,2,967
Tommy Townsend,33007,P,KC,6,18,18,4.64,43.89,48.61,9.3,0,0,4,5,16,64.5,8,62,1,0,38.9,65,7,18,83.48,790,1,875
Jake Bailey,33963,P,MIA,5,10,10,4.61,42.2,43.7,5.0,0,0,0,5,17,66.6,1,55,2,0,30.0,15,3,10,46.08,422,0,437
Jack Fox,34735,P,DET,5,18,18,4.65,41.83,45.39,7.1,0,0,3,6,11,68.9,11,62,0,0,50.0,64,9,18,83.7,753,0,817
Michael Dickson,35381,P,SEA,4,13,13,4.55,48.85,53.54,3.5,0,0,3,1,29,75.1,5,73,1,0,46.2,21,6,13,59.11,635,2,696
AJ Cole,36038,P,LV,5,18,18,4.29,48.5,51.0,4.2,0,0,2,7,23,77.6,10,70,2,0,33.3,25,6,18,77.29,873,1,918
JK Scott,38809,P,LAC,4,16,16,4.68,38.69,40.69,4.0,0,0,3,8,27,61.8,5,62,1,0,18.8,12,3,16,74.8,619,1,651
Mitch Wishnowsky,44663,P,SF,5,15,15,4.48,43.0,46.07,6.5,0,0,4,4,28,79.2,10,67,2,0,26.7,26,4,15,67.16,645,1,691
Braden Mann,44664,P,PHI,3,5,5,4.34,39.0,41.8,14.0,0,0,0,4,24,59.4,3,48,0,0,20.0,14,1,5,21.68,195,0,209
Nolan Cooney,44995,P,ARZ,4,13,13,4.56,40.31,45.54,6.9,0,0,1,3,1,58.4,2,56,1,0,53.8,48,7,13,59.26,524,1,592
Blake Gillikin,45045,P,ARZ,1,4,4,4.3,37.75,54.75,17.0,0,0,0,0,1,57.9,0,62,0,0,100.0,68,4,4,17.21,151,0,219
Ryan Stonehouse,52045,P,TEN,5,18,18,4.13,43.11,51.28,8.7,0,0,0,1,31,66.1,7,74,4,0,55.6,87,10,18,74.25,776,3,923
Daniel Whelan,57639,P,GB,5,22,22,4.59,38.0,47.45,16.4,0,0,1,9,12,74.5,4,68,0,0,40.9,148,9,22,100.87,836,3,1044
Jordan Stout,57649,P,BLT,5,25,25,4.2,39.12,47.32,20.6,1,0,3,9,3,63.5,13,67,3,0,36.0,185,9,26,104.91,978,1,1183
Bryce Baringer,60274,P,NE,5,30,30,4.17,38.9,43.93,10.1,0,0,1,11,19,57.9,16,65,4,0,43.3,131,13,30,125.17,1167,1,1318
Brad Robbins,60291,P,CIN,5,26,26,4.34,39.31,43.88,7.9,0,0,0,10,7,59.5,5,62,4,0,38.5,79,10,26,112.9,1022,2,1141
Trenton Gill,60295,P,CHI,5,19,19,4.45,38.68,47.05,13.9,0,0,3,3,6,70.5,7,58,2,0,52.6,139,10,19,84.56,735,1,894
