player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
Richie James,28991,WR,KC,2,3,0,16,0,,0,,,0,0,,0,0,0,,49.8,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,4.0,0,100.0,,0,0,0.0,0,0,0,68.3,50.7,0,6,0.0,0,7,1,100.0,7,91.7,1,33.3,0,6,2,2.0,6.0,0.86
Tim Jones,61669,WR,JAX,2,3,0,15,0,,0,,,0,0,,0,0,0,,45.2,0,0,0.0,0,7,0,100.0,7,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,72.1,49.5,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0
Olamide Zaccheaus,44920,WR,PHI,3,3,0,24,0,,0,,,0,0,,0,0,0,,47.2,0,0,0.0,0,5,0,100.0,5,0.0,0,0.0,0,0,0,,,0.0,21.0,0,100.0,,0,0,0.0,0,2,0,70.5,58.7,0,34,0.0,0,36,2,97.2,35,158.3,2,66.7,1,58,16,8.0,29.0,1.66
John Metchie III,97400,WR,HST,2,3,0,13,0,0.0,0,100.0,,0,0,0.0,0,0,0,78.7,62.6,0,2,0.0,0,1,1,100.0,1,79.2,1,33.3,0,2,2,2.0,2.0,2.0,7.5,0,100.0,,0,0,0.0,0,2,0,72.1,68.6,0,17,0.0,0,7,2,100.0,7,118.8,2,66.7,0,28,13,6.5,14.0,4.0
Elijah Dotson,57394,HB,LAC,2,2,0,27,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,,0,,,0,0,,0,0,0,70.5,60.7,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,
DeeJay Dallas,55632,HB,SEA,3,2,0,29,0,,0,,,0,0,,0,0,0,,54.9,0,0,50.0,1,2,0,50.0,1,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,72.1,80.8,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,
Will Mallory,77888,TE,IND,1,2,0,14,0,,0,,,0,0,,0,0,0,,47.4,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,6.0,0,100.0,100.0,1,1,0.0,0,1,0,70.5,90.7,0,6,0.0,0,2,1,100.0,2,91.7,1,50.0,0,6,0,0.0,6.0,3.0
Derius Davis,78196,WR,LAC,3,2,0,27,0,-4.0,0,100.0,,0,0,0.0,0,0,0,78.7,61.3,0,5,0.0,0,1,1,100.0,1,87.5,1,50.0,0,5,9,9.0,5.0,5.0,-5.0,1,100.0,,0,0,0.0,0,0,0,72.1,56.2,0,3,0.0,0,7,1,100.0,7,79.2,1,50.0,0,3,8,8.0,3.0,0.43
Jack Stoll,42058,TE,PHI,3,2,0,24,0,,0,,,0,0,,0,0,0,,38.8,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,28.8,40.1,0,0,0.0,0,6,0,83.3,5,0.0,0,0.0,0,0,0,,,0.0
Ko Kieft,41372,TE,TB,3,2,0,30,0,,0,,,0,0,,0,0,0,,47.4,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,,38.1,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0
