player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
Puka Nacua,100632,WR,LA,5,61,0,26,0,-0.8,0,100.0,,0,0,0.0,0,1,1,90.6,31.5,0,7,0.0,0,17,5,94.1,16,79.2,5,8.2,0,10,14,2.8,2.0,0.63,5.8,0,69.2,0.0,0,2,18.2,2,6,1,58.5,82.8,0,16,0.0,0,76,9,93.4,71,80.6,13,21.3,0,65,32,3.6,7.2,0.92
Ja'Marr Chase,84270,WR,CIN,5,59,0,7,0,-2.3,5,100.0,,0,0,0.0,0,4,0,92.0,96.1,0,17,0.0,0,21,11,100.0,21,97.0,11,18.6,0,80,105,9.5,7.3,3.81,2.2,4,90.5,100.0,1,1,5.0,1,12,0,75.1,88.0,0,19,0.0,0,51,19,96.1,49,98.6,21,35.6,0,161,122,6.4,8.5,3.29
Davante Adams,8688,WR,LV,5,54,0,23,0,1.0,1,100.0,,0,0,0.0,0,1,0,84.5,78.0,0,16,0.0,0,14,2,100.0,14,150.0,2,3.7,1,21,19,9.5,10.5,1.5,9.8,0,80.0,50.0,1,2,0.0,0,4,0,90.5,86.9,0,21,0.0,0,25,4,96.0,24,118.8,5,9.3,0,65,20,5.0,16.3,2.71
Justin Jefferson,61398,WR,MIN,5,52,0,18,0,-4.6,2,60.0,0.0,0,1,0.0,0,1,0,90.2,63.9,0,8,0.0,0,18,3,88.9,16,64.6,5,9.6,0,15,27,9.0,5.0,0.94,12.3,3,56.3,0.0,0,2,0.0,0,6,1,82.6,86.1,0,52,0.0,0,67,9,89.6,60,121.9,16,30.8,1,201,99,11.0,22.3,3.35
Stefon Diggs,9579,WR,BUF,5,49,0,4,0,-2.3,1,100.0,,0,0,0.0,0,1,0,88.7,68.8,0,16,0.0,0,12,3,100.0,12,87.5,3,6.1,0,15,22,7.3,5.0,1.25,11.2,0,66.7,,0,0,0.0,0,3,0,91.0,85.8,1,15,0.0,0,61,6,93.4,57,69.9,9,18.4,1,32,3,0.5,5.3,0.56
A.J. Brown,48327,WR,PHI,5,49,0,24,0,-1.0,0,100.0,,0,0,0.0,0,0,0,84.5,48.5,0,1,0.0,0,13,1,92.3,12,79.2,1,2.0,0,1,2,2.0,1.0,0.08,9.5,1,87.5,100.0,1,1,12.5,1,5,0,90.3,91.4,0,59,0.0,0,36,7,97.2,35,158.3,8,16.3,1,136,71,10.1,19.4,3.89
Tyreek Hill,10799,WR,MIA,5,48,0,17,0,-3.2,0,100.0,,0,0,0.0,0,2,0,90.9,92.7,0,64,0.0,0,15,6,100.0,15,118.8,6,12.5,0,84,103,17.2,14.0,5.6,11.6,1,78.6,0.0,0,1,8.3,1,7,0,83.5,94.4,1,64,0.0,0,50,11,94.0,47,89.0,14,29.2,0,210,118,10.7,19.1,4.47
Travis Kelce,7844,TE,KC,5,46,0,16,0,-2.0,1,100.0,,0,0,0.0,0,2,0,88.7,74.2,0,10,4.8,1,21,3,95.2,20,100.0,3,6.5,0,24,30,10.0,8.0,1.2,7.1,2,76.9,60.0,3,5,4.8,1,9,0,70.2,85.3,1,16,1.1,1,87,20,90.8,79,103.7,26,56.5,2,174,60,3.0,8.7,2.2
Adam Thielen,8288,WR,CAR,5,46,0,5,0,-2.2,0,100.0,,0,0,0.0,0,1,0,90.9,62.0,0,6,4.3,1,23,6,91.3,21,88.2,6,13.0,0,31,44,7.3,5.2,1.48,8.0,1,84.4,50.0,1,2,0.0,0,19,0,91.0,86.2,0,30,0.0,0,164,27,91.5,150,135.2,32,69.6,3,286,108,4.0,10.6,1.91
Chris Olave,84355,WR,NO,5,43,0,20,0,-2.8,0,80.0,0.0,0,1,0.0,0,0,0,90.2,66.1,0,9,0.0,0,14,4,100.0,14,84.2,5,11.6,0,21,32,8.0,5.3,1.5,17.2,0,55.6,0.0,0,2,0.0,0,5,0,90.2,85.2,1,21,0.0,0,77,10,93.5,72,64.4,18,41.9,1,89,37,3.7,8.9,1.24
