player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Sam Howell,97599,QB,WAS,5,79.8,173,191,8.1,2.9,6,9,4.4,68.6,131,0,90,5.1,236,7,66,32,73.5,64.7,62.0,70.2,1,6,257,0,32.2,86.0,12.3,29,15,0,11,6,8,3.1,1349,7.1
Matthew Stafford,4924,QB,LA,4,72.5,153,166,9.0,2.64,4,12,6.9,62.0,103,0,63,7.2,183,8,64,26,89.9,80.7,79.6,62.8,1,5,192,3,14.3,78.3,4.9,9,8,1,7,3,4,2.1,1235,7.4
Kirk Cousins,7102,QB,MIN,4,77.2,149,157,8.3,2.77,0,4,2.4,68.8,108,0,53,6.1,169,7,58,18,31.3,73.8,74.5,40.5,3,4,180,1,18.9,104.4,5.9,10,2,0,5,11,3,1.7,1214,7.7
Justin Fields,82118,QB,CHI,5,73.1,134,152,8.8,3.22,4,7,4.5,61.8,94,0,90,4.1,187,4,59,6,40.7,74.4,66.8,84.9,3,5,193,3,21.1,95.4,10.2,19,15,0,11,11,5,2.6,1144,7.5
C.J. Stroud,129759,QB,HST,4,74.1,139,151,8.4,2.66,0,3,1.9,62.3,94,0,63,8.7,172,9,59,13,51.4,73.3,70.2,72.5,2,0,181,1,17.5,100.6,6.4,11,8,5,5,6,4,2.2,1212,8.0
Joe Burrow,28022,QB,CIN,4,71.6,134,151,6.6,2.29,3,3,1.9,57.6,87,0,47,9.4,162,9,37,7,89.1,61.7,63.4,48.4,6,2,170,2,17.0,69.1,4.9,8,3,1,7,2,2,1.2,728,4.8
Mac Jones,60323,QB,NE,4,70.7,140,146,8.7,2.48,2,5,3.3,63.7,93,0,60,6.1,159,6,45,19,68.9,59.2,57.2,68.0,2,4,165,1,11.7,80.8,4.4,7,6,0,2,5,10,6.1,898,6.2
Justin Herbert,28237,QB,LAC,4,75.5,139,145,9.1,2.64,1,7,4.6,71.0,103,0,52,1.9,167,2,57,27,52.6,76.3,71.7,79.6,0,1,176,1,17.3,106.3,5.4,9,10,0,5,7,6,3.4,1105,7.6
Patrick Mahomes,11765,QB,KC,4,71.3,136,144,7.9,3.06,0,5,3.3,63.2,91,0,56,6.2,162,6,56,16,70.1,82.0,74.5,89.8,4,4,172,0,3.6,90.8,1.2,2,16,0,4,8,6,3.5,1007,7.0
Trevor Lawrence,77632,QB,JAX,4,77.2,136,143,7.2,2.45,3,9,6.0,67.1,96,0,49,8.6,164,9,52,15,70.5,84.9,84.1,66.4,1,2,172,2,16.3,89.1,4.9,8,11,0,3,4,3,1.7,945,6.6
Dak Prescott,10769,QB,DAL,4,81.4,129,136,6.2,2.4,2,5,3.4,71.3,97,0,42,7.6,149,8,51,9,67.9,73.2,68.9,85.9,2,1,159,2,14.3,96.0,4.0,6,4,0,3,4,3,1.9,907,6.7
Tua Tagovailoa,60326,QB,MIA,4,78.9,128,136,9.0,2.34,4,8,5.6,71.3,97,0,35,4.0,146,4,67,17,66.4,88.3,89.0,45.6,2,3,155,1,14.3,114.4,3.4,5,4,0,2,9,4,2.6,1306,9.6
Josh Allen,46601,QB,BUF,4,82.7,127,135,7.8,2.91,3,9,6.5,74.8,101,0,47,3.8,153,4,57,4,63.9,81.5,79.5,68.1,0,4,161,0,19.1,106.7,5.9,9,9,1,4,9,6,3.7,1048,7.8
Jordan Love,40306,QB,GB,4,62.7,126,132,10.5,2.8,2,6,4.2,56.1,74,0,43,6.3,149,5,44,12,53.9,67.2,64.8,72.9,2,3,159,2,18.6,88.0,5.4,8,7,0,2,8,4,2.5,901,6.8
Russell Wilson,7077,QB,DEN,4,78.6,117,132,8.8,3.02,2,9,6.3,67.4,89,0,58,3.3,149,3,45,10,46.6,79.8,77.6,67.5,2,2,160,0,19.0,106.7,7.4,11,6,2,9,9,4,2.5,1014,7.7
Jared Goff,10635,QB,DET,4,80.8,120,131,7.6,2.58,4,6,4.4,69.5,91,0,45,6.2,138,6,51,11,88.2,83.7,81.0,71.9,1,3,145,1,11.1,98.4,3.6,5,2,1,5,6,3,2.1,1028,7.8
Daniel Jones,39395,QB,NYG,4,77.0,122,131,6.3,2.87,2,2,1.5,68.7,90,0,79,4.3,170,4,42,21,35.9,59.1,51.9,76.2,2,6,180,0,27.8,69.9,12.9,22,17,0,5,2,8,4.4,773,5.9
Jalen Hurts,40291,QB,PHI,4,79.7,118,130,9.7,3.1,0,8,5.8,67.7,88,0,52,6.4,152,6,43,24,54.5,72.9,73.7,60.4,3,3,161,1,21.2,92.4,7.2,11,11,0,9,5,6,3.7,959,7.4
Kenny Pickett,60515,QB,PIT,4,67.8,118,127,7.3,2.87,2,1,0.8,60.6,77,0,66,3.8,141,3,30,25,88.2,53.8,51.1,71.5,1,4,148,0,16.7,76.3,7.8,11,3,1,5,4,5,3.4,803,6.3
Baker Mayfield,46518,QB,TB,4,78.3,115,125,8.1,2.9,3,3,2.3,69.6,87,0,46,3.3,141,3,44,30,88.5,76.7,73.4,75.3,0,2,148,2,8.7,101.9,2.8,4,12,0,7,7,4,2.7,893,7.1
Derek Carr,8671,QB,NO,4,70.9,117,124,9.5,2.6,3,5,3.9,64.5,80,0,47,3.6,138,3,37,20,66.3,58.6,57.4,63.7,1,2,144,0,27.7,80.1,9.4,13,1,0,3,2,4,2.8,763,6.2
Geno Smith,7820,QB,SEA,4,82.2,107,123,7.7,2.93,3,3,2.2,68.3,84,0,52,4.5,134,4,44,29,88.0,77.4,76.7,62.4,2,1,147,2,13.5,97.8,5.2,7,4,1,10,5,5,3.4,846,6.9
Joshua Dobbs,11890,QB,ARZ,4,75.8,120,123,7.8,2.58,1,2,1.5,70.7,87,0,44,4.4,138,4,45,1,49.9,68.4,63.4,78.9,1,0,154,1,13.6,99.4,4.3,6,7,0,1,4,5,3.2,814,6.6
Zach Wilson,82096,QB,NYJ,4,74.3,105,123,8.1,3.02,3,4,3.1,58.5,72,0,64,7.7,140,6,34,22,65.7,56.4,54.6,64.3,3,4,145,0,15.6,72.3,7.1,10,7,2,10,4,4,2.8,712,5.8
Desmond Ridder,55086,QB,ATL,4,69.6,112,119,7.8,2.66,2,2,1.6,62.2,74,0,56,5.1,143,4,38,2,45.7,39.5,40.2,52.1,0,3,152,1,28.6,77.9,11.2,16,7,0,5,3,10,6.6,744,6.3
