player,player_id,position,team_name,player_game_count,assists,franchise_id,hits,hurries,lhs_assists,lhs_hits,lhs_hurries,lhs_misses,lhs_pass_rush_percent,lhs_pass_rush_snaps,lhs_pressures,lhs_prp,lhs_sacks,lhs_stops,lhs_tackles,misses,pass_rush_percent,pass_rush_snaps,pass_snaps,pressures,prp,rhs_assists,rhs_hits,rhs_hurries,rhs_misses,rhs_pass_rush_percent,rhs_pass_rush_snaps,rhs_pressures,rhs_prp,rhs_sacks,rhs_stops,rhs_tackles,sacks,stops,tackles
Nik Bonitto,77196,ED,DEN,1,0,10,0,1,0,0,0,0,50.0,3,0,0.0,0,0,0,0,50.0,6,12,1,8.3,0,0,1,0,50.0,3,1,16.7,0,0,0,0,0,0
Arik Armstead,9450,DI,SF,1,0,28,1,4,0,1,4,0,96.8,30,5,8.3,0,0,0,0,100.0,31,31,5,8.1,0,0,0,0,3.2,1,0,0.0,0,0,0,0,0,0
Jonathan Allen,11772,DI,WAS,1,0,32,2,1,0,0,0,0,3.3,1,0,0.0,0,0,0,0,100.0,31,31,4,8.1,0,2,1,0,96.7,29,4,8.6,1,1,0,1,1,0
Josh Sweat,50120,ED,PHI,2,0,24,4,4,0,1,0,0,10.8,8,1,6.3,0,0,0,0,96.1,74,77,10,8.1,0,3,4,0,89.2,66,9,8.3,2,3,1,2,3,1
Dante Fowler Jr.,9436,ED,DAL,1,0,9,2,2,0,2,2,0,52.0,13,4,15.4,0,0,0,0,100.0,25,25,4,8.0,0,0,0,0,48.0,12,0,0.0,0,0,0,0,0,0
Jadeveon Clowney,8636,ED,BLT,1,0,3,1,4,0,1,4,1,50.0,16,5,15.6,0,0,0,1,100.0,32,32,5,7.8,0,0,0,0,50.0,16,0,0.0,0,0,0,0,0,0
Josh Allen,50235,ED,JAX,1,1,15,1,0,1,1,0,0,75.0,24,3,10.4,2,2,2,0,84.2,32,38,3,7.8,0,0,0,0,25.0,8,0,0.0,0,0,0,2,2,2
Felix Anudike-Uzomah,122582,ED,KC,1,0,16,2,0,0,0,0,0,38.5,5,0,0.0,0,0,0,0,92.9,13,14,2,7.7,0,2,0,0,61.5,8,2,12.5,0,0,0,0,0,0
Josh Paschal,57908,DI,DET,1,0,11,0,2,0,0,1,0,53.8,7,1,7.1,0,0,0,0,92.9,13,14,2,7.7,0,0,1,0,46.2,6,1,8.3,0,0,0,0,0,0
Levi Onwuzurike,43679,DI,DET,1,0,11,0,2,0,0,0,0,61.5,8,0,0.0,0,0,0,0,100.0,13,13,2,7.7,0,0,2,0,38.5,5,2,20.0,0,0,0,0,0,0
