player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Calais Campbell,4364,ED,ATL,6,0,,,4.5,,,0,0,0,,2,58.7,78.6,85.9,69.6,75.9,29.7,0,,66.7,2,0,0,0.0,0,6,134,2,1,0,0,0,0,0.0,
Brandon Graham,5538,ED,PHI,6,0,,,8.3,,,0,0,0,,24,65.1,76.0,39.0,73.1,71.4,59.1,0,,50.0,1,0,1,0.0,0,7,84,1,1,0,0,0,0,0.0,
Kareem Jackson,5545,S,DEN,6,0,8.5,80.0,100.0,24.4,19.5,0,0,1,10.0,10,79.5,71.1,0.0,,48.1,65.3,2,18,0.0,0,1,3,87.5,8,205,205,4,20,10,1,65,13,0.3,8.1
Jerry Hughes,5556,ED,HST,6,0,,,1.0,,,0,0,0,,13,63.7,66.4,55.6,61.3,65.9,47.5,0,,50.0,1,0,1,0.0,0,1,101,2,1,0,0,0,0,0.0,
Von Miller,6154,ED,BUF,2,0,,,10.8,,,0,0,0,,4,62.6,65.0,78.1,55.6,74.5,69.9,0,,,0,0,0,0.0,0,4,37,0,0,0,0,0,0,0.0,
Patrick Peterson,6157,CB,PIT,5,1,10.8,57.1,99.1,12.8,7.3,1,0,3,10.7,25,59.9,58.7,82.9,55.0,51.6,27.0,1,52,30.8,4,2,1,109.8,16,217,219,1,8,28,4,238,107,1.2,14.9
Cameron Jordan,6176,ED,NO,7,0,,,2.0,,,0,0,0,,20,79.6,79.7,87.3,70.7,73.6,80.8,0,,50.0,1,0,0,0.0,0,5,245,1,1,0,0,0,0,0.0,
Justin Houston,6222,ED,CAR,6,1,-7.0,100.0,15.4,15.0,15.0,0,0,0,0.0,5,84.0,60.3,43.4,62.5,45.9,42.0,0,0,0.0,0,0,1,79.2,1,16,104,4,3,1,0,0,7,0.0,0.0
Stephon Gilmore,7016,CB,DAL,6,2,11.9,46.7,100.0,14.1,6.6,1,0,5,16.7,9,65.4,67.1,83.2,,69.3,68.6,2,68,5.0,1,4,3,71.1,14,221,221,3,17,30,2,257,84,1.3,18.4
Bobby Wagner,7050,LB,SEA,5,3,6.0,90.0,85.9,10.8,9.8,0,0,0,0.0,29,59.5,84.2,81.2,74.8,93.1,90.0,0,23,0.0,0,0,0,109.2,18,201,234,9,21,20,0,204,119,1.0,11.3
Lavonte David,7060,LB,TB,5,4,4.7,80.0,89.5,7.9,6.3,0,0,1,3.3,30,61.9,64.6,81.7,63.7,64.5,62.1,0,25,4.5,1,1,0,88.8,24,197,220,11,17,30,0,159,75,0.8,6.6
Demario Davis,7079,LB,NO,7,3,5.9,56.3,86.5,23.7,13.3,1,0,2,12.5,20,82.2,87.9,84.0,68.0,82.2,86.0,0,9,0.0,0,1,1,82.3,9,230,266,8,13,16,1,32,32,0.2,3.6
Rodney McLeod,7271,S,CLV,5,0,6.0,50.0,98.9,28.0,14.0,0,1,1,16.7,8,56.7,59.1,81.4,58.5,64.8,57.9,0,17,0.0,0,1,0,61.1,3,89,90,1,4,6,0,25,19,0.3,8.3
Tashaun Gipson Sr.,7288,S,SF,6,5,18.6,22.2,98.4,119.5,26.6,0,1,0,0.0,28,74.4,71.9,32.7,53.7,59.2,60.4,1,4,0.0,0,0,1,0.0,2,252,256,2,5,9,0,6,1,0.0,3.0
Harrison Smith,7641,S,MIN,6,4,4.2,73.3,83.2,17.3,12.7,0,0,0,0.0,18,74.0,71.3,83.7,61.7,58.7,68.3,0,13,0.0,0,0,1,81.0,11,198,238,9,15,15,0,64,55,0.3,5.8
Justin Bethel,7654,CB,MIA,6,2,8.3,85.7,94.1,12.7,10.9,0,0,1,14.3,17,71.7,75.9,79.7,90.9,65.4,85.2,0,18,0.0,0,0,0,127.1,6,80,85,3,6,7,1,35,5,0.5,5.8
Darius Slay,7817,CB,PHI,5,1,9.9,71.1,100.0,8.3,5.9,0,2,3,7.9,24,50.6,52.3,83.5,,63.2,72.0,1,39,8.7,2,1,1,102.7,27,237,237,3,20,38,2,318,137,1.4,11.8
Travis Kelce,7844,TE,KC,1,0,,,100.0,,,1,0,0,,16,60.0,60.0,62.9,,,,0,,,0,0,4,0.0,0,1,1,0,0,0,0,0,0,0.0,
Tyrann Mathieu,7850,S,NO,7,2,5.8,60.0,98.6,21.4,12.9,1,1,2,10.0,20,69.6,72.7,83.8,53.9,74.1,71.6,1,46,0.0,0,2,1,101.5,12,276,280,4,12,20,2,177,141,0.7,14.8
Micah Hyde,7941,S,BUF,6,4,8.5,90.9,97.8,20.6,18.7,0,0,0,0.0,4,74.9,74.6,85.5,56.0,60.9,73.1,2,32,5.0,1,0,0,96.0,10,224,229,3,15,11,1,102,18,0.5,10.2
Jordan Poyer,8000,S,BUF,5,0,12.5,66.7,94.1,40.8,27.2,0,0,0,0.0,4,60.6,62.1,27.3,61.6,67.2,79.7,0,30,11.1,1,0,1,97.2,4,174,185,2,8,6,0,57,13,0.3,14.3
Mike Purcell,8530,DI,DEN,5,1,7.0,100.0,1.6,1.0,1.0,1,0,0,0.0,10,53.3,42.8,41.1,64.1,42.3,25.7,0,5,50.0,1,0,1,87.5,1,1,62,0,0,1,0,5,-2,5.0,5.0
Jadeveon Clowney,8636,ED,BLT,6,0,10.0,100.0,4.1,8.0,8.0,0,0,0,0.0,3,49.1,77.5,64.5,74.1,74.0,28.8,0,10,75.0,3,0,1,108.3,1,8,193,3,1,1,0,10,0,1.3,10.0
Khalil Mack,8640,ED,LAC,5,0,,,10.9,,,0,0,0,,27,72.7,87.0,86.4,81.0,73.1,54.3,0,,0.0,0,0,0,0.0,0,21,193,8,1,0,0,0,0,0.0,
C.J. Mosley,8652,LB,NYJ,6,7,3.8,77.8,93.1,11.0,8.6,0,2,2,7.4,22,88.1,87.1,40.9,78.6,70.1,85.1,1,33,2.9,1,2,2,83.6,21,241,259,11,26,27,0,210,160,0.9,10.0
Jimmie Ward,8665,S,HST,4,4,4.3,83.3,97.2,10.7,8.9,0,0,1,5.6,13,72.1,72.1,78.9,50.7,66.1,70.0,0,28,10.0,2,1,1,95.1,15,172,177,6,14,18,0,123,88,0.8,8.2
Bradley Roby,8666,CB,PHI,2,0,6.9,44.4,90.7,8.5,3.8,0,0,0,0.0,24,47.8,49.0,77.0,66.9,50.5,29.6,0,8,33.3,1,0,0,51.6,4,39,43,1,2,9,0,6,1,0.2,1.5
DeMarcus Lawrence,8669,ED,DAL,6,0,0.0,100.0,0.7,1.0,1.0,0,0,0,0.0,9,59.7,91.9,85.4,84.6,91.8,61.4,0,1,33.3,1,0,0,118.8,1,1,138,2,2,1,1,1,1,1.0,1.0
Kyle Van Noy,8675,ED,BLT,3,0,,,4.4,,,0,0,0,,3,31.9,64.6,79.6,75.8,45.3,29.1,0,,100.0,1,0,0,0.0,0,3,68,1,0,0,0,0,0,0.0,
Shelby Harris,8869,DI,CLV,5,0,,,4.1,,,0,0,0,,8,58.0,61.2,80.1,61.9,60.4,53.9,0,,,0,0,0,0.0,0,2,49,0,0,0,0,0,0,0.0,
Denico Autry,8982,ED,TEN,6,2,5.0,100.0,1.7,3.0,3.0,1,0,0,0.0,31,62.1,60.7,63.5,62.9,55.0,68.0,0,7,0.0,0,0,1,95.8,1,3,173,3,1,1,0,7,2,2.3,7.0
Shaquil Barrett,9000,ED,TB,5,0,-0.5,100.0,22.4,7.5,7.5,0,0,0,0.0,30,84.4,75.9,21.8,73.8,61.4,68.5,1,7,16.7,1,0,2,39.6,4,32,143,4,5,4,0,12,14,0.4,3.0
Adrian Phillips,9177,S,NE,6,1,10.7,100.0,92.3,15.7,15.7,0,0,0,0.0,19,54.1,59.2,76.7,53.0,70.7,61.8,0,29,16.7,1,0,0,118.8,3,48,52,1,4,3,0,40,8,0.9,13.3
C.J. Goodwin,9243,CB,DAL,1,1,-5.0,100.0,100.0,10.0,10.0,0,0,0,0.0,9,69.3,69.2,82.1,,60.0,75.4,0,-3,0.0,0,0,0,79.2,1,14,14,0,1,1,0,-3,2,-0.3,-3.0
Daniel Sorensen,9253,S,NO,2,0,0.0,100.0,100.0,6.0,6.0,0,0,0,0.0,20,47.7,46.4,70.8,,60.0,22.6,0,8,100.0,1,0,0,100.0,1,6,6,0,0,1,0,8,8,1.3,8.0
Dante Fowler Jr.,9436,ED,DAL,6,0,5.0,100.0,1.3,1.0,1.0,0,0,0,0.0,9,61.0,65.5,3.2,72.1,57.8,25.5,0,6,0.0,0,0,2,91.7,1,1,76,2,1,1,0,6,1,6.0,6.0
Marcus Peters,9451,CB,LV,6,1,8.0,66.7,100.0,10.5,7.0,0,1,3,10.0,23,66.0,67.4,83.9,,68.6,37.1,0,72,19.0,4,3,3,99.3,20,223,223,4,16,30,1,220,98,1.1,11.0
Bud Dupree,9455,ED,ATL,6,0,,,6.2,,,0,0,0,,2,74.4,56.7,83.5,53.1,56.3,50.7,0,,33.3,1,0,0,0.0,0,10,162,4,2,0,0,0,0,0.0,
Shaq Thompson,9458,LB,CAR,2,0,-1.8,100.0,90.9,5.6,5.6,0,0,0,0.0,5,59.9,65.3,75.2,64.3,65.8,43.2,0,14,33.3,1,0,0,80.0,5,30,33,2,2,5,0,16,25,0.6,3.2
