player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Calais Campbell,4364,ED,ATL,5,0,0,2,65.0,3,6,99,94.7,12.1,12,0,4.5,0,113,107,9,0,62.4,1,4,50,93.2,14.0,7,5.0,0,59,55,5
Matthew Slater,4467,WR,NE,1,0,0,19,60.0,0,0,0,100.0,,0,0,,0,1,1,0,0,,0,0,0,,,0,,0,0,0,0
Brandon Graham,5538,ED,PHI,5,0,0,24,72.5,2,5,57,91.5,15.8,9,0,6.1,0,71,65,7,0,80.1,2,5,28,100.0,25.0,7,12.5,0,32,32,7
Jerry Hughes,5556,ED,HST,5,0,0,13,59.5,0,9,73,98.7,8.2,6,1,7.5,1,77,76,10,0,55.4,0,4,32,100.0,9.4,3,6.3,0,33,33,4
Al Woods,5646,DI,NYJ,4,0,0,22,56.5,1,0,43,100.0,2.3,1,0,3.5,1,45,45,2,0,56.7,1,0,17,100.0,5.9,1,2.9,0,17,17,1
Von Miller,6154,ED,BUF,1,0,0,4,49.5,0,0,11,92.9,0.0,0,0,0.0,0,14,13,0,0,50.5,0,0,8,90.0,0.0,0,0.0,0,10,9,0
Patrick Peterson,6157,CB,PIT,5,0,1,25,55.0,0,1,2,0.9,0.0,0,1,25.0,0,219,2,1,0,59.5,0,0,1,0.8,0.0,0,0.0,0,121,1,0
Cameron Jordan,6176,ED,NO,5,2,0,20,71.8,2,19,166,98.4,13.9,23,0,7.5,2,183,180,23,0,84.7,1,11,77,98.8,24.7,19,10.4,2,85,84,14
Cameron Heyward,6183,DI,PIT,1,0,0,25,62.2,1,0,9,100.0,11.1,1,0,5.6,0,9,9,1,0,55.8,0,0,3,100.0,0.0,0,0.0,0,3,3,0
Justin Houston,6222,ED,CAR,5,1,0,5,64.1,2,6,71,85.2,9.9,7,1,7.0,1,88,75,9,0,70.8,1,5,25,83.3,24.0,6,16.0,1,30,25,7
Lawrence Guy Sr.,6385,DI,NE,5,0,0,19,47.8,0,3,82,100.0,2.4,2,0,1.8,0,87,87,3,0,49.7,0,2,20,100.0,5.0,1,5.0,0,22,22,2
Fletcher Cox,7018,DI,PHI,4,0,0,24,67.3,7,3,129,100.0,11.6,15,1,4.7,1,134,134,11,0,68.5,6,2,65,100.0,15.4,10,7.7,1,68,68,9
Bobby Wagner,7050,LB,SEA,4,0,0,29,69.2,0,3,24,13.9,16.7,4,0,14.6,2,194,27,5,0,72.0,0,2,16,17.2,18.8,3,18.8,2,99,17,4
Lavonte David,7060,LB,TB,4,0,0,30,55.3,0,2,19,11.0,5.3,1,0,10.5,1,172,19,3,0,51.4,0,1,8,9.9,12.5,1,6.3,0,81,8,1
Demario Davis,7079,LB,NO,5,0,1,20,62.7,1,5,28,14.2,10.7,3,1,14.3,1,212,30,7,0,64.5,0,5,20,22.1,15.0,3,17.5,1,95,21,6
Tashaun Gipson Sr.,7288,S,SF,5,0,0,28,53.7,0,2,4,1.9,0.0,0,0,25.0,0,215,4,2,0,54.5,0,2,3,2.6,0.0,0,33.3,0,116,3,2
Harrison Smith,7641,S,MIN,5,0,0,18,63.6,1,1,35,17.1,2.9,1,1,11.4,3,205,35,5,0,79.6,1,1,11,16.2,9.1,1,36.4,3,68,11,5
Justin Bethel,7654,CB,MIA,5,0,0,17,90.9,0,1,4,6.1,0.0,0,0,37.5,1,82,5,2,0,91.8,0,1,2,6.3,0.0,0,75.0,1,48,3,2
Johnathan Hankins,7830,DI,DAL,5,2,0,9,69.9,0,1,50,100.0,6.0,3,1,1.0,0,53,53,1,1,74.4,0,0,16,100.0,6.3,1,0.0,0,17,17,0
Tyrann Mathieu,7850,S,NO,5,0,1,20,55.5,0,1,2,1.4,0.0,0,1,25.0,0,212,3,1,0,58.8,0,1,1,1.1,0.0,0,50.0,0,95,1,1
John Jenkins,7863,DI,LV,5,1,0,23,71.9,1,5,69,100.0,11.6,8,0,4.3,0,72,72,6,0,68.3,0,4,16,100.0,18.8,3,12.5,0,17,17,4
William Gholston,7908,DI,TB,4,0,0,30,64.3,0,2,32,100.0,12.5,4,0,3.1,0,33,33,2,0,64.5,0,1,12,100.0,16.7,2,4.2,0,12,12,1
Micah Hyde,7941,S,BUF,5,0,0,4,60.0,0,0,1,0.6,0.0,0,0,0.0,0,181,1,0,0,,0,0,0,0.0,,0,,0,88,0,0
Jordan Poyer,8000,S,BUF,4,0,0,4,52.2,0,1,6,5.1,0.0,0,1,8.3,0,137,7,1,0,56.5,0,0,1,2.8,0.0,0,0.0,0,71,2,0
Nick Williams,8006,DI,LAC,4,0,0,27,59.8,0,1,64,100.0,4.7,3,0,0.8,0,65,65,1,0,60.3,0,0,24,100.0,8.3,2,0.0,0,24,24,0
Mike Purcell,8530,DI,DEN,5,2,1,10,64.1,2,0,56,98.4,5.4,3,1,1.8,0,62,61,2,1,61.2,0,0,22,95.8,4.5,1,0.0,0,24,23,0
Jadeveon Clowney,8636,ED,BLT,5,0,0,3,68.5,4,14,151,95.2,15.2,23,0,7.3,2,167,159,20,0,65.9,3,9,80,94.4,17.5,14,8.8,1,90,85,13
Khalil Mack,8640,ED,LAC,4,2,0,27,80.9,2,12,135,91.0,15.6,21,0,10.4,7,156,142,21,1,90.5,2,10,67,93.4,28.4,19,17.9,6,76,71,18
Aaron Donald,8648,DI,LA,5,0,1,26,90.8,3,17,155,100.0,20.6,32,1,8.4,3,170,170,23,0,88.3,1,11,74,100.0,25.7,19,10.8,2,83,83,14
