Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,3769808702,texas111 (5/20),0,485.5,G Scottie Scheffler G Justin Rose G Harris English G Emiliano Grillo G Mark Hubbard G Carson Young,,Scottie Scheffler,G,41.16%,92.5
2,3770424696,Shaggadelic12 (5/20),0,485,G Scottie Scheffler G Justin Rose G Harris English G Emiliano Grillo G Aaron Rai G Michael Kim,,Jordan Spieth,G,23.53%,20
3,3770073095,Mymoney3 (1/20),0,480.5,G Scottie Scheffler G Sam Burns G Min Woo Lee G Emiliano Grillo G Robby Shelton G Harry Hall,,Tommy Fleetwood,G,20.57%,21
4,3772183214,GuhReeDoe (1/20),0,474.5,G Scottie Scheffler G Viktor Hovland G Emiliano Grillo G Sepp Straka G Lee Hodges G Mark Hubbard,,Justin Rose,G,19.04%,66.5
5,3770355314,jbrighton76 (10/20),0,468,G Scottie Scheffler G Sam Burns G Emiliano Grillo G Patrick Rodgers G Adam Schenk G Robby Shelton,,Viktor Hovland,G,17.42%,67.5
6,3771572767,healthdude82 (3/10),0,465.5,G Scottie Scheffler G Justin Rose G Harris English G Emiliano Grillo G Hayden Buckley G Harry Hall,,Eric Cole,G,17.29%,22.5
6,3771909747,thecobman21 (16/20),0,465.5,G Scottie Scheffler G Justin Rose G Byeong Hun An G Emiliano Grillo G Chez Reavie G Mark Hubbard,,Sungjae Im,G,16.77%,25.5
8,3771852771,wahoo21 (2/3),0,465,G Scottie Scheffler G Justin Rose G Harris English G Emiliano Grillo G Sepp Straka G Akshay Bhatia,,Rickie Fowler,G,15.33%,77
9,3770088116,Mcweenervanhous (2/20),0,462,G Scottie Scheffler G Viktor Hovland G Emiliano Grillo G Aaron Rai G Ben Martin G Carson Young,,Cameron Davis,G,13.63%,27
9,3770549180,jcndaburgh (1/2),0,462,G Scottie Scheffler G Viktor Hovland G Emiliano Grillo G Sepp Straka G Akshay Bhatia G Austin Smotherman,,Brendon Todd,G,12.98%,46.5
9,3771556282,He-man24 (11/20),0,462,G Scottie Scheffler G Viktor Hovland G Emiliano Grillo G Aaron Rai G Akshay Bhatia G Kevin Streelman,,Christiaan Bezuidenhout,G,12.79%,57.5
9,3772190603,CoffeeInBed (15/20),0,462,G Scottie Scheffler G Rickie Fowler G Stephan Jaeger G Emiliano Grillo G Andrew Putnam G Mark Hubbard,,Denny McCarthy,G,12.01%,23.5
9,3772307218,mailman86 (5/20),0,462,G Scottie Scheffler G Justin Rose G Christiaan Bezuidenhout G Emiliano Grillo G Ben Martin G Mark Hubbard,,Tony Finau,G,11.96%,22.5
14,3771948482,JAB1987 (15/20),0,460,G Scottie Scheffler G Russell Henley G Stephan Jaeger G Emiliano Grillo G Alex Smalley G Harry Hall,,Hayden Buckley,G,11.88%,27.5
15,3770088121,Mcweenervanhous (7/20),0,459.5,G Scottie Scheffler G Collin Morikawa G Emiliano Grillo G Aaron Rai G Ben Martin G Carson Young,,Stephan Jaeger,G,11.85%,50.5
16,3772228940,lderoxas,0,459,G Scottie Scheffler G Viktor Hovland G Emiliano Grillo G Ben Griffin G Akshay Bhatia G Michael Kim,,Emiliano Grillo,G,11.80%,107.5
17,3770666178,bobbyjack4411,0,458.5,G Scottie Scheffler G Rickie Fowler G Kurt Kitayama G Christiaan Bezuidenhout G Emiliano Grillo G Carson Young,,Akshay Bhatia,G,11.29%,57.5
17,3771048992,PlatypusBrigade (17/20),0,458.5,G Scottie Scheffler G Brian Harman G Byeong Hun An G Harris English G Emiliano Grillo G Ben Martin,,Collin Morikawa,G,11.26%,65
17,3772293190,rpt001 (3/20),0,458.5,G Scottie Scheffler G Rickie Fowler G Brian Harman G Emiliano Grillo G Matthew NeSmith G Mark Hubbard,,Max Homa,G,10.14%,74
20,3771694744,mcanney33 (2/3),0,457.5,G Viktor Hovland G Max Homa G Emiliano Grillo G Ryan Fox G Justin Suh G Michael Kim,,Sepp Straka,G,9.90%,64.5
21,3771058857,sbhaass (13/20),0,457,G Scottie Scheffler G Collin Morikawa G Emiliano Grillo G Andrew Putnam G Akshay Bhatia G Mark Hubbard,,Thomas Detry,G,9.15%,62.5
21,3771622652,cmedland12 (7/12),0,457,G Scottie Scheffler G Collin Morikawa G Emiliano Grillo G Andrew Putnam G Akshay Bhatia G Mark Hubbard,,Chris Kirk,G,9.03%,18
21,3771840970,jfhat13 (1/2),0,457,G Scottie Scheffler G Collin Morikawa G Emiliano Grillo G Matthew NeSmith G Adam Schenk G Jimmy Walker,,Nick Taylor,G,8.95%,19
24,3772087331,mattels1991,0,456.5,G Scottie Scheffler G Viktor Hovland G Rickie Fowler G Andrew Novak G Harry Hall G Carson Young,,Kyoung-Hoon Lee,G,8.91%,44
25,3771626537,TzadokTzvi,0,456,G Scottie Scheffler G Rickie Fowler G Brendon Todd G Emiliano Grillo G Sepp Straka G Aaron Rai,,Kurt Kitayama,G,8.74%,58.5
25,3772110623,donkey717,0,456,G Scottie Scheffler G Rickie Fowler G Emiliano Grillo G Ryan Fox G Thomas Detry G Joel Dahmen,,Carson Young,G,8.54%,65.5
27,3771722937,bakoaaron (4/20),0,455.5,G Scottie Scheffler G Russell Henley G Christiaan Bezuidenhout G Emiliano Grillo G Sepp Straka G Michael Kim,,Andrew Putnam,G,8.43%,57.5
28,3770027714,gflem800 (10/20),0,455,G Scottie Scheffler G Rickie Fowler G Emiliano Grillo G Patrick Rodgers G Thomas Detry G Aaron Rai,,Dylan Wu,G,8.03%,23.5
28,3771755102,scsiport,0,455,G Scottie Scheffler G Max Homa G Emiliano Grillo G Thomas Detry G Ben Martin G Aaron Baddeley,,Beau Hossler,G,7.92%,35
28,3771945024,cabowaboFL,0,455,G Scottie Scheffler G Max Homa G Emiliano Grillo G Thomas Detry G Ben Martin G Aaron Baddeley,,Patrick Rodgers,G,7.71%,47.5
28,3772322490,claythompson (5/10),0,455,G Scottie Scheffler G Kurt Kitayama G Harris English G Christiaan Bezuidenhout G Emiliano Grillo G Thomas Detry,,Taylor Moore,G,7.47%,21.5
32,3770424704,Shaggadelic12 (13/20),0,454.5,G Collin Morikawa G Max Homa G Harris English G Emiliano Grillo G Andrew Putnam G Michael Kim,,Ryan Palmer,G,7.40%,19
32,3772432867,tfsmith10 (1/2),0,454.5,G Scottie Scheffler G Rickie Fowler G Christiaan Bezuidenhout G Emiliano Grillo G Thomas Detry G Akshay Bhatia,,Sam Burns,G,6.62%,72.5
34,3771028409,kingofkingshhh (11/20),0,454,G Scottie Scheffler G Rickie Fowler G Byeong Hun An G Emiliano Grillo G Alex Noren G Akshay Bhatia,,Russell Henley,G,6.55%,59.5
35,3771675058,SteampunkMario (6/20),0,453.5,G Scottie Scheffler G Collin Morikawa G Emiliano Grillo G Sepp Straka G Chez Reavie G Carson Young,,Ben Martin,G,6.33%,61
36,3770378154,cangood1 (11/20),0,453,G Scottie Scheffler G Rickie Fowler G Christiaan Bezuidenhout G Emiliano Grillo G Andrew Putnam G Ben Martin,,Brian Harman,G,6.32%,57.5
37,3771913083,druelaine,0,452.5,G Scottie Scheffler G Sam Burns G Emiliano Grillo G Thomas Detry G Will Gordon G Aaron Baddeley,,Justin Suh,G,6.08%,66
38,3770833527,bryton1 (5/20),0,452,G Scottie Scheffler G Rickie Fowler G Stephan Jaeger G Emiliano Grillo G Sepp Straka G Ben Griffin,,Nate Lashley,G,5.85%,26
38,3771448254,coachp17 (3/20),0,452,G Scottie Scheffler G Byeong Hun An G Christiaan Bezuidenhout G Emiliano Grillo G Ryan Fox G Thomas Detry,,Byeong Hun An,G,5.73%,63.5
38,3771710825,krsnag (1/3),0,452,G Scottie Scheffler G Viktor Hovland G Emiliano Grillo G Ryan Fox G Akshay Bhatia G Erik Compton,,J.T. Poston,G,5.55%,17
38,3771710953,Stephensml63 (1/2),0,452,G Scottie Scheffler G Viktor Hovland G Emiliano Grillo G Ryan Fox G Akshay Bhatia G Erik Compton,,Matthew NeSmith,G,5.39%,47
42,3772030056,jaymz5225,0,451.5,G Scottie Scheffler G Viktor Hovland G Emiliano Grillo G Andrew Putnam G Ben Martin G Carson Young,,Si Woo Kim,G,5.38%,63
